Block,Time,TANDA2,SALAL,KISHANGANGA,URI2,ANTA_LF,BSIUL,AURY_GF,ANTA_CRF,DADRI_RF,RIHAND3,URI,TEHRI,CHAMERA2,RAMPUR,UNCHAHAR2,JHAJJAR,KOTESHWR,ANTA_RF,UNCHAHAR4,RAPPB,SINGRAULI_HYDRO,DADRI_CRF,SEWA2,UNCHAHAR1,DULHASTI,NAPP,DADRI_LF,AURY_RF,AURY_CRF,UNCHAHAR3,RIHAND1,TANAKPUR,RIHAND2,CHAMERA1,DADRT2,DADRI_GF,RAPPC,CHAMERA3,DHAULIGNGA,KOLDAM,ANTA_GF,SINGRAULI,NJPC,PARBATI3,AURY_LF,FSTPP I & II,BRBCL,TALA,KHSTPP-II,KUDGI,KHSTPP-I,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,2.249400,0.000000,23.957151,0.000000,0.000000,0.000000,0.000000,58.559886,119.695958,47.016710,0.000000,0.000000,0.000000,24.369302,632.183982,8.589145,0.000000,0.000000,0.000000,0.759153,0.000000,0.000000,16.010292,31.899762,39.177882,0.000000,0.000000,0.000000,21.126210,89.046800,9.919039,56.709261,0.000000,661.200682,0.000000,25.056608,0.000000,8.822312,0.000000,0.000000,99.060842,20.165229,0.000000,0.000000,20.064567,19.357951,10.528816,95.183286,74.53,41.126071,335.377350,0,0,0,0,0

2,00:15-00:30,0.000000,2.249400,0.000000,23.957151,0.000000,0.000000,0.000000,0.000000,58.559886,119.695958,47.016710,0.000000,0.000000,0.000000,24.369302,632.183982,8.589145,0.000000,0.000000,0.000000,0.759153,0.000000,0.000000,19.254410,31.899762,39.177882,0.000000,0.000000,0.000000,25.195385,89.046800,9.919039,56.709261,0.000000,661.200682,0.000000,25.056608,0.000000,8.822312,0.000000,0.000000,100.177650,20.165229,0.000000,0.000000,20.064567,18.582325,10.528816,95.183286,74.53,41.126071,335.377350,0,0,0,0,0

3,00:30-00:45,0.000000,2.249400,0.000000,23.957151,0.000000,0.000000,0.000000,0.000000,58.559886,119.695958,8.548493,0.000000,0.000000,0.000000,24.369302,632.183982,8.589145,0.000000,0.000000,0.000000,0.759153,0.000000,0.000000,12.158760,31.899762,39.177882,0.000000,0.000000,0.000000,18.713379,89.046800,9.919039,56.709261,0.000000,661.200682,0.000000,25.056608,0.000000,8.822312,0.000000,0.000000,100.177650,20.165229,0.000000,0.000000,20.064567,14.614004,10.528816,95.183286,74.53,41.126071,335.377350,0,0,0,0,0

4,00:45-01:00,0.000000,2.249400,0.000000,23.957151,0.000000,0.000000,0.000000,0.000000,58.559886,119.695958,8.548493,0.000000,0.000000,0.000000,24.369302,632.183982,8.589145,0.000000,0.000000,0.000000,0.759153,0.000000,0.000000,12.158760,31.899762,39.177882,0.000000,0.000000,0.000000,18.713379,89.046800,9.919039,56.709261,0.000000,661.200682,0.000000,25.056608,0.000000,8.822312,0.000000,0.000000,100.177650,20.165229,0.000000,0.000000,20.064567,14.204198,10.528816,95.183286,74.53,41.126071,335.377350,0,0,0,0,0

5,01:00-01:15,0.000000,34.865694,0.000000,10.416153,0.000000,0.000000,0.000000,0.000000,58.559886,119.695958,8.548493,0.000000,0.000000,0.000000,24.369302,632.183982,8.589145,0.000000,0.000000,0.000000,0.759153,0.000000,0.000000,12.158760,31.899762,39.177882,0.000000,0.000000,0.000000,18.713379,89.046800,9.919039,56.709261,0.000000,661.200682,0.000000,25.056608,0.000000,8.822312,0.000000,0.000000,100.177650,20.165229,0.000000,0.000000,20.064567,16.685130,10.528816,95.183286,74.53,41.126071,335.377350,0,0,0,0,0

6,01:15-01:30,0.000000,76.828243,0.000000,9.765143,0.000000,6.311482,0.000000,0.000000,0.000000,119.695958,8.548493,0.000000,0.000000,0.000000,24.369302,632.183982,8.589145,0.000000,0.000000,0.000000,0.759153,0.000000,0.000000,12.158760,31.899762,39.177882,0.000000,0.000000,0.000000,18.713379,89.046800,9.919039,56.709261,0.000000,661.200682,0.000000,25.056608,0.000000,8.822312,0.000000,0.000000,100.177650,20.165229,0.000000,0.000000,20.064567,14.016243,10.528816,95.183286,75.50,41.126071,335.377350,0,0,0,0,0

7,01:30-01:45,0.000000,76.828243,0.000000,9.765143,0.000000,6.311482,0.000000,0.000000,0.000000,119.695958,8.548493,0.000000,0.000000,0.000000,24.369302,632.183982,8.589145,0.000000,0.000000,0.000000,0.759153,0.000000,0.000000,12.158760,31.899762,39.177882,0.000000,0.000000,0.000000,18.713379,89.046800,9.919039,56.709261,0.000000,661.200682,0.000000,25.056608,0.000000,8.822312,0.000000,0.000000,100.177650,20.165229,0.000000,0.000000,20.064567,14.216708,10.528816,95.183286,74.53,41.126071,335.377350,0,0,0,0,0

8,01:45-02:00,0.000000,76.828243,0.000000,9.765143,0.000000,6.311482,0.000000,0.000000,0.000000,119.695958,8.548493,0.000000,0.000000,0.000000,24.369302,632.183982,8.589145,0.000000,0.000000,0.000000,0.759153,0.000000,0.000000,12.158760,31.899762,39.177882,0.000000,0.000000,0.000000,18.713379,89.046800,9.919039,56.709261,0.000000,661.200682,0.000000,25.056608,0.000000,8.822312,0.000000,0.000000,100.177650,20.165229,0.000000,0.000000,20.064567,13.642555,10.528816,95.183286,74.53,41.126071,335.377350,0,0,0,0,0

9,02:00-02:15,0.000000,76.828243,0.000000,9.765143,0.000000,6.311482,0.000000,0.000000,0.000000,119.695958,8.548493,0.000000,0.000000,0.000000,24.369302,632.183982,8.589145,0.000000,0.000000,0.000000,0.759153,0.000000,0.000000,12.158760,31.899762,39.177882,0.000000,0.000000,0.000000,18.713379,89.046800,9.299099,56.709261,0.000000,661.200682,0.000000,25.056608,0.000000,8.822312,0.000000,0.000000,100.177650,20.165229,0.000000,0.000000,20.064567,16.258072,10.528816,95.183286,74.53,41.126071,335.377350,0,0,0,0,0

10,02:15-02:30,0.000000,12.934048,0.000000,9.765143,0.000000,6.311482,0.000000,0.000000,0.000000,119.695958,8.548493,0.000000,0.000000,0.000000,24.369302,632.183982,8.589145,0.000000,0.000000,0.000000,0.759153,0.000000,0.000000,12.158760,31.899762,39.177882,0.000000,0.000000,0.000000,18.713379,89.046800,9.299099,56.709261,0.000000,661.200682,0.000000,25.056608,0.000000,8.822312,0.000000,0.000000,100.177650,20.165229,0.000000,0.000000,20.064567,15.702785,10.528816,95.183286,74.53,41.126071,335.377350,0,0,0,0,0

