Column1,Block,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/01/4083,GNA/NR/2024/10/01/8106,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/02/6759,GNA/NR/2024/10/01/6101,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/2024/23447/C,NR/2024/23397/A/39715,NR/2024/23383/A/39826,NR/2024/23215/A/39811,NR/2024/23414/A/39745,NR/2024/23384/A/39743,NR/2024/23382/A/39813,NR/2024/23468/C,NR/2024/23460/C,NR/2024/23356/A/39783,NR/2024/23389/A/39780,NR/2024/23461/C,Total
,,NDMC,NDMC,PTC,NDMC,DELHI,NDMC,HPXL,NDMC,PUNJAB,BAWANA_GAS,NVVNL,DIAPL,ITCLH,PTC,IEXL,IEXL,NVVNL,HPXL,TPDDL,SJVNL,SJVNL,NVVNL,
,,NA,NA,HIMACHAL_STATE,NA,HIMACHAL_STATE,NA,NA,NA,DELHI_UT,DELHI_UT,NA,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,HIMACHAL_STATE,KARNATAKA_STATE,KARNATAKA_STATE,NA,NA,NA,NA,NA,NA,
,,RKM_POWER,SKS_Raigarh,HP,TRN_ENERGY,CHANJUII,RKM_POWER,JITPL,JPL2,BAWANA_GAS,BAWANA_GAS,JITPL,GBHHPL,ITCWIND,HP,NSLSUGAR,NSLSUGAR,JITPL,SINGOLI,JHAJJAR,TPSL_BKN2,RSRPL_BKN,SOLAPUR_SOLAR,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,BRPL,NDMC,TPDDL,NDMC,BRPL,NDMC,PUNJAB,HARYANA,NDMC,DIAPL,ITCLH,BYPL,MES_Delhi,MES_Delhi,NDMC,BYPL,TPDDL,NDMC,NDMC,MES_Delhi,
,,West-North,West-North,North-North,West-North,North-North,West-North,East-North,West-North,North-North,North-North,East-North,North-North,South-West-North,North-North,South-West-North,South-West-North,East-North,North-North,North-North,North-North,North-North,West-North,
1,00:00-00:15,37.33,12.45,54.36,12.45,7.93,37.33,193.28,37.33,32,32,0,2.9,0.58,18.12,0,6.76,17.57,0,173.95,0,0,0,676.3399999999999

2,00:15-00:30,37.33,12.45,54.36,12.45,7.93,37.33,193.28,37.33,32,32,0,2.9,0.58,18.12,0,6.76,17.57,0,173.95,0,0,0,676.3399999999999

3,00:30-00:45,37.33,12.45,54.36,12.45,7.93,37.33,193.28,37.33,32,32,0,2.9,0.58,18.12,0,6.76,17.57,0,173.95,0,0,0,676.3399999999999

4,00:45-01:00,37.33,12.45,54.36,12.45,7.93,37.33,193.28,37.33,32,32,0,2.9,0.58,18.12,0,6.76,17.57,0,173.95,0,0,0,676.3399999999999

5,01:00-01:15,37.33,12.45,54.36,12.45,7.84,37.33,193.28,37.33,32,32,0,2.9,0.53,18.12,0,6.76,17.57,0,173.95,0,0,0,676.1999999999998

6,01:15-01:30,37.33,12.45,54.36,12.45,7.84,37.33,193.28,37.33,32,32,0,2.9,0.53,18.12,0,6.76,17.57,0,173.95,0,0,0,676.1999999999998

7,01:30-01:45,37.33,12.45,54.36,12.45,7.84,37.33,193.28,37.33,32,32,0,2.9,0.53,18.12,0,6.76,17.57,0,173.95,0,0,0,676.1999999999998

8,01:45-02:00,37.33,12.45,54.36,12.45,7.84,37.33,193.28,37.33,32,32,0,2.9,0.53,18.12,0,6.76,17.57,0,173.95,0,0,0,676.1999999999998

9,02:00-02:15,37.33,12.45,54.36,12.45,7.75,37.33,193.28,37.33,32,1.35,0,2.9,0.48,18.12,0,6.76,17.57,0,173.95,0,0,0,645.4100000000001

10,02:15-02:30,37.33,12.45,54.36,12.45,7.75,37.33,193.28,37.33,32,1.35,0,2.9,0.48,18.12,0,6.76,17.57,0,173.95,0,0,0,645.4100000000001

11,02:30-02:45,37.33,12.45,54.36,12.45,7.75,37.33,193.28,37.33,32,1.35,0,2.9,0.48,18.12,0,6.76,17.57,0,173.95,0,0,0,645.4100000000001

12,02:45-03:00,37.33,12.45,54.36,12.45,7.75,37.33,193.28,37.33,32,1.35,0,2.9,0.48,18.12,0,6.76,17.57,0,173.95,0,0,0,645.4100000000001

13,03:00-03:15,37.33,12.45,54.36,12.45,7.65,37.33,193.28,37.33,32,1.35,0,2.9,0.43,18.12,0,6.76,17.57,0,173.95,0,0,0,645.26

14,03:15-03:30,37.33,12.45,54.36,12.45,7.65,37.33,193.28,37.33,32,1.35,0,2.9,0.43,18.12,0,6.76,17.57,0,173.95,0,0,0,645.26

15,03:30-03:45,37.33,12.45,54.36,12.45,7.65,37.33,193.28,37.33,32,1.35,0,2.9,0.43,18.12,0,6.76,17.57,0,173.95,0,0,0,645.26

16,03:45-04:00,37.33,12.45,54.36,12.45,7.65,37.33,193.28,37.33,32,1.35,0,2.9,0.43,18.12,0,6.76,17.57,0,173.95,0,0,0,645.26

17,04:00-04:15,37.33,12.45,54.36,12.45,7.65,37.33,193.28,37.33,32,1.35,0,2.9,0.43,18.12,0,6.76,17.57,0,173.95,0,0,0,645.26

18,04:15-04:30,37.33,12.45,54.36,12.45,7.65,37.33,193.28,37.33,32,1.35,0,2.9,0.43,18.12,0,6.76,17.57,0,173.95,0,0,0,645.26

19,04:30-04:45,37.33,12.45,54.36,12.45,7.65,37.33,193.28,37.33,32,1.35,0,2.9,0.43,18.12,0,6.76,17.57,0,173.95,0,0,0,645.26

20,04:45-05:00,37.33,12.45,54.36,12.45,7.65,37.33,193.28,37.33,32,1.35,0,2.9,0.43,18.12,0,6.76,17.57,0,173.95,0,0,0,645.26

21,05:00-05:15,37.33,12.45,54.36,12.45,7.57,37.33,193.28,37.33,32,1.35,0,2.9,0.48,18.12,0,6.76,17.57,0,173.95,0,0,0,645.23

22,05:15-05:30,37.33,12.45,54.36,12.45,7.57,37.33,193.28,37.33,32,1.35,0,2.9,0.48,18.12,0,6.76,17.57,0,173.95,0,0,0,645.23

23,05:30-05:45,37.33,12.45,54.36,12.45,7.57,37.33,193.28,37.33,32,1.35,0,2.9,0.48,18.12,0,6.76,17.57,0,173.95,0,0,0,645.23

24,05:45-06:00,37.33,12.45,54.36,12.45,7.57,37.33,193.28,37.33,32,1.35,0,2.9,0.48,18.12,0,6.76,17.57,0,173.95,0,0,0,645.23

25,06:00-06:15,37.33,12.45,0,12.45,7.57,37.33,193.28,37.33,16.67,16.67,0,2.9,0.53,0,0,6.76,17.57,0,173.95,0,0,0,572.79

26,06:15-06:30,37.33,12.45,0,12.45,7.57,37.33,193.28,37.33,16.67,16.67,0,2.9,0.53,0,0,6.76,17.57,0,173.95,0,0,0,572.79

27,06:30-06:45,37.33,12.45,0,12.45,7.57,37.33,193.28,37.33,16.67,16.67,0,2.9,0.53,0,0,6.76,17.57,0,173.95,0,0,0,572.79

28,06:45-07:00,37.33,12.45,0,12.45,7.57,37.33,193.28,37.33,16.67,16.67,0,2.9,0.53,0,0,6.76,17.57,0,173.95,0,0,0.36,573.15

29,07:00-07:15,37.33,12.45,0,12.45,7.47,37.33,193.28,37.33,16.67,16.67,0,2.9,0.58,0,0,6.76,17.57,0,173.95,0,0,0.72,573.46

30,07:15-07:30,37.33,12.45,0,12.45,7.47,37.33,193.28,37.33,16.67,16.67,0,2.9,0.58,0,0,6.76,17.57,0,173.95,0,0,1.11,573.85

31,07:30-07:45,37.33,12.45,0,12.45,7.47,37.33,193.28,37.33,16.67,16.67,0,2.9,0.58,0,0,6.76,17.57,0,173.95,0,0,1.67,574.41

32,07:45-08:00,37.33,12.45,0,12.45,7.47,37.33,193.28,37.33,16.67,16.67,0,2.9,0.58,0,0,6.76,17.57,0,173.95,0,0,2.16,574.9

33,08:00-08:15,37.33,12.45,0,12.45,7.47,37.33,193.28,37.33,14.67,14.67,0,2.9,0.97,0,0,6.76,17.57,0,222.27,0,0,2.85,620.3000000000001

34,08:15-08:30,37.33,12.45,0,12.45,7.47,37.33,193.28,37.33,14.67,14.67,0,2.9,0.97,0,0,6.76,17.57,0,222.27,0,0,3.66,621.11

35,08:30-08:45,37.33,12.45,0,12.45,7.47,37.33,193.28,37.33,14.67,14.67,0,2.9,0.97,0,0,6.76,17.57,0,222.27,0,0,4.07,621.5200000000001

36,08:45-09:00,37.33,12.45,0,12.45,7.47,37.33,193.28,37.33,14.67,14.67,0,2.9,0.97,0,0,6.76,17.57,0,222.27,0,0,4.58,622.0300000000001

37,09:00-09:15,37.33,12.45,0,12.45,7.38,37.33,193.28,37.33,14.67,14.67,17.57,2.9,0.87,0,6.76,0,0,0,222.27,10.63,42.52,5.14,675.55

38,09:15-09:30,37.33,12.45,0,12.45,7.38,37.33,193.28,37.33,14.67,14.67,17.57,2.9,0.87,0,6.76,0,0,0,222.27,10.63,42.52,5.32,675.73

39,09:30-09:45,37.33,12.45,0,12.45,7.38,37.33,193.28,37.33,14.67,14.67,17.57,2.9,0.87,0,6.76,0,0,0,222.27,10.63,42.52,5.41,675.8199999999999

40,09:45-10:00,37.33,12.45,0,12.45,7.38,37.33,193.28,37.33,14.67,14.67,17.57,2.9,0.87,0,6.76,0,0,0,222.27,10.63,42.52,5.65,676.06

41,10:00-10:15,37.33,12.45,0,12.45,7.38,37.33,193.28,37.33,14.67,14.67,17.57,2.9,0.87,0,6.76,0,0,0,222.27,10.63,42.52,5.8,676.2099999999999

42,10:15-10:30,37.33,12.45,0,12.45,7.38,37.33,193.28,37.33,14.67,14.67,17.57,2.9,0.87,0,6.76,0,0,0,222.27,10.63,42.52,6.18,676.5899999999999

43,10:30-10:45,37.33,12.45,0,12.45,7.38,37.33,193.28,37.33,14.67,14.67,17.57,2.9,0.87,0,6.76,0,0,0,222.27,10.63,42.52,6.38,676.79

44,10:45-11:00,37.33,12.45,0,12.45,7.38,37.33,193.28,37.33,14.67,14.67,17.57,2.9,0.87,0,6.76,0,0,0,222.27,10.63,42.52,6.57,676.98

45,11:00-11:15,37.33,12.45,0,12.45,7.29,37.33,193.28,37.33,14.67,14.67,17.57,2.9,0.87,0,6.76,0,0,0,222.27,10.63,42.52,6.76,677.0799999999999

46,11:15-11:30,37.33,12.45,0,12.45,7.29,37.33,193.28,37.33,14.67,14.67,17.57,2.9,0.87,0,6.76,0,0,0,222.27,10.63,42.52,7.05,677.3699999999999

47,11:30-11:45,37.33,12.45,0,12.45,7.29,37.33,193.28,37.33,14.67,14.67,17.57,2.9,0.87,0,6.76,0,0,0,222.27,10.63,42.52,7.2,677.52

48,11:45-12:00,37.33,12.45,0,12.45,7.29,37.33,193.28,37.33,14.67,14.67,17.57,2.9,0.87,0,6.76,0,0,0,222.27,10.63,42.52,7.54,677.8599999999999

49,12:00-12:15,37.33,12.45,0,12.45,7.2,37.33,193.28,37.33,14.86,14.86,17.57,2.9,0.87,0,6.76,0,0,0,222.27,10.63,42.52,7.73,678.34

50,12:15-12:30,37.33,12.45,0,12.45,7.2,37.33,193.28,37.33,14.86,14.86,17.57,2.9,0.87,0,6.76,0,0,0,222.27,10.63,42.52,8.12,678.73

51,12:30-12:45,37.33,12.45,0,12.45,7.2,37.33,193.28,37.33,14.86,14.86,17.57,2.9,0.87,0,6.76,0,0,0,222.27,10.63,42.52,8.31,678.92

52,12:45-13:00,37.33,12.45,0,12.45,7.2,37.33,193.28,37.33,14.86,14.86,17.57,2.9,0.87,0,6.76,0,0,0,222.27,10.63,42.52,8.89,679.5

53,13:00-13:15,37.33,12.45,0,12.45,7.2,37.33,193.28,37.33,14.86,14.86,17.57,2.9,0.77,0,6.76,0,0,0,222.27,10.63,42.52,9.18,679.6899999999999

54,13:15-13:30,37.33,12.45,0,12.45,7.2,37.33,193.28,37.33,14.86,14.86,17.57,2.9,0.77,0,6.76,0,0,0,222.27,10.63,42.52,8.5,679.01

55,13:30-13:45,37.33,12.45,0,12.45,7.2,37.33,193.28,37.33,14.86,14.86,17.57,2.9,0.77,0,6.76,0,0,0,222.27,10.63,42.52,7.92,678.43

56,13:45-14:00,37.33,12.45,0,12.45,7.2,37.33,193.28,37.33,14.86,14.86,17.57,2.9,0.77,0,6.76,0,0,0,222.27,10.63,42.52,7.54,678.05

57,14:00-14:15,37.33,12.45,0,12.45,7.29,37.33,193.28,37.33,14.86,14.86,17.57,2.9,0.92,0,6.76,0,0,0,222.27,10.63,42.52,7.15,677.9

58,14:15-14:30,37.33,12.45,0,12.45,7.29,37.33,193.28,37.33,14.86,14.86,17.57,2.9,0.92,0,6.76,0,0,0,222.27,10.63,42.52,6.76,677.51

59,14:30-14:45,37.33,12.45,0,12.45,7.29,37.33,193.28,37.33,14.86,14.86,17.57,2.9,0.92,0,6.76,0,0,0,222.27,10.63,42.52,6.47,677.22

60,14:45-15:00,37.33,12.45,0,12.45,7.29,37.33,193.28,37.33,14.86,14.86,17.57,2.9,0.92,0,6.76,0,0,0,222.27,10.63,42.52,6.04,676.79

61,15:00-15:15,37.33,12.45,0,12.45,7.57,37.33,193.28,37.33,14.86,14.86,17.57,2.9,0.92,0,6.76,0,0,0,222.27,10.63,42.52,5.8,676.8299999999999

62,15:15-15:30,37.33,12.45,0,12.45,7.57,37.33,193.28,37.33,14.86,14.86,17.57,2.9,0.92,0,6.76,0,0,0,222.27,10.63,42.52,5.41,676.4399999999999

63,15:30-15:45,37.33,12.45,0,12.45,7.57,37.33,193.28,37.33,14.86,14.86,17.57,2.9,0.92,0,6.76,0,0,0,222.27,10.63,42.52,5.03,676.06

64,15:45-16:00,37.33,12.45,0,12.45,7.57,37.33,193.28,37.33,14.86,14.86,17.57,2.9,0.92,0,6.76,0,0,0,222.27,10.63,42.52,4.45,675.48

65,16:00-16:15,37.33,12.45,0,12.45,7.93,37.33,193.28,37.33,14.86,14.86,0,2.9,0.77,0,0,6.76,17.57,0,222.27,10.63,42.52,3.67,674.9099999999999

66,16:15-16:30,37.33,12.45,0,12.45,7.93,37.33,193.28,37.33,14.86,14.86,0,2.9,0.77,0,0,6.76,17.57,0,222.27,10.63,42.52,2.71,673.9499999999999

67,16:30-16:45,37.33,12.45,0,12.45,7.93,37.33,193.28,37.33,14.86,14.86,0,2.9,0.77,0,0,6.76,17.57,0,222.27,10.63,42.52,2.42,673.6599999999999

68,16:45-17:00,37.33,12.45,0,12.45,7.93,37.33,193.28,37.33,14.86,14.86,0,2.9,0.77,0,0,6.76,17.57,0,222.27,10.63,37.98,1.66,668.3599999999999

69,17:00-17:15,37.33,12.45,0,12.45,8.4,37.33,193.28,37.33,14.86,14.86,0,2.9,0.72,0,0,6.76,17.57,0,222.27,0,0,0.97,619.48

70,17:15-17:30,37.33,12.45,0,12.45,8.4,37.33,193.28,37.33,14.86,14.86,0,2.9,0.72,0,0,6.76,17.57,0,222.27,0,0,0.82,619.33

71,17:30-17:45,37.33,12.45,0,12.45,8.4,37.33,193.28,37.33,32,0,0,2.9,0.72,0,0,6.76,17.57,0,222.27,0,0,0.59,621.38

72,17:45-18:00,37.33,12.45,0,12.45,8.4,37.33,193.28,37.33,32,0,0,2.9,0.72,0,0,6.76,17.57,0,222.27,0,0,0.43,621.2199999999999

73,18:00-18:15,37.33,12.45,0,12.45,8.58,37.33,193.28,37.33,15.03,15.03,0,2.9,0.72,0,0,6.76,17.57,0,222.27,0,0,0.27,619.3

74,18:15-18:30,37.33,12.45,0,12.45,8.58,37.33,193.28,37.33,15.03,15.03,0,2.9,0.72,0,0,6.76,17.57,0,222.27,0,0,0.08,619.11

75,18:30-18:45,37.33,12.45,0,12.45,8.58,37.33,193.28,37.33,15.03,15.03,0,2.9,0.72,0,0,6.76,17.57,0,222.27,0,0,0,619.03

76,18:45-19:00,37.33,12.45,0,12.45,8.58,37.33,193.28,37.33,15.03,15.03,0,2.9,0.72,0,0,6.76,17.57,0,222.27,0,0,0,619.03

77,19:00-19:15,37.33,12.45,0,12.45,8.58,37.33,193.28,37.33,0,32,0,2.9,0.68,0,0,6.76,17.57,0,222.27,0,0,0,620.93

78,19:15-19:30,37.33,12.45,0,12.45,8.58,37.33,193.28,37.33,0,32,0,2.9,0.68,0,0,6.76,17.57,0,222.27,0,0,0,620.93

79,19:30-19:45,37.33,12.45,0,12.45,8.58,37.33,193.28,37.33,0,32,0,2.9,0.68,0,0,6.76,17.57,0,222.27,0,0,0,620.93

80,19:45-20:00,37.33,12.45,0,12.45,8.58,37.33,193.28,37.33,0,32,0,2.9,0.68,0,0,6.76,17.57,0,222.27,0,0,0,620.93

81,20:00-20:15,37.33,12.45,0,12.45,8.48,37.33,193.28,37.33,32,32,0,2.9,0.68,0,0,6.76,17.57,0,222.27,0,0,0,652.8299999999999

82,20:15-20:30,37.33,12.45,0,12.45,8.48,37.33,193.28,37.33,32,32,0,2.9,0.68,0,0,6.76,17.57,0,222.27,0,0,0,652.8299999999999

83,20:30-20:45,37.33,12.45,0,12.45,8.48,37.33,193.28,37.33,32,32,0,2.9,0.68,0,0,6.76,17.57,0,222.27,0,0,0,652.8299999999999

84,20:45-21:00,37.33,12.45,0,12.45,8.48,37.33,193.28,37.33,32,32,0,2.9,0.68,0,0,6.76,17.57,0,222.27,0,0,0,652.8299999999999

85,21:00-21:15,37.33,12.45,0,12.45,8.3,37.33,193.28,37.33,32,0,0,2.9,0.72,0,0,6.76,17.57,48.32,222.27,0,0,0,669.01

86,21:15-21:30,37.33,12.45,0,12.45,8.3,37.33,193.28,37.33,32,0,0,2.9,0.72,0,0,6.76,17.57,48.32,222.27,0,0,0,669.01

87,21:30-21:45,37.33,12.45,0,12.45,8.3,37.33,193.28,37.33,32,0,0,2.9,0.72,0,0,6.76,17.57,48.32,222.27,0,0,0,669.01

88,21:45-22:00,37.33,12.45,0,12.45,8.3,37.33,193.28,37.33,32,0,0,2.9,0.72,0,0,6.76,17.57,48.32,222.27,0,0,0,669.01

89,22:00-22:15,37.33,12.45,54.36,12.45,8.12,37.33,193.28,37.33,32,0,0,2.9,0.68,18.12,0,6.76,17.57,48.32,222.27,0,0,0,741.27

90,22:15-22:30,37.33,12.45,54.36,12.45,8.12,37.33,193.28,37.33,32,0,0,2.9,0.68,18.12,0,6.76,17.57,48.32,222.27,0,0,0,741.27

91,22:30-22:45,37.33,12.45,54.36,12.45,8.12,37.33,193.28,37.33,15.03,15.03,0,2.9,0.68,18.12,0,6.76,17.57,48.32,222.27,0,0,0,739.3299999999999

92,22:45-23:00,37.33,12.45,54.36,12.45,8.12,37.33,193.28,37.33,15.03,15.03,0,2.9,0.68,18.12,0,6.76,17.57,48.32,222.27,0,0,0,739.3299999999999

93,23:00-23:15,37.33,12.45,54.36,12.45,7.93,37.33,193.28,37.33,15.03,15.03,0,2.9,0.58,18.12,0,6.76,17.57,67.65,222.27,0,0,0,758.3699999999999

94,23:15-23:30,37.33,12.45,54.36,12.45,7.93,37.33,193.28,37.33,15.03,15.03,0,2.9,0.58,18.12,0,6.76,17.57,67.65,222.27,0,0,0,758.3699999999999

95,23:30-23:45,37.33,12.45,54.36,12.45,7.93,37.33,193.28,37.33,15.03,15.03,0,2.9,0.58,18.12,0,6.76,17.57,67.65,222.27,0,0,0,758.3699999999999

