Block,Time Block,DULHASTI,DADRT2,CHAMERA1,JHAJJAR,BSIUL,CHAMERA3,KGSU1AND2,KGSU3AND4,CHAMERA2,DHAULIGNGA,FSTPP I & II,ANTA_LF,DADRI_CRF,AURY_GF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_GF,ANTA_CRF,ANTA_RF,AURY_LF,BRBCL,NNTPP,NLCIIST1,NLCTS2EXP,NTPL,NLCIIST2,UNCHAHAR3,TALST2,TANAKPUR,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,VALLURNTECL,UNCHAHAR1,UNCHAHAR4,TANDA2,URI2,KOTESHWR,MAPS,NJPC,NAPP,NLCEXP,KOLDAM,KKNP,KISHANGANGA,KKNPPU2,RAMPUR,PARBATI3,RIHAND3,RAPPB,RIHAND2,SASAN,RIHAND1,SINGRAULI_HYDRO,SIMHST1,RSTPSU1TO6,RAPPC,SIMHST2,RSTPSU7,SINGRAULI,TALA,SALAL,SEWA2,DADRI_RF,DADRI_LF,KHSTPP-II,KHSTPP-I,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,31.77,327.59,0,548.83,0,0,0,0,1.93,8.78,20.05,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,25.43,0,12.35,0,40.87,2.13,14.39,0,20.09,0,0,4.4,8.55,0,41.08,40.05,0,0,0,0,0,0,0,57.85,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,12.32,0,0,0,142.93,43.66,0,0,0,0,0,0

2,00:15-00:30,31.77,327.59,0,548.83,0,0,0,0,1.93,8.78,20.05,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,25.43,0,12.35,0,40.87,2.13,14.39,0,20.09,0,0,4.4,8.55,0,41.08,40.05,0,0,0,0,0,0,0,57.85,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,12.32,0,0,0,142.93,43.88,0,0,0,0,0,0

3,00:30-00:45,31.77,327.59,0,553.98,6.28,0,0,0,1.93,8.78,20.05,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,25.43,0,7.4,0,40.87,2.13,14.39,0,20.09,0,0,4.4,8.55,0,22.54,40.05,0,0,0,0,0,0,0,57.59,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,12.32,0,0,0,142.93,43.88,0,0,0,0,0,0

4,00:45-01:00,31.77,327.59,0,534.71,6.28,0,0,0,1.93,8.78,20.05,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,25.43,0,7.4,0,40.87,2.13,14.39,0,20.09,0,0,4.4,8.55,0,22.54,40.05,0,0,0,0,0,0,0,57.59,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,12.32,0,0,0,142.93,43.88,0,0,0,0,0,0

5,01:00-01:15,31.77,327.59,0,534.71,6.28,0,0,0,1.93,1.27,20.05,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,25.43,0,7.4,0,40.87,2.13,14.39,0,20.09,0,0,4.4,8.55,0,22.54,40.05,0,0,0,0,0,0,0,57.59,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,25.76,0,0,0,142.93,43.88,0,0,0,0,0,0

6,01:15-01:30,31.77,327.59,0,486.52,6.28,0,0,0,1.93,1.27,20.05,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,25.43,0,7.4,0,40.87,2.13,14.39,0,20.09,0,0,4.4,8.55,0,22.54,40.05,0,0,0,0,0,0,0,57.59,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,76.51,0,0,0,142.93,43.88,0,0,0,0,0,0

7,01:30-01:45,31.77,327.59,0,486.52,6.28,0,0,0,1.93,1.27,20.05,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,25.43,0,7.4,0,40.87,2.13,14.39,0,20.09,0,0,4.4,8.55,0,22.54,40.05,0,0,0,0,0,0,0,57.59,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,76.51,0,0,0,142.93,43.88,0,0,0,0,0,0

8,01:45-02:00,31.77,327.59,0,486.52,6.28,0,0,0,1.93,1.27,20.05,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,25.43,0,7.4,0,40.87,2.13,14.39,0,20.09,0,0,4.4,8.55,0,22.54,40.05,0,0,0,0,0,0,0,57.59,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,76.51,0,0,0,142.93,43.88,0,0,0,0,0,0

9,02:00-02:15,31.77,292.41,0,380.16,0,0,0,0,1.93,1.27,20.05,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,22.83,0,12.35,0,36.27,2.13,14.39,0,17.88,0,0,4.4,8.55,0,22.54,40.05,0,0,0,0,0,0,0,57.59,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,76.51,0,0,0,142.93,43.88,0,0,0,0,0,0

10,02:15-02:30,31.77,239.02,0,351.25,0,0,0,0,1.93,1.27,20.05,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,22.83,0,12.35,0,36.27,2.13,14.39,0,17.88,0,0,4.4,8.55,0,22.54,40.05,0,0,0,0,0,0,0,57.59,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,25.76,0,0,0,142.93,43.88,0,0,0,0,0,0

11,02:30-02:45,31.77,210.11,0,351.25,0,0,0,0,1.93,1.27,20.05,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,22.83,0,7.4,0,36.27,2.13,14.39,0,17.88,0,0,4.4,8.55,0,22.54,40.05,0,0,0,0,0,0,0,57.59,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,12.32,0,0,0,142.93,43.88,0,0,0,0,0,0

12,02:45-03:00,31.77,210.11,0,351.25,0,0,0,0,1.93,1.27,20.05,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,22.83,0,7.4,0,36.27,2.13,14.39,0,17.88,0,0,4.4,8.55,0,22.54,40.05,0,0,0,0,0,0,0,57.59,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,12.32,0,0,0,142.93,43.88,0,0,0,0,0,0

13,03:00-03:15,31.77,210.11,0,351.25,0,0,0,0,1.93,1.27,18.56,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,22.83,0,7.4,0,36.27,2.13,14.39,0,17.88,0,0,4.4,8.55,0,22.54,40.05,0,0,0,0,0,0,0,57.59,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,12.32,0,0,0,142.93,43.88,0,0,0,0,0,0

14,03:15-03:30,31.77,210.11,0,351.25,0,0,0,0,1.93,1.27,18.56,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,22.83,0,7.4,0,36.27,2.13,14.39,0,17.88,0,0,4.4,8.55,0,22.54,40.05,0,0,0,0,0,0,0,57.59,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,12.32,0,0,0,142.93,43.88,0,0,0,0,0,0

15,03:30-03:45,31.77,210.11,0,351.25,0,0,0,0,1.93,1.27,18.56,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,22.83,0,7.4,0,36.27,2.13,14.39,0,17.88,0,0,4.4,8.55,0,22.54,40.05,0,0,0,0,0,0,0,57.59,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,12.32,0,0,0,142.93,43.88,0,0,0,0,0,0

16,03:45-04:00,31.77,210.11,0,351.25,0,0,0,0,1.93,1.27,18.56,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,22.83,0,7.4,0,36.27,2.13,14.39,0,17.88,0,0,4.4,8.55,0,22.54,40.05,0,0,0,0,0,0,0,57.59,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,12.32,0,0,0,142.93,43.88,0,0,0,0,0,0

17,04:00-04:15,31.77,210.11,0,351.25,0,0,0,0,1.93,8.78,18.56,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,22.83,0,7.4,0,36.27,3.19,14.39,0,17.88,0,0,4.4,8.55,0,22.54,40.05,0,0,0,0,0,0,0,57.59,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,12.32,0,0,0,142.93,43.88,0,0,0,0,0,0

18,04:15-04:30,31.77,210.11,0,351.25,0,0,0,0,1.93,8.78,18.56,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,22.83,0,7.4,0,36.27,37.24,14.39,0,17.88,0,0,4.4,8.55,0,41.08,40.05,0,0,0,0,0,0,0,57.59,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,12.32,0,0,0,142.93,43.88,0,0,0,0,0,0

19,04:30-04:45,31.77,210.11,0,351.25,0,0,0,0,1.93,8.78,20.05,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,22.83,0,7.4,0,36.27,37.24,14.39,0,17.88,0,0,4.4,8.55,0,41.08,40.05,0,0,0,0,0,0,0,57.59,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,12.32,0,0,0,142.93,43.88,0,0,0,0,0,0

20,04:45-05:00,31.77,210.11,0,351.25,0,0,0,0,1.93,8.78,20.05,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,22.83,0,7.4,0,36.27,3.19,14.39,0,17.88,0,0,4.4,8.55,0,41.08,40.05,0,0,0,0,0,0,0,57.59,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,12.32,0,0,0,142.93,43.88,0,0,0,0,0,0

21,05:00-05:15,31.77,210.11,0,351.25,0,0,0,0,1.93,8.78,20.05,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,22.83,0,7.4,0,36.27,2.13,14.39,0,17.88,0,0,4.4,8.55,0,41.08,40.05,0,0,0,0,0,0,0,57.59,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,12.32,0,0,0,142.93,43.88,0,0,0,0,0,0

22,05:15-05:30,31.77,210.11,0,351.25,1.06,0,0,0,1.93,8.78,20.05,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,22.83,0,7.4,0,36.27,2.13,14.39,0,17.88,0,0,4.4,8.55,0,41.08,40.05,0,0,0,0,0,0,0,57.59,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,12.32,0,0,0,142.93,43.88,0,0,0,0,0,0

23,05:30-05:45,31.77,210.11,0,351.25,6.28,9.33,0,0,3.86,17.57,20.05,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,22.83,0,7.4,0,36.27,2.13,14.39,0,17.88,0,0,4.4,8.55,0,67.63,40.05,0,0,0,0,0,0,0,57.59,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,12.32,0,0,0,142.93,40.95,0,0,0,0,0,0

24,05:45-06:00,47.64,210.11,11.42,351.25,6.28,18.66,0,0,9.63,26.49,20.05,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,22.83,0,7.4,0,36.27,2.13,14.39,0,17.88,0,0,4.4,8.55,0,85.71,40.05,0,0,0,0,0,0,2.46,57.59,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,12.32,0,0,0,142.93,40.95,0,0,0,0,0,0

25,06:00-06:15,48.12,210.11,13.54,351.25,18.85,29.45,0,0,39.31,36.29,20.05,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,22.83,0,12.35,0,36.27,2.13,30,0,17.88,0,0,4.4,19.01,0,112.72,40.05,0,0,0,0,0,0,4.91,57.59,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,12.32,0,0,0,142.93,40.95,0,0,0,0,0,0

26,06:15-06:30,48.12,210.11,13.54,351.25,18.85,29.45,0,0,39.31,36.29,20.05,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,22.83,0,12.35,0,36.27,2.13,30,0,17.88,0,0,4.4,19.01,0,112.72,40.05,0,0,0,0,0,0,31.9,57.59,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,12.32,0,0,0,142.93,40.95,0,0,0,0,0,0

27,06:30-06:45,48.12,210.11,13.54,351.25,18.85,29.45,0,0,39.31,36.29,20.05,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,22.83,0,8.64,0,36.27,2.13,30,0,17.88,0,0,4.4,19.01,0,112.72,40.05,0,0,0,0,0,0,31.9,57.59,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,12.32,0,0,0,142.93,40.95,0,0,0,0,0,0

28,06:45-07:00,48.12,210.11,13.54,351.25,18.85,29.45,0,0,39.31,36.29,20.05,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,22.83,0,8.64,0,36.27,2.13,29.57,0,17.88,0,0,4.4,19.01,0,112.72,40.05,0,0,0,0,0,0,31.9,57.59,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,12.32,0,0,0,142.93,40.95,0,0,0,0,0,0

29,07:00-07:15,47.64,210.11,11.42,351.25,6.28,18.66,0,0,11.57,26.49,20.05,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,22.83,0,7.4,0,36.27,2.13,14.39,0,17.88,0,0,4.4,8.55,0,112.72,40.05,0,0,0,0,0,0,31.9,57.59,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,12.32,0,0,0,142.93,40.95,0,0,0,0,0,0

30,07:15-07:30,47.64,210.11,0,351.25,6.28,9.33,0,0,11.57,17.57,20.05,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,22.83,0,7.4,0,36.27,2.13,0,0,17.88,0,0,4.4,8.55,0,90.64,40.05,0,0,0,0,0,0,31.9,57.59,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,12.32,0,0,0,142.93,40.95,0,0,0,0,0,0

31,07:30-07:45,47.64,210.11,0,351.25,6.28,9.33,0,0,11.57,8.78,20.05,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,22.83,0,7.4,0,36.27,3.19,0,0,17.88,0,0,4.4,8.55,0,67.63,40.05,0,0,0,0,0,0,31.9,57.59,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,12.32,0,0,0,142.93,40.95,0,0,0,0,0,0

32,07:45-08:00,47.64,239.02,0,351.25,6.28,9.33,0,0,11.57,1.27,20.05,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,22.83,0,7.4,0,36.27,39.37,0,0,17.88,0,0,4.4,8.55,0,39.25,40.05,0,0,0,0,0,0,4.91,57.59,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,12.32,0,0,0,142.93,40.95,0,0,0,0,0,0

33,08:00-08:15,31.77,239.02,0,351.25,6.28,9.33,0,0,11.57,1.27,20.05,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,17.92,0,7.4,0,30.48,39.37,0,0,14.6,0,0,18.15,8.55,0,39.25,40.05,0,0,0,0,0,0,2.46,57.59,0,114.46,390.34,88.67,0,0,0,49.91,0,0,134.62,0,25.76,0,0,0,142.93,40.95,0,0,0,0,0,0

