Block,Time,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,NR/26072023/31072042/L_NR_2023_07,WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,NR/01102023/02122045/L_NR_2021_13,NR/01032024/31032024/SJVN010324NR1588,WR/01102023/01102023/L_NR_2020_06,NR/26072023/25122043/L_NR_2023_10,WR/01032024/15032024/TPDDL/PMG/MSEDCL/Banking/12112023,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/01032024/31032024/SJVN010324NR1589,WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/L_NR_2019_05,NR/01102023/08032047/L_NR_2021_14,NR/01102023/30042040/GNA_LT_35,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/05012040/L_NR_2020_02,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_07,WR/11032024/12032024/L_NR_2019_19,NR/01032024/22032024/HP-59,NR/01032024/22032024/HP-56,NR/01032024/31032024/NVVN/OA/16997,NR/01102023/23072042/L_NR_2012_04,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,NR/01012024/31032024/ ChanjuII,NR/01102023/06022042/L_NR_2012_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,NR/01032024/15032024/HP-62,SR/01032024/15032024/BYPL-APPCPL-KSEB,SR/01032024/15032024/SWAP ARRANGEMENT LOA.NO.365 DT.31-08-2023,SR/01032024/31032024/SWAP ARRANGEMENT LOA D.NO.366 DT.31-08-2023,SR/01032024/31032024/SJVN010324NR1590,SR/01102023/07102043/L_NR_2018_61
1,00:00-00:15,7.67,15.67,0,15.67,0,0,23,8,0,0,7.66,0,144.390000,0,0,0,0,0,0,0,0,0.000000,0.000000,1.340000,1.240000,25.990000,52.630000,0.000000,32.760000,76.520000,48.130000,270.730000,0.000000,1.150000,52.940000,0.000000,0.000000,4.690000,200.580000,25.030000,25.990000,98.190000,96.26,96.26,48.13,0,9.04

2,00:15-00:30,7.83,16,0,16,0,0,23.5,8,0,0,7.84,0,144.390000,0,0,0,0,0,0,0,0,0.000000,0.000000,1.340000,1.240000,25.990000,52.630000,0.000000,32.760000,76.520000,48.130000,270.730000,0.000000,1.150000,52.940000,0.000000,0.000000,4.690000,200.580000,25.030000,25.990000,98.190000,96.26,96.26,48.13,0,8.92

3,00:30-00:45,8,16.33,0,16.33,0,0,24,8,0,0,8,0,144.390000,0,0,0,0,0,0,0,0,0.000000,0.000000,1.340000,1.240000,25.990000,52.630000,0.000000,32.760000,76.520000,48.130000,270.730000,0.000000,1.150000,52.940000,0.000000,0.000000,4.690000,200.580000,25.030000,25.990000,98.190000,96.26,96.26,48.13,0,8.7

4,00:45-01:00,8.17,16.67,0,16.67,0,0,24.5,8,0,0,8.16,0,144.390000,0,0,0,0,0,0,0,0,0.000000,0.000000,1.340000,1.240000,25.990000,52.630000,0.000000,32.760000,76.520000,48.130000,270.730000,0.000000,1.150000,52.940000,0.000000,0.000000,4.690000,200.580000,25.030000,25.990000,98.190000,96.26,96.26,48.13,0,8.32

5,01:00-01:15,8.67,17,0,17,0,0,26,7.66,0,0,8.66,0,144.390000,0,0,0,0,0,0,0,0,0.000000,0.000000,1.340000,1.240000,25.990000,52.630000,0.000000,32.760000,76.520000,48.130000,270.730000,0.000000,1.150000,52.940000,0.000000,0.000000,4.690000,167.190000,25.030000,25.990000,98.190000,96.26,96.26,48.13,0,7.71

