Block,Time,TANDA2,UNCHAHAR2,UNCHAHAR1,UNCHAHAR4,TEHRI,URI2,UNCHAHAR3,DADRT2,DULHASTI,KOLDAM,NJPC,RAPPC,DHAULIGNGA,NAPP,CHAMERA3,KISHANGANGA,JHAJJAR,KOTESHWR,RIHAND2,CHAMERA2,PARBATI3,RAMPUR,RIHAND1,SINGRAULI,SEWA2,RIHAND3,SINGRAULI_HYDRO,URI,CHAMERA1,RAPPB,BSIUL,SALAL,TANAKPUR,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,RSTPSU1TO6,RSTPSU7,KKNPPU2,KKNP,NNTPP,MAPS,KGSU1AND2,KGSU3AND4,TALST2,SIMHST1,SIMHST2,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,NLCTS2EXP,NTPL,KHSTPP-I,KHSTPP-II,TALA,BRBCL,FSTPP I & II,SASAN
1,00:00-00:15,0,25.1775,19.985,0,0,24.75168,26.39091,683.129127,32.957704,0,20.834,25.8876,9.1149,40.4772,0,0,653.1525,8.874,58.59,0,0,0,92,103.5,0,123.665625,0.78433,48.576,0,0,0,2.324,10.248,0,33.6,0,0,0,81.104,0,0,0,60.273,0,4.344,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,42.49,98.34375,10.878,20.0018,20.73185,346.5

2,00:15-00:30,0,25.1775,19.985,0,0,24.75168,26.39091,683.129127,32.957704,0,20.834,25.8876,9.1149,40.4772,0,0,653.1525,8.874,58.59,0,0,0,92,103.5,0,123.665625,0.78433,48.576,0,0,0,2.324,10.248,0,33.6,0,0,0,81.104,0,0,0,60.273,0,4.344,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,42.49,98.34375,10.878,20.0018,20.73185,346.5

3,00:30-00:45,0,25.1775,12.562,0,0,24.75168,19.334,683.129127,32.957704,0,20.834,25.8876,9.1149,40.4772,0,0,653.1525,8.874,58.59,0,0,0,92,103.5,0,123.665625,0.78433,8.832,0,0,0,2.324,10.248,0,33.6,0,0,0,81.104,0,0,0,60.273,0,4.344,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,42.49,98.34375,10.878,20.0018,20.73185,346.5

4,00:45-01:00,0,25.1775,12.562,0,0,24.75168,19.334,683.129127,32.957704,0,20.834,25.8876,9.1149,40.4772,0,0,653.1525,8.874,58.59,0,0,0,92,103.5,0,123.665625,0.78433,8.832,0,0,0,2.324,10.248,0,33.6,0,0,0,81.104,0,0,0,60.273,0,4.344,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,42.49,98.34375,10.878,20.0018,20.73185,346.5

5,01:00-01:15,0,25.1775,12.562,0,0,10.7616,19.334,683.129127,32.957704,0,20.834,25.8876,9.1149,40.4772,0,0,653.1525,8.874,58.59,0,0,0,92,103.5,0,123.665625,0.78433,8.832,0,0,0,36.022,10.248,0,33.6,0,0,0,81.104,0,0,0,60.273,0,4.344,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,42.49,98.34375,10.878,20.0018,20.73185,346.5

