Time,Block,NR/2023/13636/A,NR/2023/13254/A,NR/2023/13165/A,NR/2023/13376/A,NR/2023/17068/C,NR/2023/13253/A,NR/2023/16291/F,NR/2023/13385/A,NR/2023/13242/A,NR/2023/16191/A,NR/2023/13383/A,NR/2023/13387/A,NR/2023/13908/A,NR/2023/17033/C,NR/2023/16291/F/II,NR/2023/17045/C,NR/2023/16077/A,NR/2023/16437/F,NR/2023/16952/D,NR/2023/13519/A,NR/2023/16520/F,NR/2023/15770/A,NR/2023/17044/C,NR/2023/16865/F,NR/2023/16073/A,NR/2023/17032/C,NR/2023/17031/C,NR/2023/17022/C,NR/2023/16953/D,NR/2023/17063/C,NR/2023/13148/A,NR/2023/16185/A,NR/2023/13150/A,NR/2023/17019/D,ER/2023/10844/C,NR/2023/17030/C,NR/2023/17062/C,Total
,,NVVNL,APPCPL,GMRETL,APPCPL,PXIL,APPCPL,ITCLH,NVVNL,APPCPL,MANIKARAN,APPCPL,NVVNL,TPTCL,TPDDL,ITCLH,HPXL,APPCPL,NVVNL,IEXL,STATKRAFT,IEXL,NVVNL,HPXL,SJVNL,APPCPL,PXIL,PXIL,GBHHPL,IEXL,PXIL,KEIPL,MANIKARAN,KEIPL,NVVNL,IEXL,SJVNL,HPXL,Total

,,NA,MEGHALAYA,MEGHALAYA,MEGHALAYA,KARNATAKA,UTTARAKHAND,ANDHRA PRADESH,MP,SIKKIM,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,ANDHRA PRADESH,NA,HIMACHAL PRADESH,NA,TAMIL NADU,HIMACHAL PRADESH,UTTAR PRADESH,NA,NA,UTTAR PRADESH,GOA,DELHI,DELHI,HIMACHAL PRADESH,TAMIL NADU,Gujarat,MEGHALAYA,HIMACHAL PRADESH,MEGHALAYA,NA,DELHI,NA,NA,
,,KAMENG,Meghalaya_Ben,Meghalaya_Ben,Meghalaya_Ben,JSWEL,UTTARAKHAND,ITCWIND,JP BINA,SIKKIM,HP,HP,JPNIGRIE_JNSTPP,JPL,CHANJUII,ITCWIND,JHABUA_IPP,HP,KAMENG,OPGPGPLU4TN,HP,PPGCL,SKS Raigarh,JPNIGRIE_JNSTPP,BCMLB001,GOA_Beneficiary,BYPL,BYPL,GBHHPL,OPGPGUNIT1TN,SUGEN_GUVNL,Meghalaya_Ben,HP,Meghalaya_Ben,SOLAPUR_SOLAR,BYPL,RSRPL_BKN,HIRIYUR_OSTROKANNADA,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,WEST BENGAL,DELHI,DELHI,
,,BRPL,BYPL,BYPL,BYPL,BRPL,BYPL,ITCLH,BRPL,BYPL,BRPL,BYPL,BRPL,BRPL,TPDDL,ITCLH,BYPL,BRPL,TPDDL,BRPL,BYPL,BRPL,NDMC,BYPL,NDMC,BRPL,ASIL_UP,AMBASTL,DIAPL,BRPL,BRPL,BYPL,BRPL,BYPL,MES (Delhi),IPCL_WB,NDMC,BRPL,
,,North East-East-North,North East-East-North,North East-East-North,North East-East-North,South-West-North,North-North,South-West-North,West-North,East-North,North-North,North-North,West-North,West-North,North-North,South-East-North,West-North,North-North,North East-East-North,South-East-North,North-North,North-North,West-North,West-North,North-North,West-North,North-North,North-North,North-North,South-East-North,West-North,North East-East-North,North-North,North East-East-North,West-North,North-East,North-North,South-East-North,
1,00:00-00:15,19.230000,19.690000,22.310000,20.370000,0.000000,48.510000,0.810000,30.720000,29.690000,142.620000,46.280000,100.420000,175.680000,9.910000,0.060000,0.000000,107.980000,148.580000,67.910000,58.640000,0.000000,63.060000,0.000000,0.000000,24.260000,0.000000,0.000000,4.040000,4.850000,0.000000,36.610000,77.620000,63.260000,0,22.000000,0,0,1345.11

2,00:15-00:30,19.230000,19.690000,22.310000,20.370000,0.000000,48.510000,0.810000,30.720000,29.690000,142.620000,46.280000,100.420000,175.680000,9.910000,0.060000,0.000000,107.980000,148.580000,67.910000,58.640000,0.000000,63.060000,0.000000,0.000000,24.260000,0.000000,0.000000,4.040000,4.850000,0.000000,36.610000,77.620000,63.260000,0,22.000000,0,0,1345.11

3,00:30-00:45,19.230000,19.690000,22.310000,20.370000,0.000000,48.510000,0.810000,30.720000,29.690000,142.620000,46.280000,100.420000,175.680000,9.910000,0.060000,0.000000,107.980000,148.580000,67.910000,58.640000,0.000000,63.060000,0.000000,0.000000,24.260000,0.000000,0.000000,4.040000,4.850000,0.000000,36.610000,77.620000,63.260000,0,22.000000,0,0,1345.11

4,00:45-01:00,19.230000,19.690000,22.310000,20.370000,0.000000,48.510000,0.810000,30.720000,29.690000,142.620000,46.280000,100.420000,175.680000,9.910000,0.060000,0.000000,107.980000,148.580000,67.910000,58.640000,0.000000,63.060000,0.000000,0.000000,24.260000,0.000000,0.000000,4.040000,4.850000,0.000000,36.610000,77.620000,63.260000,0,22.000000,0,0,1345.11

5,01:00-01:15,19.230000,19.690000,22.310000,20.370000,0.000000,48.510000,0.470000,30.720000,29.690000,142.620000,46.280000,100.420000,175.680000,9.820000,0.160000,0.000000,107.980000,148.580000,67.910000,58.640000,0.000000,63.060000,0.000000,0.000000,24.260000,0.000000,0.000000,4.040000,4.850000,0.000000,36.610000,77.620000,63.260000,0,22.000000,0,0,1344.78

6,01:15-01:30,19.230000,19.690000,22.310000,20.370000,0.000000,48.510000,0.470000,30.720000,29.690000,142.620000,46.280000,100.420000,175.680000,9.820000,0.160000,0.000000,107.980000,148.580000,67.910000,58.640000,0.000000,63.060000,0.000000,0.000000,24.260000,0.000000,0.000000,4.040000,4.850000,0.000000,36.610000,77.620000,63.260000,0,22.000000,0,0,1344.78

7,01:30-01:45,19.230000,19.690000,22.310000,20.370000,0.000000,48.510000,0.470000,30.720000,29.690000,142.620000,46.280000,100.420000,175.680000,9.820000,0.160000,0.000000,107.980000,148.580000,67.910000,58.640000,0.000000,63.060000,0.000000,0.000000,24.260000,0.000000,0.000000,4.040000,4.850000,0.000000,36.610000,77.620000,63.260000,0,22.000000,0,0,1344.78

8,01:45-02:00,19.230000,19.690000,22.310000,20.370000,0.000000,48.510000,0.470000,30.720000,29.690000,142.620000,46.280000,100.420000,175.680000,9.820000,0.160000,0.000000,107.980000,148.580000,67.910000,58.640000,0.000000,63.060000,0.000000,0.000000,24.260000,0.000000,0.000000,4.040000,4.850000,0.000000,36.610000,77.620000,63.260000,0,22.000000,0,0,1344.78

9,02:00-02:15,19.230000,19.690000,22.310000,20.370000,0.000000,48.510000,0.630000,30.720000,29.690000,142.620000,46.280000,100.420000,175.680000,9.720000,0.000000,0.000000,107.980000,148.580000,67.910000,58.640000,0.000000,63.060000,0.000000,0.000000,24.260000,0.000000,0.000000,4.040000,4.850000,0.000000,36.610000,77.620000,63.260000,0,22.000000,0,0,1344.68

10,02:15-02:30,19.230000,19.690000,22.310000,20.370000,0.000000,48.510000,0.630000,30.720000,29.690000,142.620000,46.280000,100.420000,175.680000,9.720000,0.000000,0.000000,107.980000,148.580000,67.910000,58.640000,0.000000,63.060000,0.000000,0.000000,24.260000,0.000000,0.000000,4.040000,4.850000,0.000000,36.610000,77.620000,63.260000,0,22.000000,0,0,1344.68

11,02:30-02:45,19.230000,19.690000,22.310000,20.370000,0.000000,48.510000,0.630000,30.720000,29.690000,142.620000,46.280000,100.420000,175.680000,9.720000,0.000000,0.000000,107.980000,148.580000,67.910000,58.640000,0.000000,63.060000,0.000000,0.000000,24.260000,0.000000,0.000000,4.040000,4.850000,0.000000,36.610000,77.620000,63.260000,0,22.000000,0,0,1344.68

12,02:45-03:00,19.230000,19.690000,22.310000,20.370000,0.000000,48.510000,0.630000,30.720000,29.690000,142.620000,46.280000,100.420000,175.680000,9.720000,0.000000,0.000000,107.980000,148.580000,67.910000,58.640000,0.000000,63.060000,0.000000,0.000000,24.260000,0.000000,0.000000,4.040000,4.850000,0.000000,36.610000,77.620000,63.260000,0,22.000000,0,0,1344.68

13,03:00-03:15,19.230000,19.690000,22.310000,20.370000,0.000000,48.510000,0.630000,30.720000,29.690000,142.620000,46.280000,100.420000,175.680000,9.630000,0.000000,0.000000,107.980000,148.580000,67.910000,0.000000,0.000000,63.060000,0.000000,0.000000,24.260000,30.000000,18.000000,3.030000,4.850000,0.000000,0.000000,77.620000,63.260000,0,22.000000,0,0,1296.33

14,03:15-03:30,19.230000,19.690000,22.310000,20.370000,0.000000,48.510000,0.630000,30.720000,29.690000,142.620000,46.280000,100.420000,175.680000,9.630000,0.000000,0.000000,107.980000,148.580000,67.910000,0.000000,0.000000,63.060000,0.000000,0.000000,24.260000,30.000000,18.000000,3.030000,4.850000,0.000000,0.000000,77.620000,63.260000,0,22.000000,0,0,1296.33

15,03:30-03:45,19.230000,19.690000,22.310000,20.370000,0.000000,48.510000,0.630000,30.720000,29.690000,142.620000,46.280000,100.420000,175.680000,9.630000,0.000000,0.000000,107.980000,148.580000,67.910000,0.000000,0.000000,63.060000,0.000000,0.000000,24.260000,30.000000,18.000000,3.030000,4.850000,0.000000,0.000000,77.620000,63.260000,0,22.000000,0,0,1296.33

16,03:45-04:00,19.230000,19.690000,22.310000,20.370000,0.000000,48.510000,0.630000,30.720000,29.690000,142.620000,46.280000,100.420000,175.680000,9.630000,0.000000,0.000000,107.980000,148.580000,67.910000,0.000000,0.000000,63.060000,0.000000,0.000000,24.260000,30.000000,18.000000,3.030000,4.850000,0.000000,0.000000,77.620000,63.260000,0,22.000000,0,0,1296.33

17,04:00-04:15,19.230000,19.690000,22.310000,20.370000,0.000000,48.510000,0.580000,30.720000,29.690000,142.620000,46.280000,100.420000,175.680000,9.630000,0.000000,0.000000,107.980000,148.580000,67.910000,0.000000,0.000000,63.060000,0.000000,0.000000,24.260000,30.000000,18.000000,3.030000,4.850000,0.000000,0.000000,77.620000,63.260000,0,22.000000,0,0,1296.28

18,04:15-04:30,19.230000,19.690000,22.310000,20.370000,0.000000,48.510000,0.580000,30.720000,29.690000,142.620000,46.280000,100.420000,175.680000,9.630000,0.000000,0.000000,107.980000,148.580000,67.910000,0.000000,0.000000,63.060000,0.000000,0.000000,24.260000,30.000000,18.000000,3.030000,4.850000,0.000000,0.000000,77.620000,63.260000,0,22.000000,0,0,1296.28

19,04:30-04:45,19.230000,19.690000,22.310000,20.370000,0.000000,48.510000,0.580000,30.720000,29.690000,142.620000,46.280000,100.420000,175.680000,9.630000,0.000000,0.000000,107.980000,148.580000,67.910000,0.000000,0.000000,63.060000,0.000000,0.000000,24.260000,30.000000,18.000000,3.030000,4.850000,0.000000,0.000000,77.620000,63.260000,0,22.000000,0,0,1296.28

20,04:45-05:00,19.230000,19.690000,22.310000,20.370000,0.000000,48.510000,0.580000,30.720000,29.690000,142.620000,46.280000,100.420000,175.680000,9.630000,0.000000,0.000000,107.980000,148.580000,67.910000,0.000000,0.000000,63.060000,0.000000,0.000000,24.260000,30.000000,18.000000,3.030000,4.850000,0.000000,0.000000,77.620000,63.260000,0,22.000000,0,0,1296.28

21,05:00-05:15,19.230000,19.690000,22.310000,20.370000,0.000000,48.510000,0.580000,30.720000,0.000000,142.620000,46.280000,100.420000,175.680000,9.540000,0.000000,0.000000,107.980000,148.580000,67.910000,0.000000,0.000000,63.060000,0.000000,0.000000,24.260000,0.000000,0.000000,3.030000,4.850000,0.000000,0.000000,77.620000,63.260000,0,22.000000,0,0,1218.5

