Block,Time Block,BSIUL,CHAMERA1,BRBCL,CHAMERA2,CHAMERA3,DHAULIGNGA,DADRT2,DULHASTI,FSTPP I & II,JHAJJAR,KGSU3AND4,KGSU1AND2,KHSTPP-II,KISHANGANGA,KHSTPP-I,KKNPPU2,KKNP,KOLDAM,KOTESHWR,KUDGI,MAPS,NLCEXP,NJPC,NAPP,NLCIIST1,NLCIIST2,NLCTS2EXP,PARBATI3,NNTPP,NTPL,RAPPB,RAMPUR,RAPPC,RSTPSU7,RIHAND3,RIHAND2,RIHAND1,RSTPSU1TO6,SIMHST2,SALAL,SEWA2,SASAN,SIMHST1,SINGRAULI_HYDRO,SINGRAULI,TANAKPUR,TALA,TANDA2,TALST2,TelanganaSTPP,TEHRI,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,URI2,UNCHAHAR3,UNCHAHAR2,URI,ANTA_CRF,AURY_GF,ANTA_GF,AURY_CRF,ANTA_RF,ANTA_LF,DADRI_CRF,AURY_RF,DADRI_LF,DADRI_RF,AURY_LF,DADRI_GF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,16.48,1.8,0,0,384.17,15.83,12.22,230.41,0,0,65.71,0,26.7,0,0,0,8.52,0,0,0,0,41.34,0,0,0,0,0,0,0,0,51.19,0,119.4,99.23,77.57,0,0,1.34,0,402.19,0,0,122.56,8,0,0,0,0,0,11.53,0,0,18.08,13.94,12.49,34.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,14.74,1.8,0,0,312.13,15.83,12.03,230.41,0,0,65.71,0,26.7,0,0,0,8.52,0,0,0,0,41.34,0,0,0,0,0,0,0,0,51.19,0,119.4,99.23,77.57,0,0,1.34,0,402.19,0,0,117.01,8,0,0,0,0,0,11.53,0,0,18.08,13.94,12.49,34.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,15.25,1.8,0,0,312.13,15.83,12.03,230.41,0,0,65.71,0,26.7,0,0,0,8.52,0,0,0,0,41.34,0,0,0,0,0,0,0,0,51.19,0,119.4,99.23,77.57,0,0,1.34,0,402.19,0,0,117.01,3.07,0,0,0,0,0,11.53,0,0,18.08,13.94,12.49,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,14.69,1.8,0,0,312.13,15.83,12.03,230.41,0,0,65.71,0,26.7,0,0,0,8.52,0,0,0,0,41.34,0,0,0,0,0,0,0,0,51.19,0,119.4,99.23,77.57,0,0,1.34,0,402.19,0,0,117.01,3.07,0,0,0,0,0,11.53,0,0,18.08,13.94,12.49,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,14.67,1.8,0,0,312.13,15.83,9.61,230.41,0,0,52.23,0,20.6,0,0,0,8.52,0,0,0,0,41.34,0,0,0,0,0,0,0,0,51.19,0,119.4,84.67,77.57,0,0,1.34,0,402.19,0,0,83.17,3.07,0,0,0,0,0,11.53,0,0,18.08,13.94,12.49,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,0,12.1,1.8,0,0,297.72,15.83,9.61,230.41,0,0,52.23,0,20.23,0,0,0,8.52,0,0,0,0,41.34,0,0,0,0,0,0,0,0,51.19,0,119.4,84.67,77.57,0,0,1.34,0,402.19,0,0,83.17,3.07,0,0,0,0,0,11.53,0,0,18.08,13.94,12.49,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

