Block,Time,L_NR_2019_05,L_NR_2019_19,L_NR_2021_16,L_NR_2022_09,L_NR_2021_12,L_NR_2020_06,L_NR_2019_07,L_NR_2021_15,L_NR_2021_13,L_NR_2019_06,L_NR_2020_05,L_NR_2021_14,L_NR_2021_17,L_NR_2018_61,L_NR_2022_10,L_NR_2022_08,L_NR_2020_07,LT-05,LT-31,LT-36,LT-59,SH-07,SH-06,L_NR_2020_02,L_NR_2023_04,L_NR_2012_02,LT-35,L_NR_2012_01,L_NR_2012_04,L_NR_2019_11,L_NR_2012_07
1,00:00-00:15,0,0,0,37.26,0,12.46,0,0,0,0,37.38,0,0,10.08,37.26,12.52,12.45,57.940000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.960000,235.170000,0.000000,101.130000,271.520000,0.000000,64.870000

2,00:15-00:30,0,0,0,37.87,0,12.18,0,0,0,0,36.53,0,0,10.27,37.87,12.62,12.16,57.940000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.960000,235.170000,0.000000,101.130000,271.520000,0.000000,64.870000

3,00:30-00:45,0,0,0,33.55,0,11.88,0,0,0,0,35.65,0,0,10.67,33.55,12.08,11.88,57.940000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.960000,235.170000,0.000000,101.130000,271.520000,0.000000,46.850000

4,00:45-01:00,0,0,0,33.58,0,11.57,0,0,0,0,34.71,0,0,11.19,33.58,12.22,11.56,35.220000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.960000,235.170000,0.000000,101.130000,271.520000,0.000000,46.850000

5,01:00-01:15,0,0,0,33.99,0,10.97,0,0,0,0,32.91,0,0,12.5,33.99,12.33,10.97,35.220000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.960000,206.570000,0.000000,72.400000,271.520000,0.000000,46.850000

6,01:15-01:30,0,0,0,34.69,0,10.29,0,0,0,0,30.88,0,0,13.85,34.69,12.34,10.3,35.220000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.930000,206.570000,0.000000,72.400000,271.520000,0.000000,46.850000

7,01:30-01:45,0,0,0,34.99,0,15.6,0,0,0,0,46.81,0,0,14.88,34.99,12.34,15.61,35.220000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.960000,206.570000,0.000000,48.270000,271.520000,0.000000,46.850000

8,01:45-02:00,0,0,0,35.23,0,15.62,0,0,0,0,46.86,0,0,15.29,35.23,12.32,15.62,35.220000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.960000,206.570000,0.000000,48.270000,271.520000,0.000000,46.850000

9,02:00-02:15,0,0,0,35.42,0,15.59,0,0,0,0,46.76,0,0,15.13,35.42,14.34,15.59,35.220000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.960000,206.570000,0.000000,48.270000,271.520000,0.000000,46.850000

