Block,Time,L_NR_2012_04,L_NR_2012_02,L_NR_2019_11,L_NR_2012_07,LT-36,L_NR_2020_02,LT-59,LT-31,SH-06,L_NR_2012_01,SH-07,LT-05,LT-35,L_NR_2023_04,L_NR_2022_09,L_NR_2018_61,L_NR_2020_07,L_NR_2019_06,L_NR_2020_06,L_NR_2021_12,L_NR_2021_13,L_NR_2021_14,L_NR_2019_05,L_NR_2022_08,L_NR_2021_16,L_NR_2023_07,L_NR_2021_15,L_NR_2019_19,L_NR_2022_10,L_NR_2021_17,L_NR_2019_07,L_NR_2020_05,L_NR_2023_10
1,00:00-00:15,272.050000,261.750000,9.230000,74.170000,0.000000,7.630000,9.330000,0.000000,30.950000,101.320000,30.950000,116.080000,0.000000,29.700000,52.66,7.2,18.56,0,18.55,0,0,0,0,10.81,0,0,0,0,52.66,0,0,55.66,0

2,00:15-00:30,272.050000,261.750000,9.230000,74.170000,0.000000,7.630000,9.330000,0.000000,30.950000,101.320000,30.950000,116.080000,0.000000,29.700000,51.02,7.2,18.19,0,18.18,0,0,0,0,10.36,0,0,0,0,51.02,0,0,54.56,0

3,00:30-00:45,272.050000,261.750000,9.230000,74.170000,0.000000,7.630000,9.330000,0.000000,30.950000,101.320000,30.950000,116.080000,0.000000,29.700000,43.88,7.2,13.35,0,13.34,0,0,0,0,10.01,0,0,0,0,43.88,0,0,40.03,0

4,00:45-01:00,272.050000,261.750000,9.230000,74.170000,0.000000,7.630000,9.330000,0.000000,30.950000,101.320000,30.950000,116.080000,0.000000,29.700000,42.88,7.2,12.94,0,12.94,0,0,0,0,9.72,0,0,0,0,42.88,0,0,38.82,0

5,01:00-01:15,272.050000,261.750000,9.080000,74.170000,0.000000,7.540000,9.330000,0.000000,30.950000,101.320000,30.950000,116.080000,0.000000,29.700000,41.88,7.2,12.4,0,12.4,0,0,0,0,9.44,0,0,0,0,41.88,0,0,37.19,0

6,01:15-01:30,272.050000,261.750000,9.080000,74.170000,0.000000,7.540000,9.330000,0.000000,30.950000,101.320000,30.950000,116.080000,0.000000,29.700000,40.54,7.2,11.87,0,11.88,0,0,0,0,9.19,0,0,0,0,40.54,0,0,35.62,0

7,01:30-01:45,272.050000,261.750000,9.080000,74.170000,0.000000,7.540000,9.180000,0.000000,30.950000,101.320000,30.950000,116.080000,0.000000,29.700000,39.61,7.2,10.85,0,10.84,0,0,0,0,6,0,0,0,0,39.61,0,0,32.53,0

8,01:45-02:00,272.050000,261.750000,9.080000,74.170000,0.000000,7.540000,9.180000,0.000000,30.950000,101.320000,30.950000,116.080000,0.000000,29.700000,29.74,7.2,10.62,0,10.64,0,0,0,0,6,0,0,0,0,29.74,0,0,31.91,0

9,02:00-02:15,272.050000,261.750000,8.850000,74.170000,0.000000,7.440000,9.180000,0.000000,30.950000,101.320000,30.950000,111.810000,0.000000,29.700000,28.74,7.2,10.46,0,10.44,0,0,0,0,6,0,0,0,0,28.74,0,0,31.33,0

10,02:15-02:30,272.050000,261.750000,8.850000,74.170000,0.000000,7.440000,9.180000,0.000000,30.950000,101.320000,30.950000,107.540000,0.000000,29.700000,27.94,7.2,10.18,0,10.19,0,0,0,0,6,0,0,0,0,27.94,0,0,30.57,0

11,02:30-02:45,272.050000,261.750000,8.850000,74.170000,0.000000,7.440000,9.180000,0.000000,30.950000,101.320000,30.950000,103.280000,0.000000,29.700000,26.87,7.2,9.94,0,9.94,0,0,0,0,6,0,0,0,0,26.87,0,0,29.81,0

12,02:45-03:00,272.050000,261.750000,8.850000,74.170000,0.000000,7.440000,9.180000,0.000000,30.950000,101.320000,30.950000,99.000000,0.000000,29.700000,26.12,7.2,9.65,0,9.65,0,0,0,0,6,0,0,0,0,26.12,0,0,28.95,0

13,03:00-03:15,272.050000,261.750000,8.850000,74.170000,0.000000,7.350000,8.870000,0.000000,30.950000,101.320000,30.950000,94.740000,0.000000,29.700000,25.16,7.2,9.29,0,9.29,0,0,0,0,6,0,0,0,0,25.16,0,0,27.86,0

14,03:15-03:30,272.050000,261.750000,8.850000,74.170000,0.000000,7.350000,8.870000,0.000000,30.950000,101.320000,30.950000,90.470000,0.000000,29.700000,24.75,7.2,9,0,8.98,0,0,0,0,6,0,0,0,0,24.75,0,0,26.95,0

