Block,Time,KGSU3AND4,KHSTPP-I,KHSTPP-II,KOLDAM,KUDGI,TelanganaSTPP,ANTA_LF,AURY_GF,JHAJJAR,KGSU1AND2,NTPL,RAMPUR,RSTPSU1TO6,SINGRAULI,TANAKPUR,ANTA_CRF,ANTA_GF,CHAMERA1,NJPC,RIHAND3,UNCHAHAR1,AURY_RF,BRBCL,BSIUL,NNTPP,SALAL,SEWA2,SIMHST1,TALST2,UNCHAHAR3,ANTA_RF,FSTPP I & II,RIHAND1,TANDA2,VALLURNTECL,AURY_LF,DADRI_RF,DHAULIGNGA,DULHASTI,KISHANGANGA,NAPP,NLCIIST2,PARBATI3,RIHAND2,SASAN,SIMHST2,UNCHAHAR2,URI,DADRI_CRF,CHAMERA2,DADRT2,KKNP,MAPS,NLCEXP,NLCIIST1,NLCTS2EXP,RSTPSU7,TALA,TEHRI,URI2,DADRI_GF,DADRI_LF,CHAMERA3,KKNPPU2,KOTESHWR,RAPPB,RAPPC,SINGRAULI_HYDRO,UNCHAHAR4,AURY_CRF
1,00:00-00:15,0,45.53,148.3,0,0,0,0,0,434.65,0,0,0,0,139.69,0,0,0,0,0,124.33,20.85,68.96,20,6.52,0,13.36,0,0,0,26.4,43.05,14.6,45,0,0,0,59.73,0,16.48,0,20.61,0,0,118.76,346.5,0,42.39,34.78,0,0,683.14,0,0,0,0,0,0,0,0,31.9,0,0,0,0,8.87,0,25.76,0.82,0,0

2,00:15-00:30,0,45.53,148.3,0,0,0,0,0,434.65,0,0,0,0,139.69,0,0,0,0,0,124.33,20.85,68.96,20,6.52,0,13.36,0,0,0,26.4,43.05,14.6,45,0,0,0,59.73,0,16.48,0,20.61,0,0,118.76,346.5,0,42.39,34.78,0,0,683.14,0,0,0,0,0,0,0,0,31.9,0,0,0,0,8.87,0,25.76,0.82,0,0

3,00:30-00:45,0,45.53,148.3,0,0,0,0,0,434.65,0,0,0,0,139.69,0,0,0,0,0,124.33,20.85,68.96,20,6.52,0,13.36,0,0,0,26.4,43.05,14.6,45,0,0,0,59.73,0,16.48,0,20.61,0,0,118.76,363.38,0,42.39,34.78,0,0,683.14,0,0,0,0,0,0,0,0,31.9,0,0,0,0,8.87,0,25.76,0.82,0,0

4,00:45-01:00,0,45.53,148.3,0,0,0,0,0,434.65,0,0,0,0,139.69,0,0,0,0,0,124.33,20.85,68.96,20,6.52,0,13.36,0,0,0,26.4,43.05,14.6,45,0,0,0,59.73,0,16.48,0,20.61,0,0,118.76,369,0,42.39,34.78,0,0,683.14,0,0,0,0,0,0,0,0,31.9,0,0,0,0,8.87,0,25.76,0.82,0,0

5,01:00-01:15,0,45.53,148.3,0,0,0,0,0,434.65,0,0,0,0,139.69,0,0,0,0,0,124.33,20.85,68.96,20,6.52,0,13.36,0,0,0,26.4,43.05,14.6,45,0,0,0,59.73,0,0,0,20.61,0,0,118.76,374.62,0,42.39,34.78,0,0,683.14,0,0,0,0,0,0,0,0,31.9,0,0,0,0,8.87,0,25.76,0.82,0,0

6,01:15-01:30,0,45.53,148.3,0,0,0,0,0,434.65,0,0,0,0,139.69,0,0,0,0,0,124.33,20.85,68.96,20,6.52,0,13.36,0,0,0,26.4,43.26,14.6,45,0,0,0,59.73,0,0,0,20.61,0,0,118.76,380.25,0,42.39,34.78,0,0,683.14,0,0,0,0,0,0,0,0,31.9,0,0,0,0,8.87,0,25.76,0.82,0,0

7,01:30-01:45,0,45.53,148.3,0,0,0,0,0,434.65,0,0,0,0,139.69,5.76,0,0,0,0,124.33,20.85,68.96,20,6.52,0,13.36,0,0,0,26.4,43.26,14.6,45,0,0,0,59.73,0,0,0,20.61,0,0,118.76,385.88,0,42.39,34.78,0,0,683.14,0,0,0,0,0,0,0,0,31.9,0,0,0,0,8.87,0,25.76,0.82,0,0

8,01:45-02:00,0,45.53,148.3,0,0,0,0,0,434.65,0,0,0,0,139.69,5.76,0,0,0,0,124.33,20.85,68.96,20,6.52,0,13.36,0,0,0,26.4,43.26,14.6,45,0,0,0,59.73,0,0,0,20.61,0,0,118.76,391.5,0,42.39,34.78,0,0,683.14,0,0,0,0,0,0,0,0,31.9,0,0,0,0,8.87,0,25.76,0.82,0,0

9,02:00-02:15,0,45.53,148.3,0,0,0,0,0,434.65,0,0,0,0,139.69,5.76,0,0,0,0,124.33,20.85,68.96,20,6.52,0,13.36,0,0,0,26.4,43.26,14.6,45,0,0,0,59.73,0,0,0,20.61,0,0,118.76,397.12,0,42.39,34.78,0,0,683.14,0,0,0,0,0,0,0,0,31.9,0,0,0,0,8.87,0,25.76,0.82,0,0

10,02:15-02:30,0,45.53,148.3,0,0,0,0,0,434.65,0,0,0,0,139.69,5.76,0,0,0,0,124.33,20.85,68.96,20,6.52,0,13.36,0,0,0,26.4,43.26,14.6,45,0,0,0,59.73,0,0,0,20.61,0,0,118.76,399.38,0,42.39,34.78,0,0,683.14,0,0,0,0,0,0,0,0,31.9,0,0,0,0,8.87,0,25.76,0.82,0,0

11,02:30-02:45,0,45.53,148.3,0,0,0,0,0,434.65,0,0,0,0,139.69,5.76,0,0,0,0,124.33,20.85,68.96,20,6.52,0,13.36,0,0,0,26.4,43.26,14.6,45,0,0,0,59.73,0,0,0,20.61,0,0,118.76,399.38,0,42.39,34.78,0,0,683.14,0,0,0,0,0,0,0,0,31.9,0,0,0,0,8.87,0,25.76,0.82,0,0

12,02:45-03:00,0,45.53,148.3,0,0,0,0,0,434.65,0,0,0,0,139.69,5.76,0,0,0,0,124.33,20.85,68.96,20,6.52,0,13.36,0,0,0,26.4,42,14.6,45,0,0,0,59.73,0,0,0,20.61,0,0,118.76,399.38,0,42.39,34.78,0,0,683.14,0,0,0,0,0,0,0,0,31.9,0,0,0,0,8.87,0,25.76,0.82,0,0

13,03:00-03:15,0,45.53,148.3,0,0,0,0,0,434.65,0,0,0,0,139.69,0,0,0,0,0,124.33,20.85,68.96,20,6.52,0,70.88,0,0,0,26.4,42,14.6,45,0,0,0,59.73,0,0,0,20.61,0,0,118.76,399.38,0,42.39,34.78,0,0,683.14,0,0,0,0,0,0,0,0,31.9,0,0,0,0,8.87,0,25.76,0.82,0,0

14,03:15-03:30,0,45.53,148.3,0,0,0,0,0,434.65,0,0,0,0,139.69,0,0,0,0,0,124.33,20.85,68.96,20,6.52,0,70.88,0,0,0,26.4,42,14.6,45,0,0,0,59.73,0,0,0,20.61,0,0,118.76,399.38,0,42.39,34.78,0,0,683.14,0,0,0,0,0,0,0,0,31.9,0,0,0,0,8.87,0,25.76,0.82,0,0

15,03:30-03:45,0,45.53,148.3,0,0,0,0,0,434.65,0,0,0,0,139.69,0,0,0,0,0,124.33,20.85,68.96,20,6.52,0,70.88,0,0,0,26.4,42,14.6,60,0,0,0,59.73,0,0,0,20.61,0,0,118.76,399.38,0,42.39,34.78,0,0,683.14,0,0,0,0,0,0,0,0,31.9,0,0,0,0,8.87,0,25.76,0.82,0,0

16,03:45-04:00,0,45.53,148.3,0,0,0,0,0,434.65,0,0,0,0,139.69,0,0,0,0,0,124.33,20.85,68.96,20,6.52,0,70.88,0,0,0,26.4,42,14.6,65,0,0,0,59.73,0,0,0,20.61,0,0,118.76,399.38,0,42.39,34.78,0,0,683.14,0,0,0,0,0,0,0,0,31.9,0,0,0,0,8.87,0,25.76,0.82,0,0

17,04:00-04:15,0,45.53,148.3,0,0,0,0,0,434.65,0,0,0,0,139.69,0,0,0,0,0,124.33,20.85,68.96,20,6.52,0,70.88,9.33,0,0,26.4,42,14.6,70,0,0,0,59.73,0,0,0,20.61,0,0,118.76,399.38,0,42.39,34.78,0,0,683.14,0,0,0,0,0,0,0,0,31.9,0,0,0,0,8.87,0,25.76,0.82,0,0

18,04:15-04:30,0,45.53,148.3,0,0,0,0,0,434.65,0,0,0,0,139.69,0,0,0,0,0,124.33,20.85,68.96,20,6.52,0,70.88,10.03,0,0,26.4,42,14.6,75,0,0,0,59.73,0,0,0,20.61,0,0,118.76,399.38,0,42.39,34.78,0,0,683.14,0,0,0,0,0,0,0,0,31.9,0,0,0,0,8.87,0,25.76,0.82,0,0

19,04:30-04:45,0,45.53,148.3,0,0,0,0,0,434.65,0,0,0,0,139.69,0,0,0,0,0,124.33,20.85,68.96,20,6.52,0,25.57,14.66,0,0,26.4,42,14.6,75,0,0,0,59.73,0,0,0,20.61,0,0,118.76,399.38,0,42.39,34.78,0,0,683.14,0,0,0,0,0,0,0,0,31.9,0,0,0,0,8.87,0,25.76,0.82,0,0

20,04:45-05:00,0,45.53,148.3,0,0,0,0,0,434.65,0,0,0,0,139.69,0,0,0,0,0,124.33,20.85,68.96,20,6.52,0,25.57,15.81,0,0,26.4,42,14.6,75,0,0,0,59.73,0,0,0,20.61,0,0,118.76,399.38,0,42.39,34.78,0,0,683.14,0,0,0,0,0,0,0,11.21,31.9,0,0,0,0,8.87,0,25.76,0.82,0,0

21,05:00-05:15,0,45.53,148.3,0,0,0,0,0,434.65,0,0,0,0,139.69,0,0,0,0,0,124.33,20.85,68.96,20,1.1,0,13.36,15.81,0,0,26.4,42,14.6,75,0,0,0,59.73,0,0,0,20.61,0,0,118.76,399.38,0,42.39,39.75,0,0,683.14,0,0,0,0,0,0,0,22.05,31.9,0,0,0,0,8.87,0,25.76,0.82,0,0

22,05:15-05:30,0,45.53,148.3,0,0,0,0,0,434.65,0,0,0,0,139.69,0,0,0,0,19.88,124.33,20.85,68.96,20,1.1,0,13.36,15.81,0,0,26.4,42,14.6,80,0,0,0,59.73,0,0,0,20.61,0,0,118.76,399.38,0,42.39,39.75,0,0,683.14,0,0,0,0,0,0,0,22.05,31.9,0,0,0,0,8.87,0,25.76,0.82,0,0

23,05:30-05:45,0,45.53,148.3,0,0,0,0,0,434.65,0,0,0,0,139.69,0,0,0,0,43.56,124.33,20.85,68.96,20,1.1,0,13.36,15.81,0,0,26.4,42,14.6,85,0,0,0,59.73,0,16.48,0,20.61,0,0,118.76,399.38,0,42.39,34.78,0,0,683.14,0,0,0,0,0,0,0,34.02,31.9,0,0,0,0,8.87,0,25.76,0.82,0,0

24,05:45-06:00,0,45.53,148.3,0,0,0,0,0,434.65,0,0,0,0,139.69,0,0,0,12.25,43.56,124.33,20.85,68.96,20,1.1,0,13.36,15.81,0,0,26.4,42,14.6,92,0,0,0,59.73,9.14,16.48,0,20.61,0,0,118.76,399.38,0,42.39,34.78,0,2.66,683.14,0,0,0,0,0,0,0,34.02,31.9,0,0,0,0,8.87,0,25.76,0.82,0,0

