Block,Time,URI,CHAMERA1,KOTESHWR,AURY_RF,SINGRAULI_HYDRO,RIHAND1,UNCHAHAR4,URI2,SINGRAULI,ANTA_GF,DULHASTI,CHAMERA2,RAMPUR,ANTA_LF,AURY_GF,UNCHAHAR2,RIHAND2,TEHRI,NAPP,TANDA2,CHAMERA3,UNCHAHAR3,TANAKPUR,ANTA_RF,ANTA_CRF,DADRI_GF,PARBATI3,DADRI_RF,KOLDAM,BSIUL,UNCHAHAR1,AURY_LF,RAPPB,KISHANGANGA,JHAJJAR,NJPC,AURY_CRF,SALAL,SEWA2,RIHAND3,DADRI_CRF,FSTPP I & II,BRBCL,DADRI_LF,TALA,RAPPC,KHSTPP-II,SASAN,DADRT2,KHSTPP-I,DHAULIGNGA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,35.153237,40.668682,0.000000,0.000000,1.149350,93.643738,2.981541,36.560562,144.706825,0.000000,57.098346,46.797484,6.508748,0.000000,0.000000,42.691422,120.014262,0.000000,46.501566,5.170020,33.608676,26.660380,2.966489,0.000000,0.000000,0.000000,16.194126,0.000000,8.949257,6.291920,19.767786,0.000000,0.000000,8.047894,407.612356,173.645772,0.000000,80.727394,18.140715,125.996738,0.000000,18.776858,19.298004,0.000000,0.000000,65.604402,143.094670,396.212062,664.246905,42.754719,42.008019,0,0,0,0,0

2,00:15-00:30,35.153237,40.668682,0.000000,0.000000,1.149350,93.643738,2.981541,36.560562,144.706825,0.000000,57.098346,46.797484,6.508748,0.000000,0.000000,42.691422,120.014262,0.000000,46.501566,5.170020,33.608676,26.660380,2.966489,0.000000,0.000000,0.000000,16.194126,0.000000,8.949257,6.291920,19.767786,0.000000,0.000000,8.047894,407.612356,173.645772,0.000000,80.727394,18.140715,125.996738,0.000000,18.776858,18.859319,0.000000,0.000000,65.604402,143.094670,396.212062,664.246905,42.754719,42.008019,0,0,0,0,0

3,00:30-00:45,35.153237,40.668682,0.000000,0.000000,1.149350,93.643738,2.981541,36.560562,144.706825,0.000000,57.098346,46.797484,6.508748,0.000000,0.000000,42.691422,120.014262,0.000000,46.501566,5.170020,33.608676,26.660380,9.764692,0.000000,0.000000,0.000000,4.122141,0.000000,8.949257,6.291920,19.767786,0.000000,0.000000,8.047894,406.996171,173.645772,0.000000,80.727394,12.087690,125.996738,0.000000,18.776858,17.239714,0.000000,0.000000,65.604402,143.094670,396.212062,664.246905,42.754719,42.008019,0,0,0,0,0

4,00:45-01:00,35.153237,40.668682,0.000000,0.000000,1.149350,93.643738,2.981541,36.560562,144.706825,0.000000,57.098346,46.797484,6.508748,0.000000,0.000000,42.691422,120.014262,0.000000,46.501566,5.170020,33.608676,26.660380,9.764692,0.000000,0.000000,0.000000,0.000000,0.000000,8.949257,6.291920,19.767786,0.000000,0.000000,8.047894,406.996171,173.645772,0.000000,80.727394,12.087690,125.996738,0.000000,18.776858,16.797601,0.000000,0.000000,65.604402,143.094670,396.212062,664.246905,42.754719,42.008019,0,0,0,0,0

5,01:00-01:15,35.153237,40.668682,0.000000,0.000000,1.149350,93.643738,2.981541,36.560562,144.706825,0.000000,57.098346,46.797484,6.508748,0.000000,0.000000,42.693737,120.014262,0.000000,46.501566,5.170020,33.608676,26.662792,2.966489,0.000000,0.000000,0.000000,0.000000,0.000000,8.949257,6.291920,19.767786,0.000000,0.000000,8.047894,399.711176,173.645772,0.000000,80.727394,10.710611,125.996738,0.000000,18.776858,15.524304,0.000000,0.000000,65.604402,143.094670,396.212062,664.249221,42.754719,42.008019,0,0,0,0,0

