Column1,Time,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/4503,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_16,SR/01102023/07102043/L_NR_2018_61,WR/01102023/24112044/L_NR_2020_07,NR/26072023/31072042/L_NR_2023_07,WR/01102023/31032046/L_NR_2020_05,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/5428,NR/01102023/30042040/GNA_LT_36,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/11/01/1868,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31052040/LT-31,GNA/WR/2024/11/01/4200,GNA/NR/2024/11/01/3646,GNA/NR/2024/11/01/5444,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/11/01/9061,NR/01102023/19072037/LT-05,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/5474,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05
1,00:00-00:15,17.27,8.64,0,0,0,0,0,8.6,6.67,0,20,0,0,0,26.91,25.91,0,3.48,230.3,2.74,0,8.64,1.99,0,0,87.2,25.91,57.29,2.16,26.91,28.26,25.91,69.96,0,261.61,52.78,186.78,16.67,0,16.66,7,6.66,0,0

2,00:15-00:30,17.27,8.64,0,0,0,0,0,8.8,6.67,0,20,0,0,0,26.91,25.91,0,3.48,230.3,2.74,0,8.64,1.99,0,0,87.2,25.91,57.29,2.16,26.91,28.26,25.91,69.96,0,261.61,52.78,186.78,17.33,0,17.34,7,6.66,0,0

3,00:30-00:45,17.27,8.64,0,0,0,0,0,8.8,7,0,21,0,0,0,26.91,25.91,0,3.48,230.3,2.45,0,8.64,1.99,0,0,87.2,25.91,57.29,2.16,26.91,29.28,25.91,69.96,0,261.61,52.78,186.78,18.33,0,18.34,7,7,0,0

4,00:45-01:00,17.27,8.64,0,0,0,0,0,9,7.17,0,21.5,0,0,0,26.91,25.91,0,3.48,211.11,2.45,0,8.64,1.99,0,0,87.2,25.91,57.29,2.16,26.91,29.28,25.91,69.96,0,261.61,52.78,186.78,19,0,19,7.33,7.16,0,0

5,01:00-01:15,17.27,8.64,0,0,0,0,0,9.21,7.33,0,22,0,0,0,26.91,25.91,0,3.48,211.11,2.45,0,8.64,1.99,0,0,87.2,25.91,57.29,2.16,26.91,29.78,25.91,69.96,0,261.61,52.78,178.14,20,0,20,7.33,7.34,0,0

6,01:15-01:30,17.27,8.64,0,0,0,0,0,7.61,7.67,0,23,0,0,0,26.91,25.91,0,3.48,191.92,2.45,0,8.64,1.99,0,0,87.2,25.91,57.29,2.16,26.91,29.78,25.91,69.96,0,261.61,52.78,175.26,21,0,21,7.33,7.66,0,0

7,01:30-01:45,17.27,8.64,0,0,0,0,0,7.61,7.83,0,23.5,0,0,0,24.08,25.91,0,3.48,191.92,2.45,0,8.64,1.99,0,0,87.2,25.91,57.29,2.16,24.08,29.78,25.91,69.96,0,261.61,52.78,170.46,21.67,0,21.66,7.33,7.84,0,0

8,01:45-02:00,17.27,8.64,0,0,0,0,0,7.61,8.17,0,24.5,0,0,0,24.08,25.91,0,3.48,191.92,2.45,0,8.64,1.99,0,0,87.2,25.91,57.29,2.16,24.08,29.78,25.91,69.96,0,261.61,52.78,170.46,22.67,0,22.66,7.33,8.16,0,0

9,02:00-02:15,17.27,8.64,0,0,0,0,0,7.61,8.5,0,25.5,0,0,0,24.08,25.91,0,3.48,172.73,2.37,0,8.64,1.99,0,0,87.2,25.91,57.29,2.16,24.08,29.78,25.91,69.96,0,261.61,52.78,170.46,22,0,22,7.67,8.5,0,0

10,02:15-02:30,17.27,8.64,0,0,0,0,0,7.61,8.83,0,26.5,0,0,0,24.08,25.91,0,3.48,172.73,2.37,0,8.64,1.99,0,0,87.2,25.91,57.29,2.16,24.08,29.78,25.91,69.96,0,261.61,52.78,174.3,22.33,0,22.34,7.67,8.84,0,0

11,02:30-02:45,17.27,8.64,0,0,0,0,0,8.01,9,0,27,0,0,0,24.08,25.91,0,3.48,149.23,2.37,0,8.64,1.99,0,0,87.2,25.91,57.29,2.16,24.08,29.78,25.91,69.96,0,261.61,52.78,170.46,22.67,0,22.66,8,9,0,0

12,02:45-03:00,17.27,8.64,0,0,0,0,0,8.01,9.17,0,27.5,0,0,0,24.08,25.91,0,3.48,149.23,2.37,0,8.64,1.99,0,0,87.2,25.91,57.29,2.16,24.08,29.78,25.91,69.96,0,261.61,52.78,170.46,24,0,24,8,9.16,0,0

13,03:00-03:15,17.27,8.64,0,0,0,0,0,8,9.33,0,28,0,0,0,24.08,25.91,0,3.39,149.23,2.37,0,8.64,1.94,0,0,87.2,25.91,57.29,2.01,24.08,29.78,25.91,69.96,0,261.61,52.78,170.46,23.67,0,23.66,8,9.34,0,0

14,03:15-03:30,17.27,8.64,0,0,0,0,0,8,9.5,0,28.5,0,0,0,24.08,25.91,0,3.39,149.23,2.37,0,8.64,1.94,0,0,87.2,25.91,57.29,2.01,24.08,29.78,25.91,69.96,0,261.61,52.78,170.46,24,0,24,8,9.5,0,0

15,03:30-03:45,17.27,8.64,0,0,0,0,0,8,9.67,0,29,0,0,0,24.08,25.91,0,3.39,149.23,2.37,0,8.64,1.94,0,0,87.2,25.91,57.29,2.01,24.08,29.78,25.91,69.96,0,261.61,52.78,170.46,24.33,0,24.34,6.66,9.66,0,0

16,03:45-04:00,17.27,8.64,0,0,0,0,0,8,9.83,0,29.5,0,0,0,24.08,25.91,0,3.39,149.23,2.37,0,8.64,1.94,0,0,87.2,25.91,57.29,2.01,24.08,29.78,25.91,69.96,0,261.61,52.78,170.46,24.67,0,24.66,6.66,9.84,0,0

17,04:00-04:15,17.27,8.64,0,0,0,0,0,8.01,9.67,0,29,0,0,0,24.08,25.91,0,3.39,149.23,2.29,0,8.64,1.94,0,0,87.2,25.91,57.29,2.01,24.08,29.78,25.91,69.96,0,261.61,52.78,170.46,16.67,0,16.67,6.66,9.66,0,0

18,04:15-04:30,17.27,8.64,0,0,0,0,0,8.41,9.5,0,28.5,0,0,0,24.08,25.91,0,3.39,149.23,2.29,0,8.64,1.94,0,0,87.2,25.91,57.29,2.01,24.08,29.28,25.91,69.96,0,261.61,52.78,170.46,16.67,0,16.67,6.66,9.5,0,0

19,04:30-04:45,17.27,8.64,0,0,0,0,0,8.41,9.5,0,28.5,0,0,0,24.08,25.91,0,3.39,149.23,2.45,0,8.64,1.94,0,0,87.2,25.91,57.29,1.54,24.08,28.26,25.91,69.96,0,261.61,52.78,170.46,16.67,0,16.67,6.66,9.5,0,0

20,04:45-05:00,17.27,8.64,0,0,0,0,0,8.81,9.5,0,28.5,0,0,0,24.08,25.91,0,3.39,149.23,2.45,0,8.64,1.94,0,0,87.2,25.91,57.29,1.85,24.08,28.26,25.91,69.96,0,261.61,52.78,170.46,16.67,0,16.67,6.66,9.5,0,0

21,05:00-05:15,17.27,8.64,0,0,0,0,0,7.21,9.33,0,28,0,0,0,26.91,25.91,0,3.39,149.23,2.45,0,8.64,1.94,0,0,87.2,25.91,57.29,1.85,26.91,28.26,25.91,69.96,0,261.61,52.78,170.46,16.67,0,16.67,6.66,9.34,0,0

22,05:15-05:30,17.27,8.64,0,0,0,0,0,7.21,9.33,0,28,0,0,0,26.91,25.91,0,3.39,149.23,2.45,0,8.64,1.94,0,0,87.2,25.91,57.29,1.85,26.91,28.77,25.91,69.96,0,261.61,52.78,170.46,16.67,0,16.67,6.66,9.34,0,0

23,05:30-05:45,17.27,8.64,0,0,0,0,0,7.61,9.17,0,27.5,0,0,0,26.91,25.91,0,3.39,191.92,2.45,0,8.64,1.94,0,0,87.2,25.91,57.29,1.85,26.91,28.77,25.91,69.96,0,261.61,52.78,170.46,16.67,0,16.67,6.66,9.16,0,0

24,05:45-06:00,17.27,8.64,0,0,0,0,0,7.61,9.17,0,27.5,0,0,0,26.91,25.91,0,3.39,230.3,2.45,0,8.64,1.94,0,0,87.2,25.91,57.29,1.85,26.91,28.77,25.91,69.96,0,261.61,52.78,170.46,16.67,0,16.67,6.66,9.16,0,0

25,06:00-06:15,17.27,8.64,0,0,0,1.84,1,8.41,9.33,0,28,0,0,0,26.91,25.91,0,3.39,191.92,2.45,0,8.64,1.94,0,0,0,25.91,57.29,1.85,26.91,29.78,25.91,69.96,0,0,52.78,197.33,16.67,0,16.67,6.66,9.34,0.81,0.79

26,06:15-06:30,17.27,8.64,1,0,0,3.98,2,9.01,9.33,0,28,0,0,0,26.91,25.91,0,3.39,149.23,2.45,0,8.64,1.94,0,0,0,25.91,57.29,1.85,26.91,29.78,25.91,69.96,0,0,52.78,202.13,16.67,0,16.67,6.66,9.34,5.23,2.38

27,06:30-06:45,17.27,8.64,3,0.01,0,8.85,5,9.41,9.17,0,27.5,0,0,0,26.91,25.91,0.31,3.39,149.23,2.45,0.3,8.64,1.94,0.3,0,0,25.91,57.29,1.85,26.91,28.26,25.91,69.96,0,0,52.78,196.37,16.67,0.03,16.67,6.66,9.16,10.87,9.83

28,06:45-07:00,17.27,8.64,3,0.2,1,17.65,7,9.81,9.17,1,27.5,0,0,0.04,26.91,25.91,0.71,3.39,149.23,2.45,0.69,8.64,1.94,0.69,0,0,25.91,57.29,1.85,26.91,27.76,25.91,69.96,0,0,52.78,198.29,16.67,4,16.67,6.66,9.16,19.33,19.14

29,07:00-07:15,17.27,8.64,4,2.88,2,22.13,8,11.01,9,4,27,1,2,0.57,26.91,25.91,1.32,3.39,149.23,2.37,1.28,8.64,1.94,1.28,0,0,25.91,57.29,1.85,26.91,27.25,25.91,69.96,0,0,52.78,199.25,16.67,10.82,16.67,6.66,9,22.13,22.14

30,07:15-07:30,17.27,8.64,5,11.51,5,24.47,12,13,8.83,11,26.5,4,5,2.3,26.91,25.91,2.2,3.39,149.23,2.37,2.15,8.64,1.94,2.15,0,0,25.91,57.29,1.85,26.91,27.25,25.91,69.96,0,0,52.78,199.25,16.67,18.85,16.67,6.66,8.84,24.47,24.46

31,07:30-07:45,17.27,8.64,6,26.73,11,25.8,14,20,8.67,21,26,9,7,5.34,26.91,25.91,3.06,3.39,172.73,2.37,2.98,8.64,1.94,2.98,0,0,25.91,57.29,1.85,26.91,26.25,25.91,69.96,0,0,52.78,199.25,16.67,27.15,16.67,6.66,8.66,25.8,25.8

