Column1,Time,GNARE/SR/2025/01/13/4532,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,GNARE/NR/2024/12/20/3668,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,NR/01102023/19072037/LT-05,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/01/01/8058,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/3514,NR/01102023/31052040/LT-31,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/5531,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/01/01/7459,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/01/01/6528,GNA/NR/2025/01/01/3925,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/01/01/8738,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/6775,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59
1,00:00-00:15,25.61,0,0,0,10.83,32.51,0,0,33.33,0,10.83,9.33,33.34,0,0,0,0,0,0,0,211.72,0,0,0,69.87,1.43,26.82,0,20.12,19.16,0,23.95,28.74,59.23,0.99,23.95,0,0,0,8.62,47.9,52.69,0,47.9,1.55,47.9,23.95,65.14,0

2,00:15-00:30,25.21,0,0,0,10.83,32.51,0,0,33,0,10.83,9.33,33,0,0,0,0,0,0,0,211.72,0,0,0,69.87,1.43,26.82,0,20.12,19.16,0,23.95,28.74,59.23,0.99,23.95,0,0,0,8.62,47.9,52.69,0,47.9,1.55,47.9,23.95,65.14,0

3,00:30-00:45,19.41,0,0,0,10.83,32.51,0,0,32.67,0,10.83,9.33,32.66,0,0,0,0,0,0,0,211.72,0,0,0,69.87,1.43,26.82,0,20.12,19.16,0,23.95,28.74,59.23,0.99,23.95,0,0,0,8.62,47.9,52.69,0,47.9,1.55,47.9,23.95,65.14,0

4,00:45-01:00,20.01,0,0,0,10.83,32.51,0,0,31.67,0,10.83,9,31.66,0,0,0,0,0,0,0,211.72,0,0,0,69.87,1.43,26.82,0,20.12,19.16,0,23.95,28.74,59.23,0.99,23.95,0,0,0,8.62,47.9,52.69,0,47.9,1.55,47.9,23.95,65.14,0

5,01:00-01:15,20.61,0,0,0,10.83,32.51,0,0,29.67,0,10.83,9,29.66,0,0,0,0,0,0,0,211.72,0,0,0,69.87,1.43,26.82,0,20.12,19.16,0,23.95,28.74,59.23,0.99,23.95,0,0,0,8.62,47.9,52.69,0,47.9,1.55,47.9,23.95,65.14,0

6,01:15-01:30,21.21,0,0,0,10.83,32.51,0,0,27.67,0,10.83,8.67,27.66,0,0,0,0,0,0,0,211.72,0,0,0,69.87,1.43,26.82,0,20.12,19.16,0,23.95,28.74,59.23,0.99,23.95,0,0,0,8.62,47.9,52.69,0,47.9,1.55,47.9,23.95,65.14,0

7,01:30-01:45,16.01,0,0,0,10.83,32.51,0,0,23.33,0,10.83,8.67,23.34,0,0,0,0,0,0,0,211.72,0,0,0,69.87,1.43,26.82,0,20.12,19.16,0,23.95,28.74,59.23,0.99,23.95,0,0,0,8.62,47.9,52.69,0,47.9,1.55,47.9,23.95,65.14,0

8,01:45-02:00,16.01,0,0,0,10.83,32.51,0,0,23,0,10.83,8.33,23,0,0,0,0,0,0,0,211.72,0,0,0,69.87,1.43,26.82,0,20.12,19.16,0,23.95,28.74,59.23,0.99,23.95,0,0,0,8.62,47.9,52.69,0,47.9,1.55,47.9,23.95,65.14,0

9,02:00-02:15,16.01,0,0,0,10.33,31.01,0,0,23,0,10.33,8.33,23,0,0,0,0,0,0,0,211.72,0,0,0,69.87,1.43,26.82,0,20.12,19.16,0,23.95,28.74,59.23,0.99,23.95,0,0,0,8.62,47.9,52.69,0,47.9,1.47,47.9,23.95,65.14,0

10,02:15-02:30,16.01,0,0,0,10.33,31.01,0,0,22.67,0,10.33,8,22.66,0,0,0,0,0,0,0,211.72,0,0,0,69.87,1.43,26.82,0,20.12,19.16,0,23.95,28.74,59.23,0.99,23.95,0,0,0,8.62,47.9,52.69,0,47.9,1.47,47.9,23.95,65.14,0

11,02:30-02:45,13.61,0,0,0,10.33,31.01,0,0,22.67,0,10.33,8,22.66,0,0,0,0,0,0,0,211.72,0,0,0,69.87,1.43,26.82,0,20.12,19.16,0,23.95,28.74,59.23,0.99,23.95,0,0,0,8.62,47.9,52.69,0,47.9,1.47,47.9,23.95,65.14,0

12,02:45-03:00,14.01,0,0,0,10.17,30.49,0,0,23,0,10.17,7.67,23,0,0,0,0,0,0,0,211.72,0,0,0,69.87,1.43,26.82,0,20.12,19.16,0,23.95,28.74,59.23,0.99,23.95,0,0,0,8.62,47.9,52.69,0,47.9,1.47,47.9,23.95,65.14,0

13,03:00-03:15,14.41,0,0,0,10.17,30.49,0,0,21.67,0,10.17,7.67,21.66,0,0,0,0,0,0,0,211.72,0,0,0,69.87,1.43,26.82,0,20.12,19.16,0,23.95,28.74,59.23,0.99,23.95,0,0,0,8.62,47.9,52.69,0,47.9,1.47,47.9,23.95,65.14,0

