Column1,Block,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/9061,NR/2024/23769/A/43452,NR/2024/23809/A/43451,WR/2024/24788/A/43592,NR/2024/23963/A/43484,NR/2024/23420/A/43447,NR/30092023/26122029/SH-06,GNA/NR/2024/11/01/5444,NR/2024/23918/A/43450,NR/2024/24011/C,NR/2024/24012/C,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/4503,GNA/WR/2024/11/01/4200,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/3646,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/1868,Total
,,BAWANA_GAS,NDMC,IEXL,IEXL,APPCPL,DIAPL,ITCLH,PUNJAB,NDMC,IEXL,SJVNL,SJVNL,NDMC,NDMC,MANIKARAN,DELHI,APPCPL,PTC,PTC,NDMC,NDMC,
,,DELHI_UT,NA,KARNATAKA_STATE,KARNATAKA_STATE,DELHI_UT,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,DELHI_UT,NA,NA,NA,NA,NA,NA,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,
,,BAWANA_GAS,JPL2,NSLSUGAR,NSLSTUNGBHDRA,BRPL,GBHHPL,ITCWIND,BAWANA_GAS,RKM_POWER,TESPL_BKN2,RSRPL_BKN,TPSL_BKN2,JITPL,TRN_ENERGY,BRPL,CHANJUII,BYPL,BYPL,BRPL,RKM_POWER,SKS_Raigarh,
,,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,MSEB_State,HIMACHAL_STATE,HIMACHAL_STATE,DELHI_UT,DELHI_UT,
,,HARYANA,NDMC,MES_Delhi,MES_Delhi,GOA_Beneficiary,DIAPL,ITCLH,PUNJAB,NDMC,MES_Delhi,NDMC,NDMC,NDMC,NDMC,AEML,TPDDL,AEML,HP,HP,NDMC,NDMC,
,,North-North,West-North,South-West-North,South-West-North,North-West,North-North,South-West-North,North-North,West-North,North-North,North-North,North-North,East-North,West-North,North-West,North-North,North-West,North-North,North-North,West-North,West-North,
1,00:00-00:15,0,25.94,5.76,4.8,0,0,0.48,0,25.94,0,0,0,17.29,8.65,0,2.57,0,63.42,190.26,25.94,8.65,379.7

2,00:15-00:30,0,25.94,5.76,4.8,0,0,0.48,0,25.94,0,0,0,17.29,8.65,0,2.57,0,63.42,190.26,25.94,8.65,379.7

3,00:30-00:45,0,25.94,5.76,4.8,0,0,0.48,0,25.94,0,0,0,17.29,8.65,0,2.57,0,63.42,190.26,25.94,8.65,379.7

4,00:45-01:00,0,25.94,5.76,4.8,0,0,0.48,0,25.94,0,0,0,17.29,8.65,0,2.57,0,63.42,190.26,25.94,8.65,379.7

