Block,Time Block,RAPPC,RIHAND1,RIHAND2,RAPPD,RSTPSU1TO6,RIHAND3,NJPC,NLCIIST2,MAPS,NAPP,KOTESHWR,NLCEXP,NLCIIST1,KUDGI,RAPPB,RAMPUR,NLCTS2EXP,NNTPP,NTPL,PARBATI3,PARBATI2,TALA,TEHRI,TANDA2,SIMHST1,SINGRAULI_HYDRO,TALST2,SIMHST2,TANAKPUR,TelanganaSTPP,SINGRAULI,KGSU1AND2,KGSU3AND4,JHAJJAR,KISHANGANGA,KHSTPP-I,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,DADRI_RF,DADRI_LF,DADRI_CRF,DADRI_GF,AURY_CRF,AURY_RF,ANTA_CRF,ANTA_RF,AURY_LF,ANTA_LF,AURY_GF,ANTA_GF,SALAL,SASAN,SEWA2,RSTPSU7,UNCHAHAR1,UNCHAHAR4,URI2,URI,UNCHAHAR3,UNCHAHAR2,VALLURNTECL,CHAMERA2,CHAMERA3,CHAMERA1,DHAULIGNGA,FSTPP I & II,BRBCL,DULHASTI,BSIUL,DADRT2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,65.58,93.93,120.36,18.49,0,92.54,174.76,0,0,24.65,10.08,0,0,0,0,6.74,0,0,0,48.92,39.93,10.22,28.61,5.33,0,1.11,0,0,8.05,0,145.24,0,0,320.08,8.34,43.99,143.27,0,0,9.26,1.8,0,0,0,0,2.13,0,1.12,0,0,0,0,0,399.42,12.18,0,20.91,1.62,36.81,48,26.74,42.53,0,47.16,33.84,40.79,42.3,20.09,15.96,56.7,12.6,233.56,0,0,0,0,0

2,00:15-00:30,65.58,93.93,120.36,18.49,0,92.54,174.76,0,0,24.65,10.08,0,0,0,0,6.74,0,0,0,48.92,39.93,10.22,28.61,5.33,0,1.11,0,0,8.05,0,145.24,0,0,327.31,8.34,43.99,143.27,0,0,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,399.42,12.18,0,20.91,1.62,36.81,48,26.74,42.52,0,47.16,33.84,40.79,42.3,20.09,14.1,56.7,12.6,233.56,0,0,0,0,0

3,00:30-00:45,65.58,93.93,120.36,18.49,0,92.54,174.76,0,0,24.65,10.08,0,0,0,0,6.74,0,0,0,48.92,39.93,12.5,28.61,5.33,0,1.11,0,0,11.14,0,145.24,0,0,340.01,8.34,43.99,143.27,0,0,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,399.42,12.18,0,20.91,1.6,36.81,48.53,26.74,42.53,0,47.16,33.84,40.79,42.3,20.09,13.78,56.7,12.6,233.56,0,0,0,0,0

4,00:45-01:00,65.58,93.93,120.36,18.49,0,92.54,174.76,0,0,24.65,10.08,0,0,0,0,6.74,0,0,0,48.92,39.93,12.5,28.61,5.33,0,1.11,0,0,11.14,0,145.24,0,0,340.01,8.34,43.99,143.27,0,0,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,399.42,12.18,0,20.91,1.6,36.81,48.53,26.74,42.54,0,47.16,33.84,40.79,42.3,20.09,12.68,56.7,12.6,233.56,0,0,0,0,0

5,01:00-01:15,65.58,93.93,120.36,18.49,0,92.54,174.76,0,0,24.65,10.08,0,0,0,0,6.74,0,0,0,48.92,39.93,13.63,28.61,5.33,0,1.11,0,0,11.14,0,145.24,0,0,338.08,8.34,43.99,143.27,0,0,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,399.42,12.18,0,20.91,1.64,36.81,48.53,26.74,42.98,0,47.16,33.84,40.79,42.3,20.09,13.83,56.7,12.6,233.56,0,0,0,0,0

6,01:15-01:30,65.58,93.93,120.36,18.49,0,92.54,174.76,0,0,24.65,10.08,0,0,0,0,6.74,0,0,0,48.92,39.93,13.63,28.61,5.33,0,1.11,0,0,11.14,0,145.24,0,0,344.84,8.34,43.99,143.27,0,0,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,399.42,12.18,0,20.91,2.14,36.81,48.53,26.74,42.98,0,47.16,33.84,40.79,42.3,20.09,14.66,56.7,12.6,233.56,0,0,0,0,0

7,01:30-01:45,65.58,93.93,120.36,18.49,0,92.54,174.76,0,0,24.65,10.08,0,0,0,0,6.74,0,0,0,48.92,39.93,13.63,28.61,5.33,0,1.11,0,0,11.14,0,145.24,0,0,286.87,8.34,43.99,143.27,0,0,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,399.42,12.18,0,18.6,2.14,36.81,48.53,22.79,37.18,0,47.16,33.84,40.79,42.3,20.09,16.84,56.7,12.6,233.56,0,0,0,0,0

8,01:45-02:00,65.58,93.93,120.36,18.49,0,92.54,174.76,0,0,24.65,10.08,0,0,0,0,6.74,0,0,0,48.92,39.93,13.63,28.61,5.33,0,1.11,0,0,11.14,0,145.24,0,0,293.72,8.34,43.99,143.27,0,0,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,399.42,6.09,0,20.91,2.14,36.81,48.53,26.74,42.98,0,47.16,33.84,40.79,42.3,20.09,17.18,56.7,12.6,233.56,0,0,0,0,0

9,02:00-02:15,65.58,93.93,120.36,18.49,0,92.54,174.76,0,0,24.65,10.08,0,0,0,0,6.74,0,0,0,48.92,39.93,13.63,28.61,5.33,0,1.11,0,0,7.42,0,145.24,0,0,249.28,8.34,40.88,143.27,0,0,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,399.42,6.09,0,20.91,2.14,36.81,48.53,26.74,42.98,0,47.16,33.84,40.79,42.3,20.09,16.98,56.7,12.6,198.78,0,0,0,0,0

10,02:15-02:30,65.58,93.93,120.36,18.49,0,92.54,174.76,0,0,24.65,10.08,0,0,0,0,6.74,0,0,0,48.92,39.93,13.63,28.61,5.33,0,1.11,0,0,7.42,0,145.24,0,0,249.28,8.34,40.88,143.27,0,0,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,399.42,5.82,0,20.91,2.14,36.81,48.53,26.74,42.98,0,47.16,33.84,40.79,42.3,20.09,14.68,56.7,12.6,129.23,0,0,0,0,0

11,02:30-02:45,65.58,93.93,120.36,18.49,0,92.54,174.76,0,0,24.65,10.08,0,0,0,0,6.74,0,0,0,48.92,39.93,13.63,28.61,5.33,0,1.11,0,0,7.42,0,145.24,0,0,249.28,8.34,38.22,143.27,0,0,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,399.42,5.82,0,16.76,2.14,36.81,48.53,22.2,35.48,0,47.16,33.84,40.79,42.3,16.93,16.14,56.7,12.6,73.61,0,0,0,0,0

12,02:45-03:00,65.58,93.93,120.36,18.49,0,92.54,174.76,0,0,24.65,10.08,0,0,0,0,6.74,0,0,0,48.92,39.93,13.63,28.61,5.33,0,1.11,0,0,7.42,0,145.24,0,0,249.28,8.34,38.22,143.27,0,0,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,399.42,5.82,0,16.76,2.14,36.81,48.53,22.2,35.48,0,47.16,33.84,40.79,42.3,16.93,16.37,56.7,12.6,45.17,0,0,0,0,0

13,03:00-03:15,65.58,93.93,120.36,18.49,0,92.54,174.76,0,0,24.65,10.08,0,0,0,0,6.74,0,0,0,48.92,39.93,13.35,28.61,5.33,0,1.11,0,0,7.42,0,145.24,0,0,240.54,8.34,32.85,143.27,0,0,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,399.42,0,0,12.59,2.14,36.81,48.53,16.84,26.62,0,47.16,33.84,40.79,42.3,14.63,18.97,56.7,12.6,45.17,0,0,0,0,0

