Block,Time Block,BSIUL,BRBCL,CHAMERA2,CHAMERA1,CHAMERA3,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRT2,KGSU1AND2,JHAJJAR,KGSU3AND4,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KHSTPP-I,KISHANGANGA,KOTESHWR,KUDGI,NLCTS2EXP,RAMPUR,NAPP,NNTPP,NTPL,PARBATI3,NLCEXP,MAPS,NLCIIST1,NJPC,NLCIIST2,RAPPC,RIHAND3,RAPPB,RIHAND1,RIHAND2,SIMHST1,SIMHST2,SALAL,SEWA2,RSTPSU1TO6,RSTPSU7,SASAN,SINGRAULI,SINGRAULI_HYDRO,TALA,TALST2,URI,TEHRI,TANDA2,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,UNCHAHAR3,URI2,TANAKPUR,TelanganaSTPP,UNCHAHAR2,ANTA_CRF,ANTA_RF,ANTA_LF,ANTA_GF,AURY_GF,AURY_CRF,AURY_LF,AURY_RF,DADRI_LF,DADRI_GF,DADRI_CRF,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,18.39,42.53,40.54,30.85,0,12.44,34.97,659.44,0,387.65,0,131.15,0,0,5.15,33.47,2.77,37.16,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,64.26,11.14,0,0,389.49,97.39,0,9.9,0,37.16,51.12,2.1,16.79,1.53,0,26,34.67,12.44,0,19.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,17.87,42.53,40.54,30.85,0,13.65,34.97,659.44,0,387.65,0,131.15,0,0,5.15,33.47,2.77,37.16,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,64.26,11.14,0,0,389.49,97.39,0,10.04,0,37.16,51.12,2.1,16.79,1.56,0,26.01,34.67,12.44,0,19.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,15.35,42.53,40.54,30.85,0,11.25,34.97,659.44,0,387.65,0,131.15,0,0,5.15,34.92,2.77,37.16,0,0,3.4,42.91,0,0,6.76,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,64.26,11.14,0,0,389.49,97.39,0,10.04,0,37.16,51.12,2.1,16.79,1.56,0,26.01,34.67,12.44,0,19.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,13.86,42.53,40.54,30.85,0,11.25,34.97,655.28,0,349.18,0,131.15,0,0,5.15,34.92,2.77,37.16,0,0,3.4,42.91,0,0,6.76,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,64.26,11.14,0,0,389.49,97.39,0,9.95,0,37.16,51.12,2.1,16.79,1.56,0,26.01,34.67,12.44,0,19.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,13.12,42.53,40.54,30.85,0,11.25,34.97,597.03,0,301.1,0,131.15,0,0,5.15,34.92,2.77,37.16,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,64.26,11.14,0,0,389.49,97.39,0,9.9,0,31.85,51.12,2.1,16.79,1.56,0,26.01,22.74,11.33,0,19.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

