Block,Time,L_NR_2012_01,LT-59,L_NR_2020_02,LT-35,L_NR_2019_19,LT-36,L_NR_2012_02,LT_MEJA_Delhi,SH-07,L_NR_2019_11,LT-31,LT-05,L_NR_2012_04,L_NR_2012_07,SH-06,L_NR_2022_09,L_NR_2019_07,L_NR_2020_06,L_NR_2021_13,L_NR_2018_61,L_NR_2021_15,L_NR_2022_08,L_NR_2019_06,L_NR_2021_14,L_NR_2020_05,L_NR_2021_17,L_NR_2019_05,L_NR_2020_07,L_NR_2021_16,L_NR_2022_10,L_NR_2021_12
1,00:00-00:15,101.030000,3.340000,3.620000,0.000000,0.000000,0.000000,130.500000,11.490000,0.000000,3.300000,0.000000,115.420000,271.270000,76.120000,30.380000,11.38,0,5.35,0,5.49,0,3.83,0,0,16.04,0,0,5.34,0,11.38,0

2,00:15-00:30,101.030000,3.340000,3.620000,0.000000,0.000000,0.000000,130.500000,11.490000,0.000000,3.300000,0.000000,115.420000,271.270000,76.120000,30.380000,11.36,0,5.4,0,5.53,0,3.93,0,0,16.21,0,0,5.41,0,11.36,0

3,00:30-00:45,101.030000,3.340000,3.620000,0.000000,0.000000,0.000000,130.500000,11.490000,0.000000,3.300000,0.000000,115.420000,271.270000,76.120000,30.380000,14.16,0,5.46,0,5.5,0,3.99,0,0,16.38,0,0,5.45,0,14.16,0

4,00:45-01:00,101.030000,3.340000,3.620000,0.000000,0.000000,0.000000,130.500000,11.490000,0.000000,3.300000,0.000000,94.610000,271.270000,76.120000,30.380000,14.13,0,5.58,0,5.52,0,4.03,0,0,16.74,0,0,5.58,0,14.13,0

5,01:00-01:15,62.690000,3.340000,3.620000,0.000000,0.000000,0.000000,130.500000,11.490000,25.540000,3.300000,0.000000,94.610000,271.270000,66.430000,30.380000,13.98,0,5.63,0,5.53,0,4.08,0,0,16.88,0,0,5.62,0,13.98,0

6,01:15-01:30,62.690000,3.340000,3.620000,0.000000,0.000000,0.000000,130.500000,11.490000,25.540000,3.300000,0.000000,85.150000,271.270000,66.430000,30.380000,27.65,0,5.66,0,5.56,0,6.42,0,0,16.98,0,0,5.65,0,27.65,0

7,01:30-01:45,48.220000,3.340000,3.620000,0.000000,0.000000,0.000000,130.500000,11.490000,25.540000,3.300000,0.000000,76.630000,271.270000,66.430000,30.380000,28.89,0,8.27,0,5.53,0,6.44,0,0,24.82,0,0,8.27,0,28.89,0

8,01:45-02:00,48.220000,3.340000,3.620000,0.000000,0.000000,0.000000,130.500000,11.490000,25.540000,3.300000,0.000000,68.110000,271.270000,66.430000,30.380000,29.54,0,8.39,0,5.52,0,6.56,0,0,25.18,0,0,8.41,0,29.54,0

9,02:00-02:15,62.690000,3.260000,3.480000,0.000000,0.000000,0.000000,130.500000,11.490000,25.540000,3.220000,0.000000,70.390000,271.270000,66.430000,30.380000,30.21,0,8.78,0,5.49,0,6.72,0,0,26.34,0,0,8.79,0,30.21,0

10,02:15-02:30,62.690000,3.260000,3.480000,0.000000,0.000000,0.000000,130.500000,11.490000,25.540000,3.220000,0.000000,70.390000,271.270000,66.430000,30.380000,30.66,0,8.8,0,5.53,0,6.75,0,0,26.39,0,0,8.79,0,30.66,0

11,02:30-02:45,67.520000,3.260000,3.480000,0.000000,0.000000,0.000000,130.500000,11.490000,25.540000,3.220000,0.000000,70.390000,271.270000,66.430000,30.380000,19.56,0,9.16,0,5.5,0,6.78,0,0,27.5,0,0,9.17,0,19.56,0

