Time,Block,NR/2024/18458/C,NR/2024/18285/A/3791,NR/2024/18462/C,NR/2023/18074/A/3670,NR/2023/18204/A/3659,NR/2024/18460/C,NR/2024/18331/A/3805,NR/2024/18459/C,WR/2023/20937/A/3803,NR/2024/18457/C,NR/2023/18183/A/3804,WR/2023/20914/A/3799,NR/2024/18456/C,Total
,,SJVNL,HPXL,PXIL,ITCLH,IEXL,PXIL,MANIKARAN,SJVNL,MANIKARAN,SJVNL,MANIKARAN,APPCPL,NVVNL,Total

,,UTTAR PRADESH,MP,Gujarat,ANDHRA PRADESH,ANDHRA PRADESH,UTTAR PRADESH,DELHI,TELANGANA,DELHI,UTTAR PRADESH,DELHI,DELHI,NA,
,,BCMLUH,MSPIL,UNOSUGEN,ITCWIND,SNJSUGARLTDAP,LAPL-UP,BRPL,NSLKSLWPRTY,BRPL,BCMLB001,BRPL,BRPL,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HIMACHAL PRADESH,DELHI,GOA,DELHI,HIMACHAL PRADESH,GOA,DELHI,
,,NDMC,NDMC,TPDDL,ITCLH,MES (Delhi),TPDDL,HP,NDMC,GOA_Beneficiary,NDMC,HP,GOA_Beneficiary,MES (Delhi),
,,North-North,West-North,West-North,South-West-North,South-East-North,North-North,North-North,South-West-North,North-West,North-North,North-North,North-West,West-North,
1,00:00-00:15,0.000000,9.620000,0.000000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,15.77

2,00:15-00:30,0.000000,9.620000,0.000000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,15.77

3,00:30-00:45,0.000000,9.620000,0.000000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,15.77

4,00:45-01:00,0.000000,9.620000,0.000000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,15.77

5,01:00-01:15,0.000000,9.620000,0.000000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,15.77

6,01:15-01:30,0.000000,9.620000,0.000000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,15.77

7,01:30-01:45,0.000000,9.620000,0.000000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,15.77

8,01:45-02:00,0.000000,9.620000,0.000000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,15.77

9,02:00-02:15,0.000000,9.620000,0.000000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,15.77

10,02:15-02:30,0.000000,9.620000,0.000000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,15.77

11,02:30-02:45,0.000000,9.620000,0.000000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,15.77

12,02:45-03:00,0.000000,9.620000,0.000000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,15.77

13,03:00-03:15,0.000000,9.620000,0.000000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,15.77

14,03:15-03:30,0.000000,9.620000,0.000000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,15.77

15,03:30-03:45,0.000000,9.620000,0.000000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,15.77

16,03:45-04:00,0.000000,9.620000,0.000000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,15.77

17,04:00-04:15,0.000000,9.620000,0.000000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,15.77

18,04:15-04:30,0.000000,9.620000,0.000000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,15.77

19,04:30-04:45,0.000000,9.620000,0.000000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,15.77

20,04:45-05:00,0.000000,9.620000,0.000000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,15.77

21,05:00-05:15,0.000000,9.620000,0.000000,0.430000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,15.82

22,05:15-05:30,0.000000,9.620000,0.000000,0.430000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,15.82

23,05:30-05:45,0.000000,9.620000,0.000000,0.430000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,15.82

24,05:45-06:00,0.000000,9.620000,0.000000,0.430000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,15.82

25,06:00-06:15,0.000000,9.620000,0.000000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,158.480000,0.000000,0,174.25

26,06:15-06:30,0.000000,9.620000,0.000000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,158.480000,0.000000,0,174.25

27,06:30-06:45,0.000000,9.620000,0.000000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,158.480000,0.000000,0,174.25

28,06:45-07:00,0.000000,9.620000,0.000000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,158.480000,0.000000,0,174.25

29,07:00-07:15,0.000000,9.620000,0.000000,0.530000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,158.480000,0.000000,0,174.4

30,07:15-07:30,0.000000,9.620000,0.000000,0.530000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,158.480000,0.000000,0,174.4

31,07:30-07:45,0.000000,9.620000,0.000000,0.530000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,158.480000,0.000000,0.36,174.76

32,07:45:08:00,0.000000,9.620000,0.000000,0.530000,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,158.480000,0.000000,0.48,174.88

33,08:00-08:15,0.000000,9.620000,0.000000,0.870000,5.770000,38.480000,0.000000,0.000000,0.000000,0.000000,158.480000,0.000000,1.07,214.29

34,08:15-08:30,0.000000,9.620000,0.000000,0.870000,5.770000,38.480000,0.000000,0.000000,0.000000,0.000000,158.480000,0.000000,1.41,214.63

35,08:30-08:45,0.000000,9.620000,0.000000,0.870000,5.770000,38.480000,0.000000,0.000000,0.000000,0.000000,158.480000,0.000000,1.92,215.14

36,08:45:09:00,0.000000,9.620000,0.000000,0.870000,5.770000,38.480000,0.000000,0.000000,0.000000,0.000000,158.480000,0.000000,2.36,215.58

37,09:00:09:15,0.000000,9.620000,0.000000,0.870000,5.770000,38.480000,158.480000,0.000000,0.000000,0.000000,0.000000,0.000000,2.74,215.96

38,09:15-09:30,0.000000,9.620000,0.000000,0.870000,5.770000,38.480000,158.480000,0.000000,0.000000,0.000000,0.000000,0.000000,3.17,216.39

39,09:30-09:45,0.000000,9.620000,89.470000,0.870000,5.770000,38.480000,158.480000,0.000000,0.000000,0.000000,0.000000,0.000000,3.9,306.59

40,09:45-10:00,0.000000,9.620000,89.470000,0.870000,5.770000,38.480000,158.480000,0.000000,0.000000,0.000000,0.000000,0.000000,4.34,307.03

41,10:00-10:15,0.000000,9.620000,89.470000,0.870000,5.770000,38.480000,158.480000,0.000000,0.000000,0.000000,0.000000,0.000000,4.67,307.36

42,10:15-10:30,0.000000,9.620000,89.470000,0.870000,5.770000,38.480000,158.480000,0.000000,0.000000,0.000000,0.000000,0.000000,5.06,307.75

43,10:30-10:45,0.000000,9.620000,89.470000,0.870000,5.770000,38.480000,158.480000,0.000000,0.000000,0.000000,0.000000,0.000000,5.34,308.03

44,10:45-11:00,0.000000,9.620000,89.470000,0.870000,5.770000,38.480000,158.480000,0.000000,0.000000,0.000000,0.000000,0.000000,5.8,308.49

45,11:00-11:15,0.000000,9.620000,89.470000,0.870000,5.770000,38.480000,158.480000,0.000000,0.000000,0.000000,0.000000,0.000000,6.15,308.84

46,11:15-11:30,0.000000,9.620000,89.470000,0.870000,5.770000,38.480000,158.480000,0.000000,0.000000,0.000000,0.000000,0.000000,6.3,308.99

47,11:30-11:45,3.370000,9.620000,0.000000,0.870000,5.770000,38.480000,158.480000,3.850000,0.000000,3.660000,0.000000,0.000000,6.52,230.62

48,11:45-12:00,3.370000,9.620000,0.000000,0.870000,5.770000,38.480000,158.480000,3.850000,0.000000,3.660000,0.000000,0.000000,6.59,230.69

49,12:00-12:15,3.370000,9.620000,0.000000,0.870000,5.770000,38.480000,158.480000,3.850000,0.000000,3.660000,0.000000,0.000000,6.73,230.83

50,12:15-12:30,3.370000,9.620000,0.000000,0.870000,5.770000,38.480000,158.480000,3.850000,0.000000,3.660000,0.000000,0.000000,6.97,231.07

51,12:30-12:45,3.370000,9.620000,0.000000,0.870000,5.770000,0.000000,158.480000,3.850000,0.000000,3.660000,0.000000,0.000000,7.17,192.79

52,12:45-13:00,3.370000,9.620000,0.000000,0.870000,5.770000,0.000000,158.480000,3.850000,0.000000,3.660000,0.000000,0.000000,7.36,192.98

