Block,Time,CHAMERA2,DADRI_GF,AURY_GF,SEWA2,SINGRAULI,TANDA2,RAPPC,TANAKPUR,UNCHAHAR4,SINGRAULI_HYDRO,AURY_LF,URI2,PARBATI3,DULHASTI,KOTESHWR,URI,AURY_RF,DHAULIGNGA,TEHRI,RIHAND3,RIHAND2,KISHANGANGA,NAPP,ANTA_CRF,CHAMERA1,JHAJJAR,KOLDAM,ANTA_GF,RAMPUR,UNCHAHAR1,AURY_CRF,ANTA_LF,CHAMERA3,DADRI_CRF,ANTA_RF,UNCHAHAR2,RAPPB,RIHAND1,DADRI_RF,DADRI_LF,SALAL,BSIUL,UNCHAHAR3,NJPC,DADRT2,FSTPP I & II,TALA,BRBCL,KHSTPP-II,KHSTPP-I,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,31.178923,0.000000,0.000000,9.174815,137.451322,4.544243,67.182461,0.000000,2.979687,0.730951,0.000000,36.537827,0.000000,19.020948,10.004919,37.260552,0.000000,0.000000,23.512026,125.918390,119.939634,5.297584,49.638361,0.000000,0.000000,639.581811,0.000000,0.000000,0.000000,21.822109,0.000000,0.000000,11.184643,0.000000,0.000000,43.303458,0.000000,93.591046,0.000000,0.000000,12.325683,12.576015,26.652269,0.000000,648.166299,20.057440,0.000000,19.286003,142.911550,33.556975,342.808650,0,0,0,0,0

2,00:15-00:30,31.178923,0.000000,0.000000,9.174815,137.451322,4.750800,67.182461,0.000000,2.979687,0.730951,0.000000,36.537827,0.000000,19.020948,10.004919,37.260552,0.000000,0.000000,23.512026,125.918390,119.939634,5.297584,49.638361,0.000000,0.000000,639.581811,0.000000,0.000000,0.000000,21.822109,0.000000,0.000000,11.184643,0.000000,0.000000,43.303458,0.000000,93.591046,0.000000,0.000000,12.325683,12.576015,26.652269,0.000000,648.166299,20.057440,0.000000,19.286003,142.911550,33.556975,362.335725,0,0,0,0,0

3,00:30-00:45,15.589461,0.000000,0.000000,9.174815,137.451322,4.921103,67.182461,0.000000,2.979687,0.730951,0.000000,36.537827,0.000000,19.020948,10.004919,31.937616,0.000000,0.000000,23.512026,125.918390,119.939634,5.297584,49.638361,0.000000,0.000000,639.581811,0.000000,0.000000,0.000000,21.822109,0.000000,0.000000,11.184643,0.000000,0.000000,43.303458,0.000000,93.591046,0.000000,0.000000,12.325683,12.576015,26.652269,0.000000,648.166299,20.057440,0.000000,19.286003,142.911550,33.556975,374.962028,0,0,0,0,0

4,00:45-01:00,15.589461,0.000000,0.000000,9.174815,137.451322,5.166805,67.182461,0.000000,2.979687,0.730951,0.000000,36.537827,0.000000,19.020948,10.004919,31.937616,0.000000,0.000000,23.512026,125.918390,119.939634,5.297584,49.638361,0.000000,0.000000,639.581811,0.000000,0.000000,0.000000,20.051461,0.000000,0.000000,11.184643,0.000000,0.000000,43.303458,0.000000,93.591046,0.000000,0.000000,12.325683,12.576015,24.458794,0.000000,643.344799,20.057440,0.000000,18.441207,142.911550,33.556975,382.555891,0,0,0,0,0

5,01:00-01:15,15.589461,0.000000,0.000000,9.174815,137.451322,5.166805,67.182461,0.000000,2.979687,0.730951,0.000000,36.537827,0.000000,19.020948,10.004919,31.937616,0.000000,0.000000,23.512026,125.918390,119.939634,5.297584,49.638361,0.000000,0.000000,641.478975,0.000000,0.000000,0.000000,20.051461,0.000000,0.000000,11.184643,0.000000,0.000000,43.303458,0.000000,93.591046,0.000000,0.000000,12.325683,12.576015,24.458794,0.000000,590.308299,20.057440,0.000000,14.573014,142.911550,33.556975,390.149753,0,0,0,0,0

6,01:15-01:30,15.589461,0.000000,0.000000,9.174815,137.451322,5.166805,67.182461,0.000000,2.979687,0.730951,0.000000,36.537827,0.000000,19.020948,10.004919,31.937616,0.000000,0.000000,23.512026,125.918390,119.939634,5.297584,49.638361,0.000000,0.000000,562.830763,0.000000,0.000000,0.000000,20.051461,0.000000,0.000000,11.184643,0.000000,0.000000,43.303458,0.000000,93.591046,0.000000,0.000000,25.771882,12.576015,24.458794,0.000000,590.308299,20.057440,0.000000,13.381001,142.911550,33.556975,397.743616,0,0,0,0,0

7,01:30-01:45,15.589461,0.000000,0.000000,9.174815,137.451322,5.166805,67.182461,0.000000,2.979687,0.730951,0.000000,36.537827,0.000000,19.020948,10.004919,37.260552,0.000000,0.000000,23.512026,125.918390,119.939634,5.297584,49.638361,0.000000,0.000000,466.400763,0.000000,0.000000,0.000000,20.051461,0.000000,0.000000,11.184643,0.000000,0.000000,43.303458,0.000000,93.591046,0.000000,0.000000,76.542489,12.576015,24.458794,0.000000,590.308299,20.057440,0.000000,15.137959,142.911550,33.556975,403.278167,0,0,0,0,0

8,01:45-02:00,15.589461,0.000000,0.000000,9.174815,137.451322,5.166805,67.182461,0.000000,2.979687,0.730951,0.000000,36.537827,0.000000,19.020948,10.004919,37.260552,0.000000,0.000000,23.512026,125.918390,119.939634,5.297584,49.638361,0.000000,0.000000,370.163623,0.000000,0.000000,0.000000,17.696544,0.000000,0.000000,11.184643,0.000000,0.000000,43.303458,0.000000,93.591046,0.000000,0.000000,76.542489,12.576015,21.849881,0.000000,590.308299,20.057440,0.000000,17.047399,142.911550,33.556975,403.819911,0,0,0,0,0

9,02:00-02:15,15.589461,0.000000,0.000000,9.174815,137.451322,5.166805,67.182461,0.000000,2.979687,0.730951,0.000000,36.537827,0.000000,19.020948,10.004919,31.937616,0.000000,0.000000,23.512026,125.918390,119.939634,5.297584,49.638361,0.000000,0.000000,370.163623,0.000000,0.000000,0.000000,17.696544,0.000000,0.000000,11.184643,0.000000,0.000000,43.303458,0.000000,93.591046,0.000000,0.000000,76.542489,12.576015,21.849881,0.000000,530.261434,20.057440,0.000000,15.728117,142.911550,33.556975,403.819911,0,0,0,0,0

10,02:15-02:30,15.589461,0.000000,0.000000,9.174815,137.451322,5.166805,67.182461,0.000000,2.979687,0.730951,0.000000,36.537827,0.000000,19.020948,10.004919,31.937616,0.000000,0.000000,23.512026,125.918390,119.939634,5.297584,49.638361,0.000000,0.000000,370.163623,0.000000,0.000000,0.000000,17.696544,0.000000,0.000000,11.184643,0.000000,0.000000,43.303458,0.000000,93.591046,0.000000,0.000000,76.542489,12.576015,21.849881,0.000000,482.046434,20.057440,0.000000,14.975494,142.911550,33.556975,403.819911,0,0,0,0,0

11,02:30-02:45,15.589461,0.000000,0.000000,9.174815,137.451322,5.166805,67.182461,0.617634,2.979687,0.730951,0.000000,36.537827,0.000000,19.020948,20.009838,31.937616,0.000000,0.000000,23.512026,125.918390,119.939634,5.297584,49.638361,0.000000,0.000000,370.163623,0.000000,0.000000,0.000000,17.696544,0.000000,0.000000,11.184643,0.000000,0.000000,43.303458,0.000000,93.591046,0.000000,0.000000,76.542489,12.576015,21.849881,0.000000,457.938934,20.057440,0.000000,15.154700,142.911550,33.556975,403.819911,0,0,0,0,0

12,02:45-03:00,15.589461,0.000000,0.000000,9.174815,137.451322,5.166805,67.182461,0.617634,2.979687,0.730951,0.000000,36.537827,0.000000,19.020948,20.009838,31.937616,0.000000,0.000000,23.512026,125.918390,119.939634,5.297584,49.638361,0.000000,0.000000,370.163623,0.000000,0.000000,0.000000,17.696544,0.000000,0.000000,11.184643,0.000000,0.000000,43.303458,0.000000,93.591046,0.000000,0.000000,76.542489,12.576015,21.849881,0.000000,457.938934,20.057440,0.000000,16.268254,142.911550,33.556975,403.819911,0,0,0,0,0

13,03:00-03:15,15.589461,0.000000,0.000000,9.174815,137.451322,5.166805,67.182461,0.617634,2.979687,0.730951,0.000000,36.537827,0.000000,19.020948,20.009838,37.260552,0.000000,0.000000,35.268039,125.918390,119.939634,5.297584,49.638361,0.000000,0.000000,370.163623,0.000000,0.000000,0.000000,17.696544,0.000000,0.000000,11.184643,0.000000,0.000000,38.707581,0.000000,93.591046,0.000000,0.000000,25.771882,12.576015,21.849881,0.000000,457.938934,20.057440,0.000000,16.282675,142.911550,33.556975,403.819911,0,0,0,0,0

14,03:15-03:30,15.589461,0.000000,0.000000,9.174815,137.451322,5.166805,67.182461,0.617634,2.979687,0.730951,0.000000,36.537827,0.000000,19.020948,20.009838,37.260552,0.000000,0.000000,35.268039,125.918390,119.939634,5.297584,49.638361,0.000000,0.000000,370.163623,0.000000,0.000000,0.000000,17.696544,0.000000,0.000000,11.184643,0.000000,0.000000,38.707581,0.000000,93.591046,0.000000,0.000000,24.651365,12.576015,21.849881,0.000000,457.938934,17.855750,0.000000,16.932937,142.911550,33.556975,403.819911,0,0,0,0,0

