Time,Block,NR/2023/11941/F,NR/2023/11959/F,NR/2023/11342/A,NR/2023/12650/D,NR/2023/11961/F,NR/2023/10223/A,NR/2023/10611/A,NR/2023/11284/A,NR/2023/10236/A,NR/2023/11947/F,NR/2023/11642/A,NR/2023/12657/C,NR/2023/11643/A,NR/2023/11962/F,ER/2023/7688/C,NR/2023/10229/A,NR/2023/11957/F,NR/2023/11958/F,NR/2023/12663/C,NR/2023/12675/C,NR/2023/11963/F,NR/2023/10613/A,NR/2023/10944/A,NR/2023/10487/A,NR/2023/10344/A,NR/2023/11862/F,NR/2023/11960/F,NR/2023/10434/A,NR/2023/11955/F,NR/2023/11476/A,NR/2023/11956/F,NR/2023/11330/A,NR/2023/11952/F,NR/2023/12648/D,NR/2023/12655/D,NR/2023/12653/D,Total
,,NVVNL,SHPPBPL,IEXL,NVVNL,SHPPBPL,TPTCL,APPCPL,STATKRAFT,NVVNL,HPXL,MANIKARAN,GBHHPL,MANIKARAN,SHPPBPL,IEXL,NVVNL,SHPPBPL,SHPPBPL,TPDDL,HPXL,SHPPBPL,APPCPL,APPCPL,TPTCL,BYPL,APPCPL,SHPPBPL,NVVNL,SHPPBPL,IEXL,SHPPBPL,APPCPL,KEIPL,NVVNL,TS1PL_BKN,TS1PL_BKN,Total

,,NA,HIMACHAL PRADESH,TELANGANA,NA,HIMACHAL PRADESH,NA,ARUNACHAL PRADESH,HIMACHAL PRADESH,NA,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NAGALAND,HIMACHAL PRADESH,NA,MEGHALAYA,MANIPUR,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,NA,NA,NA,
,,SKS Raigarh,SHPPBPL,NAVABHARAT,KAMENG,SHPPBPL,JPL,Arunachal_Ben,HP,ILFS,B_S_ISPAT_MH,HP,GBHHPL,HP,SHPPBPL,BYPL,JPNIGRIE_JNSTPP,SHPPBPL,SHPPBPL,CHANJUII,Teesta_III,SHPPBPL,Nagaland_Ben,HP,APNRL,Meghalaya_Ben,Manipur_Ben,SHPPBPL,SEIL,SHPPBPL,JSPL_DCPP,SHPPBPL,HP,Meghalaya_Ben,SOLAPUR_SOLAR,TS1PL_BKN,TS1PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,NDMC,BMDRC,BRPL,TPDDL,JHPL-DL,BRPL,BYPL,BYPL,BRPL,NDMC,BRPL,DIAPL,BRPL,MHIL,VLSEZ,BRPL,BAL234,AISHER,TPDDL,BRPL,UHL,BYPL,BYPL,TPDDL,BYPL,STT,MAX-HPTL,TPDDL,BAL184,BRPL,BAL224,BRPL,BYPL,MES (Delhi),BYPL,BRPL,
,,West-North,North-North,South-West-North,North East-East-North,North-North,West-North,North East-East-North,North-North,South-West-North,West-North,North-North,North-North,North-North,North-North,North-East,West-North,North-North,North-North,North-North,East-North,North-North,North East-East-North,North-North,East-North,North East-East-North,North East-East-North,North-North,South-West-North,North-North,West-North,North-North,North-North,North East-East-North,West-North,North-North,North-North,
1,00:00-00:15,62.610000,0.710000,115.600000,66.850000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,32.610000,13.000000,0.460000,0.000000,49.850000,0.780000,0.640000,12.500000,206.150000,0.460000,12.620000,27.740000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,64.730000,36.350000,0,0,0,1198.58

2,00:15-00:30,62.610000,0.710000,115.600000,66.850000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,32.610000,13.000000,0.460000,0.000000,49.850000,0.780000,0.640000,12.500000,182.060000,0.460000,12.620000,27.740000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,64.730000,36.350000,0,0,0,1174.49
