Column1,Block,NR/2024/23918/A/43149,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/3646,GNA/NR/2024/11/01/5428,NR/2024/23769/A/43151,WR/2024/24788/A/43292,NR/30092023/31122025/SH-07,NR/2024/23809/A/43150,GNA/NR/2024/11/01/5444,NR/30092023/26122029/SH-06,GNA/NR/2024/11/01/9061,NR/2024/23909/A/43181,GNA/NR/2024/11/01/1868,NR/2024/23420/A/43177,GNA/NR/2024/11/01/9042,NR/2024/23964/C,NR/2024/23965/C,Total
,,IEXL,MANIKARAN,APPCPL,DELHI,PTC,NDMC,PTC,NDMC,IEXL,APPCPL,BAWANA_GAS,IEXL,NDMC,PUNJAB,NDMC,DIAPL,NDMC,ITCLH,NDMC,SJVNL,SJVNL,
,,NA,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,NA,DELHI_UT,NA,KARNATAKA_STATE,DELHI_UT,DELHI_UT,KARNATAKA_STATE,NA,DELHI_UT,NA,HIMACHAL_STATE,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,
,,TESPL_BKN2,BRPL,BYPL,CHANJUII,BRPL,TRN_ENERGY,BYPL,RKM_POWER,NSLSUGAR,BRPL,BAWANA_GAS,NSLSTUNGBHDRA,RKM_POWER,BAWANA_GAS,JPL2,GBHHPL,SKS_Raigarh,ITCWIND,JITPL,TPSL_BKN2,RSRPL_BKN,
,,DELHI_UT,MSEB_State,MSEB_State,DELHI_UT,HIMACHAL_STATE,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,GOA_State,HARYANA_STATE,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,MES_Delhi,AEML,AEML,TPDDL,HP,NDMC,HP,NDMC,MES_Delhi,GOA_Beneficiary,HARYANA,MES_Delhi,NDMC,PUNJAB,NDMC,DIAPL,NDMC,ITCLH,NDMC,NDMC,NDMC,
,,North-North,North-West,North-West,North-North,North-North,West-North,North-North,West-North,South-West-North,North-West,North-North,South-West-North,West-North,North-North,West-North,North-North,West-North,South-West-North,East-North,North-North,North-North,
1,00:00-00:15,0,0,0,2.94,190.26,8.68,63.42,26.03,5.78,0,0,4.82,26.03,0,26.03,0,8.68,0.48,17.35,0,0,380.50000000000006

2,00:15-00:30,0,0,0,2.94,190.26,8.68,63.42,26.03,5.78,0,0,4.82,26.03,0,26.03,0,8.68,0.48,17.35,0,0,380.50000000000006

