Block,Time Block,NLCEXP,NLCIIST1,NJPC,MAPS,NLCIIST2,NAPP,CHAMERA1,BRBCL,BSIUL,AURY_RF,AURY_LF,DADRI_LF,DADRI_CRF,DADRI_RF,DADRI_GF,KUDGI,UNCHAHAR1,UNCHAHAR4,TANDA2,UNCHAHAR3,TALST2,SINGRAULI_HYDRO,TANAKPUR,TelanganaSTPP,UNCHAHAR2,SIMHST2,TALA,SINGRAULI,TEHRI,AURY_CRF,ANTA_CRF,VALLURNTECL,ANTA_RF,URI2,ANTA_LF,AURY_GF,ANTA_GF,URI,KKNPPU2,KISHANGANGA,KOLDAM,KHSTPP-II,KKNP,KOTESHWR,NTPL,PARBATI3,RAPPC,PARBATI2,NNTPP,RAPPB,RIHAND1,RAPPD,RAMPUR,SASAN,RIHAND2,RSTPSU1TO6,SIMHST1,RSTPSU7,RIHAND3,SALAL,SEWA2,NLCTS2EXP,CHAMERA2,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRT2,KHSTPP-I,JHAJJAR,CHAMERA3,KGSU1AND2,KGSU3AND4,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,174.76,0,0,24.26,40.79,19.09,12.6,0,0,0,0,0,0,0,15.16,0.83,2.94,19.13,0,1.07,8.05,0,33.27,0,13.63,130.97,28.61,0,0,0,0,38.8,0,0,0,49.07,0,0,9.26,114.96,0,10.08,0,57.07,66.24,47.18,0,0,93.93,18.91,6.74,388.55,120.36,0,0,0,92.54,0,12.18,0,47.16,31.72,13.2,56.7,8.92,33.36,154.56,33.84,0,0,0,0,0,0,0

2,00:15-00:30,0,0,174.76,0,0,24.26,40.79,17.29,12.6,0,0,0,0,0,0,0,15.16,0.83,2.94,19.13,0,1.07,8.05,0,33.27,0,13.63,130.97,28.61,0,0,0,0,38.8,0,0,0,49.07,0,0,9.26,114.96,0,10.08,0,57.07,66.24,47.18,0,0,93.93,18.91,6.74,388.56,120.36,0,0,0,92.54,0,6.09,0,47.16,31.72,13.2,56.7,7.36,33.36,154.56,33.84,0,0,0,0,0,0,0

3,00:30-00:45,0,0,174.76,0,0,24.26,40.79,14.75,6.3,0,0,0,0,0,0,0,15.16,0.83,2.94,19.13,0,1.07,11.14,0,33.27,0,13.63,130.97,28.61,0,0,0,0,38.8,0,0,0,49.07,0,0,9.26,114.96,0,10.08,0,57.07,66.24,47.18,0,0,93.93,18.91,6.74,388.56,120.36,0,0,0,92.54,0,6.09,0,47.16,31.72,13.2,56.7,7.36,33.36,154.56,33.84,0,0,0,0,0,0,0

4,00:45-01:00,0,0,174.76,0,0,24.26,40.79,13.57,6.3,0,0,0,0,0,0,0,15.16,0.83,2.94,19.13,0,1.07,11.14,0,33.27,0,13.63,130.97,28.61,0,0,0,0,38.8,0,0,0,49.07,0,0,9.26,114.96,0,10.08,0,57.07,66.24,47.18,0,0,93.93,18.91,6.74,388.56,120.36,0,0,0,92.54,0,6.09,0,47.16,31.72,13.2,56.7,7.36,33.36,154.56,33.84,0,0,0,0,0,0,0

5,01:00-01:15,0,0,174.76,0,0,24.26,40.79,13.43,6.3,0,0,0,0,0,0,0,11.37,0.97,2.94,13.89,0,1.07,11.14,0,25.95,0,13.63,128.15,28.61,0,0,0,0,38.8,0,0,0,49.07,0,0,9.26,114.96,0,10.08,0,57.07,66.24,47.18,0,0,64.91,18.91,6.74,388.56,96.23,0,0,0,57.9,0,6.09,0,47.16,31.72,10.41,56.7,7.36,27.28,154.56,33.84,0,0,0,0,0,0,0

6,01:15-01:30,0,0,174.76,0,0,24.26,40.79,13.07,6.3,0,0,0,0,0,0,0,10.38,0.97,2.94,13.19,0,1.07,11.14,0,23.79,0,13.63,128.15,28.61,0,0,0,0,38.8,0,0,0,49.07,0,0,9.26,114.96,0,10.08,0,57.07,66.24,47.18,0,0,64.91,18.91,6.74,388.56,96.23,0,0,0,57.9,0,6.09,0,47.16,31.72,10.03,56.7,7.36,27.28,154.56,33.84,0,0,0,0,0,0,0

7,01:30-01:45,0,0,174.76,0,0,24.26,40.79,14.57,6.3,0,0,0,0,0,0,0,10.38,0.97,2.94,13.19,0,1.07,7.42,0,23.79,0,13.63,128.15,28.61,0,0,0,0,38.8,0,0,0,49.07,0,0,9.26,114.96,0,10.08,0,57.07,66.24,47.18,0,0,64.91,18.91,6.74,388.56,96.23,0,0,0,57.9,0,6.09,0,47.16,31.72,10.03,56.7,7.36,27.28,154.56,33.84,0,0,0,0,0,0,0

8,01:45-02:00,0,0,174.76,0,0,24.26,40.79,11.63,6.3,0,0,0,0,0,0,0,10.38,0.97,2.94,13.19,0,1.07,7.42,0,23.79,0,13.63,128.15,28.61,0,0,0,0,38.8,0,0,0,49.07,0,0,9.26,114.96,0,10.08,0,57.07,66.24,47.18,0,0,64.91,18.91,6.74,388.56,96.23,0,0,0,57.9,0,5.39,0,47.16,31.72,10.03,56.7,7.36,27.28,217.35,33.84,0,0,0,0,0,0,0

9,02:00-02:15,0,0,174.76,0,0,24.26,40.79,11.13,6.3,0,0,0,0,0,0,0,10.38,0.97,2.94,13.19,0,1.07,7.42,0,23.79,0,14.77,128.15,28.61,0,0,0,0,38.8,0,0,0,49.07,0,0,9.26,97.69,0,10.08,0,57.07,66.24,47.18,0,0,64.91,18.91,6.74,391.09,96.23,0,0,0,57.9,0,5.03,0,47.16,31.72,10.03,56.7,7.36,24.65,217.35,33.84,0,0,0,0,0,0,0

10,02:15-02:30,0,0,174.76,0,0,24.26,40.79,11.11,6.3,0,0,0,0,0,0,0,10.38,0.97,2.94,13.19,0,1.07,7.42,0,23.79,0,14.77,128.15,28.61,0,0,0,0,38.8,0,0,0,49.07,0,0,9.26,97.69,0,10.08,0,57.07,66.24,47.18,0,0,64.91,18.91,6.74,391.27,96.23,0,0,0,57.9,0,0,0,47.16,31.72,10.03,56.7,7.36,24.65,217.35,33.84,0,0,0,0,0,0,0

11,02:30-02:45,0,0,174.76,0,0,24.26,40.79,11.23,6.3,0,0,0,0,0,0,0,10.38,0.97,2.94,13.19,0,1.07,11.14,0,23.79,0,16.65,128.15,28.61,0,0,0,0,38.8,0,0,0,49.07,0,0,9.26,97.69,0,10.08,0,57.07,66.24,47.18,0,0,64.91,18.91,6.74,391.27,96.23,0,0,0,57.9,0,0,0,47.16,31.72,10.03,56.7,7.36,24.65,217.35,33.84,0,0,0,0,0,0,0

12,02:45-03:00,0,0,174.76,0,0,24.26,40.79,11.26,12.6,0,0,0,0,0,0,0,10.38,0.97,2.94,13.19,0,1.07,11.14,0,23.79,0,16.65,128.15,28.61,0,0,0,0,38.8,0,0,0,49.07,0,0,9.26,97.69,0,10.08,0,57.07,66.24,47.18,0,0,64.91,18.91,6.74,391.27,96.23,0,0,0,57.9,0,0,0,47.16,31.72,10.03,56.7,7.36,24.65,217.35,33.84,0,0,0,0,0,0,0

13,03:00-03:15,0,0,174.76,0,0,24.26,40.79,12.01,12.6,0,0,0,0,0,0,0,10.38,0.97,2.94,13.19,0,1.07,7.42,0,23.79,0,16.65,128.15,28.61,0,0,0,0,36.81,0,0,0,51.19,0,0,9.26,97.69,0,10.08,0,57.07,66.24,47.18,0,0,64.91,18.91,6.74,391.27,96.23,0,0,0,57.9,0,0,0,47.16,20.23,10.03,56.7,7.36,24.65,217.35,33.84,0,0,0,0,0,0,0

14,03:15-03:30,0,0,174.76,0,0,24.26,40.79,15.37,12.6,0,0,0,0,0,0,0,10.38,0.97,2.94,13.19,0,1.07,7.42,0,23.79,0,16.65,128.15,28.61,0,0,0,0,36.81,0,0,0,51.19,0,0,9.26,97.69,0,10.08,0,57.07,66.24,47.18,0,0,64.91,18.91,6.74,391.27,96.23,0,0,0,57.9,0,0,0,47.16,20.23,10.03,56.7,7.36,24.65,217.35,33.84,0,0,0,0,0,0,0

15,03:30-03:45,0,0,174.76,0,0,24.26,40.79,16.33,12.6,0,0,0,0,0,0,0,10.38,0.97,2.94,13.19,0,1.07,7.42,0,23.79,0,17.78,117.08,28.61,0,0,0,0,36.81,0,0,0,51.19,0,0,9.26,97.69,0,10.08,0,57.07,66.24,47.18,0,0,64.91,18.91,6.74,391.27,96.23,0,0,0,57.9,0,0,0,47.16,20.23,10.03,56.7,7.36,24.65,217.35,33.84,0,0,0,0,0,0,0

16,03:45-04:00,0,0,174.76,0,0,24.26,40.79,16.01,12.6,0,0,0,0,0,0,0,10.38,0.97,2.94,13.19,0,1.07,7.42,0,23.79,0,17.78,117.08,28.61,0,0,0,0,36.81,0,0,0,51.19,0,0,9.26,97.69,0,10.08,0,57.07,66.24,47.18,0,0,64.91,18.91,6.74,391.27,96.23,0,0,0,57.9,0,0,0,47.16,20.23,10.03,56.7,7.36,24.65,217.35,33.84,0,0,0,0,0,0,0

17,04:00-04:15,0,0,174.76,0,0,24.26,40.79,14.85,12.6,0,0,0,0,0,0,0,10.38,0.97,2.94,13.19,0,1.07,7.42,0,23.79,0,19.6,117.08,28.61,0,0,0,0,36.81,0,0,0,51.19,0,0,9.26,97.69,0,10.08,0,57.07,66.24,47.18,0,0,64.91,18.91,6.74,391.27,96.23,0,0,0,122.01,0,0,0,47.16,20.23,10.03,56.7,7.36,24.65,217.35,33.84,0,0,0,0,0,0,0

18,04:15-04:30,0,0,174.76,0,0,24.26,40.79,18.79,12.6,0,0,0,0,0,0,0,10.38,0.97,2.94,13.19,0,1.07,7.42,0,23.79,0,19.6,117.08,28.61,0,0,0,0,36.81,0,0,0,51.19,0,0,9.26,97.69,0,10.08,0,57.07,66.24,47.18,0,0,64.91,18.91,6.74,391.27,96.23,0,0,0,126.36,0,0,0,47.16,21.17,10.03,56.7,7.36,24.65,217.35,33.84,0,0,0,0,0,0,0

19,04:30-04:45,0,0,174.76,0,0,24.26,40.79,19.1,12.6,0,0,0,0,0,0,0,10.38,0.97,2.94,13.19,0,1.07,7.42,0,23.79,0,19.6,117.08,28.61,0,0,0,0,36.81,0,0,0,51.19,0,0,9.26,97.69,0,10.08,0,57.07,66.24,47.18,0,0,64.91,18.91,6.74,391.27,96.23,0,0,0,126.36,0,0,0,47.16,21.17,10.03,56.7,7.36,24.65,217.35,33.84,0,0,0,0,0,0,0

20,04:45-05:00,0,0,174.76,0,0,24.26,40.79,16.48,12.6,0,0,0,0,0,0,0,10.38,0.97,2.94,13.19,0,1.07,7.42,0,23.79,0,19.6,117.08,28.61,0,0,0,0,36.81,0,0,0,51.19,0,0,9.26,97.69,0,10.08,0,57.07,66.24,47.18,0,0,64.91,18.91,6.74,391.27,96.23,0,0,0,126.36,0,0,0,47.16,21.17,10.03,56.7,7.36,24.65,217.35,33.84,0,0,0,0,0,0,0

21,05:00-05:15,0,0,174.76,0,0,24.26,40.79,16.64,12.6,0,0,0,0,0,0,0,10.38,0.97,2.94,13.19,0,1.07,6.18,0,23.79,0,19.6,117.08,28.61,0,0,0,0,36.81,0,0,0,51.19,0,0,9.26,97.69,0,10.08,0,57.07,66.24,47.18,0,0,64.91,18.91,6.74,393.33,96.23,0,0,0,126.36,0,0,0,47.16,21.17,10.03,56.7,83.91,24.65,217.35,33.84,0,0,0,0,0,0,0

22,05:15-05:30,0,0,174.76,0,0,24.26,40.79,19.32,12.6,0,0,0,0,0,0,0,10.38,0.97,2.94,13.19,0,1.07,6.18,0,23.79,0,19.6,117.08,28.61,0,0,0,0,36.81,0,0,0,51.19,0,0,9.26,97.69,0,10.08,0,57.07,66.24,47.18,0,0,64.91,18.91,6.74,393.44,96.23,0,0,0,126.36,0,0,0,47.16,21.17,10.03,56.7,15.34,24.65,217.35,33.84,0,0,0,0,0,0,0

