Block,Time Block,KUDGI,KOTESHWR,KOLDAM,KISHANGANGA,KHSTPP-I,KGSU1AND2,KGSU3AND4,KHSTPP-II,KKNP,KKNPPU2,PARBATI3,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,NNTPP,NAPP,NTPL,BSIUL,CHAMERA3,CHAMERA2,JHAJJAR,BRBCL,DADRT2,CHAMERA1,DHAULIGNGA,FSTPP I & II,DULHASTI,MAPS,AURY_GF,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,SALAL,SEWA2,SINGRAULI,RIHAND3,TALA,RIHAND2,TANDA2,SASAN,RIHAND1,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,TALST2,SIMHST2,RSTPSU7,TANAKPUR,ANTA_LF,UNCHAHAR2,URI,TEHRI,UNCHAHAR1,VALLURNTECL,ANTA_GF,UNCHAHAR4,URI2,ANTA_CRF,UNCHAHAR3,TelanganaSTPP,RAPPB,RAMPUR,RAPPC,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,8.55,0,0,43.89,0,0,142.96,0,0,0,0,0,41.09,0,0,0,40.46,0,0,0,2.31,359.46,14.46,327.65,0,8.78,20.05,31.77,0,0,0,0,0,0,0,0,0,0,12.32,0,134.65,57.86,0,90.03,0,238.59,88.69,0,0,0,0,0,0,12.59,0,40.87,3.84,14.39,20.09,0,0,0,18.15,0,0,0,0,0,50.16,0,0,0,0,0

2,00:15-00:30,0,8.55,0,0,43.89,0,0,142.96,0,0,0,0,0,41.09,0,0,0,40.46,0,0,0,2.31,327.01,14.46,327.65,0,8.78,20.05,31.77,0,0,0,0,0,0,0,0,0,0,12.32,0,134.65,57.86,0,91.1,0,238.59,88.69,0,0,0,0,0,0,12.59,0,40.87,3.84,14.39,20.09,0,0,0,18.15,0,0,0,0,0,50.16,0,0,0,0,0

3,00:30-00:45,0,8.55,0,0,43.89,0,0,142.96,0,0,0,0,0,41.09,0,0,0,40.46,0,0,0,2.31,225.61,14.46,327.65,0,8.78,20.05,31.77,0,0,0,0,0,0,0,0,0,0,12.32,0,134.65,57.86,0,96.1,0,238.59,88.69,0,0,0,0,0,0,8.64,0,40.87,3.84,14.39,20.09,0,0,0,18.15,0,0,0,0,0,50.16,0,0,0,0,0

4,00:45-01:00,0,8.55,0,0,43.89,0,0,142.96,0,0,0,0,0,41.09,0,0,0,40.46,0,0,0,2.31,202.48,14.46,327.65,0,8.78,20.05,31.77,0,0,0,0,0,0,0,0,0,0,12.32,0,134.65,57.86,0,102.17,0,238.59,88.69,0,0,0,0,0,0,8.64,0,40.87,3.84,14.39,20.09,0,0,0,18.15,0,0,0,0,0,50.16,0,0,0,0,0

5,01:00-01:15,0,8.55,0,0,43.89,0,0,142.96,0,0,0,0,0,41.09,0,0,0,40.46,0,0,0,2.31,202.48,14.46,327.65,0,8.78,20.05,31.77,0,0,0,0,0,0,0,0,0,0,12.32,0,134.65,57.86,0,108.25,0,238.59,88.69,0,0,0,0,0,0,8.64,0,40.87,2.13,14.39,20.09,0,0,0,18.15,0,0,0,0,0,50.16,0,0,0,0,0

6,01:15-01:30,0,8.55,0,0,43.89,0,0,142.96,0,0,0,0,0,41.09,0,0,0,40.46,0,0,0,2.31,202.48,14.46,327.65,0,8.78,20.05,31.77,0,0,0,0,0,0,0,0,0,0,12.32,0,134.65,57.86,0,113.7,0,238.59,88.69,0,0,0,0,0,0,8.64,0,40.87,2.13,14.39,20.09,0,0,0,18.15,0,0,0,0,0,50.16,0,0,0,0,0

7,01:30-01:45,0,8.55,0,0,43.89,0,0,142.96,0,0,0,0,0,41.09,0,0,0,40.46,0,0,0,2.31,202.48,14.46,327.65,0,8.78,20.05,31.77,0,0,0,0,0,0,0,0,0,0,12.32,0,134.65,57.86,0,114.48,0,238.59,88.69,0,0,0,0,0,0,8.64,0,40.87,2.13,14.39,20.09,0,0,0,4.41,0,0,0,0,0,50.16,0,0,0,0,0

8,01:45-02:00,0,8.55,0,0,43.89,0,0,142.96,0,0,0,0,0,41.09,0,0,0,40.46,0,0,0,2.31,202.48,14.46,327.65,0,8.78,20.05,31.77,0,0,0,0,0,0,0,0,0,0,25.77,0,134.65,57.86,0,114.48,0,238.59,88.69,0,0,0,0,0,0,8.64,0,40.87,2.13,14.39,20.09,0,0,0,4.41,0,0,0,0,0,50.16,0,0,0,0,0

9,02:00-02:15,0,8.55,0,0,43.89,0,0,142.96,0,0,0,0,0,41.09,0,0,0,40.46,0,0,0,2.31,202.48,14.46,327.65,0,8.78,20.05,31.77,0,0,0,0,0,0,0,0,0,0,76.52,0,134.65,57.86,0,114.48,0,238.59,88.69,0,0,0,0,0,0,12.59,0,40.87,2.13,14.39,20.09,0,0,0,4.41,0,0,0,0,0,50.16,0,0,0,0,0

10,02:15-02:30,0,8.55,0,0,43.89,0,0,142.96,0,0,0,0,0,41.09,0,0,0,40.46,0,0,0,2.31,202.48,14.46,327.65,0,8.78,20.05,31.77,0,0,0,0,0,0,0,0,0,0,76.52,0,134.65,57.86,0,114.48,0,238.59,88.69,0,0,0,0,0,0,12.59,0,35.27,2.13,14.39,17.48,0,0,0,4.41,0,0,0,0,0,50.16,0,0,0,0,0

11,02:30-02:45,0,8.55,0,0,43.89,0,0,142.96,0,0,0,0,0,41.09,0,0,0,40.46,0,0,0,2.31,202.48,14.46,327.65,0,8.78,20.05,31.77,0,0,0,0,0,0,0,0,0,0,76.52,0,134.65,57.86,0,114.48,0,238.59,88.69,0,0,0,0,0,0,9.26,0,35.27,2.13,14.39,17.48,0,0,0,4.41,0,0,0,0,0,50.16,0,0,0,0,0

12,02:45-03:00,0,8.55,0,0,43.89,0,0,142.96,0,0,0,0,0,41.09,0,0,0,40.46,0,0,0,2.31,202.48,14.46,327.65,0,8.78,20.05,31.77,0,0,0,0,0,0,0,0,0,0,76.52,0,134.65,57.86,0,114.48,0,238.59,88.69,0,0,0,0,0,0,9.26,0,35.27,2.13,14.39,17.48,0,0,0,4.41,0,0,0,0,0,50.16,0,0,0,0,0

13,03:00-03:15,0,8.55,0,0,43.89,0,0,142.96,0,0,0,0,0,41.09,0,0,0,40.46,0,0,0,2.31,202.48,14.46,327.65,0,8.78,17.27,31.77,0,0,0,0,0,0,0,0,0,0,25.77,0,134.65,57.86,0,114.48,0,238.59,88.69,0,0,0,0,0,0,9.26,0,35.27,2.13,14.39,17.48,0,0,0,4.41,0,0,0,0,0,50.16,0,0,0,0,0

14,03:15-03:30,0,8.55,0,0,43.89,0,0,142.96,0,0,0,0,0,41.09,0,0,0,40.46,0,0,0,2.31,202.48,14.46,327.65,0,8.78,17.27,31.77,0,0,0,0,0,0,0,0,0,0,12.32,0,134.65,57.86,0,114.48,0,238.59,88.69,0,0,0,0,0,0,9.26,0,35.27,2.13,14.39,17.48,0,0,0,4.41,0,0,0,0,0,50.16,0,0,0,0,0

