Block,Time Block,VALLURNTECL,UNCHAHAR3,URI2,URI,UNCHAHAR4,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,UNCHAHAR2,TALST2,TANDA2,TANAKPUR,TALA,TEHRI,UNCHAHAR1,TelanganaSTPP,RIHAND2,RIHAND1,RAPPC,RIHAND3,RAPPB,SASAN,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,SIMHST2,RSTPSU7,SALAL,SEWA2,SINGRAULI,MAPS,NLCTS2EXP,RAMPUR,NLCIIST1,NNTPP,NJPC,NLCIIST2,NTPL,PARBATI3,NAPP,NLCEXP,BSIUL,CHAMERA3,JHAJJAR,KGSU1AND2,CHAMERA2,BRBCL,DHAULIGNGA,DADRT2,FSTPP I & II,DULHASTI,KGSU3AND4,CHAMERA1,KKNPPU2,KOLDAM,KISHANGANGA,KHSTPP-II,KUDGI,KOTESHWR,KHSTPP-I,KKNP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,19.28,4.15,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,19.37,0,0,5.54,0,0,14.9,0,114.24,88.5,51.4,119.6,0,402.86,0,0,0,0,0,2.24,0,104.44,0,0,0,0,0,0,0,0,0,41.81,0,0,0,350.59,0,0,15.52,0,239.34,12.56,15.85,0,0,0,0,0,122.96,0,8.54,37.5,0,0,0,0,0,0

2,00:15-00:30,0,19.28,4.15,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,19.37,0,0,5.54,0,0,14.9,0,114.24,88.5,51.4,119.6,0,402.86,0,0,0,0,0,12.29,0,104.44,0,0,0,0,0,0,0,0,0,41.81,0,0,0,350.59,0,0,15.58,0,215.07,12.56,15.85,0,0,0,0,0,122.96,0,8.54,37.5,0,0,0,0,0,0

3,00:30-00:45,0,19.28,4.15,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,19.37,0,0,5.54,0,0,14.9,0,114.24,88.5,51.4,119.6,0,402.86,0,0,0,0,0,53.65,0,104.44,0,0,0,0,0,0,0,0,0,41.81,0,0,0,350.59,0,0,14.35,0,191.02,12.56,15.85,0,0,0,0,0,122.96,0,8.54,37.5,0,0,0,0,0,0

4,00:45-01:00,0,14.19,4.15,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,19.37,0,0,5.54,0,0,11.55,0,114.24,88.5,51.4,119.6,0,402.86,0,0,0,0,0,53.65,0,104.44,0,0,0,0,0,0,0,0,0,41.81,0,0,0,346.56,0,0,11.74,0,158.42,12.56,15.85,0,0,0,0,0,122.96,0,8.54,37.5,0,0,0,0,0,0

5,01:00-01:15,0,14.19,4.15,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,19.37,0,0,5.54,0,0,11.55,0,114.24,88.5,51.4,119.6,0,402.86,0,0,0,0,0,53.65,0,104.44,0,0,0,0,0,0,0,0,0,41.81,0,0,0,346.56,0,0,11.19,0,158.42,9.63,15.85,0,0,0,0,0,122.96,0,8.54,28.98,0,0,0,0,0,0

6,01:15-01:30,0,14.19,4.15,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,19.37,0,0,5.54,0,0,11.55,0,114.24,88.5,51.4,119.6,0,402.86,0,0,0,0,0,53.65,0,104.44,0,0,0,0,0,0,0,0,0,41.81,0,0,0,346.56,0,0,12.38,0,158.42,9.63,15.85,0,0,0,0,0,105.96,0,8.54,24.55,0,0,0,0,0,0

7,01:30-01:45,0,14.19,4.15,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,17.34,0,0,5.54,0,0,11.55,0,114.24,88.5,51.4,119.6,0,402.86,0,0,0,0,0,40.24,0,104.44,0,0,0,0,0,0,0,0,0,41.81,0,0,0,346.56,0,0,12.71,0,158.42,9.63,15.85,0,0,0,0,0,78.47,0,8.54,24.55,0,0,0,0,0,0

8,01:45-02:00,0,14.19,4.15,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,17.34,0,0,5.54,0,0,11.55,0,114.24,88.5,51.4,119.6,0,402.86,0,0,0,0,0,40.24,0,104.44,0,0,0,0,0,0,0,0,0,41.81,0,0,0,346.56,0,0,13.27,0,158.42,9.63,15.85,0,0,0,0,0,78.47,0,8.54,24.55,0,0,0,0,0,0

