Column1,Time,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,GNARE/NR/2024/12/20/3668,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,GNA/NR/2024/12/01/1766,NR/01102023/22052037/LT-59,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1599,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,GNA/NR/2024/12/01/1475,NR/01102023/06022042/L_NR_2012_02,GNA/WR/2024/10/15/7089,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/12/01/2197,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/12/01/1899,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31102037/L_NR_2019_11,NR/01102023/05012040/L_NR_2020_02,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/7739,GNA/WR/2024/11/01/4200,L_NR_2019_19,SR/01102023/07102043/L_NR_2018_61,NR/26072023/31072042/L_NR_2023_07,NR/01102023/31052040/LT-31,GNA/SR/2024/12/01/6968,NR/01102023/30042040/GNA_LT_35
1,00:00-00:15,0,0,0,0,0,0,0,0,83.34,22.5,0,0,83.33,0,67.5,30,22.5,25.97,0.69,8.66,95.13,1.65,0,70.13,31,25.97,64.44,0,0,69.25,25.97,0,8.66,57.42,1.14,1.62,31,31.71,0,0,6,0,0,150,0

2,00:15-00:30,0,0,0,0,0,0,0,0,83.34,22.5,0,0,83.33,0,67.5,29.67,22.5,25.97,0.69,8.66,95.13,1.65,0,70.13,31,25.97,64.44,0,0,69.25,25.97,0,8.66,57.42,1.14,1.62,31,31.71,0,0,6,0,0,150,0

3,00:30-00:45,0,0,0,0,0,0,0,0,76.66,22.5,0,0,76.67,0,67.5,29.33,22.5,25.97,0.69,8.66,95.13,1.65,0,70.13,31,25.97,64.44,0,0,69.25,25.97,0,8.66,57.42,1.14,1.62,31,31.71,0,0,6,0,0,150,0

4,00:45-01:00,0,0,0,0,0,0,0,0,76.66,22.5,0,0,76.67,0,67.5,28.67,22.5,25.97,0.69,8.66,95.13,1.65,0,70.13,31,25.97,64.44,0,0,69.25,25.97,0,8.66,57.42,1.14,1.62,31,31.71,0,0,6,0,0,150,0

5,01:00-01:15,0,0,0,0,0,0,0,0,81.67,22.5,0,0,81.67,0,67.5,35,22.5,25.97,0.69,8.66,95.13,1.74,0,70.13,32,25.97,64.44,0,0,69.25,25.97,0,8.66,57.42,1.14,1.62,32,31.71,0,0,6,0,0,150,0

6,01:15-01:30,0,0,0,0,0,0,0,0,81,22.5,0,0,81,0,67.5,34,22.5,25.97,0.69,8.66,95.13,1.74,0,70.13,32,25.97,64.44,0,0,69.25,25.97,0,8.66,57.42,1.14,1.62,32,31.71,0,0,6,0,0,150,0

7,01:30-01:45,0,0,0,0,0,0,0,0,80,22.5,0,0,80,0,67.5,33.34,22.5,25.97,0.69,8.66,95.13,1.74,0,70.13,32,25.97,64.44,0,0,69.25,25.97,0,8.66,57.42,1.14,1.62,32,31.71,0,0,6,0,0,150,0

8,01:45-02:00,0,0,0,0,0,0,0,0,78.67,22.5,0,0,78.67,0,67.5,31.66,22.5,25.97,0.69,8.66,95.13,1.74,0,70.13,32,25.97,64.44,0,0,69.25,25.97,0,8.66,57.42,1.14,1.62,32,31.71,0,0,6,0,0,150,0

9,02:00-02:15,0,0,0,0,0,0,0,0,70,22.5,0,0,70,0,67.5,30,22.5,25.97,0.69,8.66,95.13,1.74,0,70.13,32,25.97,64.44,0,0,69.25,25.97,0,8.66,57.42,1.14,1.62,32,31.71,0,0,6,0,0,150,0

10,02:15-02:30,0,0,0,0,0,0,0,0,69.66,22.5,0,0,69.67,0,67.5,28.34,22.5,25.97,0.69,8.66,95.13,1.74,0,70.13,32,25.97,64.44,0,0,69.25,25.97,0,8.66,57.42,1.14,1.62,32,31.71,0,0,6,0,0,150,0

11,02:30-02:45,0,0,0,0,0,0,0,0,65,21,0,0,65,0,63,28,21,25.97,0.69,8.66,95.13,1.74,0,70.13,32,25.97,64.44,0,0,69.25,25.97,0,8.66,57.42,1.14,1.62,32,31.71,0,0,6,0,0,150,0

12,02:45-03:00,0,0,0,0,0,0,0,0,64.66,20.5,0,0,64.67,0,61.5,27.34,20.5,25.97,0.69,8.66,95.13,1.74,0,70.13,32,25.97,64.44,0,0,69.25,25.97,0,8.66,57.42,1.14,1.62,32,31.71,0,0,6,0,0,150,0

