Time,Block,NR/2023/14895/A,NR/2023/16464/C,NR/2023/15309/F,NR/2023/16190/F,NR/2023/16468/C,NR/2023/16443/D,NR/2023/16466/C,NR/2023/12053/A,NR/2023/12431/A,NR/2023/12347/A,NR/2023/16441/D,NR/2023/13635/A,NR/2023/12591/A,NR/2023/16460/C,NR/2023/16453/C,NR/2023/12168/A,NR/2023/13862/A,NR/2023/12422/A,NR/2023/12592/A,NR/2023/14898/A,ER/2023/10236/C,NR/2023/12148/A,NR/2023/15402/F,NR/2023/12167/A,NR/2023/16467/C,NR/2023/16442/D,NR/2023/14746/A,NR/2023/16445/D,NR/2023/15057/F,NR/2023/12052/A,NR/2023/14745/A,NR/2023/14737/A,SR/2023/8973/C,Total
,,MANIKARAN,HPXL,IEXL,NVVNL,SJVNL,KEIPL,PXIL,KEIPL,TPTCL,STATKRAFT,NVVNL,NVVNL,NVVNL,TPDDL,GBHHPL,APPCPL,MANIKARAN,APPCPL,NVVNL,MANIKARAN,HPXL,GMRETL,SJVNL,APPCPL,SJVNL,IEXL,APPCPL,KEIPL,ITCLH,KEIPL,APPCPL,NVVNL,IEXL,Total

,,HIMACHAL PRADESH,NA,JAMMU AND KASHMIR,NA,NA,UTTAR PRADESH,DELHI,MEGHALAYA,NA,TAMIL NADU,NA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,UTTARAKHAND,TAMIL NADU,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,DELHI,MEGHALAYA,UTTAR PRADESH,MEGHALAYA,NA,TAMIL NADU,HIMACHAL PRADESH,ODISHA,ANDHRA PRADESH,MEGHALAYA,GOA,NA,DELHI,
,,HP,SCLTPS,SAPU1234,KAMENG,RSRPL_BKN,LAPL-UP,BYPL,Meghalaya_Ben,JPL-2,TANGEDCO,SOLAPUR_SOLAR,KAMENG,JPNIGRIE_JNSTPP,CHANJUII,GBHHPL,UTTARAKHAND,TANGEDCO,HP,JPNIGRIE_JNSTPP,HP,BYPL,Meghalaya_Ben,BCMLB001,Meghalaya_Ben,DIKCHU,OPGPGPLU4TN,HP,MAITHAN_ISPAT,ITCWIND,Meghalaya_Ben,GOA_Beneficiary,SKS Raigarh,BYPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,TAMIL NADU,
,,BRPL,BRPL,MES (Delhi),TPDDL,NDMC,BYPL,NPCL(UP),BYPL,BRPL,BYPL,MES (Delhi),BRPL,BRPL,TPDDL,DIAPL,BYPL,BRPL,BYPL,BRPL,BRPL,VLSEZ,BYPL,NDMC,BYPL,NDMC,BRPL,BRPL,BYPL,ITCLH,BYPL,BRPL,NDMC,TANGEDCO,
,,North-North,North-North,North-North,North East-East-North,North-North,North-North,North-North,North East-East-North,West-North,South-West-North,West-North,North East-East-North,West-North,North-North,North-North,North-North,South-East-North,North-North,West-North,North-North,North-East,North East-East-North,North-North,North East-East-North,East-North,South-East-North,North-North,East-North,South-West-North,North East-East-North,West-North,West-North,North-East-South,
1,00:00-00:15,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,36.500000,125.110000,98.660000,0,25.030000,50.060000,13.620000,5.040000,46.620000,23.150000,38.010000,100.120000,77.380000,50.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.870000,63.120000,24.180000,62.870000,60.00,1402.08

2,00:15-00:30,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,36.500000,125.110000,98.660000,0,25.030000,50.060000,13.620000,5.040000,46.620000,23.150000,38.010000,100.120000,77.380000,50.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.870000,63.120000,24.180000,62.870000,60.00,1402.08
