Block,Time Block,VALLURNTECL,TALST2,TEHRIPSP,TANAKPUR,UNCHAHAR3,URI2,TALA,TEHRI,TelanganaSTPP,UNCHAHAR2,URI,TANDA2,UNCHAHAR1,UNCHAHAR4,JHAJJAR,KOTESHWR,KGSU1AND2,KHSTPP-II,KGSU3AND4,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,KHSTPP-I,SINGRAULI_HYDRO,SASAN,SIMHST2,SINGRAULI,SIMHST1,RSTPSU1TO6,RSTPSU7,SALAL,SEWA2,DHAULIGNGA,FSTPP I & II,DULHASTI,RAPPC,RIHAND2,RIHAND1,RAPPB,NLCTS2EXP,NNTPP,RAPPD,NTPL,PARBATI3,RAMPUR,RIHAND3,PARBATI2,CHAMERA3,CHAMERA2,DADRT2,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NAPP,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,CHAMERA1,BSIUL,BRBCL,KUDGI,MAPS,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,1.36,26.93,36.83,5.11,18.17,0,43.03,50.62,6.09,21.07,2.31,235.11,7.28,0,143.14,0,0,0,0,8.41,44.15,1.12,404.2,0,148.73,0,0,0,49.35,12.18,10.59,17.57,57.49,66.34,93.1,62.18,0,0,0,25.23,0,37.98,4.29,89.16,36.39,33.87,47.2,198.27,0,0,106.96,0,24.41,0,0,0,0,34.45,0,0,26.62,0,0,22.45,0,40.68,6.29,19.3,0,0,0,0,0,0,0

2,00:15-00:30,0,0,0,1.36,26.93,36.83,5.11,18.17,0,43.03,50.62,6.09,21.07,2.31,235.11,7.28,0,143.14,0,0,0,0,8.41,44.15,1.12,404.2,0,148.73,0,0,0,49.35,6.09,10.59,17.57,57.49,66.34,93.1,62.18,0,0,0,25.23,0,37.98,4.29,89.16,36.39,33.87,47.2,198.27,0,0,106.96,0,24.41,0,0,0,0,34.45,0,0,26.62,0,0,22.45,0,40.68,6.29,15.78,0,0,0,0,0,0,0

3,00:30-00:45,0,0,0,1.36,26.93,36.83,5.11,18.17,0,43.03,50.62,6.09,21.07,2.31,235.11,7.28,0,143.14,0,0,0,0,8.41,44.15,1.12,404.2,0,148.73,0,0,0,49.35,6.09,10.59,17.57,57.49,66.34,93.1,62.18,0,0,0,25.23,0,37.98,4.29,89.16,36.39,33.87,47.2,198.27,0,0,106.96,0,24.41,0,0,0,0,34.45,0,0,26.62,0,0,22.45,0,27.12,6.29,14.28,0,0,0,0,0,0,0

4,00:45-01:00,0,0,0,1.36,26.93,36.83,5.11,18.17,0,43.03,50.62,6.09,21.07,2.31,235.11,7.28,0,143.14,0,0,0,0,8.41,44.15,1.12,404.2,0,148.73,0,0,0,49.35,6.09,10.59,17.57,57.49,66.34,93.1,62.18,0,0,0,25.23,0,37.98,4.29,89.16,36.39,33.87,47.2,198.27,0,0,106.96,0,24.41,0,0,0,0,34.45,0,0,26.62,0,0,22.45,0,27.12,6.29,13.24,0,0,0,0,0,0,0

5,01:00-01:15,0,0,0,1.36,26.93,36.83,5.11,18.17,0,43.03,50.62,6.09,21.07,2.31,234.15,7.28,0,143.14,0,0,0,0,8.41,44.15,1.12,404.2,0,148.73,0,0,0,49.35,6.09,10.59,17.57,57.49,66.34,93.1,62.18,0,0,0,25.23,0,37.08,3.21,89.16,36.39,33.87,47.2,198.27,0,0,80.23,0,24.41,0,0,0,0,34.45,0,0,26.62,0,0,23.04,0,27.12,6.29,12.08,0,0,0,0,0,0,0

