Column1,Block,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/2025/26825/A/74861,NR/2025/26379/A/74840,NR/2025/26829/A/74858,NR/2025/26879/A/74519,NR/2025/26289/A/74875,NR/2025/26755/A/74370,NR/2025/27365/C,NR/2025/27366/C,NR/2025/25967/A/74841,NR/2025/27348/C,NR/2025/27349/C,NR/2025/26335/A/74520,NR/2025/26233/A/74877,GNARE/NR/2024/12/20/3668,NR/2025/26827/A/74860,NR/2025/25861/A/74847,NR/2025/26085/A/74350,NR/2025/26005/A/74473,NR/2025/27296/C,NR/2025/25860/A/74846,NR/2025/26202/A/74910,NR/2025/27300/C,NR/2025/27336/C,NR/2025/26232/A/74878,NR/2025/27337/C,NR/2025/26004/A/74472,GNA/NR/2025/05/01/2474,NR/2025/26153/A/74377,NR/2025/26191/A/74470,GNA/NR/2025/05/01/4138,NR/2025/26828/A/74859,NR/2025/27340/C,NR/2025/26291/A/74874,NR/2025/27312/C,NR/2025/26785/A/74373,NR/2025/26822/A/74866,NR/2025/27346/C,NR/2025/25859/A/74844,NR/2025/27347/C,NR/2025/26101/A/74550,NR/2025/26082/A/74911,NR/2025/26265/A/74876,NR/2025/27283/C,NR/2025/27303/C,NR/2025/27149/A/74516,NR/2025/27294/C,NR/2025/27304/C,NR/2025/27325/C,NR/2025/26959/A/74517,NR/2025/26336/A/74521,NR/2025/27301/C,NR/2025/27354/C,NR/2025/27302/C,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/6363,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/16/9317,GNA/NR/2025/05/01/8954,Total
,,PUNJAB,BAWANA_GAS,APPCPL,PowerPulse,APPCPL,BRPL,HPXL,IEXL,GEPL_Trader,GEPL_Trader,PowerPulse,APPCPL,APPCPL,BRPL,HPXL,SECI_Trader,APPCPL,PowerPulse,ITCLH,PXIL,IEXL,PowerPulse,NVVNL,HPXL,NVVNL,HPXL,NVVNL,PXIL,NDMC,IEXL,PXIL,PowerPulse,APPCPL,NVVNL,HPXL,PowerPulse,IEXL,APPCPL,APPCPL,PowerPulse,APPCPL,GMRETL,NVVNL,HPXL,PXIL,HPXL,DIAPL,IEXL,HPXL,TPDDL,DIAPL,BRPL,HPXL,APPCPL,HPXL,PXIL,SIMHAPURI,PXIL,HPXL,PXIL,DELHI,PXIL,IEXL,HPXL,IEXL,PowerPulse,PXIL,PXIL,JPL,HPXL,
,,DELHI_UT,DELHI_UT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GEB_State,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,NA,GEB_State,NA,NA,NA,TAMILNADU_State,NA,NA,NA,NA,MP_State,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,NA,NA,NA,GEB_State,HIMACHAL_STATE,TAMILNADU_State,GEB_State,NA,HIMACHAL_STATE,NA,NA,NA,MP_State,CSEB_State,NA,ODISHA_STATE,NA,ODISHA_STATE,HIMACHAL_STATE,NA,JK_and_LADAKH_UT,HIMACHAL_STATE,ODISHA_STATE,NA,UTTARPRADESH_STATE,Meghalaya_State,NA,MSEB_State,
,,BAWANA_GAS,BAWANA_GAS,RKM_POWER,COASTGEN,RKM_POWER,RIHAND3,SIMHAPURI,TPSL_BKN2,DIKCHU,SORANG_HEP,MAHAN_ENERGEN,JPL2,RKM_POWER,TS1PL_BKN,PCBL_MUNDRA,APSEPL_FTG,JPL2,APL_Raipur_TPP,ITCWIND,SKS_Raigarh,MBMP,APL_Raipur_TPP,JPNIGRIE_JNSTPP,JPL,JPNIGRIE_JNSTPP,PCBL_PALEJ,Kameng,ILFS,JIPL,SURYADEV_ALLOYSTN,JPNIGRIE_JNSTPP,COASTGEN,TRN_ENERGY,SORANG_HEP,Ultratech_Sidhi_MP,COASTGEN,MBMP,SKS_Raigarh,SKS_Raigarh,APL_Raipur_TPP,RKM_POWER,GBHHPL,SKS_Raigarh,JPL,JPNIGRIE_JNSTPP,PCBL_PALEJ,GBHHPL,SURYADEV_ALLOYSTN,PCBL_MUNDRA,JHAJJAR,GBHHPL,DADRT2,SIMHAPURI,TRN_ENERGY,Ultratech_Sidhi_MP,SKSIPL,SIMHAPURI,FACORPOWER,JPL,FACORPOWER,CHANJUII,SINGOLI,O2ZTPL,KGEPL_HP,VSL,APL_Raipur_TPP,LAPL_UP,Meghalaya_Ben,JPL2,GRETAENERGY,
,,PUNJAB_STATE,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,PUNJAB,HARYANA,NDMC,BRPL,NDMC,BRPL,BRPL,MES_Delhi,BYPL,BYPL,BRPL,NDMC,NDMC,BRPL,BRPL,TPDDL,NDMC,TPDDL,ITCLH,BYPL,NDMC,TPDDL,TPDDL,BRPL,TPDDL,BRPL,TPDDL,BYPL,NDMC,BRPL,BRPL,BRPL,NDMC,TPDDL,BRPL,BRPL,NDMC,NDMC,NDMC,TPDDL,NDMC,TPDDL,BYPL,BRPL,BRPL,BRPL,DIAPL,BRPL,BRPL,TPDDL,DIAPL,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,
,,North-North,North-North,West-North,South-West-North,West-North,North-North,South-West-North,North-North,East-North,North-North,West-North,West-North,West-North,North-North,West-North,North-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North East-East-North,South-West-North,East-North,South-West-North,West-North,South-East-North,West-North,North-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,North-North,South-West-North,West-North,North-North,North-North,North-North,South-West-North,West-North,West-North,West-North,South-West-North,East-North,West-North,East-North,North-North,North-North,North-North,North-North,East-North,West-North,North-North,North East-East-North,West-North,West-North,
1,00:00-00:15,30,21.25,37.32,164.22,37.32,33.81,48.3,0,88.6,86.94,164.22,0,0,0,4.83,0,37.32,0,0.77,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,0,24.15,0,0,12.44,0,0,0,0,47.33,96.6,0,0,1.93,0,0,0,6.76,111.09,0,0,0,10.63,20.53,14.49,0,14.49,16,28.98,0,13.52,0,164.22,28.98,67.62,82.11,5.8,1950.08

2,00:15-00:30,30,21.25,37.32,164.22,37.32,33.81,48.3,0,88.6,86.94,164.22,0,0,0,4.83,0,37.32,0,0.77,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,0,24.15,0,0,12.44,0,0,0,0,47.33,96.6,0,0,1.93,0,0,0,6.76,111.09,0,0,0,10.63,20.53,14.49,0,14.49,16,28.98,0,13.52,0,164.22,28.98,67.62,82.11,5.8,1950.08

