Column1,Time,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/9252,GNA/NR/2025/04/01/8510,GNA/NR/2025/04/01/8456,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/2069,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/6160,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/05/01/4138,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/19072037/LT-05,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/2474,NR/01102023/06022042/L_NR_2012_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/22052037/LT-59,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/8964,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/8954,NR/01102023/30042040/GNA_LT_36,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/05/01/5800,NR/01102023/31102037/L_NR_2019_11,GNARE/NR/2024/12/20/3668,L_NR_2019_19,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,GNARE/SR/2025/01/13/4532,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07)
1,00:00-00:15,0,0,0,0,0,0,0,0,164.1,13.51,7.76,10.45,28.96,0,26.93,0,0,123.08,164.1,0,14.48,0,69.1,0,9.42,115.43,28.96,14.48,29.01,201.14,29.27,2.34,272.94,26.93,4.63,10.62,5.79,0,100.56,3.6,67.57,3.62,0,0,15.67,40,0,8,16.67,40,49.99,16.67,0,0

2,00:15-00:30,0,0,0,0,0,0,0,0,164.1,13.51,7.76,10.45,28.96,0,26.93,0,0,123.08,164.1,0,14.48,0,69.1,0,9.42,115.43,28.96,14.48,29.01,201.14,29.27,3.12,272.94,26.93,5.5,10.62,5.79,0,100.56,3.6,67.57,3.62,0,0,16.67,40.66,0,7.8,16.33,40.67,49.01,16.33,0,0

3,00:30-00:45,0,0,0,0,0,0,0,0,164.1,13.51,7.76,10.19,28.96,0,26.93,0,0,123.08,164.1,0,14.48,0,69.1,0,9.42,115.43,28.96,14.48,17.38,201.14,29.27,3.12,272.94,26.93,5.5,10.62,5.79,0,100.56,3.6,67.57,3.62,0,0,23.33,41.66,0,7.6,15.83,41.67,47.51,15.83,0,0

4,00:45-01:00,0,0,0,0,0,0,0,0,164.1,13.51,7.76,10.19,28.96,0,26.93,0,0,123.08,164.1,0,14.48,0,69.1,0,9.42,115.43,28.96,14.48,17.38,201.14,29.27,3.12,272.94,26.93,5.5,10.62,5.79,0,100.56,3.6,67.57,3.62,0,0,22.67,41,0,7.4,15.5,41,46.5,15.5,0,0

5,01:00-01:15,0,0,0,0,0,0,0,0,164.1,13.51,7.76,10.19,28.96,0,26.93,0,0,123.08,164.1,0,14.48,0,69.1,0,9.42,115.43,28.96,14.48,17.38,201.14,29.77,3.12,272.94,26.93,5.5,10.62,5.79,0,100.56,3.6,67.57,3.62,0,0,21.67,43.34,0,7.2,20,43.33,60,20,0,0

6,01:15-01:30,0,0,0,0,0,0,0,0,164.1,13.51,7.76,10.19,28.96,0,26.93,0,0,123.08,164.1,0,14.48,0,69.1,0,9.42,115.43,28.96,14.48,17.38,201.14,29.77,3.12,272.94,26.93,5.5,10.62,5.79,0,100.56,3.6,67.57,3.62,0,0,21,41.66,0,7,19.67,41.67,58.99,19.67,0,0

7,01:30-01:45,0,0,0,0,0,0,0,0,164.1,13.51,7.76,10.19,28.96,0,26.93,0,0,123.08,164.1,0,14.48,0,69.1,0,9.42,115.43,28.96,14.48,17.38,201.14,29.77,3.12,272.94,26.93,5.5,10.62,5.79,0,100.56,3.6,67.57,3.62,0,0,20,50,0,7,20.83,50,62.5,20.84,0,0

8,01:45-02:00,0,0,0,0,0,0,0,0,164.1,13.51,7.76,10.19,28.96,0,26.93,0,0,123.08,164.1,0,14.48,0,69.1,0,9.42,115.43,28.96,14.48,17.38,201.14,29.77,3.12,272.94,26.93,5.5,10.62,5.79,0,100.56,3.6,67.57,3.62,0,0,19.33,49.34,0,7,20,49.33,60,20,0,0

9,02:00-02:15,0,0,0,0,0,0,0,0,164.1,13.51,7.76,10.45,0,96.53,26.93,0,0,123.08,164.1,0,14.48,0,69.1,0,9.33,115.43,28.96,0,17.38,201.14,29.77,3.12,272.94,26.93,5.5,10.62,0,0,100.56,3.6,0,3.47,0,0,18.33,43.34,0,13.01,19.67,43.33,59,19.66,0,0

10,02:15-02:30,0,0,0,0,0,0,0,0,164.1,13.51,7.76,10.45,0,96.53,26.93,0,0,123.08,164.1,0,14.48,0,69.1,0,9.33,115.43,28.96,0,17.38,201.14,29.77,3.12,272.94,26.93,5.5,10.62,0,0,100.56,3.6,0,3.47,0,0,16.67,42.66,0,12.61,19.17,42.67,57.5,19.16,0,0

11,02:30-02:45,0,0,0,0,0,0,0,0,164.1,13.51,7.76,10.45,0,96.53,26.93,0,0,123.08,164.1,0,14.48,0,69.1,0,9.33,115.43,28.96,0,17.38,201.14,29.77,3.12,272.94,26.93,5.5,10.62,0,0,100.56,3.6,0,3.47,0,0,16,46.66,0,12.41,18,46.67,54,18,0,0

12,02:45-03:00,0,0,0,0,0,0,0,0,164.1,13.51,7.76,10.45,0,96.53,26.93,0,0,123.08,164.1,0,14.48,0,69.1,0,9.33,115.43,28.96,0,17.38,201.14,29.27,3.12,272.94,26.93,5.5,10.62,0,0,100.56,3.6,0,3.47,0,0,15,46.34,0,11.81,17.17,46.33,51.5,17.16,0,0

13,03:00-03:15,0,0,0,0,0,0,0,0,164.1,13.51,7.76,10.45,0,96.53,26.93,0,0,123.08,164.1,0,14.48,0,69.1,0,9.33,115.43,28.96,0,17.38,201.14,29.27,3.12,272.94,26.93,5.5,10.62,0,0,100.56,3.51,0,3.47,0,0,14.33,44.66,0,11,16.67,44.67,50,16.66,0,0

14,03:15-03:30,0,0,0,0,0,0,0,0,164.1,13.51,7.76,10.45,0,96.53,26.93,0,0,123.08,164.1,0,14.48,0,69.1,0,9.33,115.43,28.96,0,17.38,201.14,29.27,3.12,272.94,26.93,5.5,10.62,0,0,100.56,3.51,0,3.47,0,0,14.67,43.34,0,10.2,15.83,43.33,47.5,15.84,0,0

15,03:30-03:45,0,0,0,0,0,0,0,0,164.1,13.51,7.76,10.45,0,96.53,26.93,0,0,123.08,164.1,0,14.48,0,69.1,0,9.33,115.43,28.96,0,17.38,201.14,29.27,3.12,272.94,26.93,5.5,10.62,0,0,100.56,3.51,0,3.7,0,0,14.33,41,0,9,15,41,45,15,0,0

16,03:45-04:00,0,0,0,0,0,0,0,0,164.1,13.51,7.76,10.45,0,96.53,26.93,0,0,123.08,164.1,0,14.48,0,69.1,0,9.33,115.43,28.96,0,17.38,201.14,29.27,3.12,272.94,26.93,5.5,10.62,0,0,100.56,3.51,0,3.7,0,0,15,40,0,8.4,15,40,45,15,0,0

17,04:00-04:15,0,0,0,0,0,0,0,0,164.1,13.51,7.76,10.45,0,96.53,26.93,0,0,123.08,164.1,0,14.48,0,69.1,0,9.24,115.43,28.96,0,17.38,201.14,29.27,3.12,272.94,26.93,5.5,10.62,0,0,100.56,3.51,0,3.62,0,0,15,38,0,6,15.33,38,46,15.34,0,0

18,04:15-04:30,0,0,0,0,0,0,0,0,164.1,13.51,7.76,10.45,0,96.53,26.93,0,0,123.08,164.1,0,14.48,0,69.1,0,9.24,115.43,28.96,0,17.38,201.14,29.27,3.12,272.94,26.93,5.5,10.62,0,0,100.56,3.51,0,3.62,0,0,15,37,0,6,15.83,37,47.5,15.84,0,0

19,04:30-04:45,0,0,0,0,0,0,0,0,164.1,13.51,7.76,10.45,0,96.53,26.93,0,0,123.08,164.1,0,14.48,0,69.1,0,9.24,115.43,28.96,0,17.38,201.14,29.27,3.12,272.94,26.93,5.5,10.62,0,0,100.56,3.51,0,3.62,0,0,14.33,36,0,6,16.17,36,48.5,16.16,0,0

20,04:45-05:00,0,0,0,0,0,0,0,0,164.1,13.51,7.76,10.45,0,96.53,26.93,0,0,123.08,164.1,0,14.48,0,69.1,0,9.24,85.16,28.96,0,17.38,201.14,29.27,3.12,272.94,26.93,5.5,10.62,0,0,100.56,3.51,0,3.62,0,0,13.33,35.34,0,6,14.17,35.33,42.5,14.16,0,0

21,05:00-05:15,0,0,0,0,0,0,0.02,0,164.1,13.51,7.76,10.45,0,96.53,26.93,0,0,123.08,164.1,0,14.48,0,56.87,0,9.14,70.4,28.96,0,17.38,169.58,29.27,3.12,231.67,26.93,5.5,10.62,0,0,100.56,3.51,0,3.54,0.01,0,12.67,34.34,0,6,13.17,34.33,39.5,13.16,0,0

22,05:15-05:30,0,0,0,0,0,0.02,0.07,0,164.1,13.51,7.76,10.45,0,96.53,26.93,0,0,123.08,164.1,0,14.48,0,69.1,0,9.14,70.4,28.96,0,17.38,201.14,28.25,3.12,272.94,26.93,5.5,10.62,0,0,100.56,3.51,0,3.54,0.04,0,11.67,31.66,0,6,12.17,31.67,36.5,12.16,0,0

23,05:30-05:45,0,0,0,0,0,0.03,0.17,0,164.1,13.51,7.76,10.45,0,96.53,26.93,0,0,123.08,164.1,0,14.48,0,69.1,0,9.14,70.4,28.96,0,17.38,201.14,28.25,3.12,272.94,26.93,5.5,10.62,0,0,100.56,3.51,0,3.54,0.24,0,10.67,29.34,0,6,11.33,29.33,34,11.34,0,0

