Block,Time,LT-59,L_NR_2021_16,L_NR_2021_15,L_NR_2021_14,L_NR_2022_09,L_NR_2021_17,L_NR_2019_07,L_NR_2021_12,L_NR_2021_13,L_NR_2023_07,L_NR_2023_10,L_NR_2022_08,L_NR_2020_02,L_NR_2012_02,LT-05,LT-35,SH-07,L_NR_2020_06,L_NR_2019_05,SH-06,L_NR_2023_04,L_NR_2019_06,L_NR_2012_07,L_NR_2018_61,L_NR_2022_10,L_NR_2020_07,L_NR_2012_01,LT-36,LT-31,L_NR_2019_11,L_NR_2019_19,L_NR_2020_05,L_NR_2012_04
1,00:00-00:15,10.340000,0,0,0,61.88,0,0,0,0,0,0,19.88,11.900000,261.530000,116.020000,0.000000,30.930000,25.3,0,30.930000,30.890000,0,74.110000,22.45,61.88,25.31,0.000000,0.000000,0.000000,9.990000,0,75.91,133.380000

2,00:15-00:30,10.340000,0,0,0,62.07,0,0,0,0,0,0,20.54,11.900000,261.530000,116.020000,0.000000,30.930000,25.57,0,30.930000,31.890000,0,74.110000,22.67,62.07,25.57,0.000000,0.000000,0.000000,9.990000,0,76.71,133.380000

3,00:30-00:45,10.340000,0,0,0,62.27,0,0,0,0,0,0,23.21,11.900000,261.530000,116.020000,0.000000,30.930000,25.76,0,30.930000,31.890000,0,74.110000,21.13,62.27,25.75,0.000000,0.000000,0.000000,8.460000,0,77.27,133.380000

4,00:45-01:00,10.340000,0,0,0,62.47,0,0,0,0,0,0,23.81,11.900000,261.530000,116.020000,0.000000,30.930000,25.95,0,30.930000,31.890000,0,74.110000,21.19,62.47,25.97,0.000000,0.000000,0.000000,8.460000,0,77.86,133.380000

5,01:00-01:15,10.340000,0,0,0,62.66,0,0,0,0,0,0,24.54,11.900000,261.530000,116.020000,0.000000,23.470000,26.62,0,23.470000,31.890000,0,74.110000,20.79,62.66,26.62,0.000000,0.000000,0.000000,8.460000,0,79.86,133.380000

6,01:15-01:30,10.340000,0,0,0,62.86,0,0,0,0,0,0,25.21,11.900000,261.530000,116.020000,0.000000,23.470000,27.09,0,23.470000,31.890000,0,74.110000,20.55,62.86,27.09,0.000000,0.000000,0.000000,8.460000,0,81.26,133.380000

7,01:30-01:45,10.340000,0,0,0,63.06,0,0,0,0,0,0,25.88,11.900000,261.530000,116.020000,0.000000,23.470000,24.35,0,23.470000,31.890000,0,74.110000,20.22,63.06,24.36,0.000000,0.000000,0.000000,8.460000,0,73.06,133.380000

8,01:45-02:00,10.340000,0,0,0,63.25,0,0,0,0,0,0,26.67,11.900000,261.530000,116.020000,0.000000,23.470000,24.99,0,23.470000,31.890000,0,74.110000,25.06,63.25,24.98,0.000000,0.000000,0.000000,8.460000,0,74.96,133.380000

9,02:00-02:15,10.340000,0,0,0,63.45,0,0,0,0,0,0,26.59,11.900000,261.530000,116.020000,0.000000,26.090000,25.23,0,26.090000,31.890000,0,74.110000,24.94,63.45,25.23,0.000000,0.000000,0.000000,8.460000,0,75.69,133.380000

10,02:15-02:30,10.340000,0,0,0,63.65,0,0,0,0,0,0,26.65,11.900000,261.530000,116.020000,0.000000,26.090000,25.45,0,26.090000,31.890000,0,74.110000,24.94,63.65,25.47,0.000000,0.000000,0.000000,8.460000,0,76.36,133.380000

11,02:30-02:45,10.340000,0,0,0,63.84,0,0,0,0,0,0,26.62,11.900000,261.530000,116.020000,0.000000,26.090000,25.74,0,26.090000,31.890000,0,74.110000,24.74,63.84,25.72,0.000000,0.000000,0.000000,8.460000,0,77.21,133.380000

12,02:45-03:00,10.340000,0,0,0,64.04,0,0,0,0,0,0,26.55,11.900000,261.530000,116.020000,0.000000,26.090000,25.98,0,26.090000,31.890000,0,74.110000,24.54,64.04,25.99,0.000000,0.000000,0.000000,8.460000,0,77.96,133.380000

13,03:00-03:15,10.340000,0,0,0,72.24,0,0,0,0,0,0,34.58,11.900000,261.530000,116.020000,0.000000,26.090000,32.77,0,26.090000,31.890000,0,74.110000,24.09,72.24,32.78,0.000000,0.000000,0.000000,8.460000,0,98.32,133.380000

14,03:15-03:30,10.340000,0,0,0,72.54,0,0,0,0,0,0,34.37,11.900000,261.530000,116.020000,0.000000,26.090000,32.55,0,26.090000,31.890000,0,74.110000,23.94,72.54,32.56,0.000000,0.000000,0.000000,8.460000,0,97.65,133.380000

15,03:30-03:45,10.340000,0,0,0,72.21,0,0,0,0,0,0,34.13,11.900000,261.530000,116.020000,0.000000,26.090000,32.3,0,26.090000,31.890000,0,56.060000,28.34,72.21,32.28,0.000000,0.000000,0.000000,8.460000,0,96.89,133.380000

16,03:45-04:00,10.340000,0,0,0,71.55,0,0,0,0,0,0,33.87,11.900000,261.530000,94.780000,0.000000,26.090000,32.04,0,26.090000,31.890000,0,56.060000,27.88,71.55,32.04,0.000000,0.000000,0.000000,8.460000,0,96.12,133.380000

17,04:00-04:15,10.340000,0,0,0,71.14,0,0,0,0,0,0,33.93,11.900000,261.530000,94.780000,0.000000,26.090000,31.83,0,26.090000,31.890000,0,46.900000,27.14,71.14,31.85,0.000000,0.000000,0.000000,8.460000,0,95.5,133.380000

18,04:15-04:30,10.340000,0,0,0,70.73,0,0,0,0,0,0,33.8,11.900000,261.530000,85.300000,0.000000,26.090000,31.65,0,26.090000,31.890000,0,46.900000,26.34,70.73,31.67,0.000000,0.000000,0.000000,8.460000,0,94.96,133.380000

19,04:30-04:45,10.340000,0,0,0,70.32,0,0,0,0,0,0,33.58,11.900000,230.380000,70.520000,0.000000,26.090000,31.58,0,26.090000,31.890000,0,46.900000,25.94,70.32,31.59,0.000000,0.000000,0.000000,8.460000,0,94.75,133.380000

20,04:45-05:00,10.340000,0,0,0,69.91,0,0,0,0,0,0,33.44,11.900000,201.390000,70.520000,0.000000,26.090000,31.32,0,26.090000,31.890000,0,46.900000,31.5,69.91,31.32,0.000000,0.000000,0.000000,8.460000,0,93.96,133.380000

21,05:00-05:15,10.340000,0,0,0,69.5,0,0,0,0,0,0,29.82,11.900000,201.390000,70.520000,0.000000,26.090000,30.87,0,26.090000,30.930000,0,41.060000,31.37,69.5,30.86,0.000000,0.000000,0.000000,8.460000,0,92.61,133.380000

22,05:15-05:30,10.340000,0,0,0,68.9,0,0,0,0,0,0,29.79,11.900000,201.390000,70.520000,0.000000,26.090000,30.68,0,26.090000,30.930000,0,41.060000,30.94,68.9,30.69,0.000000,0.000000,0.000000,8.460000,0,92.04,133.380000

23,05:30-05:45,10.340000,0,0,0.03,69.01,0,0,0,0,0,0,29.86,11.900000,201.390000,70.520000,0.000000,26.090000,30.65,0,26.090000,30.930000,0,41.060000,31.47,69.01,30.64,0.000000,0.000000,0.000000,8.460000,0,91.94,133.380000

24,05:45-06:00,10.340000,0.67,0,0.1,75.14,0.33,0,0.05,0.01,0,0,29.88,11.900000,201.390000,70.520000,0.000000,26.090000,30.51,0,26.090000,30.930000,0,41.060000,32,75.14,30.53,0.000000,0.000000,0.000000,8.460000,0.71175,91.54,133.380000

25,06:00-06:15,10.340000,2,0,1.27,75.21,1,2.22,2.16,0.43,1.44,0.62,29.88,11.900000,201.390000,70.520000,0.000000,26.090000,30.62,0,26.090000,30.930000,0,41.060000,32.21,75.21,30.63,0.000000,0.000000,0.000000,8.460000,4.59225,91.87,114.050000

26,06:15-06:30,10.340000,3.33,0.72,3,75.24,1.67,6.66,5.82,1.16,5,2.15,29.82,11.900000,201.390000,70.520000,0.410000,26.090000,30.54,0,26.090000,30.930000,0,41.060000,31.65,75.24,30.54,0.000000,0.420000,0.410000,8.460000,8.66775,91.62,104.380000

27,06:30-06:45,10.340000,4,1.65,4.93,75.32,2,12.72,10.28,2.06,10.07,4.31,33.79,11.900000,160.130000,70.520000,0.860000,26.090000,35,0,26.090000,30.930000,0,41.060000,20.14,75.32,35,0.000000,0.880000,0.860000,8.460000,12.39225,105,123.710000

28,06:45-07:00,10.340000,6.67,3.11,7.23,75.27,3.33,24.48,15.83,3.17,16.19,6.94,33.86,11.900000,145.630000,70.520000,1.380000,26.090000,35,25.76,26.090000,29.960000,23,41.060000,19.73,75.27,35,0.000000,1.410000,1.380000,8.460000,16.653,105,133.380000

29,07:00-07:15,10.340000,9.33,5.15,10.33,75.19,4.67,29.98,23.78,4.75,23.41,10.03,33.88,11.900000,145.630000,70.520000,1.970000,26.090000,35,29.99,26.090000,30.800000,29.98,41.060000,19.33,75.19,35,0.000000,2.020000,1.970000,8.460000,21.84,105,104.380000

30,07:15-07:30,10.340000,12,7.67,14.43,75.31,6,29.98,33.89,6.78,31.79,13.62,34.14,11.900000,145.630000,70.520000,2.730000,26.090000,35,29.99,26.090000,30.800000,29.98,41.060000,18.38,75.31,35,0.000000,2.810000,2.730000,8.460000,27.3195,105,85.050000

31,07:30-07:45,10.340000,21.33,10.3,19.43,75.27,10.67,30.67,45.84,9.17,40.98,17.57,33.88,11.900000,145.630000,70.520000,3.600000,26.090000,35,30.66,26.090000,29.840000,30.67,41.060000,17.88,75.27,35,0.000000,3.690000,3.600000,8.460000,32.71125,105,85.050000

32,07:45:08:00,10.340000,26,13.11,24.93,75.31,13,30.83,58.98,11.79,51.01,21.86,33.71,11.900000,145.630000,70.520000,4.500000,26.090000,33.77,30.84,26.090000,30.800000,30.83,41.060000,21.13,75.31,33.77,0.000000,4.610000,4.500000,8.460000,37.64475,101.32,85.050000

33,08:00-08:15,10.340000,31.33,19.86,30.77,75.18,15.67,32.33,61.78,12.35,61.89,26.52,33.62,11.900000,145.630000,70.520000,5.380000,26.090000,34.27,32.34,26.090000,29.750000,32.33,41.060000,20.73,75.18,34.27,0.000000,5.510000,5.380000,8.460000,42.8805,102.82,85.050000

34,08:15-08:30,10.340000,32.67,23.73,36.7,75.1,16.33,32.33,73.74,14.75,73.05,31.3,33.47,11.900000,145.630000,70.520000,6.260000,26.090000,34.73,32.34,26.090000,29.710000,32.33,41.060000,20.33,75.1,34.74,0.000000,6.410000,6.260000,8.460000,48.36,104.19,85.050000

35,08:30-08:45,10.340000,38,26.78,42.47,75.53,19,32.5,84.81,16.96,83.91,35.96,33.66,11.900000,145.630000,70.520000,7.110000,26.090000,36,32.5,26.090000,29.710000,32.5,41.060000,20.01,75.53,35.99,0.000000,7.300000,7.110000,8.460000,53.90775,107.99,85.050000

36,08:45:09:00,10.340000,41.34,29.25,48.33,76.11,20.66,32.5,94.31,18.86,94.26,40.4,33.95,11.900000,145.630000,70.520000,7.940000,26.090000,36.33,32.5,26.090000,30.680000,32.5,41.060000,14.08,76.11,36.34,0.000000,8.140000,7.940000,8.460000,59.64075,109,85.050000

37,09:00:09:15,10.340000,53.34,31.3,53.87,73.21,26.66,32.5,106.15,21.23,104.72,44.88,30,11.900000,145.630000,70.520000,8.740000,26.090000,35.74,32.5,26.090000,30.680000,32.5,41.060000,13.8,73.21,35.75,0.000000,8.950000,8.740000,8.460000,65.04225,107.22,104.380000

38,09:15-09:30,10.340000,56,32.99,59.2,73.45,28,32.5,167.29,33.46,115.29,49.41,30.38,11.900000,160.130000,70.520000,9.490000,26.090000,36.18,32.5,26.090000,31.640000,32.5,41.060000,13.44,73.45,36.18,0.000000,9.730000,9.490000,8.460000,69.8685,108.55,123.710000

39,09:30-09:45,0.000000,58.67,36.32,64.2,74.12,29.33,32.67,183.48,36.69,129.5,55.5,31.33,11.900000,201.390000,70.520000,10.140000,26.090000,36.29,32.66,26.090000,30.680000,32.67,56.060000,14,74.12,36.29,0.000000,10.400000,10.140000,0.000000,74.03175,108.87,133.380000

