Column1,Block,NR/2024/24071/A/44649,NR/2024/24169/C,NR/2024/24168/C,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/1475,NR/30092023/31122025/SH-07,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/1599,GNA/WR/2024/10/15/7089,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/3428,GNA/WR/2024/11/01/4200,NR/2024/24060/A/44831,WR/2024/25054/A/44811,NR/2024/24097/A/44642,NR/2024/24088/A/44644,NR/2024/24051/A/44651,NR/2024/23952/A/44639,GNA/NR/2024/12/01/7739,NR/2024/24052/A/44650,NR/2024/24170/C,NR/2024/24171/C,NR/30092023/26122029/SH-06,Total
,,IEXL,SJVNL,SJVNL,DELHI,NDMC,NDMC,BAWANA_GAS,KSEB,NDMC,PTC,APPCPL,NDMC,NDMC,MANIKARAN,NVVNL,APPCPL,IEXL,IEXL,IEXL,ITCLH,PTC,IEXL,HPXL,HPXL,PUNJAB,
,,NA,NA,NA,HIMACHAL_STATE,NA,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,DELHI_UT,NA,NA,DELHI_UT,NA,DELHI_UT,KARNATAKA_STATE,KARNATAKA_STATE,TELANGANA_State,ANDHRA_PRADESH_STATE,DELHI_UT,TELANGANA_State,NA,NA,DELHI_UT,
,,TESPL_BKN2,TPSL_BKN2,RSRPL_BKN,CHANJUII,RKM_POWER,JPL2,BAWANA_GAS,BYPL,TRN_ENERGY,BRPL,BYPL,RKM_POWER,SKS_Raigarh,BRPL,JITPL,BRPL,NSLSUGARALAND,NSLSTUNGBHDRA,NSLKSLWPRTY,ITCWIND,BYPL,NSLKSLWPRTY,SEIL,ACBIL,BAWANA_GAS,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,KERALA_State,DELHI_UT,HIMACHAL_STATE,MSEB_State,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,
,,MES_Delhi,NDMC,NDMC,TPDDL,NDMC,NDMC,HARYANA,KSEB,NDMC,HP,AEML,NDMC,NDMC,AEML,NDMC,GOA_Beneficiary,MES_Delhi,MES_Delhi,MES_Delhi,ITCLH,HP,MES_Delhi,BYPL,BYPL,PUNJAB,
,,North-North,North-North,North-North,North-North,West-North,West-North,North-North,North-West-South,West-North,North-North,North-West,West-North,West-North,North-West,East-North,North-West,South-West-North,South-West-North,South-West-North,South-West-North,North-North,South-West-North,South-West-North,West-North,North-North,
1,00:00-00:15,0,0,0,1.92,25.9,25.9,0,150,8.63,95.13,0,25.9,8.63,0,17.27,0,7.67,0.96,0,0.43,31.71,2.88,0,0,0,402.92999999999995

2,00:15-00:30,0,0,0,1.92,25.9,25.9,0,150,8.63,95.13,0,25.9,8.63,0,17.27,0,7.67,0.96,0,0.43,31.71,2.88,0,0,0,402.92999999999995

3,00:30-00:45,0,0,0,1.92,25.9,25.9,0,150,8.63,95.13,0,25.9,8.63,0,17.27,0,7.67,0.96,0,0.43,31.71,2.88,0,0,0,402.92999999999995

4,00:45-01:00,0,0,0,1.92,25.9,25.9,0,150,8.63,95.13,0,25.9,8.63,0,17.27,0,7.67,0.96,0,0.43,31.71,2.88,0,0,0,402.92999999999995

