Block,Time,TEHRI,RAPPC,BSIUL,NJPC,CHAMERA2,RIHAND1,URI2,DULHASTI,DADRI_GF,TANDA2,KOTESHWR,AURY_CRF,ANTA_LF,UNCHAHAR4,DADRT2,UNCHAHAR1,AURY_RF,RAMPUR,KISHANGANGA,RIHAND3,DADRI_CRF,DADRI_LF,PARBATI3,SINGRAULI_HYDRO,UNCHAHAR3,CHAMERA3,TANAKPUR,JHAJJAR,RIHAND2,UNCHAHAR2,KOLDAM,AURY_GF,ANTA_CRF,DADRI_RF,RAPPB,ANTA_RF,DHAULIGNGA,AURY_LF,ANTA_GF,SEWA2,SALAL,URI,NAPP,SINGRAULI,CHAMERA1,NLCIIST2,NTPL,KAPS,BRBCL,NNTPP,KGSU3AND4,MOUDA_II,TALST2,SIMHST2,KHSTPP-II,MAPS,RSTPSU1TO6,KAWAS-zLIQ,KAWAS-APM,NLCEXP,KKNP,RSTPSU7,KSTPS I&II,TAPS-II,KAWAS-ComGas,FSTPP I & II,VALLURNTECL,NLCIIST1,KAWAS-RLNG,VSTPS V,TALA,NLCTS2EXP,KGSU1AND2,KUDGI,VSTPS II,VSTPS IV,VSTPS III,KAWAS-NAPM,KSTPS7,KHSTPP-I,SIPAT II,MOUDA,GANDHAR-RLNG,SASAN,GANDHAR-ComGas,LARA-I,GANDHAR-NAPM,KHARGONE-I,GADARWARA-I,GANDHAR-APM,SIPAT I,SOLAPUR,VSTPS I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
17,04:00-04:15,17.760263,57.332561,12.672428,73.343211,42.186474,77.312040,32.208765,52.115693,0.000000,2.359089,8.423597,0.000000,0.000000,0.000000,182.813358,0.000000,0.000000,1.414266,1.255809,122.319536,0.000000,0.000000,0.000000,1.020039,10.854856,30.656970,2.972330,237.162447,116.683092,19.749898,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.585953,0.000000,0.000000,16.608716,76.729695,47.496950,43.141307,120.341560,40.748764,0.41,1.01,0.792042,13.652099,0.14,1.06,3.395103,2.93,0.00,110.467438,0.23,5.85,0.000000,0.000000,0.79,1.57,1.88,2.870752,2.700657,0.000000,11.274515,2.30,0.81,0.000000,1.283457,0.000000,1.57,1.93,7.68,1.878456,2.594590,1.894622,0.000000,1.297295,31.220679,0.904068,1.873758,0.000000,333.908550,0.000000,4.116755,0.000000,3.424858,4.151343,0.000000,5.137286,1.712429,2.128121,0,0,0,0,0

18,04:15-04:30,8.880131,57.332561,12.672428,73.343211,42.186474,77.312040,32.208765,52.115693,0.000000,2.359089,8.423597,0.000000,0.000000,0.000000,178.609855,0.000000,0.000000,1.414266,1.255809,122.319536,0.000000,0.000000,0.000000,1.020039,10.854856,30.656970,2.972330,237.162447,116.683092,19.749898,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.585953,0.000000,0.000000,16.608716,76.729695,47.496950,43.141307,120.341560,40.748764,0.41,1.01,0.792042,14.502010,0.14,1.06,3.395103,2.93,0.00,110.467438,0.23,5.85,0.000000,0.000000,0.79,1.57,1.88,2.870752,2.700657,0.000000,11.274515,2.30,0.81,0.000000,1.283457,0.000000,1.57,1.93,7.68,1.878456,2.594590,1.894622,0.000000,1.297295,31.220679,0.904068,1.873758,0.000000,333.908550,0.000000,4.116755,0.000000,3.424858,4.151343,0.000000,5.137286,1.712429,2.128121,0,0,0,0,0

19,04:30-04:45,0.000000,57.332561,19.008642,73.343211,42.186474,77.312040,32.208765,52.115693,0.000000,2.359089,8.423597,0.000000,0.000000,0.000000,219.589767,0.000000,0.000000,1.414266,1.255809,122.319536,0.000000,0.000000,3.357155,1.020039,12.655204,30.656970,2.972330,252.950291,116.683092,19.749898,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.585953,0.000000,0.000000,16.608716,76.729695,47.496950,43.141307,120.341560,40.748764,0.41,1.01,0.792042,14.502010,0.14,1.06,3.395103,2.93,0.00,110.467438,0.23,5.85,0.000000,0.000000,0.79,1.57,1.88,2.870752,2.700657,0.000000,12.299323,2.30,0.81,0.000000,1.283457,0.000000,1.57,1.93,7.68,1.878456,2.594590,1.894622,0.000000,1.297295,31.220679,0.904068,1.873758,0.000000,333.908550,0.000000,4.116755,0.000000,3.424858,4.151343,0.000000,5.137286,1.712429,2.128121,0,0,0,0,0

20,04:45-05:00,0.000000,57.332561,19.008642,73.343211,42.186474,77.312040,32.208765,52.115693,0.000000,2.359089,8.423597,0.000000,0.000000,0.000000,219.589767,0.000000,0.000000,1.414266,1.255809,122.319536,0.000000,0.000000,10.742898,1.020039,12.655204,30.656970,2.972330,252.950291,116.683092,19.923395,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.585953,0.000000,0.000000,16.608716,76.729695,47.496950,43.141307,120.341560,40.748764,0.41,1.01,0.792042,14.502010,0.14,1.06,3.395103,2.93,0.00,110.467438,0.23,5.85,0.000000,0.000000,0.79,1.57,1.88,2.870752,2.700657,0.000000,12.299323,2.30,0.81,0.000000,1.283457,0.000000,1.57,1.93,7.68,1.878456,2.594590,1.894622,0.000000,1.297295,31.220679,0.904068,1.873758,0.000000,333.908550,0.000000,4.116755,0.000000,3.424858,4.151343,0.000000,5.137286,1.712429,2.128121,0,0,0,0,0

21,05:00-05:15,0.000000,57.332561,19.008642,73.343211,42.186474,77.312040,32.208765,52.115693,0.000000,2.359089,8.423597,0.000000,0.000000,0.000000,219.589767,0.000000,0.000000,1.414266,1.255809,122.319536,0.000000,0.000000,52.505911,1.020039,12.655204,30.656970,2.972330,252.950291,116.683092,16.700987,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.585953,0.000000,0.000000,16.608716,76.729695,51.232666,43.141307,120.341560,40.748764,0.41,1.01,0.792042,14.502010,0.14,1.06,3.395103,2.93,0.00,110.467438,0.23,5.85,0.000000,0.000000,0.79,1.57,1.88,2.870752,2.700657,0.000000,12.299323,2.30,0.81,0.000000,1.283457,0.000000,1.57,1.93,7.68,1.878456,2.594590,1.894622,0.000000,1.297295,31.220679,0.904068,1.873758,0.000000,333.908550,0.000000,4.116755,0.000000,3.424858,4.151343,0.000000,5.137286,1.712429,2.128121,0,0,0,0,0

22,05:15-05:30,0.000000,57.332561,19.008642,73.343211,42.186474,77.312040,32.208765,52.115693,0.000000,2.359089,8.423597,0.000000,0.000000,0.000000,219.589767,0.000000,0.000000,1.414266,1.255809,122.319536,0.000000,0.000000,52.505911,1.020039,12.655204,30.656970,2.972330,252.950291,116.683092,16.700987,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.585953,0.000000,0.000000,16.608716,76.729695,51.232666,43.141307,120.341560,40.748764,0.41,1.01,0.792042,14.502010,0.14,1.06,3.395103,2.93,0.00,110.467438,0.23,5.85,0.000000,0.000000,0.79,1.57,1.88,2.870752,2.700657,0.000000,12.299323,2.30,0.81,0.000000,1.283457,0.000000,1.57,1.93,7.68,1.878456,2.594590,1.894622,0.000000,1.297295,31.220679,0.904068,1.873758,0.000000,333.908550,0.000000,4.116755,0.000000,3.424858,4.151343,0.000000,5.137286,1.712429,2.128121,0,0,0,0,0

23,05:30-05:45,0.000000,57.332561,19.008642,73.343211,42.186474,77.312040,32.208765,52.115693,0.000000,2.359089,8.423597,0.000000,0.000000,0.000000,219.589767,0.000000,0.000000,1.414266,1.255809,122.319536,0.000000,0.000000,52.505911,1.020039,12.655204,30.656970,2.972330,252.950291,116.683092,19.919968,1.028641,0.000000,0.000000,0.000000,0.000000,0.000000,9.585953,0.000000,0.000000,16.608716,76.729695,47.496950,43.141307,120.341560,40.748764,0.41,1.01,0.792042,14.502010,0.14,1.06,3.395103,2.93,0.00,110.467438,0.23,5.85,0.000000,0.000000,0.79,1.57,1.88,2.870752,2.700657,0.000000,12.299323,2.30,0.81,0.000000,1.283457,0.000000,1.57,1.93,7.68,1.878456,2.594590,1.894622,0.000000,1.297295,31.220679,0.904068,1.873758,0.000000,333.908550,0.000000,4.116755,0.000000,3.424858,4.151343,0.000000,5.137286,1.712429,2.256881,0,0,0,0,0

