Block,Time,NLCTS2EXP,ANTA_GF,ANTA_LF,DADRI_GF,DADRI_LF,DADRI_RF,BRBCL,KKNPPU2,NJPC,NNTPP,PARBATI2,UNCHAHAR1,UNCHAHAR3,VALLURNTECL,BSIUL,DULHASTI,KGSU1AND2,NLCIIST2,PARBATI3,RSTPSU1TO6,SASAN,TALST2,TANAKPUR,URI2,CHAMERA3,KHSTPP-II,NAPP,RAMPUR,RIHAND1,RSTPSU7,TEHRIPSP,UNCHAHAR4,URI,DHAULIGNGA,JHAJJAR,KHSTPP-I,KOTESHWR,KUDGI,MAPS,RAPPD,RIHAND2,SALAL,SINGRAULI,TANDA2,AURY_CRF,AURY_RF,DADRI_CRF,CHAMERA2,SIMHST2,SINGRAULI_HYDRO,UNCHAHAR2,CHAMERA1,DADRT2,KGSU3AND4,KISHANGANGA,KKNP,NTPL,RAPPB,RIHAND3,SEWA2,SIMHST1,TALA,TelanganaSTPP,ANTA_CRF,ANTA_RF,FSTPP I & II,KOLDAM,NLCEXP,NLCIIST1,RAPPC,TEHRI,AURY_GF,AURY_LF
1,00:00-00:15,0,0,0,0,0,106.06,24.99,0,175.8,0,49.27,21.65,27.38,0,19.56,38.32,0,0,57.24,0,331.88,0,13.11,37.41,33.95,49.43,24.36,5.68,48.09,0,192.57,2.94,52.36,42.46,667.27,45.53,45.08,0,0,33.7,125.27,84.83,113.75,5.73,0,82.48,0,47.12,0,0,44.52,42.15,689.39,0,6.97,0,0,0,130.84,18.34,0,24.58,0,0,52.09,20.15,8.63,0,0,65.43,76.19,0,0

2,00:15-00:30,0,0,0,0,0,106.06,24.99,0,175.8,0,49.27,21.65,27.38,0,19.56,38.32,0,0,57.24,0,331.88,0,13.11,37.41,33.95,49.43,24.36,5.68,48.09,0,192.57,2.94,52.36,42.46,667.27,45.53,45.08,0,0,33.7,125.27,84.83,113.75,5.73,0,82.48,0,47.12,0,0,44.52,42.15,689.39,0,6.97,0,0,0,130.84,18.34,0,24.58,0,0,52.09,20.15,8.63,0,0,65.43,76.19,0,0

3,00:30-00:45,0,0,0,0,0,106.06,24.99,0,175.8,0,49.27,21.65,27.38,0,19.56,38.32,0,0,57.24,0,331.88,0,13.11,37.41,33.95,49.43,24.36,5.68,48.09,0,192.57,2.94,52.36,42.46,667.27,45.53,45.08,0,0,33.7,125.27,84.83,113.75,5.73,0,82.48,0,47.12,0,0,44.52,42.15,689.39,0,6.97,0,0,0,130.84,18.34,0,24.58,0,0,52.09,20.15,8.63,0,0,65.43,76.19,0,0

4,00:45-01:00,0,0,0,0,0,106.06,24.99,0,175.8,0,49.27,21.65,27.38,0,19.56,38.32,0,0,57.24,0,331.88,0,13.11,37.41,33.95,49.43,24.36,5.68,48.09,0,192.57,2.94,28.71,42.46,667.27,45.53,45.08,0,0,33.7,125.27,84.83,113.75,5.73,0,82.48,0,47.12,0,0,44.52,42.15,689.39,0,6.97,0,0,0,130.84,18.34,0,24.58,0,0,52.09,20.15,8.63,0,0,65.43,76.19,0,0

5,01:00-01:15,0,0,0,0,0,106.06,24.99,0,175.8,0,49.27,21.65,27.38,0,19.56,38.32,0,0,57.24,0,331.88,0,13.11,37.41,33.95,49.43,24.36,5.68,48.09,0,192.57,2.94,30.91,42.46,667.27,45.53,45.08,0,0,33.7,125.27,84.83,113.75,5.73,0,82.48,0,47.12,0,0,44.52,42.15,689.39,0,6.97,0,0,0,130.84,18.34,0,25.02,0,0,52.34,20.15,8.63,0,0,65.43,76.19,0,0

6,01:15-01:30,0,0,0,0,0,106.06,24.99,0,175.8,0,49.27,21.65,27.38,0,19.56,38.32,0,0,57.24,0,331.88,0,13.11,37.41,33.95,49.43,24.36,5.68,48.09,0,192.57,2.94,30.91,42.46,667.27,45.53,45.08,0,0,33.7,125.27,84.83,113.75,5.73,0,82.48,0,47.12,0,0,44.52,42.15,689.39,0,6.97,0,0,0,130.84,18.34,0,25.02,0,0,52.34,20.15,8.63,0,0,65.43,76.19,0,0

7,01:30-01:45,0,0,0,0,0,106.06,24.99,0,175.8,0,49.27,21.65,27.38,0,19.56,38.32,0,0,57.24,0,331.88,0,13.11,24.95,33.95,49.43,24.36,5.68,48.09,0,192.57,2.94,30.91,42.46,667.27,45.53,45.08,0,0,33.7,125.27,84.83,113.75,5.73,0,82.48,0,47.12,0,0,44.52,42.15,689.39,0,4.65,0,0,0,130.84,18.34,0,25.02,0,0,52.34,20.15,8.63,0,0,65.43,76.19,0,0

8,01:45-02:00,0,0,0,0,0,106.06,24.99,0,175.8,0,49.27,21.65,27.38,0,19.56,38.32,0,0,57.24,0,331.88,0,13.11,24.95,33.95,49.43,24.36,5.68,48.09,0,192.57,2.94,30.91,42.46,667.27,45.53,45.08,0,0,33.7,125.27,84.83,113.75,5.73,0,82.48,0,47.12,0,0,44.52,42.15,689.39,0,4.65,0,0,0,130.84,18.34,0,25.02,0,0,52.34,20.15,8.63,0,0,65.43,76.19,0,0

9,02:00-02:15,0,0,0,0,0,106.06,24.99,0,175.8,0,49.27,21.65,27.38,0,19.56,38.32,0,0,57.24,0,331.88,0,11.06,24.95,33.95,49.43,24.36,5.68,48.09,0,192.57,2.94,28.71,42.46,667.27,45.53,45.08,0,0,33.7,125.27,84.83,113.75,5.73,0,82.48,0,47.12,0,0,44.52,42.15,689.39,0,4.65,0,0,0,130.84,18.34,0,25.02,0,0,52.6,20.15,8.63,0,0,65.43,76.19,0,0

10,02:15-02:30,0,0,0,0,0,106.06,24.99,0,175.8,0,49.27,21.65,27.38,0,19.56,38.32,0,0,57.24,0,331.88,0,11.06,24.95,33.95,49.43,24.36,5.68,48.09,0,192.57,2.94,28.71,42.46,667.27,45.53,45.08,0,0,33.7,125.27,84.83,113.75,5.73,0,82.48,0,47.12,0,0,44.52,42.15,689.39,0,4.65,0,0,0,130.84,18.34,0,25.02,0,0,52.6,20.15,8.63,0,0,65.43,76.19,0,0

11,02:30-02:45,0,0,0,0,0,106.06,24.99,0,175.8,0,49.27,21.65,27.38,0,19.56,38.32,0,0,57.24,0,331.88,0,11.06,37.41,33.95,49.43,24.36,5.68,48.09,0,192.57,2.94,43.05,42.46,667.27,45.53,45.08,0,0,33.7,125.27,84.83,113.75,5.73,0,82.48,0,47.12,0,0,44.52,42.15,689.39,0,4.65,0,0,0,130.84,18.34,0,25.02,0,0,52.6,20.15,8.63,0,0,65.43,76.19,0,0

12,02:45-03:00,0,0,0,0,0,106.06,24.99,0,175.8,0,49.27,21.65,27.38,0,19.56,38.32,0,0,57.24,0,331.88,0,11.06,37.41,33.95,49.43,24.36,5.68,48.09,0,192.57,2.94,43.05,42.46,667.27,45.53,45.08,0,0,33.7,125.27,84.83,113.75,5.73,0,82.48,0,47.12,0,0,44.52,42.15,689.39,0,4.65,0,0,0,130.84,18.34,0,25.02,0,0,52.6,20.15,8.63,0,0,65.43,76.19,0,0

13,03:00-03:15,0,0,0,0,0,106.06,24.99,0,175.8,0,49.27,21.65,27.38,0,19.56,38.32,0,0,57.24,0,331.88,0,9.86,37.41,33.95,49.43,24.36,5.68,48.09,0,192.57,2.94,43.05,42.46,667.27,45.53,45.08,0,0,33.7,125.27,81.34,113.75,5.73,0,82.48,0,47.12,0,0,44.52,42.15,689.39,0,4.65,0,0,0,130.84,18.34,0,24.96,0,0,52.6,20.15,8.63,0,0,65.43,76.19,0,0

14,03:15-03:30,0,0,0,0,0,106.06,24.99,0,175.8,0,49.27,21.65,27.38,0,19.56,38.32,0,0,57.24,0,331.88,0,9.86,37.41,33.95,49.43,24.36,5.68,48.09,0,192.57,2.94,43.05,42.46,667.27,45.53,45.08,0,0,33.7,125.27,81.34,113.75,5.73,0,82.48,0,47.12,0,0,44.52,42.15,689.39,0,4.65,0,0,0,130.84,18.34,0,24.96,0,0,52.6,20.15,8.63,0,0,65.43,76.19,0,0

15,03:30-03:45,0,0,0,0,0,106.06,24.99,0,175.8,0,49.27,21.65,27.38,0,19.56,38.32,0,0,57.24,0,331.88,0,9.86,24.95,33.95,49.43,24.36,5.68,48.09,0,192.57,2.94,52.36,42.46,667.27,45.53,45.08,0,0,33.7,125.27,81.34,113.75,5.73,0,82.48,0,47.12,0,0,44.52,42.15,689.39,0,4.65,0,0,0,130.84,18.34,0,24.96,0,0,52.6,20.15,8.63,0,0,65.43,76.19,0,0

16,03:45-04:00,0,0,0,0,0,106.06,24.99,0,175.8,0,49.27,21.65,27.38,0,19.56,38.32,0,0,57.24,0,331.88,0,9.86,24.95,33.95,49.43,24.36,5.68,48.09,0,192.57,2.94,52.36,42.46,667.27,45.53,45.08,0,0,33.7,125.27,81.34,113.75,5.73,0,82.48,0,47.12,0,0,44.52,42.15,689.39,0,4.65,0,0,0,130.84,18.34,0,24.96,0,0,52.6,20.15,8.63,0,0,65.43,76.19,0,0

17,04:00-04:15,0,0,0,0,0,106.06,24.99,0,175.8,0,49.27,21.65,27.38,0,19.56,38.32,0,0,57.24,0,331.88,0,9.86,37.41,33.95,49.43,24.36,5.68,48.09,0,192.57,2.94,52.36,42.46,667.27,45.53,45.08,0,0,33.7,125.27,81.34,113.75,5.73,0,82.48,0,47.12,0,0,44.52,42.15,689.39,0,4.65,0,0,0,130.84,18.34,0,24.96,0,0,52.85,20.15,8.63,0,0,65.43,57.14,0,0

18,04:15-04:30,0,0,0,0,0,106.06,24.99,0,175.8,0,49.27,21.65,27.38,0,19.56,38.32,0,0,57.24,0,331.88,0,9.86,37.41,33.95,49.43,24.36,5.68,48.09,0,192.57,2.94,52.36,42.46,667.27,45.53,45.08,0,0,33.7,125.27,81.34,113.75,5.73,0,82.48,0,47.12,0,0,44.52,42.15,689.39,0,4.65,0,0,0,130.84,18.34,0,24.96,0,0,52.85,20.15,8.63,0,0,65.43,57.14,0,0

19,04:30-04:45,0,0,0,0,0,106.06,24.99,0,175.8,0,49.27,21.65,27.38,0,19.56,38.32,0,0,57.24,0,331.88,0,9.86,28.06,33.95,49.43,24.36,5.68,48.09,0,192.57,2.94,38.64,42.46,667.27,45.53,45.08,0,0,33.7,125.27,81.34,113.75,5.73,0,82.48,0,47.12,0,0,44.52,42.15,689.39,0,4.65,0,0,0,130.84,18.34,0,24.96,0,0,52.85,20.15,8.63,0,0,65.43,57.14,0,0

20,04:45-05:00,0,0,0,0,0,106.06,24.99,0,175.8,0,49.27,21.65,27.38,0,19.56,38.32,0,0,57.24,0,331.88,0,9.86,28.06,33.95,49.43,24.36,5.68,48.09,0,192.57,2.94,38.64,42.46,667.27,45.53,45.08,0,0,33.7,125.27,81.34,113.75,5.73,0,82.48,0,47.12,0,0,44.52,42.15,689.39,0,4.65,0,0,0,130.84,18.34,0,24.91,0,0,52.85,20.15,8.63,0,0,65.43,57.14,0,0

21,05:00-05:15,0,0,0,0,0,106.06,24.99,0,175.8,0,49.27,21.65,27.38,0,19.56,38.32,0,0,57.24,0,331.88,0,9.86,28.06,33.95,49.43,24.36,5.68,48.09,0,192.57,2.94,38.64,42.46,667.27,45.53,45.08,0,0,33.7,125.27,81.34,113.75,5.73,0,82.48,0,47.12,0,0,44.52,42.15,689.39,0,4.65,0,0,0,130.84,18.34,0,24.81,0,0,52.85,20.15,8.63,0,0,65.43,57.14,0,0

