Block,Time,JHAJJAR,CHAMERA3,ANTA_CRF,DADRI_RF,ANTA_GF,SEWA2,KOLDAM,TEHRI,PARBATI3,AURY_RF,URI2,RAMPUR,KISHANGANGA,DADRI_CRF,URI,ANTA_LF,BSIUL,UNCHAHAR1,RAPPC,RIHAND1,AURY_GF,DHAULIGNGA,DADRI_GF,AURY_LF,ANTA_RF,RAPPB,AURY_CRF,RIHAND3,KOTESHWR,UNCHAHAR2,SALAL,UNCHAHAR4,TANAKPUR,CHAMERA2,DULHASTI,RIHAND2,CHAMERA1,TANDA2,SINGRAULI,SINGRAULI_HYDRO,DADRI_LF,UNCHAHAR3,NJPC,NAPP,DADRT2,TALA,FSTPP I & II,BRBCL,SASAN,KUDGI,KHSTPP-I,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,587.619944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.883045,0.000000,0.000000,0.000000,47.031283,0.000000,0.000000,8.183710,25.432968,89.074400,0.000000,1.278992,0.000000,0.000000,0.000000,0.000000,0.000000,119.733058,8.591807,33.521989,12.938057,0.000000,5.209110,0.000000,15.954825,0.000000,0.000000,0.000000,100.208700,0.574172,0.000000,22.446446,20.171479,19.336503,309.323634,4.269762,16.620605,19.364004,400.920195,0.00,43.782004,95.212788,0,0,0,0,0

2,00:15-00:30,587.619944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.883045,0.000000,0.000000,0.000000,47.031283,0.000000,0.000000,8.183710,25.432968,89.074400,0.000000,1.278992,0.000000,0.000000,0.000000,0.000000,0.000000,119.733058,8.591807,33.521989,12.938057,0.000000,5.209110,0.000000,15.954825,0.000000,0.000000,0.000000,100.208700,0.574172,0.000000,20.997353,20.171479,19.336503,309.323634,4.269762,16.620605,15.285916,405.453114,0.00,43.782004,95.212788,0,0,0,0,0

3,00:30-00:45,587.619944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.883045,0.000000,0.000000,0.000000,10.688928,0.000000,0.000000,8.183710,25.432968,89.074400,0.000000,1.278992,0.000000,0.000000,0.000000,0.000000,0.000000,119.733058,8.591807,33.521989,12.938057,0.000000,5.209110,0.000000,15.954825,0.000000,0.000000,0.000000,100.208700,0.574172,0.000000,20.997353,20.171479,19.336503,309.323634,4.269762,16.620605,15.527745,405.453114,0.00,43.782004,95.212788,0,0,0,0,0

4,00:45-01:00,587.619944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.883045,0.000000,0.000000,0.000000,10.688928,0.000000,0.000000,8.183710,25.432968,89.074400,0.000000,1.278992,0.000000,0.000000,0.000000,0.000000,0.000000,119.733058,8.591807,33.521989,12.938057,0.000000,5.209110,0.000000,15.954825,0.000000,0.000000,0.000000,100.208700,0.574172,0.000000,20.997353,20.171479,19.336503,309.323634,4.269762,16.620605,13.683314,405.453114,0.00,43.782004,95.212788,0,0,0,0,0

5,01:00-01:15,511.621085,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.883045,0.000000,0.000000,0.000000,10.688928,0.000000,0.000000,8.120874,25.432968,89.074400,0.000000,1.278992,0.000000,0.000000,0.000000,0.000000,0.000000,119.733058,8.591807,33.521989,12.938057,0.000000,11.782510,0.000000,15.954825,0.000000,0.000000,0.000000,100.208700,0.574172,0.000000,17.031122,20.171479,19.336503,309.323634,4.269762,16.620605,12.442293,405.453114,0.00,43.782004,95.212788,0,0,0,0,0

