Column1,Block,NR/2024/23427/C,NR/2024/23428/C,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/6566,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/16/2535,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/8090,NR/30092023/26122029/SH-06,NR/2024/23119/A/39686,NR/2024/23038/A/39411,NR/2024/23412/C,NR/2024/23393/A/39596,NR/2024/23217/A/39477,NR/2024/21658/A/39457,NR/2024/22874/A/39689,NR/2024/22754/A/39632,NR/2024/22848/A/39665,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/7119,NR/2024/23121/A/39687,NR/2024/22835/A/39699,NR/2024/22820/A/39423,NR/2024/23122/A/39685,NR/2024/22803/A/39690,NR/2024/23118/A/39684,NR/2024/23213/A/39476,NR/2024/23426/C,NR/2024/23214/A/39475,Total
,,NVVNL,NVVNL,APPCPL,TPTCL,DELHI,MANIKARAN,PTC,BAWANA_GAS,INSTINCT,DELHI,PUNJAB,NVVNL,IEXL,TPDDL,DIAPL,DIAPL,ITCLH,NVVNL,PTC,APPCPL,MANIKARAN,JITPL,NVVNL,MANIKARAN,IEXL,NVVNL,NVVNL,NVVNL,SJVNL,NVVNL,SJVNL,
,,NA,NA,Arunachal_State,NA,HIMACHAL_STATE,MP_State,HIMACHAL_STATE,DELHI_UT,NA,NA,DELHI_UT,NA,MSEB_State,NA,HIMACHAL_STATE,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,MP_State,HIMACHAL_STATE,UTTARAKHAND_STATE,ODISHA_STATE,NA,NA,MSEB_State,KARNATAKA_STATE,NA,NA,NA,NA,NA,NA,
,,Kameng,SORANG_HEP,Arunachal_Ben,JITPL,CHANJUII,BLAPOWER_MP,HP,BAWANA_GAS,JPL2,SKS_Raigarh,BAWANA_GAS,RKM_POWER,A_A_Energy_MH_Bio,JHAJJAR,GBHHPL,GBHHPL,ITCWIND,JP_BINA,HP,UTTARAKHAND,MAADURGA_THERMAL,JITPL,RKM_POWER,AEML,NSLSUGAR,JPL2,JPNIGRIE_JNSTPP,TRN_ENERGY,TPSL_BKN2,SOLAPUR_SOLAR,RSRPL_BKN,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,TPDDL,BRPL,BRPL,TPDDL,BRPL,BRPL,HARYANA,BRPL,NDMC,PUNJAB,NDMC,MES_Delhi,TPDDL,DIAPL,DIAPL,ITCLH,TPDDL,BYPL,BYPL,BRPL,NDMC,NDMC,BYPL,MES_Delhi,NDMC,TPDDL,NDMC,NDMC,MES_Delhi,NDMC,
,,North East-East-North,North-North,North East-East-North,East-North,North-North,West-North,North-North,North-North,West-North,West-North,North-North,West-North,West-North,North-North,North-North,North-North,South-West-North,West-North,North-North,North-North,East-North,East-North,West-North,West-North,South-West-North,West-North,West-North,West-North,North-North,West-North,North-North,
1,00:00-00:15,162.89,29.96,32.86,24.16,8.4,0,163.08,32,96.64,0,32,26.35,3.87,241.6,0.97,6.76,0.87,0,54.36,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1274.35

2,00:15-00:30,162.89,29.96,32.86,24.16,8.4,0,163.08,32,96.64,0,32,26.35,3.87,241.6,0.97,6.76,0.87,0,54.36,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1274.35

3,00:30-00:45,162.89,29.96,32.86,24.16,8.4,0,163.08,24.08,96.64,0,24.08,26.35,3.87,241.6,0.97,6.76,0.87,0,54.36,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1258.51

4,00:45-01:00,162.89,29.96,32.86,24.16,8.4,0,163.08,24.08,96.64,0,24.08,26.35,3.87,241.6,0.97,6.76,0.87,0,54.36,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1258.51

