Block,Time Block,BRBCL,BSIUL,CHAMERA1,NAPP,KKNP,MAPS,KKNPPU2,KUDGI,KOLDAM,KOTESHWR,JHAJJAR,KISHANGANGA,KHSTPP-I,KGSU1AND2,KGSU3AND4,KHSTPP-II,DULHASTI,DHAULIGNGA,FSTPP I & II,CHAMERA3,CHAMERA2,DADRT2,AURY_LF,ANTA_LF,DADRI_GF,AURY_GF,DADRI_CRF,ANTA_GF,AURY_CRF,DADRI_RF,AURY_RF,ANTA_CRF,ANTA_RF,DADRI_LF,TelanganaSTPP,UNCHAHAR3,UNCHAHAR2,URI2,URI,VALLURNTECL,UNCHAHAR1,UNCHAHAR4,TALA,TEHRI,TALST2,TANAKPUR,TANDA2,SIMHST2,SIMHST1,SEWA2,SINGRAULI,SINGRAULI_HYDRO,NLCTS2EXP,NNTPP,NLCEXP,NJPC,NLCIIST1,NLCIIST2,RAMPUR,RAPPC,RSTPSU1TO6,RAPPD,RSTPSU7,NTPL,PARBATI3,SALAL,PARBATI2,RIHAND3,RAPPB,RIHAND2,SASAN,RIHAND1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,19.32,6.3,40.72,24.52,0,0,0,0,9.26,20.14,226.14,8.34,43.99,0,0,143.27,56.7,10.58,17.58,33.84,47.16,84.46,0,0,0,0,0,0,0,0,0,0,0,0,0,26.74,42.25,36.81,49.07,0,20.91,1.61,0,29.3,0,6.06,4.13,0,0,12.18,143.08,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,53.37,81.38,47.18,92.54,0,120.36,326.06,93.93,0,0,0,0,0

2,00:15-00:30,17.74,6.3,40.72,24.52,0,0,0,0,9.26,20.14,205.86,8.34,43.99,0,0,143.27,56.7,10.58,17.58,33.84,47.16,122.11,0,0,0,0,0,0,0,0,0,0,0,0,0,26.74,42.25,36.81,49.07,0,20.91,1.61,0,29.3,0,6.06,4.15,0,0,12.18,145.24,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,53.37,81.38,47.18,92.54,0,120.36,326.06,93.93,0,0,0,0,0

3,00:30-00:45,16.57,6.3,40.72,24.52,0,0,0,0,9.26,20.14,205.86,8.34,43.99,0,0,143.27,56.7,10.58,17.58,33.84,47.16,54.48,0,0,0,0,0,0,0,0,0,0,0,0,0,26.74,42.25,36.81,49.07,0,20.91,1.61,5.68,29.3,0,6.06,4.15,0,0,12.18,145.24,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,48.92,81.38,47.18,92.54,0,120.36,326.06,93.93,0,0,0,0,0

4,00:45-01:00,13.94,6.3,40.72,24.52,0,0,0,0,9.26,20.14,205.86,8.34,43.99,0,0,143.27,56.7,10.58,17.58,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,26.74,42.25,36.81,49.07,0,20.91,1.61,5.68,29.3,0,6.06,4.15,0,0,12.18,145.24,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,48.92,81.38,47.18,92.54,0,120.36,326.06,93.93,0,0,0,0,0

5,01:00-01:15,12.34,6.3,40.72,24.52,0,0,0,0,9.26,20.14,205.86,8.34,43.99,0,0,143.27,56.7,10.58,15.16,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,23.23,36.6,36.81,49.07,0,18.13,2.14,5.68,29.3,0,6.06,4.15,0,0,12.18,145.24,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,48.92,81.38,47.18,92.54,0,120.36,326.06,93.93,0,0,0,0,0

6,01:15-01:30,12.07,6.3,40.72,24.52,0,0,0,0,9.26,20.14,249.37,8.34,43.99,0,0,143.27,56.7,10.58,15.16,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,19.64,31.77,36.81,49.07,0,14.95,2.14,5.68,29.3,0,6.06,4.15,0,0,12.18,145.24,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,48.92,81.38,47.18,92.54,0,120.36,326.06,93.93,0,0,0,0,0

7,01:30-01:45,11.79,6.3,40.72,24.52,0,0,0,0,9.26,20.14,249.37,8.34,43.99,0,0,143.27,56.7,10.58,15.16,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,19.64,31.77,36.81,49.07,0,14.95,2.14,4.54,29.3,0,6.06,4.15,0,0,12.18,145.24,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,81.38,47.18,92.54,0,120.36,326.06,93.93,0,0,0,0,0

8,01:45-02:00,11.03,6.3,40.72,24.52,0,0,0,0,9.26,20.14,249.37,8.34,43.99,0,0,143.27,56.7,10.58,12.62,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,19.64,31.77,36.81,49.07,0,14.95,2.14,4.54,29.3,0,6.06,4.15,0,0,6.09,145.24,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,81.38,47.18,92.54,0,120.36,326.06,93.93,0,0,0,0,0

9,02:00-02:15,10.86,6.3,40.72,24.52,0,0,0,0,9.26,20.14,236.23,8.34,30.44,0,0,104.27,56.7,10.58,10.93,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,14.83,24.68,36.81,49.07,0,11.34,1.05,4.54,29.3,0,6.06,3.96,0,0,6.09,130.6,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,81.38,47.18,51.14,0,96.23,326.06,64.91,0,0,0,0,0

