Block,Time,RAPPC,AURY_GF,RIHAND1,RAMPUR,DADRI_LF,SALAL,SEWA2,RAPPB,BSIUL,UNCHAHAR1,URI2,UNCHAHAR3,DADRI_GF,CHAMERA3,KISHANGANGA,CHAMERA2,DADRI_RF,URI,AURY_RF,ANTA_CRF,NJPC,UNCHAHAR4,TANAKPUR,TEHRI,PARBATI3,ANTA_LF,CHAMERA1,ANTA_GF,AURY_LF,RIHAND2,JHAJJAR,FSTPP I & II,DHAULIGNGA,ANTA_RF,SINGRAULI,DULHASTI,UNCHAHAR2,DADRI_CRF,RIHAND3,AURY_CRF,KOLDAM,TANDA2,NAPP,KHSTPP-II,SINGRAULI_HYDRO,KOTESHWR,DADRT2,KKNP,KAWAS-RLNG,KAWAS-zLIQ,SOLAPUR,MOUDA_II,RSTPSU7,KGSU1AND2,LARA-I,MOUDA,GADARWARA-I,KHSTPP-I,NTPL,GANDHAR-ComGas,KUDGI,GANDHAR-RLNG,TAPS-II,TALA,NLCTS2EXP,NLCIIST2,KAWAS-APM,KAWAS-ComGas,VSTPS I,KSTPS7,SIMHST2,VSTPS IV,NNTPP,KAPS,VSTPS II,NLCIIST1,KGSU3AND4,SIPAT II,KSTPS I&II,KAWAS-NAPM,TALST2,RSTPSU1TO6,SIPAT I,VSTPS III,KHARGONE-I,GANDHAR-NAPM,BRBCL,VALLURNTECL,GANDHAR-APM,NLCEXP,SASAN,MAPS,VSTPS V,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,57.136865,0.000000,90.877303,0.381296,0.000000,51.501002,16.552026,0.000000,18.943759,21.380065,34.351375,25.975960,0.000000,30.552328,2.458347,42.042477,0.000000,48.930384,0.000000,0.000000,19.728169,1.375498,0.493697,30.021314,0.000000,0.000000,40.609675,0.000000,0.000000,116.284815,432.349566,19.973355,0.000000,0.000000,138.769784,51.937806,33.221480,0.000000,121.902020,0.000000,0.000000,2.351036,42.766569,142.131305,1.036106,8.394844,332.089545,1.55,0.000000,0.000000,3.413167,3.383514,1.87,1.92,4.102703,1.867362,2.068586,31.581603,1.82,0.000000,0.00,0.000000,2.691439,0.000000,0.84,0.40,0.000000,0.000000,2.318388,1.292867,1.78,2.585733,0.17,0.799281,1.872044,0.71,2.10,1.801965,2.860953,0.000000,0.00,7.50,5.119751,1.888156,3.413168,0.000000,10.839401,0.00,0.000000,1.67,268.989767,0.23,1.279076,0,0,0,0,0

2,00:15-00:30,57.136865,0.000000,90.877303,0.000000,0.000000,51.501002,16.552026,0.000000,18.943759,21.380065,34.351375,25.975960,0.000000,30.552328,2.458347,42.042477,0.000000,48.930384,0.000000,0.000000,0.000000,1.375498,0.493697,30.021314,0.000000,0.000000,40.609675,0.000000,0.000000,116.284815,432.349566,19.973355,0.000000,0.000000,138.769784,51.937806,33.221480,0.000000,121.902020,0.000000,0.000000,2.351036,42.766569,142.131305,1.036106,8.394844,332.089545,1.55,0.000000,0.000000,3.413167,3.383514,1.87,1.92,4.102703,1.867362,2.068586,31.581603,1.82,0.000000,0.00,0.000000,2.691439,0.000000,0.84,0.40,0.000000,0.000000,2.318388,1.292867,1.78,2.585733,0.17,0.799281,1.872044,0.71,2.10,1.801965,2.860953,0.000000,0.00,7.57,5.119751,1.888156,3.413168,0.000000,10.839401,0.00,0.000000,1.67,268.989930,0.23,1.279076,0,0,0,0,0

3,00:30-00:45,57.136865,0.000000,90.877303,0.000000,0.000000,51.501002,16.552026,0.000000,18.943759,21.380065,34.351375,25.975960,0.000000,30.552328,2.458347,42.042477,0.000000,48.930384,0.000000,0.000000,0.000000,1.375498,0.493697,30.021314,0.000000,0.000000,40.609675,0.000000,0.000000,116.284815,432.349566,19.973355,0.000000,0.000000,138.769784,51.937806,33.221480,0.000000,121.902020,0.000000,0.000000,2.351036,42.766569,142.131305,1.036106,17.403945,332.089545,1.55,0.000000,0.000000,3.413167,3.383514,1.87,1.92,4.102703,1.867362,2.068586,31.581603,1.82,0.000000,0.00,0.000000,2.691439,0.000000,0.84,0.40,0.000000,0.000000,2.358610,1.292867,1.78,2.585733,0.17,0.799281,1.872044,0.71,2.10,1.801965,2.860953,0.000000,0.00,7.57,5.119751,1.888156,3.413168,0.000000,10.839401,0.00,0.000000,1.67,268.989930,0.23,1.279076,0,0,0,0,0

4,00:45-01:00,57.136865,0.000000,90.877303,0.000000,0.000000,51.501002,16.552026,0.000000,18.943759,21.380065,34.351375,25.975960,0.000000,30.552328,2.458347,42.042477,0.000000,51.057792,0.000000,0.000000,0.000000,1.375498,0.493697,30.021314,0.000000,0.000000,40.609675,0.000000,0.000000,116.284815,432.349566,19.973355,0.000000,0.000000,138.769784,51.937806,33.221480,0.000000,121.902020,0.000000,0.000000,2.351036,42.766569,142.131305,1.036106,17.403945,332.089545,1.55,0.000000,0.000000,3.413167,3.383514,1.87,1.92,4.102703,1.867362,2.068586,31.581603,1.82,0.000000,0.00,0.000000,2.691439,0.000000,0.84,0.40,0.000000,0.000000,2.359974,1.292867,1.78,2.585733,0.17,0.799281,1.872044,0.71,2.10,1.801965,2.860953,0.000000,0.00,7.57,5.119751,1.888156,3.413168,0.000000,9.172745,0.00,0.000000,1.67,268.989930,0.23,1.279076,0,0,0,0,0

5,01:00-01:15,57.136865,0.000000,90.877303,0.000000,0.000000,51.501002,16.552026,0.000000,18.943759,21.380065,33.382780,25.975960,0.000000,30.552328,2.458347,42.042477,0.000000,51.057792,0.000000,0.000000,0.000000,1.375498,0.493697,30.021314,0.000000,0.000000,40.609675,0.000000,0.000000,116.284815,437.686598,19.973355,0.000000,0.000000,138.769784,51.937806,33.221480,0.000000,121.902020,0.000000,0.000000,2.351036,42.766569,142.131305,1.036106,17.403945,332.089545,1.55,0.000000,0.000000,3.413167,3.383514,1.87,1.92,4.102703,1.867362,2.068586,31.581603,1.82,0.000000,0.00,0.000000,2.691439,0.000000,0.84,0.40,0.000000,0.000000,2.359974,1.292867,1.78,2.585733,0.17,0.799281,1.872044,0.71,2.10,1.801965,2.860953,0.000000,0.00,7.57,5.119751,1.888156,3.413168,0.000000,9.489760,0.00,0.000000,1.67,280.336546,0.23,1.279076,0,0,0,0,0

