Column1,Time,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,GNA/NR/2025/07/16/5917,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/1192,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/2786,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/1044,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/07/01/8128,GNA/NR/2025/07/01/2997,GNA/NR/2025/06/07/5932,GNA/NR/2025/07/01/8139,NR/01102023/22052037/LT-59,GNA/NR/2025/07/01/3109,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/07/01/2952,NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/07/01/8154,NR/01102023/06022042/L_NR_2012_02,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_07,NR/01102023/05012040/L_NR_2020_02,L_NR_2019_19,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,GNARE/SR/2025/01/13/4532,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15
1,00:00-00:15,30,10,30,9.67,30,0,10,0,0,0,81.69,163.39,49.02,30,43.68,30,5.89,115.29,100.13,270.31,12.64,15.23,-0,134.79,10.47,19.22,26.25,8.51,0,0,20.73,130.04,0,0,10.73,86.69,7.46,0,0,0,0,0,0,0,40.02,0,0

2,00:15-00:30,30.49,10.17,31,10,31,0,10.17,0,0,0,81.69,163.39,49.02,30,43.68,30,5.89,115.29,100.13,270.31,12.64,15.23,-0,134.79,10.47,19.22,26.25,8.51,0,0,20.73,130.04,0,0,10.73,86.69,7.46,0,0,0,0,0,0,0,40.02,0,0

3,00:30-00:45,31.01,10.33,30.34,10,30.33,0,10.33,0,0,0,81.69,163.39,49.02,30,43.68,30,5.89,115.29,100.13,270.31,12.64,15.23,-0,134.79,10.47,19.22,26.25,8.51,0,0,20.73,130.04,0,0,10.73,86.69,7.46,0,0,0,0,0,0,0,40.02,0,0

4,00:45-01:00,31.5,10.5,30.66,10.33,30.67,0,10.5,0,0,0,81.69,163.39,49.02,30,43.68,30,5.89,115.29,100.13,270.31,12.64,15.23,-0,134.79,10.47,19.22,26.25,8.51,0,0,20.73,130.04,0,0,10.73,86.69,7.46,0,0,0,0,0,0,0,40.02,0,0

5,01:00-01:15,42.49,14.17,33.66,10.33,33.67,0,14.17,0,0,0,81.69,163.39,49.02,14.25,43.68,30,5.89,64.11,100.13,270.31,12.64,15.23,-0,134.79,10.47,19.22,27.26,8.51,0,0,20.73,116.84,0,0,10.73,66.83,7.46,0,0,0,0,0,0,0,36.01,0,0

