Block,Time,BSIUL,CHAMERA2,CHAMERA3,DADRT2,DHAULIGNGA,CHAMERA1,UNCHAHAR1,UNCHAHAR3,UNCHAHAR4,URI2,UNCHAHAR2,URI,RIHAND2,RIHAND3,SEWA2,SINGRAULI,SINGRAULI_HYDRO,TANDA2,TEHRI,DULHASTI,KISHANGANGA,KOLDAM,KOTESHWR,NJPC,PARBATI3,RAMPUR,RAPPB,RIHAND1,RAPPC,NAPP,TANAKPUR,JHAJJAR,SALAL,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,NLCIIST2,NLCTS2EXP,NNTPP,KGSU3AND4,KKNPPU2,KGSU1AND2,KKNP,MAPS,NLCIIST1,KUDGI,NLCEXP,NTPL,RSTPSU1TO6,RSTPSU7,SIMHST1,SIMHST2,TALST2,VALLURNTECL,BRBCL,FSTPP I & II,TALA,KHSTPP-II,KHSTPP-I,SASAN
1,00:00-00:15,6.5538,41.864567,30.573592,688.249014,9.57165,42.14808,22.034892,26.717786,0.814833,34.438055,43.050738,52.992,119.5917,125.29529,16.588864,142.003255,1.00939,1.44175,26.273875,51.987208,1.456305,2.429119,16.886901,89.173935,3.347989,1.012413,0,79.12267,56.154068,42.457868,9.4794,657.89409,81.921,0,65.657542,0,0,0,85.014245,0,0,0,27.909305,13.396466,0,0,0,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,11.5395,20.73185,0,147.515625,46.39908,418.77

2,00:15-00:30,6.5538,41.864567,30.573592,688.249014,9.57165,42.14808,22.034892,26.717786,0.814833,34.438055,43.050738,52.992,119.5917,125.29529,16.588864,142.003255,1.00939,1.44175,26.273875,51.987208,1.456305,2.429119,16.886901,89.173935,3.347989,1.012413,0,79.12267,56.154068,42.457868,9.4794,657.89409,81.921,0,65.657542,0,0,0,85.014245,0,0,0,27.909305,13.396466,0,0,0,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,11.5395,20.73185,0,147.515625,46.39908,418.77

3,00:30-00:45,6.5538,41.864567,30.573592,688.249014,9.57165,42.14808,22.034892,26.717786,0.814833,34.438055,43.050738,49.128,119.5917,125.29529,16.588864,142.003255,1.00939,1.44175,26.273875,51.987208,1.456305,2.429119,16.886901,59.44929,3.347989,0.677631,0,79.12267,56.154068,42.457868,1.7934,657.89409,67.396,0,65.657542,0,0,0,85.014245,0,0,0,27.909305,13.396466,0,0,0,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,11.5395,20.73185,0,147.515625,46.39908,418.77

4,00:45-01:00,6.5538,41.864567,30.573592,688.249014,9.57165,42.14808,22.034892,26.717786,0.814833,34.438055,43.050738,49.128,119.5917,125.29529,16.588864,142.003255,1.00939,1.44175,26.273875,51.987208,1.456305,2.429119,16.886901,39.63286,3.347989,0.451754,0,79.12267,56.154068,42.457868,1.7934,657.89409,84.9422,0,65.657542,0,0,0,85.014245,0,0,0,27.909305,13.396466,0,0,0,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,11.5395,20.73185,0,147.515625,46.39908,418.77

5,01:00-01:15,6.5538,41.864567,30.573592,688.249014,9.57165,42.14808,22.034892,26.717786,0.814833,34.438055,43.050738,49.128,119.5917,125.29529,16.588864,142.003255,1.00939,1.44175,26.273875,51.987208,1.456305,2.429119,16.886901,39.63286,3.347989,0.451754,0,79.12267,56.154068,42.457868,1.7934,657.89409,84.9422,0,65.657542,0,0,0,85.014245,0,0,0,27.909305,14.512839,0,0,0,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,11.5395,20.73185,0,147.515625,46.39908,418.77

