Block,Time,BRBCL,DULHASTI,NAPP,PARBATI2,RAPPC,SASAN,SIMHST1,TALA,AURY_LF,DADRI_GF,BSIUL,CHAMERA2,KGSU3AND4,NLCIIST2,NTPL,RAPPB,RIHAND2,TANAKPUR,URI2,ANTA_CRF,ANTA_LF,DADRI_CRF,KUDGI,MAPS,NJPC,NLCEXP,NNTPP,ANTA_RF,DADRI_RF,KISHANGANGA,RIHAND3,SEWA2,SINGRAULI_HYDRO,TALST2,TANDA2,UNCHAHAR1,UNCHAHAR3,VALLURNTECL,AURY_RF,DADRT2,FSTPP I & II,KGSU1AND2,KKNP,NLCTS2EXP,RSTPSU1TO6,TEHRI,TelanganaSTPP,CHAMERA3,KHSTPP-II,KKNPPU2,KOTESHWR,NLCIIST1,RAMPUR,RIHAND1,UNCHAHAR4,AURY_CRF,CHAMERA1,JHAJJAR,KHSTPP-I,RSTPSU7,SALAL,SINGRAULI,UNCHAHAR2,AURY_GF,DADRI_LF,DHAULIGNGA,KOLDAM,PARBATI3,SIMHST2,URI,ANTA_GF
1,00:00-00:15,20,39.62,51.33,9,24.16,418.77,0,0,0,0,13.04,48.74,0,0,0,0,124.53,6.27,39.63,0,0,0,0,0,82.89,0,0,53.44,74.38,8.56,130.75,18.88,1,0,5.65,21.63,27.67,0,85.35,688.87,18.2,0,0,0,0,12.66,0,23.3,148.3,0,10.41,0,3.27,46.48,2.28,0,42.15,468.51,45.53,0,40.09,150.25,20.77,0,0,10.93,0,16.86,0,48.57,0

2,00:15-00:30,20,39.62,51.33,9,24.16,418.77,0,0,0,0,13.04,48.74,0,0,0,0,124.53,6.27,39.63,0,0,0,0,0,44.74,0,0,53.44,74.38,8.56,130.75,18.88,1,0,5.65,21.63,27.67,0,85.35,688.87,18.2,0,0,0,0,12.66,0,23.3,148.3,0,10.41,0,1.76,46.48,2.28,0,42.15,468.51,45.53,0,40.09,150.25,20.77,0,0,10.93,0,16.86,0,48.57,0

3,00:30-00:45,20,39.62,51.33,9,24.16,418.77,0,0,0,0,6.52,48.74,0,0,0,0,124.53,6.27,39.63,0,0,0,0,0,44.74,0,0,53.44,74.38,8.56,130.75,18.88,1,0,5.65,21.63,27.67,0,85.35,688.87,18.2,0,0,0,0,0,0,23.3,148.3,0,10.41,0,1.76,46.48,2.28,0,42.15,468.51,45.53,0,40.09,150.25,20.77,0,0,10.93,0,4.29,0,48.57,0

4,00:45-01:00,20,39.62,51.33,9,24.16,418.77,0,0,0,0,6.52,48.74,0,0,0,0,124.53,6.27,39.63,0,0,0,0,0,44.74,0,0,53.44,74.38,8.56,130.75,18.88,1,0,5.65,21.63,27.67,0,85.35,688.87,18.2,0,0,0,0,0,0,23.3,148.3,0,10.41,0,1.76,46.48,2.28,0,42.15,468.51,45.53,0,40.09,150.25,20.77,0,0,10.93,0,4.29,0,48.57,0

5,01:00-01:15,20,39.62,51.33,9,24.16,418.77,0,0,0,0,6.52,48.74,0,0,0,0,124.53,6.27,39.63,0,0,0,0,0,44.74,0,0,53.44,74.38,8.56,130.75,18.88,1,0,5.65,21.63,27.67,0,85.35,688.87,18.2,0,0,0,0,0,0,23.3,148.3,0,10.41,0,1.76,46.48,2.28,0,28.1,468.51,45.53,0,40.09,150.25,20.77,0,0,10.93,0,0,0,48.57,0

6,01:15-01:30,20,39.62,51.33,9,24.16,418.77,0,0,0,0,6.52,48.74,0,0,0,0,124.53,6.27,39.63,0,0,0,0,0,44.74,0,0,53.44,74.38,8.56,130.75,18.88,1,0,5.65,21.63,27.67,0,85.35,688.87,18.2,0,0,0,0,0,0,23.3,148.3,0,10.41,0,1.76,46.48,2.28,0,28.1,468.51,45.53,0,40.09,150.25,20.77,0,0,10.93,0,0,0,48.57,0

7,01:30-01:45,20,39.62,51.33,9,24.16,418.77,0,0,0,0,6.52,48.74,0,0,0,0,124.53,6.27,39.63,0,0,0,0,0,44.74,0,0,53.44,74.38,8.56,130.75,18.88,1,0,5.65,21.63,27.67,0,85.35,688.87,18.2,0,0,0,0,0,0,23.3,148.3,0,10.41,0,1.76,46.48,2.28,0,28.1,468.51,45.53,0,40.09,150.25,20.77,0,0,10.93,0,0,0,13.25,0

8,01:45-02:00,20,39.62,51.33,9,24.16,418.77,0,0,0,0,6.52,48.74,0,0,0,0,124.53,6.27,39.63,0,0,0,0,0,44.74,0,0,53.44,74.38,8.56,130.75,18.88,1,0,5.65,21.63,27.67,0,85.35,688.87,18.2,0,0,0,0,0,0,23.3,148.3,0,10.41,0,1.76,46.48,2.28,0,14.05,468.51,45.53,0,40.09,150.25,20.77,0,0,10.93,0,0,0,5.52,0

9,02:00-02:15,20,39.62,51.33,9,26.02,418.77,0,0,0,0,6.52,32.49,0,0,0,0,124.53,0,39.63,0,0,0,0,0,55.26,0,0,53.44,74.38,8.56,130.75,18.88,1,0,5.65,21.63,27.67,0,85.35,688.87,18.2,0,0,0,0,0,0,23.3,148.3,0,10.41,0,2.18,46.48,2.28,0,14.05,468.51,45.53,0,40.09,150.25,20.77,0,0,10.93,0,0,0,5.52,0

10,02:15-02:30,20,39.62,51.33,9,26.02,418.77,0,0,0,0,6.52,32.49,0,0,0,0,124.53,0,39.63,0,0,0,0,0,55.26,0,0,53.44,74.38,8.56,130.75,18.88,1,0,5.65,21.63,27.67,0,85.35,688.87,18.2,0,0,0,0,0,0,23.3,148.3,0,10.41,0,2.18,46.48,2.28,0,0,468.51,45.53,0,40.09,150.25,20.77,0,0,10.93,0,0,0,13.25,0

11,02:30-02:45,20,39.62,51.33,9,26.02,418.77,0,0,0,0,6.52,32.49,0,0,0,0,124.53,0,39.63,0,0,0,0,0,55.26,0,0,53.44,74.38,8.56,130.75,18.88,1,0,5.65,21.63,27.67,0,85.35,688.87,18.2,0,0,0,0,0,0,23.3,148.3,0,10.41,0,2.18,46.48,2.28,0,0,468.51,45.53,0,40.09,150.25,20.77,0,0,10.93,0,0,0,48.57,0

