Time,Block,WR/2023/20577/A/1430,WR/2023/20256/A/1432,WR/2023/19446/A,NER/2023/1715/C,NR/2023/18108/C,NR/2023/18107/C,NR/2023/17270/A,NR/2023/18074/A/1360,NR/2023/17525/A,NR/2023/18062/A/1369,NR/2023/18106/C,Total
,,APPCPL,MANIKARAN,MANIKARAN,IEXL,SJVNL,SJVNL,GMRETL,ITCLH,APPCPL,IEXL,TPDDL,Total

,,DELHI,DELHI,DELHI,DELHI,NA,NA,DELHI,ANDHRA PRADESH,DELHI,ANDHRA PRADESH,HIMACHAL PRADESH,
,,BRPL,BRPL,BYPL,BYPL,RSRPL_BKN,RSRPL_BKN,BYPL,ITCWIND,BYPL,SNJSUGARLTDAP,CHANJUII,
,,GOA,GOA,MAHARASHTRA,ARUNACHAL PRADESH,DELHI,DELHI,RAJASTHAN,DELHI,HIMACHAL PRADESH,DELHI,DELHI,
,,GOA_Beneficiary,GOA_Beneficiary,AEML,Arunachal_Ben,NDMC,NDMC,RUVNL,ITCLH,HP,MES (Delhi),TPDDL,
,,North-West,North-West,North-West,North-East-North East,North-North,North-North,North-North,South-West-North,North-North,South-East-North,North-North,
1,00:00-00:15,0.000000,0.000000,75.000000,25.000000,0,0,0.000000,0.430000,25.490000,4.810000,2.480000,133.21

2,00:15-00:30,0.000000,0.000000,75.000000,25.000000,0,0,0.000000,0.430000,25.490000,4.810000,2.480000,133.21

3,00:30-00:45,0.000000,0.000000,75.000000,25.000000,0,0,0.000000,0.430000,25.490000,4.810000,2.480000,133.21

4,00:45-01:00,0.000000,0.000000,75.000000,25.000000,0,0,0.000000,0.430000,25.490000,4.810000,2.480000,133.21

5,01:00-01:15,0.000000,0.000000,75.000000,25.000000,0,0,0.000000,0.380000,25.490000,4.810000,2.480000,133.16

6,01:15-01:30,0.000000,0.000000,75.000000,25.000000,0,0,0.000000,0.380000,25.490000,4.810000,2.480000,133.16

7,01:30-01:45,0.000000,0.000000,75.000000,25.000000,0,0,0.000000,0.380000,25.490000,4.810000,2.480000,133.16

8,01:45-02:00,0.000000,0.000000,75.000000,25.000000,0,0,0.000000,0.380000,25.490000,4.810000,2.480000,133.16

9,02:00-02:15,0.000000,0.000000,75.000000,25.000000,0,0,0.000000,0.340000,25.490000,4.810000,2.480000,133.12

10,02:15-02:30,0.000000,0.000000,75.000000,25.000000,0,0,0.000000,0.340000,25.490000,4.810000,2.480000,133.12

11,02:30-02:45,0.000000,0.000000,75.000000,25.000000,0,0,0.000000,0.340000,25.490000,4.810000,2.480000,133.12

12,02:45-03:00,0.000000,0.000000,75.000000,25.000000,0,0,0.000000,0.340000,25.490000,4.810000,2.480000,133.12

