Column1,Time,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,SR/01102023/07102043/L_NR_2018_61,NR/01102023/19072037/LT-05,GNA/WR/2024/10/15/7089,GNA/NR/2024/10/01/9582,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/10/16/2350,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/10/01/8106,NR/01102023/31102037/L_NR_2019_11,NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_07,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_02,NR/30092023/31122025/SH-07,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/16/4393,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/9072,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/10/01/6101,NR/01102023/31052040/LT-31
1,00:00-00:15,6.66,0,0,6.67,20,6.66,0,0,13.33,13.33,0,0,0,0,0,0,0,0,31.61,70.29,192.8,12.42,272.57,29.27,30.57,0,12.42,3.14,1.78,0,3.41,69.41,2.97,211.12,1.78,37.24,91.71,5.24,37.24,0,37.24,0

2,00:15-00:30,6.66,0,0,6.67,20,6.66,0,0,13.33,13.33,0,0,0,0,0,0,0,0,31.01,70.29,192.8,12.42,272.57,29.27,30.57,0,12.42,3.14,1.78,0,3.41,69.41,2.97,211.12,1.78,37.24,91.71,5.24,37.24,0,37.24,0

3,00:30-00:45,6.66,0,0,6.67,20,6.66,0,0,13.33,13.33,0,0,0,0,0,0,0,0,30.01,70.29,192.8,12.42,272.57,29.27,30.57,0,12.42,3.14,1.78,0,3.41,69.41,2.97,211.12,1.78,37.24,91.71,5.24,37.24,0,37.24,0

4,00:45-01:00,6.66,0,0,6.67,20,6.66,0,0,13.33,13.33,0,0,0,0,0,0,0,0,29.61,70.29,192.8,12.42,272.57,29.27,30.57,0,12.42,3.14,1.78,0,3.41,69.41,2.97,211.12,1.78,37.24,91.71,5.24,37.24,0,37.24,0

5,01:00-01:15,6.66,0,0,6.67,20,6.66,0,0,13.33,13.33,0,0,0,0,0,0,0,0,28.01,70.29,192.8,12.42,272.57,29.27,30.57,0,12.42,3.07,1.78,0,3.41,69.41,2.97,198.71,1.78,37.24,91.71,5.24,37.24,0,37.24,0

6,01:15-01:30,6.66,0,0,6.67,20,6.66,0,0,13.33,13.33,0,0,0,0,0,0,0,0,27.61,70.29,192.8,12.42,272.57,28.26,30.57,0,12.42,3.07,1.78,0,3.41,69.41,2.97,198.71,1.78,37.24,91.71,5.24,37.24,0,37.24,0

7,01:30-01:45,6.66,0,0,6.67,20,6.66,0,0,13.33,13.33,0,0,0,0,0,0,0,0,21.21,70.29,192.8,12.42,272.57,28.26,30.57,0,12.42,3.07,1.78,0,3.41,69.41,2.97,198.71,1.78,37.24,91.71,5.24,37.24,0,37.24,0

8,01:45-02:00,6.66,0,0,6.67,20,6.66,0,0,13.33,13.33,0,0,0,0,0,0,0,0,19.81,70.29,192.8,12.42,272.57,28.26,30.57,0,12.42,3.07,1.78,0,3.41,69.41,2.97,198.71,1.78,37.24,91.71,5.24,37.24,0,37.24,0

9,02:00-02:15,6.66,0,0,6.67,20,6.66,0,0,13.33,13.33,0,0,0,0,0,0,0,0,19.21,70.29,0,12.42,272.57,28.26,30.57,0,12.42,2.99,24.8,0,3.34,69.41,2.97,169.79,24.8,37.24,91.71,5.16,37.24,0,37.24,0

10,02:15-02:30,6.66,0,0,6.67,20,6.66,0,0,13.33,13.33,0,0,0,0,0,0,0,0,18.41,70.29,0,12.42,272.57,28.26,30.57,0,12.42,2.99,24.8,0,3.34,69.41,2.97,169.79,24.8,37.24,91.71,5.16,37.24,0,37.24,0

