Block,Time,CHAMERA1,CHAMERA3,KISHANGANGA,PARBATI3,RIHAND2,RIHAND3,SIMHST1,SINGRAULI,TANAKPUR,URI2,AURY_GF,CHAMERA2,FSTPP I & II,KGSU1AND2,KHSTPP-I,KKNPPU2,KOTESHWR,NNTPP,RAMPUR,RAPPD,SEWA2,URI,ANTA_LF,DADRI_RF,BSIUL,NLCIIST1,NLCIIST2,NLCTS2EXP,RAPPC,TEHRI,AURY_CRF,DADRT2,JHAJJAR,KGSU3AND4,KHSTPP-II,PARBATI2,RSTPSU7,SINGRAULI_HYDRO,UNCHAHAR4,ANTA_CRF,ANTA_GF,ANTA_RF,BRBCL,DHAULIGNGA,DULHASTI,KOLDAM,KUDGI,NLCEXP,SALAL,TANDA2,UNCHAHAR3,DADRI_GF,DADRI_LF,MAPS,RAPPB,RIHAND1,SIMHST2,TelanganaSTPP,AURY_LF,KKNP,VALLURNTECL,NAPP,NJPC,NTPL,RSTPSU1TO6,SASAN,TALA,TALST2,UNCHAHAR1,UNCHAHAR2,AURY_RF,DADRI_CRF
1,00:00-00:15,42.15,35,8.63,23.02,124.58,130.79,0,112.11,0.51,38.1,0,48.81,18.62,0,45.83,0,10.43,0,4.4,22.02,18.9,50.23,0,98.41,19.56,0,0,0,69.07,34.18,0,548.92,568.67,0,148.3,26.3,0,0.92,2.3,0,0,51.83,20,10.95,59.5,4.79,0,0,53.45,5.7,27.68,0,0,0,0,97.23,0,0,0,0,0,25.9,110.67,0,0,416.25,0,0,21.64,44.5,76.73,0

2,00:15-00:30,42.15,35,8.63,23.02,124.58,130.79,0,112.11,6.27,38.1,0,48.81,18.62,0,45.83,0,10.43,0,4.4,22.02,18.9,50.23,0,98.41,19.56,0,0,0,69.07,34.18,0,548.92,568.67,0,148.3,26.3,0,0.92,2.3,0,0,51.83,20,10.95,59.5,4.79,0,0,53.45,5.7,27.68,0,0,0,0,97.23,0,0,0,0,0,25.9,110.67,0,0,416.25,0,0,21.64,44.5,76.73,0

3,00:30-00:45,42.15,35,8.63,23.02,124.58,130.79,0,112.11,6.27,38.1,0,48.81,18.62,0,45.83,0,10.43,0,4.4,22.02,18.9,50.23,0,98.41,19.56,0,0,0,69.07,34.18,0,548.92,568.67,0,148.3,26.3,0,0.92,2.3,0,0,51.83,20,10.95,59.5,4.79,0,0,79.38,5.7,27.68,0,0,0,0,97.23,0,0,0,0,0,25.9,110.67,0,0,416.25,0,0,21.64,44.5,76.73,0

4,00:45-01:00,42.15,35,8.63,23.02,124.58,130.79,0,112.11,6.27,38.1,0,48.81,18.62,0,45.83,0,10.43,0,4.4,22.02,18.9,52.36,0,98.41,19.56,0,0,0,69.07,34.18,0,548.92,568.67,0,148.3,26.3,0,0.92,2.3,0,0,51.83,20,10.95,59.5,4.79,0,0,79.38,5.7,27.68,0,0,0,0,97.23,0,0,0,0,0,25.9,110.67,0,0,416.25,0,0,21.64,44.5,76.73,0

5,01:00-01:15,42.15,35,8.63,23.02,124.58,130.79,0,112.11,6.27,38.1,0,48.81,18.62,0,45.83,0,10.43,0,4.4,22.02,18.9,52.36,0,98.41,19.56,0,0,0,69.07,34.18,0,548.92,568.67,0,148.3,26.3,0,0.92,2.3,0,0,52.22,20,10.95,59.5,4.79,0,0,79.38,5.7,27.68,0,0,0,0,97.23,0,0,0,0,0,25.9,110.67,0,0,416.25,0,0,21.64,44.5,80.77,0

6,01:15-01:30,42.15,35,8.63,23.02,124.58,130.79,0,112.11,0.51,38.1,0,48.81,18.62,0,45.83,0,10.43,0,4.4,22.02,18.9,52.36,0,98.41,19.56,0,0,0,69.07,34.18,0,548.92,568.67,0,148.3,26.3,0,0.92,2.3,0,0,52.22,20,10.95,59.5,4.79,0,0,79.38,5.7,27.68,0,0,0,0,97.23,0,0,0,0,0,25.9,110.67,0,0,416.25,0,0,21.64,44.5,80.77,0

