Block,Time,DADRT2,DADRI_RF,DADRI_GF,RAMPUR,RAPPB,DADRI_CRF,JHAJJAR,DADRI_LF,AURY_LF,SINGRAULI,BSIUL,URI,AURY_RF,CHAMERA1,PARBATI3,TANAKPUR,CHAMERA3,AURY_GF,UNCHAHAR3,TANDA2,DHAULIGNGA,SEWA2,ANTA_CRF,UNCHAHAR4,KISHANGANGA,ANTA_GF,KOTESHWR,UNCHAHAR2,TEHRI,UNCHAHAR1,KOLDAM,ANTA_RF,NJPC,SASAN,KHSTPP-I,RAPPC,URI2,BRBCL,KHSTPP-II,TALA,RIHAND3,NAPP,FSTPP I & II,AURY_CRF,RIHAND1,DULHASTI,ANTA_LF,SINGRAULI_HYDRO,CHAMERA2,SALAL,RIHAND2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,388.449280,0.000000,0.000000,6.497955,0.000000,0.000000,369.897760,0.000000,0.000000,143.512530,6.281487,40.944103,0.000000,40.601245,0.000000,12.463272,33.552946,0.000000,24.019500,5.157649,41.938361,0.000000,0.000000,2.976597,8.034549,0.000000,18.878582,37.190701,63.861829,9.526170,9.836884,0.000000,173.357832,336.167618,30.989457,65.333899,36.499938,14.449500,142.857390,9.770752,125.787810,47.562931,13.775190,0.000000,93.493990,57.003666,0.000000,1.147445,46.719885,80.593531,119.815254,0,0,0,0,0

2,00:15-00:30,340.284280,0.000000,0.000000,6.497955,0.000000,0.000000,369.897760,0.000000,0.000000,143.512530,6.281487,40.944103,0.000000,40.601245,0.000000,12.463272,33.552946,0.000000,24.019500,5.157649,41.938361,0.000000,0.000000,2.976597,8.034549,0.000000,18.878582,37.190701,63.861829,9.526170,9.836884,0.000000,173.357832,336.167618,30.989457,65.333899,36.499938,14.449500,142.857390,9.770752,125.787810,47.562931,13.775190,0.000000,93.493990,57.003666,0.000000,1.147445,46.719885,80.593531,119.815254,0,0,0,0,0

3,00:30-00:45,292.119280,0.000000,0.000000,6.497955,0.000000,0.000000,369.897760,0.000000,0.000000,143.512530,6.281487,35.094946,0.000000,40.601245,0.000000,12.463272,33.552946,0.000000,24.019500,5.157649,41.938361,0.000000,0.000000,2.976597,8.034549,0.000000,18.878582,37.190701,63.861829,9.526170,9.836884,0.000000,173.357832,336.167618,30.989457,65.333899,36.499938,14.449500,142.857390,9.770752,125.787810,47.562931,13.775190,0.000000,93.493990,57.003666,0.000000,1.147445,46.719885,80.593531,119.815254,0,0,0,0,0

4,00:45-01:00,234.321280,0.000000,0.000000,6.497955,0.000000,0.000000,369.897760,0.000000,0.000000,143.512530,6.281487,35.094946,0.000000,40.601245,0.000000,12.463272,33.552946,0.000000,24.019500,5.157649,41.938361,0.000000,0.000000,2.976597,8.034549,0.000000,18.878582,37.190701,63.861829,9.526170,9.836884,0.000000,173.357832,336.167618,30.989457,65.333899,36.499938,14.449500,142.857390,9.770752,125.787810,47.562931,13.775190,0.000000,93.493990,57.003666,0.000000,1.147445,46.719885,80.593531,119.815254,0,0,0,0,0

5,01:00-01:15,230.036040,0.000000,0.000000,6.497955,0.000000,0.000000,323.302500,0.000000,0.000000,143.512530,6.281487,40.944103,0.000000,40.601245,0.000000,12.463272,33.552946,0.000000,20.507501,5.157649,41.938361,0.000000,0.000000,2.976597,8.034549,0.000000,18.878582,31.701432,63.861829,8.186701,9.836884,0.000000,173.357832,336.167618,30.989457,65.333899,36.499938,14.449500,142.857390,9.770752,125.787810,47.562931,13.775190,0.000000,93.493990,57.003666,0.000000,1.147445,46.719885,80.593531,119.815254,0,0,0,0,0

