Block,Time,TANAKPUR,TEHRI,AURY_LF,RIHAND2,UNCHAHAR2,SEWA2,ANTA_RF,RIHAND1,RAPPB,URI,AURY_CRF,SINGRAULI,DHAULIGNGA,RIHAND3,UNCHAHAR3,TANDA2,KISHANGANGA,SALAL,ANTA_LF,DULHASTI,CHAMERA3,BSIUL,JHAJJAR,RAMPUR,CHAMERA1,KOTESHWR,UNCHAHAR1,AURY_RF,DADRI_CRF,DADRI_RF,NJPC,URI2,PARBATI3,DADRI_LF,ANTA_CRF,SINGRAULI_HYDRO,KOLDAM,RAPPC,DADRT2,DADRI_GF,UNCHAHAR4,AURY_GF,NAPP,CHAMERA2,ANTA_GF,KUDGI,FSTPP I & II,KHSTPP-II,TALA,KHSTPP-I,BRBCL,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,7.437742,25.034071,0.000000,115.727243,41.659485,16.053045,1.265907,90.305764,0.000000,45.938654,0.000000,137.413400,37.135857,121.248253,25.854802,1.347745,2.113900,79.274952,0.000000,50.308022,29.586066,12.684225,636.640056,1.592521,40.786697,16.142168,20.084614,18.701577,0.000000,55.226811,142.096822,33.462286,0.000000,0.000000,0.000000,0.000000,2.350658,53.541171,666.018571,0.000000,0.783837,0.000000,39.333455,40.512341,0.000000,48.38,17.554078,142.750749,22.760304,39.355391,12.550993,337.703108,0,0,0,0,0

2,00:15-00:30,7.437742,25.034071,0.000000,115.727243,41.659485,16.053045,0.000000,90.305764,0.000000,45.938654,0.000000,137.413400,37.135857,121.248253,25.854802,1.347745,2.113900,79.274952,0.000000,50.308022,29.586066,12.684225,636.640056,1.592521,40.786697,16.142168,20.084614,18.701577,0.000000,42.774596,142.096822,33.462286,0.000000,0.000000,0.000000,0.000000,2.350658,53.541171,666.018571,0.000000,0.783837,0.000000,39.333455,40.512341,0.000000,45.48,17.554078,142.750749,22.760304,39.355391,14.182436,337.703108,0,0,0,0,0

3,00:30-00:45,7.437742,25.034071,0.000000,115.727243,41.659485,16.053045,2.332157,90.305764,0.000000,45.938654,0.000000,137.413400,37.135857,121.248253,25.854802,1.347745,2.113900,79.274952,0.000000,50.308022,29.586066,12.684225,636.640056,1.592521,40.786697,16.142168,20.084614,48.802466,0.000000,61.272442,142.096822,33.462286,0.000000,0.000000,0.000000,0.000000,2.350658,53.541171,666.018571,0.000000,0.783837,0.000000,39.333455,40.512341,0.000000,43.55,17.554078,142.750749,22.760304,39.355391,14.938992,337.703108,0,0,0,0,0

4,00:45-01:00,7.437742,25.034071,0.000000,115.727243,41.659485,16.053045,2.332157,90.305764,0.000000,45.938654,0.000000,137.413400,37.135857,121.248253,25.854802,1.347745,2.113900,79.274952,0.000000,50.308022,29.586066,12.684225,636.640056,1.592521,40.786697,16.142168,20.084614,48.802466,0.000000,61.272442,142.096822,33.462286,0.000000,0.000000,0.000000,0.000000,2.350658,53.541171,666.018571,0.000000,0.783837,0.000000,39.333455,40.512341,0.000000,41.61,17.554078,142.750749,22.760304,39.355391,13.261487,337.703108,0,0,0,0,0

5,01:00-01:15,11.776425,25.034071,0.000000,115.727243,41.659485,16.053045,2.332157,90.305764,0.000000,45.938654,0.000000,137.413400,37.135857,121.248253,25.854802,1.347745,2.113900,79.274952,0.000000,50.308022,29.586066,12.684225,636.640056,1.592521,40.786697,16.142168,20.084614,49.642429,0.000000,61.272442,118.414019,33.462286,0.000000,0.000000,0.000000,0.000000,2.350658,53.541171,666.018571,0.000000,0.783837,0.000000,39.333455,40.512341,0.000000,38.71,17.554078,142.750749,22.760304,39.355391,13.283187,337.703108,0,0,0,0,0

