Block,Time Block,FSTPP I & II,JHAJJAR,SIMHST2,TANAKPUR,TelanganaSTPP,SALAL,SEWA2,TALA,TEHRI,TANDA2,SINGRAULI_HYDRO,SASAN,SIMHST1,TALST2,SINGRAULI,DADRI_CRF,ANTA_CRF,ANTA_RF,AURY_RF,DADRI_RF,AURY_LF,DADRI_LF,ANTA_LF,AURY_GF,DADRI_GF,ANTA_GF,AURY_CRF,DULHASTI,DHAULIGNGA,DADRT2,CHAMERA3,CHAMERA2,MAPS,KOLDAM,KOTESHWR,KUDGI,RSTPSU1TO6,RAPPC,RSTPSU7,NNTPP,NTPL,RIHAND3,RAPPB,PARBATI3,RIHAND2,RAMPUR,RIHAND1,KKNPPU2,KKNP,CHAMERA1,BSIUL,BRBCL,NLCIIST2,NLCEXP,NLCIIST1,NJPC,NLCTS2EXP,KHSTPP-II,KISHANGANGA,KHSTPP-I,NAPP,KGSU1AND2,KGSU3AND4,UNCHAHAR4,URI2,UNCHAHAR3,UNCHAHAR1,UNCHAHAR2,URI,VALLURNTECL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,20.15,271.6,0,8.44,0,81.07,0,10.16,34.34,0,0,305.2,0,0,123.78,0,0,0,0,0,0,0,0,0,0,0,0,52.12,39.14,557.25,31.08,42.84,0,5.18,9.36,0,0,58.79,0,0,0,123.63,0,20.42,117.92,3.43,87.72,0,0,27.23,6.32,19.38,0,0,0,161.9,0,95.8,1.4,42.93,43.59,0,0,0,22.91,22.95,17.77,36.46,37.44,0,0,0,0,0,0

2,00:15-00:30,20.15,247.38,0,8.44,0,81.07,0,10.16,34.34,0,0,305.2,0,0,123.78,0,0,0,0,0,0,0,0,0,0,0,0,52.12,39.14,557.25,31.08,42.84,0,5.18,9.36,0,0,58.79,0,0,0,123.63,0,20.42,117.92,3.43,87.72,0,0,27.23,6.32,19.38,0,0,0,161.9,0,95.8,1.4,42.93,43.59,0,0,0,22.91,22.95,17.77,36.46,37.44,0,0,0,0,0,0

3,00:30-00:45,20.15,232.85,0,8.44,0,81.07,0,9.97,34.34,0,0,305.2,0,0,123.78,0,0,0,0,0,0,0,0,0,0,0,0,52.12,39.14,557.25,31.08,42.84,0,5.18,9.36,0,0,58.79,0,0,0,123.63,0,17.01,117.92,3.43,87.72,0,0,27.23,6.32,18.67,0,0,0,161.9,0,95.8,1.4,42.93,43.59,0,0,0,34.93,19.8,15.99,31.22,37.44,0,0,0,0,0,0

4,00:45-01:00,20.15,232.85,0,8.44,0,81.07,0,9.97,34.34,0,0,305.2,0,0,123.78,0,0,0,0,0,0,0,0,0,0,0,0,52.12,39.14,557.25,31.08,42.84,0,5.18,9.36,0,0,58.79,0,0,0,123.63,0,17.01,117.92,3.43,87.72,0,0,27.23,6.32,16.12,0,0,0,161.9,0,95.8,1.4,42.93,43.59,0,0,0,34.93,19.43,15.02,30.79,37.44,0,0,0,0,0,0

5,01:00-01:15,20.15,232.85,0,8.44,0,81.07,0,9.97,34.34,0,0,305.2,0,0,123.78,0,0,0,0,0,0,0,0,0,0,0,0,52.12,39.14,557.25,31.08,42.84,0,5.18,9.36,0,0,58.79,0,0,0,123.63,0,17.01,117.92,3.43,87.72,0,0,27.23,6.32,14.29,0,0,0,161.9,0,95.8,1.4,42.93,43.59,0,0,0,34.93,19.43,15.02,30.79,21.39,0,0,0,0,0,0

6,01:15-01:30,20.15,232.85,0,8.44,0,81.07,0,9.97,34.34,0,0,305.2,0,0,123.78,0,0,0,0,0,0,0,0,0,0,0,0,52.12,39.14,557.25,31.08,42.84,0,5.18,9.36,0,0,58.79,0,0,0,123.63,0,17.01,117.92,3.43,87.72,0,0,27.23,6.32,14.62,0,0,0,161.9,0,95.8,1.4,42.93,43.59,0,0,0,34.93,19.43,15.02,30.79,21.39,0,0,0,0,0,0

