Block,Time,L_NR_2020_07,LT-59,L_NR_2020_05,L_NR_2019_05,L_NR_2012_01,LT_MEJA_Delhi,L_NR_2019_06,L_NR_2022_08,L_NR_2012_04,L_NR_2018_61,L_NR_2020_06,SH-07,L_NR_2023_04,L_NR_2019_11,LT-36,L_NR_2022_09,LT-05,L_NR_2019_19,LT-35,SH-06,L_NR_2022_10,L_NR_2021_13,L_NR_2021_12,L_NR_2021_14,L_NR_2021_17,L_NR_2012_02,L_NR_2021_15,L_NR_2019_07,L_NR_2021_16,L_NR_2012_07,LT-31,L_NR_2020_02
1,00:00-00:15,5.11,7.160000,15.31,0,101.370000,3.880000,0,5.08,132.830000,19.06,5.1,28.800000,0.000000,7.690000,0.000000,0,116.160000,0,0.000000,28.800000,0,0,0,0,0,259.260000,0,0,0,87.290000,0.000000,9.310000

2,00:15-00:30,5.27,7.160000,15.81,0,101.370000,3.880000,0,5.31,132.830000,18.9,5.27,28.800000,0.000000,7.690000,0.000000,0,116.160000,0,0.000000,28.800000,0,0,0,0,0,259.260000,0,0,0,87.290000,0.000000,9.310000

3,00:30-00:45,5.11,7.160000,15.31,0,101.370000,3.880000,0,5.18,132.830000,17.06,5.1,29.510000,0.000000,7.690000,0.000000,0,116.160000,0,0.000000,0.000000,0,0,0,0,0,259.260000,0,0,0,87.290000,0.000000,9.310000

4,00:45-01:00,5.27,7.160000,15.81,0,101.370000,3.880000,0,5.25,132.830000,16.66,5.27,29.510000,0.000000,7.690000,0.000000,0,116.160000,0,0.000000,0.000000,0,0,0,0,0,259.260000,0,0,0,87.290000,0.000000,9.310000

5,01:00-01:15,5.11,7.160000,15.31,0,101.370000,3.880000,0,5.19,132.830000,16.46,5.1,29.510000,0.000000,7.690000,0.000000,0,116.160000,0,0.000000,0.000000,0,0,0,0,0,259.260000,0,0,0,87.290000,0.000000,9.310000

6,01:15-01:30,0,7.160000,0,0,101.370000,3.880000,0,5.11,132.830000,16.54,0,29.510000,0.000000,7.690000,0.000000,0,116.160000,0,0.000000,0.000000,0,0,0,0,0,259.260000,0,0,0,87.290000,0.000000,9.310000

7,01:30-01:45,0,7.160000,0,0,101.370000,3.880000,0,1.78,132.830000,25.06,0,29.510000,0.000000,7.690000,0.000000,0,116.160000,0,0.000000,0.000000,0,0,0,0,0,259.260000,0,0,0,87.290000,0.000000,9.310000

8,01:45-02:00,0,7.160000,0,0,101.370000,3.880000,0,1.82,132.830000,25.26,0,30.970000,0.000000,7.690000,0.000000,0,116.160000,0,0.000000,0.000000,0,0,0,0,0,259.260000,0,0,0,87.290000,0.000000,9.310000

9,02:00-02:15,0,7.010000,0,0,101.370000,3.880000,0,1.75,132.830000,25.5,0,30.970000,0.000000,7.690000,0.000000,0,116.160000,0,0.000000,0.000000,0,0,0,0,0,259.260000,0,0,0,87.290000,0.000000,9.160000

10,02:15-02:30,0,7.010000,0,0,101.370000,3.880000,0,1.82,132.830000,25.92,0,30.970000,0.000000,7.690000,0.000000,0,116.160000,0,0.000000,0.000000,0,0,0,0,0,259.260000,0,0,0,87.290000,0.000000,9.160000

11,02:30-02:45,0,7.010000,0,0,101.370000,3.880000,0,1.76,132.830000,25.74,0,30.970000,0.000000,7.690000,0.000000,0,116.160000,0,0.000000,0.000000,0,0,0,0,0,259.260000,0,0,0,87.290000,0.000000,9.160000

12,02:45-03:00,0,7.010000,0,0,101.370000,3.880000,0,1.66,132.830000,34.66,0,30.970000,0.000000,7.690000,0.000000,0,116.160000,0,0.000000,3.870000,0,0,0,0,0,259.260000,0,0,0,87.290000,0.000000,9.160000

13,03:00-03:15,0,6.230000,0,0,101.370000,3.880000,0,1.69,132.830000,34.13,0,30.970000,0.000000,7.470000,0.000000,0,116.160000,0,0.000000,3.870000,0,0,0,0,0,259.260000,0,0,0,87.290000,0.000000,9.160000

14,03:15-03:30,2.12,6.230000,6.38,0,101.370000,3.880000,0,1.67,132.830000,33.92,2.13,30.970000,0.000000,7.470000,0.000000,0,116.160000,0,0.000000,3.870000,0,0,0,0,0,259.260000,0,0,0,87.290000,0.000000,9.160000

15,03:30-03:45,2.23,6.630000,6.66,0,101.370000,3.880000,0,1.68,132.830000,34.16,2.22,30.970000,0.000000,7.470000,0.000000,0,116.160000,0,0.000000,3.870000,0,0,0,0,0,259.260000,0,0,0,87.290000,0.000000,9.160000

16,03:45-04:00,2.19,6.630000,6.59,0,101.370000,3.880000,0,1.78,132.830000,34.84,2.2,30.970000,0.000000,7.470000,0.000000,0,116.160000,0,0.000000,3.870000,0,0,0,0,0,259.260000,0,0,0,87.290000,0.000000,9.160000

17,04:00-04:15,2.24,6.630000,6.72,0,101.370000,3.880000,0,1.83,132.830000,35.07,2.24,30.970000,0.000000,7.470000,0.000000,0,116.160000,0,0.000000,3.870000,0,0,0,0,0,259.260000,0,0,0,87.290000,0.000000,9.030000

18,04:15-04:30,2.09,6.630000,6.28,0,101.370000,3.880000,0,1.66,132.830000,36.08,2.09,30.970000,0.000000,7.470000,0.000000,0,116.160000,0,0.000000,3.870000,0,0,0,0,0,259.260000,0,0,0,87.290000,0.000000,9.030000

19,04:30-04:45,2.2,6.630000,6.55,0,101.370000,3.910000,0,1.68,132.830000,36.74,2.18,30.970000,0.000000,7.470000,0.000000,0,116.160000,0,0.000000,3.870000,0,0,0,0,0,259.260000,0,0,0,87.290000,0.000000,9.030000

20,04:45-05:00,2.11,6.630000,6.31,0,101.370000,3.910000,0,1.82,132.830000,25.81,2.1,30.970000,0.000000,7.470000,0.000000,0,116.160000,0,0.000000,3.870000,0,0,0,0,0,259.260000,0,0,0,87.290000,0.000000,9.030000

21,05:00-05:15,2.14,6.630000,6.41,0,101.370000,3.910000,0,1.7,132.830000,25.77,2.13,30.970000,0.000000,7.470000,0.000000,0,116.160000,0,0.000000,3.870000,0,0,0,0,0,259.260000,0,0,0,87.290000,0.000000,9.030000

22,05:15-05:30,2.19,6.630000,6.59,0,101.370000,3.910000,0,1.74,132.830000,25.73,2.2,30.970000,0.000000,7.470000,0.000000,0,116.160000,0,0.000000,3.870000,0,0,0,0,0,259.260000,0,0,0,87.290000,0.000000,9.030000

23,05:30-05:45,2.19,6.630000,6.59,0,101.370000,3.910000,0,1.7,132.830000,25.72,2.2,30.970000,0.000000,7.470000,0.000000,0,116.160000,1.668447,0.000000,3.870000,0,0,0,0.03,0.16,259.260000,0,0,0.32,87.290000,0.000000,9.030000

24,05:45-06:00,2.18,6.630000,6.49,0,101.370000,3.910000,0,1.73,132.830000,24.87,2.16,30.970000,0.000000,7.470000,0.000000,0,116.160000,6.088368,0.000000,3.870000,0,0.01,0.05,0.31,0.77,259.260000,0.35,0,1.53,87.290000,0.000000,9.030000

25,06:00-06:15,2.22,6.470000,6.66,14.54,101.370000,3.910000,11.59,1.83,132.830000,24.85,2.22,30.970000,0.000000,7.470000,0.310000,0,116.160000,10.127766,0.300000,18.390000,0,0.51,2.54,1.57,2.01,259.260000,0.73,4.44,4.01,87.290000,0.300000,8.880000

26,06:15-06:30,2.1,6.470000,6.28,23.88,101.370000,3.910000,20.34,1.81,132.830000,31.06,2.09,30.970000,0.000000,7.240000,0.680000,0,94.900000,14.518416,0.670000,20.930000,0,1.37,6.88,3.32,3.53,259.260000,1.82,8.88,7.06,87.290000,0.670000,8.880000

27,06:30-06:45,2.07,6.470000,6.26,33,101.370000,0.390000,30.71,1.8,132.830000,31.23,2.09,30.970000,0.000000,7.240000,1.010000,0,66.430000,19.962822,0.980000,20.930000,0,2.43,12.16,5.33,5.53,259.260000,2.07,15.75,11.07,63.460000,0.980000,8.880000

28,06:45-07:00,2.18,6.470000,6.54,27.46,101.370000,0.390000,27.47,1.77,132.830000,30.77,2.18,30.970000,0.000000,7.240000,1.410000,0,94.900000,26.939077,1.380000,20.930000,0,3.74,18.71,7.95,7.92,259.260000,2.97,26.52,15.85,63.460000,1.380000,8.880000

29,07:00-07:15,2.2,6.470000,6.58,27.15,101.370000,0.390000,27.15,1.77,132.830000,30.62,2.19,30.970000,0.000000,7.240000,1.890000,0,94.900000,34.852004,1.840000,20.930000,0,5.62,28.1,11.26,5.67,259.260000,4.31,27.15,11.33,63.460000,1.840000,8.880000

30,07:15-07:30,2.16,6.470000,6.46,27.15,101.370000,0.390000,27.15,1.75,132.830000,30.27,2.15,30.970000,0.000000,7.240000,2.200000,0,94.900000,43.233267,2.150000,20.930000,0,8.01,40.07,13.16,8,259.260000,6.08,27.15,16,63.460000,2.150000,8.880000

31,07:30-07:45,2.13,6.470000,6.37,27.15,101.370000,0.390000,27.15,1.69,132.830000,29.95,2.12,30.970000,0.000000,7.240000,2.910000,0,66.430000,51.877969,2.850000,20.930000,0,9.29,46.46,15,10.33,210.870000,7.15,27.15,20.67,39.270000,2.850000,8.880000

32,07:45:08:00,2.23,6.470000,6.69,27.15,101.370000,0.390000,27.15,1.74,108.380000,29.79,2.23,30.970000,0.000000,7.240000,3.460000,0,66.430000,60.239718,3.380000,20.930000,0,11.95,59.76,16.33,11.33,210.870000,8.1,27.15,22.67,31.930000,3.380000,8.880000

33,08:00-08:15,2.09,6.470000,6.28,32.34,101.370000,0.390000,32.33,1.7,84.190000,30.11,2.09,30.970000,0.000000,7.240000,4.220000,0,66.430000,67.937991,4.120000,20.930000,0,11.32,56.62,18.33,13,191.290000,8.41,32.33,26,31.930000,4.120000,8.470000

34,08:15-08:30,2.14,6.470000,6.39,32.34,101.370000,0.390000,32.33,1.7,75.480000,30.16,2.13,30.970000,0.000000,7.240000,5.310000,0,66.430000,75.119143,5.190000,20.930000,0,13.42,67.08,20,12.67,183.550000,9.44,32.33,25.33,31.930000,5.190000,8.470000

35,08:30-08:45,2.23,6.470000,6.72,32.34,101.370000,0.390000,32.33,1.69,99.670000,28.39,2.24,30.970000,0.000000,7.240000,6.400000,0,66.430000,82.563734,6.230000,20.930000,0,15.35,76.78,23.33,14,194.200000,11.53,32.33,28,31.930000,6.230000,8.470000

36,08:45:09:00,2.23,6.470000,6.66,32.34,101.370000,0.390000,32.33,1.79,123.870000,31.41,2.22,30.970000,0.000000,7.240000,7.360000,0,66.430000,90.232736,7.190000,20.930000,0,16.82,84.12,25.33,14,189.360000,13.84,32.33,28,31.930000,7.190000,8.470000

