Block,Time Block,SALAL,TEHRI,SASAN,TANDA2,SIMHST1,SINGRAULI_HYDRO,SIMHST2,TALST2,UNCHAHAR1,SEWA2,SINGRAULI,TANAKPUR,TelanganaSTPP,TALA,CHAMERA1,JHAJJAR,BSIUL,CHAMERA3,FSTPP I & II,CHAMERA2,DHAULIGNGA,KGSU1AND2,BRBCL,DULHASTI,KGSU3AND4,DADRT2,NTPL,PARBATI3,NLCEXP,NLCIIST1,NLCIIST2,RAMPUR,NLCTS2EXP,NNTPP,RAPPC,RSTPSU1TO6,RIHAND3,RAPPB,RSTPSU7,RIHAND2,RIHAND1,NAPP,KOLDAM,KISHANGANGA,KUDGI,NJPC,MAPS,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,KHSTPP-I,DADRI_CRF,DADRI_RF,DADRI_LF,DADRI_GF,ANTA_LF,AURY_GF,ANTA_GF,AURY_CRF,AURY_RF,ANTA_CRF,ANTA_RF,AURY_LF,VALLURNTECL,UNCHAHAR4,URI2,UNCHAHAR3,UNCHAHAR2,URI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,80.98,74.43,396.36,0,0,0,0,0,17.75,11.21,137.23,12.52,0,10.53,40.8,313.9,6.31,31.05,18.63,42.8,39.1,0,18.74,52.06,0,585.33,0,29.93,0,0,0,3.43,0,0,58.3,0,123.5,0,0,117.8,0,44,5.18,1.39,0,161.74,0,37.4,95.7,0,0,32.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.18,22.93,35.5,46.48,0,0,0,0,0

2,00:15-00:30,80.98,74.43,396.36,0,0,0,0,0,17.75,5.6,137.23,12.52,0,10.53,40.8,284.86,6.31,31.05,20.13,42.8,39.1,0,18.44,52.06,0,585.33,0,29.93,0,0,0,3.43,0,0,58.3,0,123.5,0,0,117.8,0,44,5.18,1.39,0,161.74,0,37.4,95.7,0,0,32.61,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,35.18,22.93,35.5,46.48,0,0,0,0,0

3,00:30-00:45,80.98,74.43,396.36,0,0,0,0,0,17.75,5.6,137.23,12.52,0,10.53,40.8,197.75,6.31,31.05,16.96,42.8,39.1,0,15.55,52.06,0,585.33,0,29.93,0,0,0,3.43,0,0,58.3,0,123.5,0,0,117.8,0,44,5.18,1.39,0,161.74,0,37.4,95.7,0,0,32.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,35.18,22.93,35.5,42.74,0,0,0,0,0

4,00:45-01:00,80.98,74.43,396.36,0,0,0,0,0,17.75,5.6,137.23,12.52,0,10.53,40.8,111.41,6.31,31.05,16.96,42.8,39.1,0,14.2,52.06,0,556.67,0,29.93,0,0,0,3.43,0,0,58.3,0,123.5,0,0,117.8,0,44,5.18,1.39,0,161.74,0,37.4,95.7,0,0,32.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.18,22.93,35.5,42.74,0,0,0,0,0

5,01:00-01:15,80.98,74.43,396.36,0,0,0,0,0,14.99,5.6,137.23,12.52,0,10.53,40.8,111.41,6.31,31.05,14.18,42.8,39.1,0,12.31,52.06,0,508.27,0,20.4,0,0,0,3.43,0,0,58.3,0,123.5,0,0,117.8,0,44,5.18,1.39,0,161.74,0,37.4,95.7,0,0,32.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.18,19.4,30.75,42.74,0,0,0,0,0

