Block,Time,SASAN,SIMHST2,TALST2,AURY_GF,DADRI_CRF,DADRI_RF,DADRT2,RAPPC,RIHAND3,RSTPSU1TO6,CHAMERA2,DULHASTI,KOLDAM,NLCEXP,NLCIIST1,SEWA2,TANDA2,TEHRI,TelanganaSTPP,ANTA_LF,AURY_CRF,FSTPP I & II,JHAJJAR,NJPC,NTPL,PARBATI3,URI,BSIUL,CHAMERA3,KGSU1AND2,KGSU3AND4,NLCTS2EXP,SINGRAULI_HYDRO,UNCHAHAR2,UNCHAHAR4,URI2,VALLURNTECL,ANTA_GF,DADRI_GF,KKNPPU2,NAPP,NNTPP,RAMPUR,RAPPB,RIHAND2,TANAKPUR,UNCHAHAR1,KHSTPP-I,KHSTPP-II,KISHANGANGA,KKNP,KUDGI,SINGRAULI,TALA,UNCHAHAR3,ANTA_CRF,ANTA_RF,BRBCL,CHAMERA1,DHAULIGNGA,KOTESHWR,MAPS,NLCIIST2,RIHAND1,RSTPSU7,SALAL,SIMHST1,AURY_LF,AURY_RF,DADRI_LF
1,00:00-00:15,411.75,0,0,0,0,97.42,686.07,60.23,127.6,0,44.22,53.79,5.35,0,0,11.58,0,76.9,0,0,0,14.3,413.81,167.1,0,17.56,48.02,6.52,32.08,0,0,0,0,42.4,0,36.35,0,0,0,0,44.75,0,3.54,0,121.71,12.94,20.96,33.69,98.87,1.44,0,0,140.21,9.62,27.05,0,48.13,20.01,42.15,40.4,38.64,0,0,0,0,83.67,0,0,78.06,0

2,00:15-00:30,411.75,0,0,0,0,97.42,686.07,60.23,127.6,0,44.22,53.79,5.35,0,0,11.58,0,76.9,0,0,0,14.3,413.81,167.1,0,17.56,48.02,6.52,32.08,0,0,0,0,42.4,0,36.35,0,0,0,0,44.75,0,3.54,0,121.71,12.94,20.96,33.69,98.87,1.44,0,0,140.21,9.62,27.05,0,48.13,20.01,42.15,40.4,38.64,0,0,0,0,83.67,0,0,78.06,0

3,00:30-00:45,411.75,0,0,0,0,97.42,686.07,60.23,127.6,0,44.22,53.79,5.35,0,0,11.58,0,76.9,0,0,0,14.3,413.81,167.1,0,17.56,44.16,6.52,32.08,0,0,0,0,42.4,0,36.35,0,0,0,0,44.75,0,3.54,0,121.71,12.94,20.96,33.69,98.87,1.44,0,0,141.78,9.9,27.05,0,48.13,20.01,42.15,40.4,38.64,0,0,0,0,83.67,0,0,78.06,0

4,00:45-01:00,411.75,0,0,0,0,97.42,686.07,60.23,127.6,0,44.22,53.79,5.35,0,0,11.58,0,76.9,0,0,0,14.3,413.81,167.1,0,17.56,44.16,6.52,32.08,0,0,0,0,42.4,0,36.35,0,0,0,0,44.75,0,3.54,0,121.71,12.94,20.96,33.69,98.87,1.44,0,0,141.78,9.9,27.05,0,48.13,20.01,42.15,40.4,38.64,0,0,0,0,83.67,0,0,78.06,0

5,01:00-01:15,411.75,0,0,0,0,97.42,686.07,60.23,127.6,0,44.22,53.79,5.35,0,0,11.58,0,76.9,0,0,0,14.3,413.81,167.1,0,17.56,44.16,6.52,32.08,0,0,0,0,43.71,1.62,36.35,0,0,0,0,44.75,0,3.54,0,121.71,12.94,20.96,33.69,98.87,1.44,0,0,141.78,10.05,27.05,0,48.13,20.01,42.15,40.4,38.64,0,0,0,0,83.67,0,0,78.06,0

6,01:15-01:30,411.75,0,0,0,0,97.42,686.07,60.23,127.6,0,44.22,53.79,5.35,0,0,5.79,0,76.9,0,0,0,14.3,413.81,167.1,0,17.56,44.16,6.52,32.08,0,0,0,0,43.71,1.62,36.35,0,0,0,0,44.75,0,3.54,0,121.71,12.94,20.96,33.69,98.87,1.44,0,0,141.78,10.05,27.05,0,48.13,20.01,42.15,40.4,38.64,0,0,0,0,83.67,0,0,78.06,0

7,01:30-01:45,411.75,0,0,0,0,97.42,686.07,60.23,127.6,0,44.22,53.79,5.35,0,0,5.79,0,76.9,0,0,0,14.3,413.81,167.1,0,17.56,48.02,6.52,32.08,0,0,0,0,43.71,1.62,36.35,0,0,0,0,44.75,0,3.54,0,121.71,12.94,20.96,33.69,98.87,1.44,0,0,141.78,10.05,27.05,0,48.13,20.01,42.15,40.4,38.64,0,0,0,0,83.67,0,0,78.06,0

8,01:45-02:00,411.75,0,0,0,0,97.42,686.07,60.23,127.6,0,44.22,53.79,5.35,0,0,5.79,0,76.9,0,0,0,14.3,413.81,167.1,0,17.56,48.02,6.52,32.08,0,0,0,0,43.71,1.62,36.35,0,0,0,0,44.75,0,3.54,0,121.71,12.94,20.96,33.69,98.87,1.44,0,0,141.78,10.05,27.05,0,48.13,20.01,42.15,40.4,38.64,0,0,0,0,83.67,0,0,78.06,0

9,02:00-02:15,411.75,0,0,0,0,97.42,686.07,60.23,127.6,0,44.22,53.79,5.35,0,0,5.79,0,76.9,0,0,0,14.3,413.81,167.1,0,17.56,44.16,6.52,21.37,0,0,0,0,43.71,1.62,36.35,0,0,0,0,44.75,0,3.54,0,121.71,12.94,20.96,33.69,98.87,1.44,0,0,141.78,10.05,27.05,0,48.13,20.01,42.15,40.4,38.64,0,0,0,0,83.67,0,0,78.06,0

10,02:15-02:30,411.75,0,0,0,0,97.42,686.07,60.23,127.6,0,44.22,53.79,5.35,0,0,5.79,0,76.9,0,0,0,14.3,413.81,167.1,0,17.56,44.16,6.52,21.37,0,0,0,0,43.71,1.62,36.35,0,0,0,0,44.75,0,3.54,0,121.71,12.94,20.96,33.69,98.87,1.44,0,0,141.78,10.05,27.05,0,48.13,20.01,42.15,40.4,38.64,0,0,0,0,83.67,0,0,78.06,0

