Block,Time Block,BSIUL,CHAMERA3,CHAMERA2,BRBCL,CHAMERA1,JHAJJAR,DHAULIGNGA,FSTPP I & II,KGSU1AND2,DULHASTI,DADRT2,KHSTPP-I,KHSTPP-II,KGSU3AND4,KOLDAM,NAPP,KISHANGANGA,KUDGI,NJPC,MAPS,KOTESHWR,KKNP,KKNPPU2,NTPL,PARBATI3,NLCEXP,NLCIIST2,NLCIIST1,RAMPUR,NLCTS2EXP,NNTPP,RIHAND1,RIHAND3,RAPPC,RAPPB,RIHAND2,SEWA2,SINGRAULI,SASAN,RSTPSU1TO6,RSTPSU7,SALAL,TALA,SIMHST1,SINGRAULI_HYDRO,SIMHST2,UNCHAHAR3,TANAKPUR,TelanganaSTPP,UNCHAHAR2,TEHRI,URI,URI2,TANDA2,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,TALST2,ANTA_CRF,ANTA_RF,ANTA_LF,ANTA_GF,AURY_CRF,DADRI_GF,AURY_GF,DADRI_RF,DADRI_CRF,AURY_RF,DADRI_LF,AURY_LF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,12.54,30.85,42.53,19.23,40.54,381.95,38.85,13.75,0,51.73,653.84,42.61,142.62,0,5.15,43.6,2.77,0,160.7,0,37.16,0,0,0,29.74,0,0,0,3.4,0,0,81.13,122.71,58.21,0,117.05,16.7,112.37,397.61,0,0,62.58,8.05,0,0,0,24.82,10.47,0,39.554,65.41,37.16,34.67,2.41,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,12.54,30.85,42.53,19.23,40.54,381.95,38.85,13.75,0,51.73,653.84,42.61,142.62,0,5.15,43.6,2.77,0,160.7,0,37.16,0,0,0,29.74,0,0,0,3.4,0,0,81.13,122.71,58.21,0,117.05,16.7,112.37,397.61,0,0,62.58,8.05,0,0,0,24.82,10.47,0,39.554,65.41,37.16,34.67,1.87,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,12.54,30.85,42.53,19.23,40.54,381.95,38.85,13.75,0,51.73,653.84,42.61,142.62,0,5.15,43.6,2.77,0,160.7,0,37.16,0,0,0,29.74,0,0,0,3.4,0,0,81.13,122.71,58.21,0,117.05,11.14,112.37,397.61,0,0,62.58,8.05,0,0.48,0,24.82,10.47,0,39.554,65.41,37.16,34.67,1.48,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,12.54,30.85,42.53,19.23,40.54,381.95,38.85,13.75,0,51.73,653.84,42.61,142.62,0,5.15,43.6,2.77,0,160.7,0,37.16,0,0,0,29.74,0,0,0,3.4,0,0,81.13,122.71,58.21,0,117.05,11.14,112.37,397.61,0,0,62.58,8.05,0,0.48,0,24.82,10.47,0,39.554,65.41,37.16,34.67,1.48,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,12.54,30.85,42.53,19.23,40.54,376.23,38.85,13.75,0,51.73,598.84,42.61,142.62,0,5.15,43.6,2.77,0,160.7,0,37.16,0,0,0,20.27,0,0,0,3.4,0,0,81.13,122.71,58.21,0,117.05,11.14,112.37,397.61,0,0,62.58,8.05,0,0.48,0,24.82,10.47,0,39.554,65.41,37.16,23.45,1.48,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

