Column1,Time,GNA/NR/2025/04/16/2341,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/8456,NR/30092023/26122029/SH-06,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/01/7960,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/01/6216,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/04/01/8510,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/01/7459,NR/01102023/31052040/LT-31,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/04/01/8964,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/04/01/1831,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_07,GNA/SR/2025/04/01/2597,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/04/16/4327,NR/01102023/30042040/GNA_LT_35,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/16/6639,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/L_NR_2019_05,GNARE/SR/2025/01/13/4532,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,GNARE/NR/2024/12/20/3668
1,00:00-00:15,19.23,96.15,2.88,2.88,21.63,2.88,10.41,32,271.86,30.28,43.7,14.57,9.62,100.17,4.22,7.73,9.95,32,9.62,9.62,0,114.97,0,4.04,0,1.92,4.11,86.73,52.5,260.18,72.11,0,0,48.08,72.11,25,65.66,75,23.33,25,65.67,0,0,7,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,19.23,96.15,2.88,2.88,21.63,2.88,10.41,32,271.86,30.78,43.7,14.57,9.62,100.17,4.22,7.73,9.95,32,9.62,9.62,0,114.97,0,4.04,0,1.92,4.11,86.73,52.5,260.18,72.11,0,0,48.08,72.11,24.33,64.66,73.01,22.67,24.33,64.67,0,0,7,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,19.23,96.15,2.88,2.88,14.42,2.88,10.41,32,271.86,30.78,43.7,14.57,9.62,100.17,4.22,7.73,9.95,32,9.62,9.62,0,114.97,0,4.04,0,1.92,4.11,86.73,52.5,260.18,72.11,0,0,48.08,72.11,23.67,68.34,70.99,21.67,23.67,68.33,0,0,7,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,19.23,96.15,2.88,2.88,14.42,2.88,10.41,32,271.86,30.78,43.7,14.57,9.62,100.17,4.22,7.73,9.95,32,9.62,9.62,0,114.97,0,4.04,0,1.92,4.11,86.73,52.5,260.18,72.11,0,0,48.08,72.11,23.33,67.66,70.01,20.67,23.33,67.67,0,0,7,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,19.23,96.15,2.88,2.88,14.42,2.88,10.41,32,271.86,30.78,43.7,14.57,9.62,100.17,4.22,7.73,9.86,32,9.62,9.62,0,114.97,0,4.04,0,1.92,4.11,86.73,52.5,260.18,72.11,0,0,48.08,72.11,25.17,72.67,75.49,24.67,25.17,72.67,0,0,7,0,0,0,0,0,0,0,0,0,0,0

