Block,Time,KOTESHWR,NLCTS2EXP,PARBATI2,RSTPSU1TO6,VALLURNTECL,DADRI_GF,BRBCL,DADRT2,DHAULIGNGA,NNTPP,RAPPD,TelanganaSTPP,URI,AURY_RF,DADRI_LF,CHAMERA1,KGSU1AND2,KISHANGANGA,NJPC,NLCEXP,NLCIIST2,RAPPB,RIHAND3,SIMHST1,SIMHST2,TALA,UNCHAHAR1,ANTA_GF,ANTA_LF,KHSTPP-II,KOLDAM,RAMPUR,RIHAND2,SALAL,UNCHAHAR2,UNCHAHAR3,DADRI_CRF,CHAMERA3,FSTPP I & II,JHAJJAR,KGSU3AND4,MAPS,NTPL,RSTPSU7,SINGRAULI_HYDRO,TALST2,TEHRI,TEHRIPSP,URI2,AURY_CRF,AURY_GF,BSIUL,CHAMERA2,KHSTPP-I,SEWA2,SINGRAULI,ANTA_RF,KKNPPU2,KUDGI,NAPP,PARBATI3,RAPPC,TANAKPUR,TANDA2,UNCHAHAR4,ANTA_CRF,AURY_LF,DULHASTI,KKNP,NLCIIST1,RIHAND1,SASAN,DADRI_RF
1,00:00-00:15,45.08,0,0,0,0,0,18.75,689.39,31.84,0,38.75,0,13.25,82.34,0,28.1,0,6.97,175.8,0,0,0,130.84,0,0,24.4,22.41,0,0,148.3,8.63,5.68,120.68,80.18,44.52,0,0,0,20.8,667.27,0,0,0,0,0,0,82.67,207.96,36.96,0,0,0,0,30.35,18.87,106.32,52.09,0,0,24.23,28.25,65.6,0,5.73,3.23,0,0,37.42,0,0,46.89,360,105.4

2,00:15-00:30,45.08,0,0,0,0,0,18.75,689.39,31.84,0,38.75,0,13.25,82.34,0,28.1,0,6.97,175.8,0,0,0,130.84,0,0,24.4,22.41,0,0,148.3,8.63,5.68,120.68,80.18,44.52,0,0,0,20.8,667.27,0,0,0,0,0,0,82.67,207.96,36.96,0,0,0,0,30.35,18.87,106.32,52.09,0,0,24.23,28.25,65.6,0,5.73,3.23,0,0,37.42,0,0,46.89,360,105.4

3,00:30-00:45,45.08,0,0,0,0,0,18.75,689.39,31.84,0,38.75,0,7.73,82.34,0,28.1,0,6.97,175.8,0,0,0,130.84,0,0,24.4,22.41,0,0,148.3,8.63,5.68,120.68,80.18,44.52,0,0,0,20.8,667.27,0,0,0,0,0,0,82.67,207.96,26.5,0,0,0,0,30.35,18.87,106.32,52.09,0,0,24.23,28.25,65.6,0,5.73,3.23,0,0,37.42,0,0,46.89,360,105.4

4,00:45-01:00,45.08,0,0,0,0,0,18.75,689.39,31.84,0,38.75,0,7.73,82.34,0,28.1,0,6.97,175.8,0,0,0,130.84,0,0,24.4,22.41,0,0,148.3,8.63,5.68,120.68,80.18,44.52,0,0,0,20.8,667.27,0,0,0,0,0,0,82.67,207.96,26.5,0,0,0,0,30.35,18.87,106.32,52.09,0,0,24.23,28.25,65.6,0,5.73,3.23,0,0,37.42,0,0,46.89,360,105.4

5,01:00-01:15,45.08,0,0,0,0,0,18.75,689.39,31.84,0,38.75,0,13.25,82.34,0,28.1,0,6.97,175.8,0,0,0,130.84,0,0,24.4,22.41,0,0,148.3,8.63,5.68,120.68,80.18,44.52,0,0,0,20.8,667.27,0,0,0,0,0,0,82.67,207.96,36.96,0,0,0,0,30.35,18.87,106.32,52.34,0,0,24.23,46.09,65.6,0,5.73,3.23,0,0,37.42,0,0,46.89,360,105.4

