Block,Time,KKNPPU2,KOTESHWR,RAPPC,TALA,TALST2,TANDA2,UNCHAHAR2,URI,AURY_CRF,DADRI_CRF,DULHASTI,KGSU3AND4,KHSTPP-I,RIHAND1,SIMHST1,AURY_LF,CHAMERA1,KHSTPP-II,NLCEXP,NNTPP,RIHAND2,RSTPSU1TO6,RSTPSU7,TelanganaSTPP,ANTA_CRF,ANTA_LF,DHAULIGNGA,KGSU1AND2,KUDGI,NAPP,NLCTS2EXP,NTPL,RIHAND3,SINGRAULI_HYDRO,TEHRI,UNCHAHAR1,UNCHAHAR3,VALLURNTECL,CHAMERA3,KKNP,RAPPB,SASAN,AURY_RF,DADRT2,JHAJJAR,TANAKPUR,UNCHAHAR4,AURY_GF,DADRI_GF,BRBCL,BSIUL,CHAMERA2,KOLDAM,PARBATI3,RAMPUR,SIMHST2,URI2,ANTA_GF,ANTA_RF,FSTPP I & II,KISHANGANGA,MAPS,NJPC,NLCIIST1,NLCIIST2,SALAL,SEWA2,SINGRAULI,DADRI_LF,DADRI_RF
1,00:00-00:15,0,8.87,52.03,0,0,0,42.4,1.66,0,0,16.48,0,33.69,92,0,0,0,148.3,0,0,118.76,0,0,0,0,0,9.11,0,0,42.08,0,0,124.32,0,14.93,20.56,26.39,0,0,0,0,418.77,70.16,341.57,654.31,11.91,0,0,0,20.01,0,2.4,0,0,0,0,4.57,0,42.74,20.8,0,0,0,0,0,2.33,0,104.16,21.92,66.85

2,00:15-00:30,0,8.87,52.03,0,0,0,42.4,1.66,0,0,16.48,0,33.69,92,0,0,0,148.3,0,0,118.76,0,0,0,0,0,9.11,0,0,42.08,0,0,124.32,0,14.93,20.56,26.39,0,0,0,0,418.77,70.16,341.57,654.31,11.91,0,0,0,20.01,0,2.4,0,0,0,0,4.57,0,42.74,20.8,0,0,0,0,0,2.33,0,104.16,21.92,66.85

3,00:30-00:45,0,8.87,52.03,0,0,0,42.4,1.66,0,0,16.48,0,35.2,92,0,0,0,148.3,0,0,118.76,0,0,0,0,0,9.11,0,0,42.08,0,0,124.32,0,14.93,20.56,26.39,0,0,0,0,418.77,70.16,341.57,654.31,11.91,0,0,0,20.01,0,2.4,0,0,0,0,4.57,0,42.74,20.8,0,0,0,0,0,2.33,0,104.16,21.92,66.85

4,00:45-01:00,0,8.87,52.03,0,0,0,42.4,1.66,0,0,16.48,0,35.2,92,0,0,0,148.3,0,0,118.76,0,0,0,0,0,9.11,0,0,42.08,0,0,124.32,0,14.93,20.56,26.39,0,0,0,0,418.77,70.16,341.57,654.31,5.76,0,0,0,20.01,0,2.4,0,0,0,0,4.57,0,42.74,20.8,0,0,0,0,0,2.33,0,104.16,21.92,66.85

5,01:00-01:15,0,8.87,52.03,0,0,0,42.4,1.66,0,0,16.48,0,36.42,92,0,0,0,148.3,0,0,118.76,0,0,0,0,0,9.11,0,0,42.08,0,0,124.32,0,14.93,20.56,26.39,0,0,0,0,418.77,70.16,341.57,654.31,5.76,0,0,0,20.01,0,2.4,0,0,0,0,4.57,0,42.74,20.8,0,0,0,0,0,18.59,0,104.16,21.92,66.85

6,01:15-01:30,0,8.87,52.03,0,0,0,42.4,1.66,0,0,16.48,0,36.42,92,0,0,0,148.3,0,0,118.76,0,0,0,0,0,9.11,0,0,42.08,0,0,124.32,0,14.93,20.56,26.39,0,0,0,0,418.77,70.16,341.57,654.31,5.76,0,0,0,20.01,0,2.4,0,0,0,0,4.57,0,42.74,20.8,0,0,0,0,0,79.38,0,104.16,21.92,66.85

7,01:30-01:45,0,8.87,52.03,0,0,0,42.4,1.66,0,0,16.48,0,37.63,92,0,0,0,148.3,0,0,118.76,0,0,0,0,0,9.11,0,0,42.08,0,0,124.32,0,14.93,20.56,26.39,0,0,0,0,418.77,70.16,341.57,654.31,5.76,0,0,0,20.01,0,2.4,0,0,0,0,4.57,0,42.74,20.8,0,0,0,0,0,79.38,0,104.16,21.92,66.85

8,01:45-02:00,0,8.87,52.03,0,0,0,42.4,1.66,0,0,16.48,0,37.63,92,0,0,0,148.3,0,0,118.76,0,0,0,0,0,9.11,0,0,42.08,0,0,124.32,0,14.93,20.56,26.39,0,0,0,0,418.77,70.16,341.57,654.31,5.76,0,0,0,20.01,0,2.4,0,0,0,0,4.57,0,42.74,20.8,0,0,0,0,0,79.38,0,104.16,21.92,66.85

9,02:00-02:15,0,8.87,52.03,0,0,0,42.4,1.66,0,0,16.48,0,38.84,92,0,0,0,148.3,0,0,118.76,0,0,0,0,0,9.11,0,0,42.08,0,0,124.32,0,14.93,20.56,26.39,0,0,0,0,418.77,70.16,341.57,654.31,5.76,0,0,0,20.01,0,2.4,0,0,0,0,4.57,0,42.74,20.8,0,0,0,0,0,79.38,0,104.16,21.92,66.85

10,02:15-02:30,0,8.87,52.03,0,0,0,42.4,1.66,0,0,32.96,0,38.84,92,0,0,0,148.3,0,0,118.76,0,0,0,0,0,9.11,0,0,42.08,0,0,124.32,0,14.93,20.56,26.39,0,0,0,0,418.77,70.16,341.57,654.31,11.91,0,0,0,20.01,0,2.4,0,0,0,0,4.57,0,42.74,20.8,0,0,0,0,0,13.95,0,104.16,21.92,66.85

11,02:30-02:45,0,8.87,52.03,0,0,0,42.4,1.66,0,0,32.96,0,41.27,92,0,0,0,148.3,0,0,118.76,0,0,0,0,0,9.11,0,0,42.08,0,0,124.32,0,14.93,20.56,26.39,0,0,0,0,418.77,70.16,341.57,654.31,5.76,0,0,0,20.01,0,2.4,0,0,0,0,4.57,0,42.74,20.8,0,0,0,0,0,2.33,0,104.16,21.92,66.85

12,02:45-03:00,0,8.87,52.03,0,0,0,42.4,1.66,0,0,32.96,0,41.27,92,0,0,0,148.3,0,0,118.76,0,0,0,0,0,9.11,0,0,42.08,0,0,124.32,0,14.93,20.56,26.39,0,0,0,0,418.77,70.16,341.57,654.31,5.76,0,0,0,20.01,0,2.4,0,0,0,0,4.57,0,42.74,20.8,0,0,0,0,0,2.33,0,104.16,21.92,66.85

13,03:00-03:15,0,8.87,52.03,0,0,0,42.4,1.66,0,0,32.96,0,41.27,92,0,0,0,148.3,0,0,118.76,0,0,0,0,0,0,0,0,42.08,0,0,124.32,0,14.93,20.56,26.39,0,0,0,0,418.77,70.16,341.57,654.31,5.76,0,0,0,20.01,0,2.4,0,0,0,0,4.57,0,42.74,20.8,0,0,0,0,0,2.33,0,104.16,21.92,66.85

