Column1,Block,NR/2025/33819/C,NR/2025/32535/A/97833,NR/2025/32534/A/97830,NR/2025/32532/A/97828,GNARE/NR/2024/12/20/3668,NR/2025/32535/A/97834,NR/2025/32534/A/97831,NR/2025/32532/A/97829,NR/2025/33633/A/97526,NR/2025/33632/A/97528,NR/2025/32599/A/97862,NR/2025/33637/A/97524,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4452,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/5784,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/1196,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/6475,NR/2025/32004/A/97814,NR/2025/33469/A/97486,NR/2025/32455/A/97965,NR/2025/29440/A/97377,NR/2025/33815/C,NR/2025/32262/A/97427,NR/2025/33798/C,NR/2025/33816/C,NR/2025/31421/A/97904,NR/2025/32559/A/97810,NR/2025/33670/A/97861,NR/2025/33810/C,NR/2025/32556/A/97811,NR/2025/32375/A/97900,NR/2025/33656/A/97878,NR/2025/31049/A/97886,NR/2025/32610/A/97809,NR/2025/31045/A/97884,NR/2025/31048/A/97885,NR/2025/29992/A/97489,NR/2025/32397/A/97392,NR/2025/33814/C,NR/2025/31043/A/97883,Total
71,17:30-17:45,7.71,0.1,0.19,0.29,25.17,0.19,0.26,0.45,0,0,39,0,8.76,8.76,81.9,17.38,20.47,15.27,0,81.9,0,38.08,20.47,19.27,19.18,20.79,76.71,13.49,0,0.87,0,0,0,0,0,24.09,81.9,192.7,24.09,0,163.8,0,24.09,0,0,44.32,8.67,0,0,1080.32

72,17:45-18:00,7.78,0.1,0.19,0.29,20.74,0.08,0.11,0.19,0,0,32,0,8.76,8.76,81.9,17.38,20.47,15.27,0,81.9,0,38.08,20.47,19.27,19.18,20.79,76.71,13.49,0,0.87,0,0,0,0,0,24.09,81.9,192.7,24.09,0,163.8,0,24.09,0,0,44.32,8.67,0,0,1068.4400000000003

73,18:00-18:15,8.59,0.1,0.1,0.29,15.77,0.01,0.01,0.02,0,0,25,0,8.76,8.76,33.72,17.38,20.47,0,0,81.9,0,38.08,20.47,0,19.18,20.79,76.71,13.49,48.18,0.87,0,0,0,0,0,37.23,81.9,192.7,37.23,0,163.8,0,37.23,0,0,44.32,8.67,0,0,1061.73

74,18:15-18:30,6.24,0.1,0.09,0.29,10.51,0,0,0,0,0,18,0,8.76,8.76,33.72,17.38,20.47,0,0,81.9,0,38.08,20.47,0,19.18,20.79,76.71,13.49,48.18,0.87,0,0,0,0,0,37.23,81.9,192.7,37.23,0,163.8,0,37.23,0,0,44.32,8.67,0,0,1047.07

75,18:30-18:45,4.08,0.1,0.03,0.29,7.05,0,0,0,0,0,11,0,8.76,8.76,33.72,17.38,20.47,0,0,81.9,0,38.08,20.47,0,19.18,20.79,76.71,13.49,48.18,0.87,0,0,0,0,0,37.23,81.9,192.7,37.23,0,163.8,0,37.23,0,0,44.32,8.67,0,0,1034.39

76,18:45-19:00,2.61,0.1,0,0.29,1.98,0,0,0,0,0,6,0,8.76,8.76,33.72,17.38,20.47,0,0,81.9,0,38.08,20.47,0,19.18,20.79,76.71,13.49,48.18,0.87,0,0,0,0,0,37.23,81.9,192.7,37.23,0,163.8,0,37.23,0,0,44.32,8.67,0,0,1022.8199999999999

77,19:00-19:15,0,0,0,0,1.11,0,0,0,0,0,1,0,8.76,8.76,33.72,17.38,20.47,0,0,81.9,0,32,20.47,0,19.18,20.79,76.71,13.49,48.18,0.92,0,0,0,0,0,37.23,81.9,192.7,37.23,0,163.8,0,37.23,0,0,44.32,8.67,0,0,1007.9200000000001

78,19:15-19:30,0,0,0,0,0.5,0,0,0,0,0,0,0,8.76,8.76,33.72,17.38,20.47,0,0,81.9,0,32,20.47,0,19.18,20.79,76.71,13.49,48.18,0.92,0,0,0,0,0,37.23,81.9,192.7,37.23,0,163.8,0,37.23,0,0,44.32,8.67,0,0,1006.31

79,19:30-19:45,0,0,0,0,0.12,0,0,0,0,0,0,0,8.76,8.76,33.72,17.38,20.47,0,0,81.9,0,32,20.47,0,19.18,20.79,76.71,13.49,48.18,0.92,0,0,0,0,0,37.23,81.9,192.7,37.23,0,163.8,0,37.23,0,0,44.32,8.67,0,0,1005.9300000000001

80,19:45-20:00,0,0,0,0,0,0,0,0,0,0,0,0,8.76,8.76,33.72,17.38,20.47,0,0,81.9,0,32,20.47,0,19.18,20.79,76.71,13.49,48.18,0.92,0,0,0,0,0,37.23,81.9,192.7,37.23,0,163.8,0,37.23,0,0,44.32,8.67,0,0,1005.81

81,20:00-20:15,0,0,0,0,0,0,0,0,0,0,0,0,8.76,8.76,33.72,17.38,20.47,0,0,81.9,0,32,20.47,0,19.18,20.79,76.71,13.49,48.18,0.92,0,54.2,0,0,0,37.23,81.9,192.7,37.23,0,163.8,0,37.23,0,0,44.32,8.67,0,0,1060.01

82,20:15-20:30,0,0,0,0,0,0,0,0,0,0,0,0,8.76,8.76,33.72,17.38,20.47,0,0,81.9,0,32,20.47,0,19.18,20.79,76.71,13.49,48.18,0.92,0,54.2,0,0,0,37.23,81.9,192.7,37.23,0,163.8,0,37.23,0,0,44.32,8.67,0,0,1060.01

83,20:30-20:45,0,0,0,0,0,0,0,0,0,0,0,0,8.76,8.76,33.72,17.38,20.47,0,0,81.9,0,32,20.47,0,19.18,20.79,76.71,13.49,48.18,0.92,0,54.2,0,0,0,37.23,81.9,192.7,37.23,0,163.8,0,37.23,0,0,44.32,8.67,0,0,1060.01

84,20:45-21:00,0,0,0,0,0,0,0,0,0,0,0,0,8.76,8.76,33.72,17.38,20.47,0,0,81.9,0,32,20.47,0,19.18,20.79,76.71,13.49,48.18,0.92,0,54.2,0,0,0,37.23,81.9,192.7,37.23,0,163.8,0,37.23,0,0,44.32,8.67,0,0,1060.01

85,21:00-21:15,0,0,0,0,0,0,0,0,0,0,0,0,8.76,8.76,33.72,17.38,20.47,0,0,81.9,0,32,20.47,0,19.18,20.79,105.98,13.49,48.18,0.92,0,54.2,0,0,0,37.23,81.9,192.7,37.23,0,163.8,0,37.23,0,0,44.32,8.67,0,0,1089.28

86,21:15-21:30,0,0,0,0,0,0,0,0,0,0,0,0,8.76,8.76,33.72,17.38,20.47,0,0,81.9,0,32,20.47,0,19.18,20.79,105.98,13.49,48.18,0.92,0,54.2,0,0,0,37.23,81.9,192.7,37.23,0,163.8,0,37.23,0,0,44.32,8.67,0,0,1089.28

87,21:30-21:45,0,0,0,0,0,0,0,0,0,0,0,0,8.76,8.76,33.72,17.38,20.47,0,0,81.9,0,32,20.47,0,19.18,20.79,105.98,13.49,48.18,0.92,0,54.2,0,0,0,37.23,81.9,192.7,37.23,0,163.8,0,37.23,0,0,44.32,8.67,0,0,1089.28

88,21:45-22:00,0,0,0,0,0,0,0,0,0,0,0,0,8.76,8.76,33.72,17.38,20.47,0,0,81.9,0,32,20.47,0,19.18,20.79,105.98,13.49,48.18,0.92,0,54.2,0,0,0,37.23,81.9,192.7,37.23,0,163.8,0,37.23,0,0,44.32,8.67,0,0,1089.28

89,22:00-22:15,0,0,0,0,0,0,0,0,0,0,0,0,8.76,8.76,33.72,17.38,20.47,0,0,81.9,0,32,20.47,0,19.18,20.79,105.98,13.49,48.18,0.92,0,54.2,0,0,0,37.23,81.9,192.7,37.23,0,163.8,0,37.23,0,0,44.32,8.67,0,0,1089.28

90,22:15-22:30,0,0,0,0,0,0,0,0,0,0,0,0,8.76,8.76,33.72,17.38,20.47,0,0,81.9,0,32,20.47,0,19.18,20.79,105.98,13.49,48.18,0.92,0,54.2,0,0,0,37.23,81.9,192.7,37.23,0,163.8,0,37.23,0,0,44.32,8.67,0,0,1089.28

91,22:30-22:45,0,0,0,0,0,0,0,0,0,0,0,0,8.76,8.76,33.72,17.38,20.47,0,0,81.9,0,32,20.47,0,19.18,20.79,105.98,12.53,48.18,0.92,0,54.2,0,0,0,37.23,81.9,192.7,37.23,0,163.8,0,37.23,0,0,44.32,8.67,0,0,1088.32

92,22:45-23:00,0,0,0,0,0,0,0,0,0,0,0,0,8.76,8.76,33.72,17.38,20.47,0,0,81.9,0,32,20.47,0,19.18,20.79,105.98,12.53,48.18,0.92,0,54.2,0,0,0,37.23,81.9,192.7,37.23,0,163.8,0,37.23,0,0,44.32,8.67,0,0,1088.32

93,23:00-23:15,0,0,0,0,0,0,0,0,0,0,0,0,8.76,8.76,33.72,17.38,20.47,0,0,81.9,0,32,20.47,0,19.18,20.79,105.98,12.53,48.18,0.87,0,54.2,0,0,0,37.23,81.9,192.7,37.23,0,163.8,0,37.23,0,0,44.32,8.67,0,0,1088.27

94,23:15-23:30,0,0,0,0,0,0,0,0,0,0,0,0,8.76,8.76,33.72,17.38,20.47,0,0,81.9,0,32,20.47,0,19.18,20.79,105.98,12.53,48.18,0.87,0,54.2,0,0,0,37.23,81.9,192.7,37.23,0,163.8,0,37.23,0,0,44.32,8.67,0,0,1088.27

95,23:30-23:45,0,0,0,0,0,0,0,0,0,0,0,0,8.76,8.76,33.72,17.38,20.47,0,0,81.9,0,32,20.47,0,19.18,20.79,105.98,12.53,48.18,0.87,0,54.2,0,0,0,37.23,81.9,192.7,37.23,0,163.8,0,37.23,0,0,44.32,8.67,0,0,1088.27

96,23:45-24:00,0,0,0,0,0,0,0,0,0,0,0,0,8.76,8.76,33.72,17.38,20.47,0,0,81.9,0,32,20.47,0,19.18,20.79,105.98,12.53,48.18,0.87,0,54.2,0,0,0,37.23,81.9,192.7,37.23,0,163.8,0,37.23,0,0,44.32,8.67,0,0,1088.27

