Block,Time Block,BSIUL,CHAMERA1,BRBCL,CHAMERA3,DADRT2,CHAMERA2,DHAULIGNGA,DULHASTI,FSTPP I & II,JHAJJAR,KGSU1AND2,KGSU3AND4,KHSTPP-II,KHSTPP-I,KOLDAM,KKNP,KISHANGANGA,KKNPPU2,KOTESHWR,KUDGI,MAPS,NLCEXP,NJPC,NAPP,NLCIIST1,NLCIIST2,NNTPP,NLCTS2EXP,RAPPC,NTPL,PARBATI3,PARBATI2,RIHAND1,RAPPB,RAPPD,RAMPUR,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,SIMHST2,RSTPSU7,SALAL,SEWA2,RIHAND3,SINGRAULI,RIHAND2,SASAN,TALST2,UNCHAHAR1,URI,TANAKPUR,TALA,UNCHAHAR4,VALLURNTECL,TelanganaSTPP,URI2,TANDA2,UNCHAHAR3,TEHRI,UNCHAHAR2,AURY_CRF,ANTA_CRF,ANTA_RF,ANTA_LF,ANTA_GF,AURY_RF,AURY_LF,AURY_GF,DADRI_CRF,DADRI_RF,DADRI_GF,DADRI_LF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,6.29,24.4,17.76,22.56,88.32,47.2,21.19,56.74,16.91,148.64,0,0,143.14,44.15,3.77,0,5.61,0,10.08,0,0,0,139.67,22.75,0,0,0,0,66.34,0,37.08,21.83,59.98,0,26.37,5.6,0,1.13,0,0,0,64.49,12.18,86.47,144.16,90.67,393.43,0,16.55,50.08,2.36,8.79,1.93,0,0,36.83,2.87,21.77,28.18,36.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,6.29,24.4,14.84,22.56,69.54,47.2,21.19,56.74,16.91,177.6,0,0,143.14,44.15,3.77,0,5.61,0,10.08,0,0,0,139.67,22.75,0,0,0,0,66.34,0,37.08,21.83,59.98,0,26.37,5.6,0,1.13,0,0,0,64.49,6.09,86.47,144.16,90.67,393.62,0,16.55,50.08,2.36,8.79,1.93,0,0,36.83,2.87,21.77,28.18,35.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,6.29,24.4,12.67,22.56,45.51,47.2,10.59,56.74,20.08,171.81,0,0,143.14,44.15,3.77,0,5.61,0,10.08,0,0,0,139.67,22.75,0,0,0,0,66.34,0,22.25,21.83,59.98,0,26.37,5.6,0,1.13,0,0,0,64.49,6.09,86.47,144.16,90.67,393.62,0,20.74,50.08,2.36,7.52,1.93,0,0,36.83,2.87,26.39,28.18,40.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,6.29,24.4,11.79,22.56,47.66,47.2,10.59,56.74,20.08,169.88,0,0,143.14,44.15,3.77,0,5.61,0,10.08,0,0,0,133.6,22.75,0,0,0,0,66.34,0,22.25,21.83,59.98,0,26.37,5.36,0,1.13,0,0,0,64.49,6.09,86.47,144.16,90.67,393.62,0,20.74,50.08,2.36,7.52,1.93,0,0,36.83,2.87,26.39,28.18,40.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,6.29,24.4,11.58,22.56,86.05,47.2,10.59,56.74,20.08,143.1,0,0,143.14,44.15,3.77,0,8.41,0,10.08,0,0,0,106.96,22.75,0,0,0,0,66.34,0,22.25,21.83,59.98,0,26.37,4.29,0,1.13,0,0,0,64.49,6.09,86.47,144.16,90.67,393.62,0,17.9,50.08,2.36,7.52,1.93,0,0,36.83,2.87,22.88,28.18,35.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,6.29,24.4,11.91,22.56,86.05,31.47,10.59,56.74,20.08,129.34,0,0,143.14,44.15,3.77,0,8.41,0,10.08,0,0,0,106.96,22.75,0,0,0,0,66.34,0,22.25,21.83,59.98,0,26.37,4.29,0,1.13,0,0,0,64.49,6.09,86.47,144.16,90.67,393.62,0,20.74,50.08,2.36,7.52,1.93,0,0,36.83,2.87,26.39,28.18,40.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,6.29,24.4,13.75,22.56,45.51,31.47,10.59,56.74,20.08,129.34,0,0,143.14,44.15,3.77,0,8.41,0,10.08,0,0,0,106.96,22.75,0,0,0,0,66.34,0,22.25,21.83,59.98,0,26.37,4.29,0,1.13,0,0,0,64.49,6.09,86.47,144.16,90.67,393.62,0,13.89,50.08,2.36,7.66,1.93,0,0,36.83,2.52,15.67,28.18,26.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,6.29,24.4,14.42,22.56,7.23,31.47,10.59,56.74,13.18,109.5,0,0,143.14,44.15,3.77,0,8.41,0,10.08,0,0,0,106.96,22.75,0,0,0,0,66.34,0,22.25,21.83,59.98,0,26.37,4.29,0,1.13,0,0,0,64.49,5.4,86.47,144.16,90.67,393.62,0,15.24,50.08,2.36,7.66,1.93,0,0,36.83,2.52,19.18,28.18,31.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,12.59,24.4,13.6,22.56,7.23,31.47,10.59,56.74,13.18,109.5,0,0,114.06,33.41,3.77,0,8.41,0,10.08,0,0,0,106.96,22.75,0,0,0,0,66.34,0,22.25,21.83,59.98,0,26.37,4.29,0,1.13,0,0,0,64.49,5.04,86.47,125.95,90.67,374.61,0,10.42,50.08,2.36,7.66,0.61,0,0,36.83,1.81,16.24,28.18,27.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,12.59,24.4,11.71,22.56,7.23,31.47,10.59,56.74,13.18,109.5,0,0,114.06,33.41,3.77,0,8.41,0,10.08,0,0,0,106.96,22.75,0,0,0,0,66.34,0,22.25,21.83,59.98,0,26.37,4.29,0,1.13,0,0,0,64.49,0,86.47,125.95,90.67,374.61,0,10.42,50.08,2.36,7.66,0.61,0,0,36.83,1.81,13.26,28.18,23.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,12.59,24.4,11.22,22.56,7.23,31.47,10.59,56.74,13.18,109.5,0,0,114.06,33.41,3.77,0,8.41,0,10.08,0,0,0,106.96,22.75,0,0,0,0,66.34,0,22.25,21.83,59.98,0,26.37,4.29,0,1.13,0,0,0,64.49,0,86.47,125.95,90.67,374.61,0,10.42,50.08,5.44,7.66,0.59,0,0,36.83,1.81,13.26,28.18,23.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,12.59,24.4,12.77,22.56,7.23,31.47,10.59,56.74,13.18,109.5,0,0,114.06,33.41,3.77,0,8.41,0,10.08,0,0,0,106.96,22.75,0,0,0,0,66.34,0,22.25,21.83,59.98,0,26.37,4.29,0,1.13,0,0,0,64.49,0,86.47,125.95,90.67,374.61,0,10.42,50.08,5.44,7.66,0.97,0,0,36.83,1.81,13.26,28.18,23.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,12.59,24.4,14.58,22.56,7.23,31.47,10.59,56.74,13.18,109.5,0,0,114.06,33.41,3.77,0,8.41,0,10.08,0,0,0,106.96,22.75,0,0,0,0,66.34,0,22.25,21.83,59.98,0,26.37,4.29,0,1.13,0,0,0,64.49,0,86.47,125.95,90.67,374.61,0,10.42,50.08,1.36,7.66,0.97,0,0,36.83,1.81,13.26,28.18,23.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,12.59,24.4,19.3,22.56,7.23,31.47,10.59,56.74,13.18,109.5,0,0,114.06,33.41,3.77,0,8.41,0,10.08,0,0,0,106.96,22.75,0,0,0,0,66.34,0,22.25,21.83,59.98,0,26.37,4.29,0,1.13,0,0,0,64.49,0,86.47,125.95,90.67,374.61,0,10.42,50.08,1.36,7.66,0.97,0,0,36.83,1.81,13.26,28.18,23.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,12.59,24.4,18.21,22.56,7.23,31.47,10.59,56.74,10.02,109.5,0,0,114.06,33.41,3.77,0,8.41,0,10.08,0,0,0,106.96,22.75,0,0,0,0,66.34,0,22.25,21.83,27.25,0,26.37,4.29,0,1.13,0,0,0,64.49,0,48.95,125.95,64.56,374.61,0,10.42,50.08,1.36,7.66,0.97,0,0,36.83,1.81,13.26,28.18,23.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,12.59,24.4,19.3,22.56,7.23,31.47,10.59,56.74,10.02,109.5,0,0,114.06,33.41,3.77,0,8.41,0,10.08,0,0,0,106.96,22.75,0,0,0,0,66.34,0,22.25,21.83,27.25,0,26.37,4.29,0,1.13,0,0,0,64.49,0,48.95,125.95,64.56,374.61,0,10.42,50.08,1.36,7.66,0.97,0,0,36.83,1.81,13.26,28.18,23.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,12.59,12.35,19.3,22.56,7.23,31.47,10.59,56.74,10.02,109.5,0,0,114.06,33.41,3.77,0,8.41,0,10.08,0,0,0,106.96,22.75,0,0,0,0,66.34,0,22.25,21.83,27.25,0,26.37,4.29,0,1.13,0,0,0,64.49,0,48.95,125.95,64.56,374.61,0,10.42,51.15,1.36,7.37,0.97,0,0,36.83,1.81,13.26,28.18,23.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

