Block,Time,WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,SR/14022024/29022024/SJVN140224NR1518,NR/01102023/02012046/L_NR_2021_17,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05420,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_16,NR/01102023/31102037/L_NR_2019_11,NR/01022024/29022024/79,WR/01102023/16072048/L_NR_2022_08,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05718,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,NR/01102023/19072037/LT-05,NR/01102023/25122043/GNA_MEJA_DELHI,NR/26072023/25122043/L_NR_2023_10,NR/16022024/29022024/HP-38,NR/01102023/05012040/L_NR_2020_02,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05406,NR/16022024/29022024/HP-40,NR/01102023/30042040/GNA_LT_36,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05713,WR/01102023/01102023/L_NR_2022_09,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/01102023/30042040/GNA_LT_35,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_17,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01012024/31032024/ ChanjuII,NR/01102023/23072042/L_NR_2012_04,WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,NR/20122023/29022024/IEX_LDC_231218_00502,NR/30092023/26122029/SH-06,SR/01102023/07102043/L_NR_2018_61,NR/01022024/29022024/SJVN010224NR1468,NR/01022024/29022024/SJVN010224NR1469,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01102023/06022042/L_NR_2012_02,WR/01102023/31032046/L_NR_2020_05,NR/16022024/29022024/HP-36,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/14082046/L_NR_2021_16,NR/01102023/22052037/LT-59,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05714,NR/16022024/29022024/HP-45,NR/01022024/29022024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_07,NR/19022024/29022024/NVVN/OA/16907,NR/01102023/31052040/LT-31
1,00:00-00:15,0,0,0,0,6.750000,40.84,0,0.950000,0.000000,36.66,6.750000,0,0,0,0,35.170000,0.000000,0,128.270000,1.160000,4.820000,0.000000,0.000000,18.330000,85.67,0,0,0.000000,0,0,25.080000,1.660000,231.500000,85.67,40.83,11.580000,25.400000,30.73,0,0,8.200000,130.220000,122.5,38.220000,50.160000,0,0.000000,5.790000,16.340000,96.460000,30.870000,33.760000,19.290000,0.000000

2,00:15-00:30,0,0,0,0,6.750000,40.84,0,0.950000,0.000000,36.34,6.750000,0,0,0,0,35.170000,0.000000,0,128.270000,1.160000,4.820000,0.000000,0.000000,18.330000,86,0,0,0.000000,0,0,25.080000,1.660000,192.920000,86,40.83,11.580000,25.400000,30.35,0,0,8.200000,130.220000,122.5,38.220000,50.160000,0,0.000000,5.790000,16.340000,96.460000,30.870000,33.760000,19.290000,0.000000

3,00:30-00:45,0,0,0,0,6.750000,40.84,0,0.950000,0.000000,35.66,6.750000,0,0,0,0,35.170000,0.000000,0,128.270000,1.160000,4.820000,0.000000,0.000000,18.330000,85.67,0,0,0.000000,0,0,25.080000,1.660000,149.200000,85.67,40.83,11.580000,25.960000,29.79,0,0,8.200000,130.220000,122.5,38.220000,50.160000,0,0.000000,5.790000,16.340000,96.460000,30.870000,33.760000,19.290000,0.000000

4,00:45-01:00,0,0,0,0,6.750000,40.84,0,0.950000,0.000000,35,6.750000,0,0,0,0,35.170000,0.000000,0,128.270000,1.160000,4.820000,0.000000,0.000000,18.330000,83.67,0,0,0.000000,0,0,25.080000,1.660000,149.200000,83.67,40.83,11.580000,25.960000,28.63,0,0,8.200000,130.220000,122.5,38.220000,50.160000,0,0.000000,5.790000,16.340000,96.460000,30.870000,33.760000,19.290000,0.000000

5,01:00-01:15,0,0,0,0,6.750000,40.84,0,0.950000,0.000000,34.34,6.750000,0,0,0,0,35.170000,0.000000,0,128.270000,1.160000,4.820000,0.000000,0.000000,18.330000,83.67,0,0,0.000000,0,0,25.080000,1.750000,149.200000,83.67,40.83,11.580000,25.960000,27.15,0,0,8.200000,130.510000,122.5,38.220000,50.160000,0,0.000000,5.790000,16.340000,96.460000,25.960000,33.760000,19.290000,0.000000

