Block,Time Block,JHAJJAR,FSTPP I & II,DULHASTI,MAPS,BSIUL,CHAMERA3,BRBCL,CHAMERA2,CHAMERA1,DHAULIGNGA,DADRT2,KUDGI,KOTESHWR,KHSTPP-II,KISHANGANGA,KHSTPP-I,KGSU3AND4,KGSU1AND2,KOLDAM,KKNP,KKNPPU2,TEHRIPSP,URI2,UNCHAHAR3,TEHRI,ANTA_CRF,TelanganaSTPP,UNCHAHAR2,URI,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,RIHAND2,RIHAND1,RAPPB,RSTPSU1TO6,RAPPD,RIHAND3,RAPPC,SASAN,TALA,SINGRAULI_HYDRO,SIMHST1,SIMHST2,RSTPSU7,TANDA2,SALAL,SEWA2,SINGRAULI,TALST2,TANAKPUR,NAPP,NNTPP,NTPL,PARBATI3,PARBATI2,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,RAMPUR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,196.42,20.02,53.3,0,18.83,32.67,14.24,45.35,40.57,40.87,524.78,0,39.05,142.74,6.79,43.82,0,0,8.3,0,0,0,24,26.65,51.65,0,0,43.27,25.5,20.84,3.1,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,244.72,28.12,1.02,0,0,0,5.34,82.21,0,137.96,0,3.71,23.32,0,0,35.78,0,0,0,169.2,0,0,5.49,0,0,0,0,0

2,00:15-00:30,196.42,20.02,53.3,0,18.83,32.67,11.77,45.35,40.57,40.87,524.78,0,39.05,142.74,6.79,43.82,0,0,8.3,0,0,0,24,26.65,51.65,0,0,43.31,25.5,20.84,3.1,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,250.81,28.12,1.02,0,0,0,5.34,82.21,0,137.96,0,3.71,23.32,0,0,35.78,0,0,0,169.2,0,0,5.49,0,0,0,0,0

3,00:30-00:45,196.42,20.02,53.3,0,18.83,32.67,11.82,45.35,40.57,40.87,524.78,0,39.05,142.74,6.79,43.82,0,0,8.3,0,0,0,24,26.65,51.65,0,0,43.31,25.5,20.84,3.1,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,251.21,28.12,1.02,0,0,0,5.34,82.21,0,137.96,0,3.71,23.32,0,0,31.48,0,0,0,169.2,0,0,5.49,0,0,0,0,0

4,00:45-01:00,196.42,20.02,53.3,0,18.83,32.67,12.6,45.35,40.57,40.87,524.78,0,39.05,142.74,6.79,43.82,0,0,8.3,0,0,0,24,26.65,51.65,0,0,43.31,25.5,20.84,3.1,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,251.21,28.12,1.02,0,0,0,5.34,82.21,0,137.96,0,11.46,23.32,0,0,31.48,0,0,0,169.2,0,0,5.49,0,0,0,0,0

5,01:00-01:15,196.42,20.02,53.3,0,18.83,32.67,10.14,45.35,40.57,40.87,524.78,0,39.05,142.74,6.79,43.82,0,0,8.3,0,0,0,23.25,26.65,51.65,0,0,43.31,25.5,20.84,3.1,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,251.21,28.12,1.02,0,0,0,5.34,82.21,0,137.96,0,12.33,23.32,0,0,31.48,0,0,0,169.2,0,0,5.49,0,0,0,0,0

