Block,Time Block,SINGRAULI_HYDRO,TALST2,SINGRAULI,TANAKPUR,TALA,TANDA2,ANTA_LF,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,UNCHAHAR1,VALLURNTECL,ANTA_GF,UNCHAHAR4,URI2,ANTA_CRF,UNCHAHAR3,AURY_GF,AURY_CRF,ANTA_RF,AURY_LF,DADRI_LF,DADRI_GF,DADRI_CRF,DADRI_RF,AURY_RF,CHAMERA3,CHAMERA2,BRBCL,CHAMERA1,BSIUL,DHAULIGNGA,DADRT2,DULHASTI,SASAN,RSTPSU7,SIMHST2,SALAL,SIMHST1,SEWA2,KHSTPP-I,NTPL,RIHAND3,PARBATI3,RAPPB,RIHAND2,NLCEXP,NLCIIST1,RIHAND1,NLCIIST2,RAMPUR,NLCTS2EXP,RSTPSU1TO6,RAPPC,NNTPP,KGSU1AND2,KGSU3AND4,KOLDAM,KKNP,KKNPPU2,KUDGI,MAPS,NJPC,KOTESHWR,NAPP,FSTPP I & II,JHAJJAR,KISHANGANGA,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,123.69,12.67,10.44,0,0,0,33,6.43,45.29,16,0,0,0,8.49,0,0,0,0,0.33,0,0,0,0,0.44,2.15,9.39,12.78,14.55,0,0,17.68,220.12,47.95,335.81,0,0,25.36,0,0,43.58,0,120.6,0,0,115.21,0,0,44.62,0,0,0,0,50.1,0,0,0,0,0,0,0,0,68.07,8.6,39.69,20.18,266.19,0,143.87,0,0,0,0,0

2,00:15-00:30,0,0,123.69,12.67,10.44,0,0,0,33,6.43,45.29,16,0,0,0,8.49,0,0,0,0,0,0,0,0,0,0,0,9.39,12.78,14.55,0,0,17.68,220.12,47.95,336.14,0,0,25.36,0,0,43.58,0,120.6,0,0,115.21,0,0,44.62,0,0,0,0,50.1,0,0,0,0,0,0,0,0,68.07,8.6,39.69,20.18,267.2,0,143.87,0,0,0,0,0

3,00:30-00:45,0,0,123.69,12.67,10.44,0,0,0,33,6.43,45.29,16,0,0,0,8.49,0,0,0,0,0,0,0,0,0,0,0,9.39,12.78,14.55,0,0,17.68,220.12,47.95,336.14,0,0,25.36,0,0,43.58,0,120.6,0,0,115.21,0,0,44.62,0,0,0,0,50.1,0,0,0,0,0,0,0,0,68.07,8.6,39.69,20.18,233.99,0,143.87,0,0,0,0,0

4,00:45-01:00,0,0,123.69,12.67,10.44,0,0,0,33,6.43,30.2,16,0,0,0,8.49,0,0,0,0,0,0,0,0,0,0,0,9.39,12.78,14.55,0,0,17.68,220.12,47.95,336.14,0,0,25.36,0,0,43.58,0,120.6,0,0,115.21,0,0,44.62,0,0,0,0,50.1,0,0,0,0,0,0,0,0,68.07,8.6,39.69,20.18,233.99,0,143.87,0,0,0,0,0

5,01:00-01:15,0,0,123.69,12.67,10.44,0,0,0,33,6.43,30.2,16,0,0,0,8.49,0,0,0,0,0,0,0,0,0,0,0,9.39,12.78,14.55,0,0,17.68,220.12,47.95,336.14,0,0,25.36,0,0,43.58,0,120.6,0,0,115.21,0,0,44.62,0,0,0,0,50.1,0,0,0,0,0,0,0,0,68.07,8.6,39.69,20.18,233.99,0,143.87,0,0,0,0,0

6,01:15-01:30,0,0,123.69,12.67,10.44,0,0,0,33,6.43,14.48,16,0,0,0,8.49,0,0,0,0,0,0,0,0,0,0,0,9.39,12.78,14.55,0,0,17.68,220.12,47.95,336.14,0,0,25.36,0,0,43.58,0,120.6,0,0,115.21,0,0,44.62,0,0,0,0,50.1,0,0,0,0,0,0,0,0,68.07,8.6,39.69,20.18,233.99,0,143.87,0,0,0,0,0

7,01:30-01:45,0,0,123.69,12.67,10.44,0,0,0,33,6.43,14.48,16,0,0,0,8.49,0,0,0,0,0,0,0,0,0,0,0,9.39,12.78,14.55,0,0,17.68,220.12,47.95,336.14,0,0,39.46,0,0,43.58,0,120.6,0,0,115.21,0,0,44.62,0,0,0,0,50.1,0,0,0,0,0,0,0,0,68.07,8.6,39.69,18.74,233.99,0,143.87,0,0,0,0,0

8,01:45-02:00,0,0,123.69,12.67,10.44,0,0,0,33,6.43,14.48,16,0,0,0,8.49,0,0,0,0,0,0,0,0,0,0,0,9.39,12.78,14.55,0,0,17.68,220.12,47.95,336.14,0,0,77.01,0,0,43.58,0,120.6,0,0,115.21,0,0,44.62,0,0,0,0,50.1,0,0,0,0,0,0,0,0,68.07,8.6,39.69,18.74,233.99,0,143.87,0,0,0,0,0

9,02:00-02:15,0,0,123.69,12.67,10.44,0,0,0,33,6.43,14.48,16,0,0,0,8.49,0,0,0,0,0,0,0,0,0,0,0,9.39,12.78,14.55,0,0,17.68,220.12,47.95,336.14,0,0,77.01,0,0,43.58,0,120.6,0,0,115.21,0,0,44.62,0,0,0,0,50.1,0,0,0,0,0,0,0,0,68.07,8.6,39.69,18.74,233.99,0,143.87,0,0,0,0,0

10,02:15-02:30,0,0,123.69,12.67,10.44,0,0,0,33,6.43,14.48,16,0,0,0,8.49,0,0,0,0,0,0,0,0,0,0,0,9.39,12.78,14.55,0,0,17.68,220.12,47.95,336.14,0,0,77.01,0,0,43.58,0,120.6,0,0,115.21,0,0,44.62,0,0,0,0,50.1,0,0,0,0,0,0,0,0,68.07,8.6,39.69,18.74,233.99,0,143.87,0,0,0,0,0

11,02:30-02:45,0,0,123.69,12.67,10.44,0,0,0,33,6.43,14.48,16,0,0,0,8.49,0,0,0,0,0,0,0,0,0,0,0,9.39,12.78,14.55,0,0,17.68,220.12,47.95,336.14,0,0,77.01,0,0,43.58,0,120.6,0,0,115.21,0,0,44.62,0,0,0,0,50.1,0,0,0,0,0,0,0,0,68.07,8.6,39.69,18.74,233.99,0,143.87,0,0,0,0,0

12,02:45-03:00,0,0,123.69,12.67,10.44,0,0,0,33,6.43,14.48,16,0,0,0,8.49,0,0,0,0,0,0,0,0,0,0,0,9.39,12.78,14.55,0,0,17.68,220.12,47.95,336.14,0,0,39.46,0,0,43.58,0,120.6,0,0,115.21,0,0,44.62,0,0,0,0,50.1,0,0,0,0,0,0,0,0,68.07,8.6,39.69,18.74,233.99,0,143.87,0,0,0,0,0

13,03:00-03:15,0,0,123.69,11.19,10.44,0,0,0,33,6.43,14.48,16,0,0,0,8.49,0,0,0,0,0,0,0,0,0,0,0,9.39,12.78,14.55,0,0,17.68,220.12,47.95,336.14,0,0,37.2,0,0,43.58,0,120.6,0,0,115.21,0,0,44.62,0,0,0,0,50.1,0,0,0,0,0,0,0,0,68.07,8.6,39.69,18.74,233.99,0,143.87,0,0,0,0,0

14,03:15-03:30,0,0,123.69,11.19,10.44,0,0,0,33,6.43,14.48,16,0,0,0,8.49,0,0,0,0,0,0,0,0,0,0,0,9.39,12.78,14.55,0,0,17.68,220.12,47.95,336.14,0,0,37.2,0,0,43.58,0,120.6,3.45,0,115.21,0,0,44.62,0,0,0,0,50.1,0,0,0,0,0,0,0,0,68.07,8.6,39.69,18.74,233.99,0,143.87,0,0,0,0,0

15,03:30-03:45,0,0,123.69,11.19,10.44,0,0,0,33,6.43,14.48,16,0,0,0,8.49,0,0,0,0,0,0,0,0,0,0,0,9.39,12.78,14.55,0,0,17.68,220.12,47.95,336.14,0,0,37.2,0,0,43.58,0,120.6,3.45,0,115.21,0,0,44.62,0,0,0,0,50.1,0,0,0,0,0,0,0,0,68.07,8.6,39.69,19.42,233.99,0,143.87,0,0,0,0,0

16,03:45-04:00,0,0,123.69,11.19,10.44,0,0,0,33,6.43,14.54,16,0,0,0,8.49,0,0,0,0,0,0,0,0,0,0,0,9.39,12.78,14.55,0,0,17.68,220.12,47.95,336.14,0,0,37.2,0,0,43.58,0,120.6,3.45,0,115.21,0,0,44.62,0,0,0,0,50.1,0,0,0,0,0,0,0,0,68.07,8.6,39.69,19.42,233.99,0,143.87,0,0,0,0,0

17,04:00-04:15,0,0,123.69,11.19,10.44,0,0,0,33,6.43,15.09,16,0,0,0,8.49,0,0,0,0,0,0,0,0,0,0,0,9.39,12.78,14.55,0,0,17.68,220.12,47.95,336.14,0,0,37.2,0,0,43.58,0,120.6,3.45,0,115.21,0,0,44.62,0,0,0,0,50.1,0,0,0,0,0,0,0,0,55.12,8.6,39.69,19.42,231.49,0,143.87,0,0,0,0,0

18,04:15-04:30,0,0,123.69,11.19,10.44,0,0,0,33,6.43,15.09,16,0,0,0,8.49,0,0,0,0,0,0,0,0,0,0,0,9.39,12.78,14.55,0,0,17.68,220.12,47.95,336.14,0,0,25.36,0,0,43.58,0,120.6,3.45,0,115.21,0,0,44.62,0,0,0,0,50.1,0,0,0,0,0,0,0,0,55.12,8.6,39.69,19.42,231.49,0,143.87,0,0,0,0,0

19,04:30-04:45,0,0,123.69,11.19,10.44,0,0,0,41.13,6.43,15.09,19.95,0,0,0,8.49,0,0,0,0,0,0,0,0,0,0,0,9.39,12.78,14.55,0,0,17.68,220.12,47.95,336.14,0,0,25.36,0,0,43.58,0,120.6,3.45,0,115.21,0,0,44.62,0,0,0,0,50.1,0,0,0,0,0,0,0,0,55.12,8.6,39.69,19.42,233.99,0,143.87,0,0,0,0,0

20,04:45-05:00,0,0,123.69,11.19,10.44,0,0,0,41.13,6.43,15.09,19.95,0,0,0,8.49,0,0,0,0,0,0,0,0,0,0,0,9.39,12.78,14.55,0,0,17.68,220.12,47.95,336.14,0,0,25.36,0,0,43.58,0,120.6,3.45,0,115.21,0,0,44.62,0,0,0,0,50.1,0,0,0,0,0,0,0,0,55.12,8.6,39.69,19.42,233.99,0,143.87,0,0,0,0,0

21,05:00-05:15,0,0,123.69,11.19,10.29,0,0,0,41.13,6.43,15.09,19.95,0,0,0,8.49,0,0,0,0,0,0,0,0,0,0,0,9.39,12.78,14.55,11.5,1.07,17.68,220.12,47.95,336.14,0,0,25.36,0,0,43.58,0,120.6,3.45,0,115.21,0,0,44.62,0,0,0,0,50.1,0,0,0,0,0,0,0,0,55.12,8.6,39.69,19.42,233.99,0,143.87,0,0,0,0,0

22,05:15-05:30,0,0,123.69,11.19,9.87,0,0,0,41.13,6.43,15.09,19.95,0,0,0,8.49,0,0,0,0,0,0,0,0,0,0,0,9.39,12.78,14.55,11.96,6.33,17.68,220.12,47.95,336.14,0,0,25.36,0,0,43.58,0,120.6,4.94,0,115.21,0,0,44.62,0,0,0,0,50.1,0,0,0,0,0,0,0,0,55.12,8.6,39.69,19.42,233.99,0,143.87,0,0,0,0,0

23,05:30-05:45,0,0,123.69,11.19,9.72,0,0,0,41.13,6.43,30.2,19.95,0,0,0,8.49,0,0,0,0,0,0,0,0,0,0,0,9.39,12.78,14.55,13.03,6.33,17.68,220.12,47.95,336.14,0,0,25.36,0,0,43.58,0,120.6,7.41,0,115.21,0,0,44.62,0,0,0,0,50.1,0,0,0,0,0,0,0,0,55.12,17.22,39.69,19.42,233.99,0,143.87,0,0,0,0,0

24,05:45-06:00,0,0,123.69,11.19,9.58,0,0,0,41.13,6.43,30.2,19.95,0,0,0,8.49,0,0,0,0,0,0,0,0,0,0,0,18.78,12.78,14.55,13.03,6.33,26.66,220.12,47.95,336.14,0,0,25.36,0,0,43.58,0,120.6,47.54,0,115.21,0,0,44.62,0,0,0,0,50.1,0,0,0,0,0,0,0,0,86.27,25.82,39.69,19.42,233.99,0,143.87,0,0,0,0,0

25,06:00-06:15,0,0,123.69,12.55,9.29,0,0,0,41.13,8.57,30.2,19.95,0,0,0,9.14,0,0,0,0,0,0,0,0,0,0,0,29.65,39.57,14.55,13.63,18.98,36.52,220.12,48.44,336.14,0,0,25.36,0,0,43.58,0,120.6,47.54,0,115.21,0,0,44.62,0,0,0,0,50.1,0,0,0,0,0,0,0,0,113.45,38.26,39.69,19.42,233.99,0,143.87,0,0,0,0,0

