Block,Time Block,KISHANGANGA,KHSTPP-II,KKNP,NLCIIST2,NLCIIST1,NLCTS2EXP,NNTPP,KHSTPP-I,NJPC,NAPP,NLCEXP,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,RIHAND1,RIHAND2,RIHAND3,RAPPB,RAPPC,KGSU1AND2,KGSU3AND4,MAPS,SIMHST2,SINGRAULI,SIMHST1,TALST2,SINGRAULI_HYDRO,TALA,UNCHAHAR2,URI,TEHRI,VALLURNTECL,TANDA2,UNCHAHAR1,UNCHAHAR4,URI2,UNCHAHAR3,TANAKPUR,TelanganaSTPP,BRBCL,BSIUL,KUDGI,KKNPPU2,KOLDAM,KOTESHWR,SASAN,RSTPSU1TO6,RSTPSU7,SALAL,SEWA2,JHAJJAR,DULHASTI,FSTPP I & II,DHAULIGNGA,PARBATI3,RAMPUR,NTPL,CHAMERA2,DADRT2,CHAMERA1,CHAMERA3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,83.92,0,0,0,0,0,38.09,0,40.88,0,0,0,0,0,0,0,0,0,0,0,0,0,88.7,114.5,119.86,0,50.64,0,0,0,0,121.45,0,0,0,0,15.32,34.06,0,0,0,14.94,0,4.41,0,9.88,0,19.28,0,0,0,0,8.55,336.45,0,0,2.25,0,234.7,15.89,15.08,8.8,0,0,0,1.54,570.89,0,0,0,0,0,0,0

2,00:15-00:30,0,83.65,0,0,0,0,0,38.09,0,40.88,0,0,0,0,0,0,0,0,0,0,0,0,0,88.7,114.5,119.86,0,50.64,0,0,0,0,121.45,0,0,0,0,15.32,34.06,0,0,0,14.94,0,4.41,0,9.88,0,19.28,0,0,0,0,8.55,336.45,0,0,2.25,0,234.7,15.89,15.08,8.8,0,0,0,1.54,570.89,0,0,0,0,0,0,0

3,00:30-00:45,0,95.32,0,0,0,0,0,38.09,0,40.88,0,0,0,0,0,0,0,0,0,0,0,0,0,88.7,114.5,119.86,0,50.64,0,0,0,0,121.45,0,0,0,0,15.32,2.66,0,0,0,14.94,0,4.41,0,4.95,0,18.19,0,0,0,0,8.55,336.45,0,0,2.25,0,234.7,15.89,15.08,0,0,0,0,1.54,570.89,0,0,0,0,0,0,0

4,00:45-01:00,0,95.32,0,0,0,0,0,38.09,0,40.88,0,0,0,0,0,0,0,0,0,0,0,0,0,88.7,114.5,119.86,0,50.64,0,0,0,0,121.45,0,0,0,0,15.32,0.85,0,0,0,14.94,0,4.41,0,4.95,0,16.25,0,0,0,0,8.55,336.45,0,0,2.25,0,234.7,15.89,15.08,0,0,0,0,1.54,570.89,0,0,0,0,0,0,0

5,01:00-01:15,0,95.32,0,0,0,0,0,38.09,0,40.88,0,0,0,0,0,0,0,0,0,0,0,0,0,88.7,114.5,119.86,0,50.64,0,0,0,0,121.45,0,0,0,0,15.32,0.85,0,0,0,14.94,0,4.41,0,4.95,0,15.31,0,0,0,0,8.55,336.45,0,0,2.25,0,234.7,15.89,15.08,0,0,0,0,1.54,570.89,0,0,0,0,0,0,0

