Block,Time Block,DHAULIGNGA,DULHASTI,FSTPP I & II,RAMPUR,RIHAND1,RAPPD,RAPPC,SALAL,RIHAND2,RAPPB,RIHAND3,SEWA2,SIMHST1,RSTPSU1TO6,RSTPSU7,SASAN,TALA,SINGRAULI_HYDRO,SIMHST2,SINGRAULI,DADRT2,CHAMERA3,CHAMERA2,PARBATI3,PARBATI2,NTPL,CHAMERA1,BSIUL,BRBCL,NLCEXP,NLCIIST1,NLCIIST2,NJPC,NLCTS2EXP,NAPP,NNTPP,MAPS,KOTESHWR,KKNP,KKNPPU2,KOLDAM,KUDGI,KISHANGANGA,KGSU1AND2,KGSU3AND4,JHAJJAR,KHSTPP-I,AURY_CRF,DADRI_CRF,DADRI_RF,ANTA_RF,AURY_RF,DADRI_LF,ANTA_LF,AURY_GF,AURY_LF,DADRI_GF,ANTA_GF,KHSTPP-II,TEHRI,TelanganaSTPP,UNCHAHAR2,URI,ANTA_CRF,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,TEHRIPSP,URI2,UNCHAHAR3,TANDA2,TALST2,TANAKPUR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,40.99,36.99,17.38,5.48,45.65,38.76,63.16,78.52,120.92,0,126.3,17.7,0,0,0,401.81,22.7,0,0,71.34,661.97,21.83,30.32,48.8,24.8,0,40.69,18.88,15.12,0,0,0,169.7,0,23.27,0,0,43.52,0,0,8.33,0,6.73,0,0,458.71,43.95,0,0,2.18,1.1,2.17,0,0,0,0,0,0,94.16,79.5,0,41.94,4.26,0,20.59,1.81,0,185.89,36.11,11.4,4.88,0,1.73,0,0,0,0,0

2,00:15-00:30,40.99,36.99,17.44,5.48,45.65,38.76,63.16,78.52,120.92,0,126.3,17.7,0,0,0,401.81,22.7,0,0,71.34,664.74,21.83,30.32,48.8,24.8,0,40.69,18.88,13.45,0,0,0,169.7,0,23.27,0,0,43.52,0,0,8.33,0,6.73,0,0,458.71,43.95,0,0,0,0,0,0,0,0,0,0,0,94.16,79.5,0,41.82,4.26,0,20.9,1.44,0,185.89,36.11,13.99,4.88,0,1.73,0,0,0,0,0

3,00:30-00:45,40.99,36.99,17.44,5.48,45.65,38.76,63.16,78.52,120.92,0,126.3,17.7,0,0,0,401.81,22.7,0,0,71.34,664.74,21.83,30.32,50.23,24.8,0,40.69,18.88,14.34,0,0,0,169.7,0,23.27,0,0,43.52,0,0,8.33,0,6.73,0,0,458.71,43.95,0,0,0,0,0,0,0,0,0,0,0,94.16,79.5,0,41.82,4.26,0,20.9,1.44,0,185.89,28.59,13.99,4.88,0,1.73,0,0,0,0,0

4,00:45-01:00,40.99,36.99,17.44,5.48,45.65,38.76,63.16,78.52,120.92,0,126.3,17.7,0,0,0,401.81,22.7,0,0,71.34,664.74,21.83,30.32,50.23,24.8,0,40.69,18.88,15.35,0,0,0,169.7,0,23.27,0,0,43.52,0,0,8.33,0,6.73,0,0,543.35,43.95,0,0,0,0,0,0,0,0,0,0,0,94.16,79.5,0,41.82,4.26,0,20.9,1.44,0,185.89,28.59,13.99,4.88,0,9.52,0,0,0,0,0

5,01:00-01:15,40.99,36.99,17.44,5.48,45.65,38.76,63.16,78.52,120.92,0,126.3,17.7,0,0,0,401.81,22.7,0,0,71.34,664.74,21.83,30.32,50.23,24.8,0,40.69,18.88,12.95,0,0,0,169.7,0,23.27,0,0,43.52,0,0,8.33,0,6.73,0,0,458.71,43.95,0,0,0,0,0,0,0,0,0,0,0,94.16,79.5,0,41.82,4.26,0,20.9,1.44,0,185.89,36.11,16.18,4.88,0,9.52,0,0,0,0,0

6,01:15-01:30,40.99,36.99,17.44,5.48,45.65,38.76,63.16,78.52,120.92,0,126.3,17.7,0,0,0,401.81,22.7,0,0,71.34,603.66,21.83,30.32,50.23,24.8,0,40.69,18.88,14.75,0,0,0,169.7,0,23.27,0,0,43.52,0,0,8.33,0,6.73,0,0,458.33,43.95,0,0,0,0,0,0,0,0,0,0,0,94.16,79.5,0,41.82,4.26,0,20.9,1.44,0,185.89,36.11,19.52,4.88,0,10.68,0,0,0,0,0

7,01:30-01:45,40.99,36.99,17.44,5.48,45.65,38.76,63.16,78.52,120.92,0,126.3,17.7,0,0,0,401.81,22.7,0,0,71.34,598.83,21.83,45.48,50.23,24.8,0,40.69,18.88,14.71,0,0,0,169.7,0,23.27,0,0,43.52,0,0,8.33,0,6.73,0,0,458.33,43.95,0,0,0,0,0,0,0,0,0,0,0,94.16,79.5,0,41.82,4.26,0,20.9,1.44,0,185.89,36.11,23.2,4.88,0,10.68,0,0,0,0,0

8,01:45-02:00,40.99,36.99,17.44,5.48,45.65,38.76,63.16,78.52,120.92,0,126.3,17.7,0,0,0,401.81,22.7,0,0,71.34,518.67,21.83,45.48,50.23,24.8,0,40.69,18.88,12.27,0,0,0,169.7,0,23.27,0,0,43.52,0,0,8.33,0,6.73,0,0,458.33,43.95,0,0,0,0,0,0,0,0,0,0,0,94.16,79.5,0,41.82,4.26,0,20.9,1.44,0,185.89,36.11,26.43,4.88,0,10.68,0,0,0,0,0

9,02:00-02:15,40.99,36.99,17.44,5.48,45.65,38.76,63.16,78.52,120.92,0,126.3,17.7,0,0,0,401.81,22.7,0,0,71.34,473,21.83,45.48,50.23,24.8,0,40.69,18.88,13.24,0,0,0,169.7,0,23.27,0,0,43.52,0,0,8.33,0,6.73,0,0,392.63,43.95,0,0,0,0,0,0,0,0,0,0,0,94.16,79.5,0,41.65,4.26,0,20.09,0.97,0,185.89,36.11,25.77,1.38,0,10.68,0,0,0,0,0

10,02:15-02:30,40.99,36.99,17.44,5.48,45.65,38.76,63.16,78.52,120.92,0,126.3,17.7,0,0,0,401.81,22.7,0,0,71.34,405.43,21.83,45.48,50.23,24.8,0,40.69,18.88,12.07,0,0,0,169.7,0,23.27,0,0,43.52,0,0,8.33,0,6.73,0,0,428.34,43.95,0,0,0,0,0,0,0,0,0,0,0,94.16,79.5,0,41.65,4.26,0,20.09,0.97,0,185.89,36.11,25.14,1.38,0,10.68,0,0,0,0,0

11,02:30-02:45,40.99,36.99,17.44,5.48,45.65,38.76,63.16,78.52,120.92,0,126.3,17.7,0,0,0,401.81,22.84,0,0,71.34,362.95,21.83,45.48,50.23,24.8,0,40.69,18.88,14.03,0,0,0,169.7,0,23.27,0,0,43.52,0,0,8.33,0,6.73,0,0,414.83,43.95,0,0,0,0,0,0,0,0,0,0,0,94.16,79.5,0,41.65,4.26,0,20.09,0.97,0,185.89,36.11,25.14,1.38,0,10.68,0,0,0,0,0

12,02:45-03:00,40.99,36.99,17.44,5.48,45.65,38.76,63.16,78.52,120.92,0,126.3,17.7,0,0,0,401.81,22.84,0,0,71.34,362.95,21.83,45.48,50.23,24.8,0,40.69,18.88,15.33,0,0,0,169.7,0,23.27,0,0,43.52,0,0,8.33,0,6.73,0,0,430.27,43.95,0,0,0,0,0,0,0,0,0,0,0,94.16,79.5,0,41.65,4.26,0,20.09,0.97,0,185.89,36.11,25.14,1.38,0,10.68,0,0,0,0,0

13,03:00-03:15,40.99,36.99,15.96,5.48,45.65,38.76,63.16,76.27,120.92,0,126.3,17.7,0,0,0,401.81,22.84,0,0,71.34,285.87,21.83,45.48,50.23,24.8,0,40.69,18.88,15.6,0,0,0,169.7,0,23.27,0,0,43.52,0,0,8.33,0,6.73,0,0,333.46,43.95,0,0,0,0,0,0,0,0,0,0,0,94.16,79.5,0,37.58,15.99,0,18.18,0.97,0,185.89,36.11,21.91,1.38,0,10.68,0,0,0,0,0

14,03:15-03:30,40.99,36.99,17.44,5.48,45.65,38.76,63.16,76.27,120.92,0,126.3,17.7,0,0,0,401.81,22.84,0,0,71.34,208.65,21.83,45.48,50.23,24.8,0,40.69,18.88,16.27,0,0,0,169.7,0,23.27,0,0,43.52,0,0,8.33,0,6.73,0,0,270.88,43.95,0,0,0,0,0,0,0,0,0,0,0,94.16,79.5,0,35.99,15.99,0,18.18,0.97,0,185.89,36.11,21.91,1.38,0,10.68,0,0,0,0,0

15,03:30-03:45,40.99,36.99,15.96,5.48,45.65,38.76,63.16,76.27,120.92,0,126.3,17.7,0,0,0,394.21,22.84,0,0,71.34,141.08,21.83,45.48,50.23,24.8,0,40.69,18.88,16.65,0,0,0,169.7,0,23.27,0,0,43.52,0,0,8.33,0,6.73,0,0,239.99,43.95,0,0,0,0,0,0,0,0,0,0,0,94.16,79.5,0,35.99,15.99,0,18.18,1.33,0,185.89,32.36,21.91,2.3,0,10.68,0,0,0,0,0

16,03:45-04:00,40.99,36.99,15.96,5.48,45.65,38.76,63.16,76.27,120.92,0,126.3,17.7,0,0,0,394.21,22.84,0,0,71.34,141.08,21.83,45.48,50.23,24.8,0,40.69,18.88,16.32,0,0,0,169.7,0,23.27,0,0,43.52,0,0,8.33,0,6.73,0,0,239.99,43.95,0,0,0,0,0,0,0,0,0,0,0,94.16,79.5,0,35.99,15.99,0,18.18,1.33,0,185.89,32.36,21.91,2.3,0,10.68,0,0,0,0,0

17,04:00-04:15,40.99,36.99,17.44,5.48,45.65,38.76,63.16,76.84,120.92,0,126.3,17.7,0,0,0,394.21,22.84,0,0,71.34,140.11,21.83,45.48,50.23,24.8,0,40.69,18.88,18.07,0,0,0,169.7,0,23.27,0,0,43.52,0,0,8.33,0,4.49,0,0,295.98,43.95,0,0,0,0,0,0,0,0,0,0,0,94.16,79.5,0,41.65,50.54,0,20.49,1.33,0,185.89,32.36,25.77,2.3,0,10.68,0,0,0,0,0

18,04:15-04:30,40.99,36.99,17.44,5.48,45.65,38.76,63.16,76.84,120.92,0,126.3,17.7,0,0,0,394.21,22.84,0,0,71.34,140.11,21.83,45.48,50.23,24.8,0,40.69,18.88,19.52,0,0,0,169.7,0,23.27,0,0,43.52,0,0,8.33,0,4.49,0,0,316.25,43.95,0,0,0,0,0,0,0,0,0,0,0,94.16,79.5,0,41.65,50.54,0,20.49,1.33,0,185.89,32.36,25.77,2.3,0,9.52,0,0,0,0,0

19,04:30-04:45,40.99,36.99,17.44,5.48,45.65,38.76,63.16,76.84,120.92,0,126.3,17.7,0,0,0,394.21,22.7,0,0,71.34,141.08,21.83,45.48,50.23,24.8,0,40.69,18.88,20.42,0,0,0,169.7,0,23.27,0,0,43.52,0,0,8.33,0,4.49,0,0,292.12,43.95,0,0,0,0,0,0,0,0,0,0,0,94.16,79.5,0,41.65,50.54,0,20.49,1.33,0,185.89,32.36,25.77,2.3,0,11.5,0,0,0,0,0

