Block,Time,L_NR_2020_02,SH-07,SH-06,LT-36,LT-31,L_NR_2023_04,LT-59,L_NR_2012_02,LT-05,L_NR_2019_19,L_NR_2012_07,LT-35,L_NR_2019_11,LT_MEJA_Delhi,L_NR_2012_04,L_NR_2012_01,L_NR_2021_14,L_NR_2020_07,L_NR_2022_08,L_NR_2021_16,L_NR_2019_06,L_NR_2018_61,L_NR_2021_15,L_NR_2019_05,L_NR_2020_06,L_NR_2021_12,L_NR_2022_10,L_NR_2021_17,L_NR_2021_13,L_NR_2019_07,L_NR_2022_09,L_NR_2020_05
1,00:00-00:15,8.840000,7.740000,7.740000,0.000000,0.000000,0.000000,7.160000,261.720000,115.730000,0.000000,87.240000,0.000000,7.310000,3.740000,272.020000,101.310000,0,23.19,14.86,0,0,35.14,0,0,23.18,0,53.74,0,0,0,53.74,69.56

2,00:15-00:30,8.840000,7.740000,7.740000,0.000000,0.000000,0.000000,7.160000,261.720000,115.730000,0.000000,87.240000,0.000000,7.310000,3.740000,272.020000,101.310000,0,22.55,17.66,0,0,42.55,0,0,22.54,0,52.28,0,0,0,52.28,67.63

3,00:30-00:45,8.840000,7.740000,7.740000,0.000000,0.000000,0.000000,7.160000,261.720000,115.730000,0.000000,87.240000,0.000000,7.310000,3.740000,272.020000,101.310000,0,21.89,17.23,0,0,42.48,0,0,21.9,0,51.1,0,0,0,51.1,65.69

4,00:45-01:00,8.840000,7.740000,7.740000,0.000000,0.000000,0.000000,7.160000,261.720000,115.730000,0.000000,87.240000,0.000000,7.310000,3.740000,272.020000,101.310000,0,21.29,17.02,0,0,42.46,0,0,21.3,0,49.85,0,0,0,49.85,63.89

5,01:00-01:15,8.650000,7.740000,7.740000,0.000000,0.000000,0.000000,7.000000,261.720000,115.730000,0.000000,87.240000,0.000000,7.310000,3.740000,272.020000,101.310000,0,21.27,17.14,0,0,42.46,0,0,21.27,0,48.36,0,0,0,48.36,63.81

6,01:15-01:30,8.650000,7.740000,7.740000,0.000000,0.000000,0.000000,7.000000,261.720000,115.730000,0.000000,87.240000,0.000000,7.310000,3.740000,272.020000,101.310000,0,21.24,17.08,0,0,42.14,0,0,21.25,0,16.21,0,0,0,16.21,63.74

7,01:30-01:45,8.650000,7.740000,7.740000,0.000000,0.000000,0.000000,7.000000,261.720000,115.730000,0.000000,87.240000,0.000000,7.310000,3.740000,272.020000,101.310000,0,10.08,16.34,0,0,41.01,0,0,10.07,0,15.87,0,0,0,15.87,30.22

8,01:45-02:00,8.650000,7.740000,7.740000,0.000000,0.000000,0.000000,7.000000,261.720000,115.730000,0.000000,87.240000,0.000000,7.310000,3.740000,272.020000,101.310000,0,10.09,10.2,0,0,39.53,0,0,10.1,0,15.44,0,0,0,15.44,30.28

9,02:00-02:15,8.650000,19.040000,19.040000,0.000000,0.000000,0.000000,7.000000,261.720000,115.730000,0.000000,87.240000,0.000000,7.310000,3.740000,272.020000,101.310000,0,10.04,10.12,0,0,42.48,0,0,10.03,0,14.7,0,0,0,14.7,30.1

10,02:15-02:30,8.650000,19.040000,19.040000,0.000000,0.000000,0.000000,7.000000,261.720000,115.730000,0.000000,87.240000,0.000000,7.310000,3.740000,272.020000,101.310000,0,10.03,10.1,0,0,42.31,0,0,10.03,0,13.91,0,0,0,13.91,30.08

11,02:30-02:45,8.650000,19.040000,19.040000,0.000000,0.000000,0.000000,7.000000,261.720000,115.730000,0.000000,87.240000,0.000000,7.310000,3.740000,272.020000,101.310000,0,10.13,9.99,0,0,42.11,0,0,10.14,0,13.95,0,0,0,13.95,30.42

12,02:45-03:00,8.650000,19.040000,19.040000,0.000000,0.000000,0.000000,7.000000,261.720000,115.730000,0.000000,87.240000,0.000000,7.310000,3.740000,272.020000,101.310000,0,7.38,6.74,0,0,42.28,0,0,7.39,0,13.9,0,0,0,13.9,22.16

13,03:00-03:15,8.460000,19.040000,19.040000,0.000000,0.000000,0.000000,6.770000,261.720000,115.730000,0.000000,87.240000,0.000000,7.310000,3.740000,272.020000,101.310000,0,7.41,6.96,0,0,42.48,0,0,7.41,0,13.79,0,0,0,13.79,22.23

14,03:15-03:30,8.460000,19.040000,19.040000,0.000000,0.000000,0.000000,6.770000,261.720000,115.730000,0.000000,87.240000,0.000000,7.310000,3.740000,272.020000,101.310000,0,7.44,6.93,0,0,42.98,0,0,7.43,0,13.71,0,0,0,13.71,22.31

15,03:30-03:45,8.460000,19.040000,19.040000,0.000000,0.000000,0.000000,6.770000,261.720000,115.730000,0.000000,87.240000,0.000000,7.310000,3.740000,272.020000,101.310000,0,7.43,6.85,0,0,43.05,0,0,7.43,0,13.9,0,0,0,13.9,22.29

16,03:45-04:00,8.460000,19.040000,19.040000,0.000000,0.000000,0.000000,6.770000,261.720000,115.730000,0.000000,87.240000,0.000000,7.310000,3.740000,272.020000,101.310000,0,7.48,6.89,0,0,42.88,0,0,7.48,0,13.79,0,0,0,13.79,22.43

17,04:00-04:15,8.280000,19.040000,19.040000,0.000000,0.000000,0.000000,6.770000,261.720000,115.730000,0.000000,87.240000,0.000000,7.080000,3.740000,272.020000,101.310000,0,7.36,6.87,0,0,42.92,0,0,7.35,0,13.71,0,0,0,13.71,22.06

18,04:15-04:30,8.280000,19.040000,19.040000,0.000000,0.000000,0.000000,6.770000,261.720000,115.730000,0.000000,87.240000,0.000000,7.080000,3.740000,272.020000,101.310000,0,7.49,6.87,0,0,39.88,0,0,7.47,0,15.59,0,0,0,15.59,22.42

19,04:30-04:45,8.280000,19.040000,19.040000,0.000000,0.000000,0.000000,6.770000,261.720000,115.730000,0.000000,87.240000,0.000000,7.080000,3.740000,272.020000,101.310000,0,7.4,6.86,0,0,41.29,0,0,7.39,0,16.94,0,0,0,16.94,22.18

20,04:45-05:00,8.280000,19.040000,19.040000,0.000000,0.000000,0.000000,6.770000,261.720000,115.730000,0.000000,87.240000,0.000000,7.080000,3.740000,272.020000,101.310000,0,7.38,6.91,0,0,42.31,0,0,7.38,0,14,0,0,0,14,22.14

21,05:00-05:15,8.100000,20.830000,20.830000,0.000000,0.000000,0.000000,6.770000,261.720000,115.730000,0.000000,87.240000,0.000000,7.080000,3.740000,272.020000,101.310000,0,7.49,6.64,0,0,42.08,0,0,7.5,0,13.82,0,0,0,13.82,22.49

22,05:15-05:30,8.100000,20.830000,20.830000,0.000000,0.000000,0.000000,6.770000,261.720000,115.730000,0.000000,63.430000,0.000000,7.080000,2.320000,272.020000,101.310000,0,7.39,6.78,0,0,42.08,0,0,7.38,0,13.9,0,0,0,13.9,22.14

