Column1,Time,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_02,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31052040/LT-31,GNA/NR/2025/05/01/2474,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/05/01/6957,GNA/NR/2025/04/01/8510,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/3877,GNA/NR/2025/04/01/8456,NR/01102023/19072037/LT-05,GNA/NR/2025/05/01/6160,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/7791,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/04/01/8964,GNA/NR/2025/05/01/4138,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,GNARE/SR/2025/01/13/4532,L_NR_2019_19,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,NR/01102023/13082046/L_NR_2021_12,WR/01102023/30052048/L_NR_2022_10,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08
1,00:00-00:15,5.83,23.51,260.67,86.89,0,30,5.61,0,28.95,0,163.76,7.74,10.88,14.45,67.43,10.6,13.49,28.9,122.82,163.76,0,0,28.9,10.43,57.79,14.45,6.92,100.36,30.28,5.78,0,272.37,4.05,0,0,0,7.4,0,0,0,0,31.33,0,0,0,0,81.67,31.33,0,81.66,0,0,94.01,28.33

2,00:15-00:30,6.52,23.51,260.67,86.89,0,30,5.61,0,28.95,0,163.76,7.74,10.88,14.45,67.43,10.6,13.49,28.9,122.82,163.76,0,0,28.9,10.43,57.79,14.45,6.92,100.36,30.28,5.78,0,272.37,4.05,0,0,0,7.8,0,0,0,0,31.33,0,0,0,0,81.67,31.33,0,81.66,0,0,94.01,28.67

3,00:30-00:45,6.52,23.51,260.67,86.89,0,30,5.61,0,28.95,0,163.76,7.74,10.88,14.45,67.43,10.6,13.49,28.9,122.82,163.76,0,0,28.9,10.43,57.79,14.45,6.92,100.36,31.29,5.78,0,272.37,4.05,0,0,0,7.8,0,0,0,0,31.33,0,0,0,0,81.67,31.33,0,81.66,0,0,94.01,28.67

4,00:45-01:00,6.52,23.51,260.67,86.89,0,30,5.61,0,28.95,0,163.76,7.74,10.88,14.45,67.43,10.6,13.49,28.9,122.82,163.76,0,0,28.9,10.43,57.79,14.45,6.92,100.36,31.29,5.78,0,272.37,4.05,0,0,0,8,0,0,0,0,31.33,0,0,0,0,81.67,31.33,0,81.66,0,0,94.01,28.33

5,01:00-01:15,6.52,26.5,260.67,86.89,0,26.5,5.41,0,28.95,0,163.76,7.74,10.79,14.45,67.43,10.6,13.49,28.9,122.82,163.76,0,0,28.9,10.43,57.79,14.45,6.76,100.36,31.29,5.78,0,272.37,4.05,0,0,0,8,0,0,0,0,31.33,0,0,0,0,81.67,31.33,0,81.66,0,0,94.01,29

6,01:15-01:30,6.52,26.5,260.67,86.89,0,26.5,5.41,0,28.95,0,163.76,7.74,10.79,14.45,67.43,10.6,13.49,28.9,122.82,163.76,0,0,28.9,10.43,57.79,14.45,6.76,100.36,31.29,5.78,0,272.37,4.05,0,0,0,8,0,0,0,0,31.33,0,0,0,0,81.67,31.33,0,81.66,0,0,94.01,29.33

7,01:30-01:45,6.52,26.5,260.67,86.89,0,26.5,5.41,0,28.95,0,163.76,7.74,10.79,14.45,67.43,10.6,13.49,28.9,122.82,163.76,0,0,28.9,10.43,57.79,14.45,6.76,100.36,31.29,5.78,0,272.37,4.05,0,0,0,8,0,0,0,0,26.66,0,0,0,0,65,26.67,0,65,0,0,80,16.66

8,01:45-02:00,6.52,26.5,260.67,86.89,0,26.5,5.41,0,28.95,0,163.76,7.74,10.79,14.45,67.43,10.6,13.49,28.9,122.82,163.76,0,0,28.9,10.43,57.79,14.45,6.76,100.36,31.29,5.78,0,272.37,4.05,0,0,0,8,0,0,0,0,27.16,0,0,0,0,65.33,27.17,0,65.33,0,0,81.5,17.34

9,02:00-02:15,6.29,26.5,260.67,86.89,0,26.5,5.23,0,28.95,0,163.76,7.74,10.69,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,10.43,33.05,14.45,6.76,100.36,31.29,0,0,272.37,4.05,0,0,0,7.8,0,0,0,0,28.16,0,0,0,0,65.67,28.17,0,65.67,0,0,84.5,18

10,02:15-02:30,6.29,26.5,260.67,86.89,0,26.5,5.23,0,28.95,0,163.76,7.74,10.69,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,10.43,33.05,14.45,6.76,100.36,31.29,0,0,272.37,4.05,0,0,0,7.8,0,0,0,0,28.66,0,0,0,0,66,28.67,0,66,0,0,86,18.66

11,02:30-02:45,6.29,26.5,260.67,63.17,0,26.5,5.23,0,28.95,0,163.76,7.74,10.69,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,10.43,33.05,14.45,6.76,100.36,31.29,0,0,272.37,4.05,0,0,0,7.6,0,0,0,0,23.83,0,0,0,0,66.67,23.83,0,66.67,0,0,71.51,19.34

12,02:45-03:00,6.29,26.5,229.62,63.17,0,26.5,5.23,0,28.95,0,163.76,7.74,10.69,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,10.43,33.05,14.45,6.76,100.36,31.29,0,0,272.37,4.05,0,0,0,7.4,0,0,0,0,25,0,0,0,0,67,25,0,67,0,0,75,20.66

13,03:00-03:15,6.29,26.5,200.72,63.17,0,26.5,5.05,0,28.95,0,163.76,7.74,10.61,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,10.43,33.05,14.45,7.22,100.36,31.29,0,0,272.37,4.05,0,0,0,6,0,0,0,0,25.17,0,0,0,0,68.33,25.17,0,68.33,0,0,75.49,20

14,03:15-03:30,6.29,26.5,200.72,63.17,0,26.5,5.05,0,28.95,0,163.76,7.74,10.61,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,10.43,33.05,14.45,7.22,100.36,31.29,0,0,272.37,4.05,0,0,0,5.4,0,0,0,0,24.83,0,0,0,0,71.67,24.83,0,71.67,0,0,74.51,18.34

15,03:30-03:45,6.29,26.5,164.42,50.97,0,26.5,5.05,0,28.95,0,163.76,7.74,10.61,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,10.43,35.12,14.45,7.22,100.36,31.29,0,0,272.37,4.05,0,0,0,5.2,0,0,0,0,24.33,0,0,0,0,74.67,24.33,0,74.67,0,0,73.01,25

16,03:45-04:00,6.29,26.5,164.42,50.97,0,26.5,5.05,0,28.95,0,163.76,7.74,10.61,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,10.43,35.12,14.45,7.22,100.36,31.29,0,0,272.37,4.05,0,0,0,5,0,0,0,0,23.67,0,0,0,0,75,23.67,0,75,0,0,70.99,26

17,04:00-04:15,6.52,26.5,129.08,40.46,0,26.5,5.05,0,28.95,0,163.76,7.74,10.33,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,10.43,64.2,14.45,7.07,52.98,31.29,0,0,272.37,4.05,0,0,0,5,0,0,0,0,30.83,0,0,0,0,78.33,30.83,0,78.34,0,0,92.51,26.67

18,04:15-04:30,6.52,26.5,129.08,40.46,0,26.5,5.05,0,28.95,0,163.76,7.74,10.33,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,10.43,64.2,14.45,7.07,52.98,31.29,0,0,272.37,4.05,0,0,0,4.8,0,0,0,0,30.83,0,0,0,0,78.33,30.83,0,78.34,0,0,92.51,27.33

19,04:30-04:45,6.52,26.5,129.08,40.46,0,26.5,5.05,0,28.95,0,163.76,7.74,10.33,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,10.43,64.2,14.45,7.07,52.98,30.78,0,0,272.37,4.05,0,0,0,4.8,0,0,0,0,30.83,0,0,0,0,70,30.83,0,70,0,0,92.51,19.33

20,04:45-05:00,6.52,26.5,129.08,40.46,0,26.5,5.05,0,28.95,0,163.76,7.74,10.33,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,10.43,64.2,14.45,7.07,52.98,30.78,0,0,272.37,4.05,0,0,0,4.6,0,0,0,0,30.83,0,0,0,0,70.67,30.83,0,70.66,0,0,92.51,19.33

21,05:00-05:15,6.52,26.5,129.08,40.46,0,26.5,4.86,0,28.95,0,163.76,7.74,10.14,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,10.43,64.2,14.45,7.29,52.98,30.78,0,0,272.37,4.05,0,0,0,4.6,0,0,0,0,23.33,0,0,0,0,71.67,23.33,0,71.66,0,0,70.01,20

22,05:15-05:30,6.52,26.5,129.08,40.46,0,26.5,4.86,0,28.95,0,163.76,7.74,10.14,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,10.43,64.2,14.45,7.29,52.98,30.78,0,0,272.37,4.05,0,0,0,4.6,0,0,0,0,23.83,0,0,0,0,72.67,23.83,0,72.66,0,0,71.51,20

23,05:30-05:45,6.52,26.5,129.08,40.46,0,26.5,4.86,0,28.95,0,163.76,7.74,10.14,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,10.43,64.2,14.45,7.29,52.98,30.78,0,0,231.19,4.05,0,0,0,4.4,0,0,0,0,18.83,0,0,0,0,57,18.83,0,57,0,0,56.51,20

24,05:45-06:00,6.52,26.5,129.08,40.46,0,26.5,4.86,0,28.95,0,163.76,7.74,10.14,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,10.43,70.25,14.45,7.29,52.98,30.28,0,0,231.19,4.05,0,0,0,4.2,0.24,0,0,0,18.83,0,0,0,0,57.67,18.83,0,57.66,0,0,56.51,19.67

25,06:00-06:15,6.52,26.5,129.08,40.46,0,26.5,4.86,0,28.95,0,163.76,7.74,9.96,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,10.43,70.25,14.45,6.84,52.98,30.79,0,0,231.19,4.05,0,1,1,2.2,2.12,0,5.3,0,18.5,0,1,5.64,0.03,57.67,18.5,0.15,57.66,0,0,55.5,25.67

26,06:15-06:30,6.52,26.5,129.08,40.46,0,26.5,4.86,0,28.95,0,163.76,7.74,9.96,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,10.43,70.25,14.45,6.84,52.98,30.79,0,0,231.19,4.05,0,5,2,2.2,5.67,0.27,15.5,2,18.33,1,2,15.68,0.63,58,18.33,3.14,58,0,0,55.01,25

27,06:30-06:45,6.52,26.5,129.08,40.46,0.43,26.5,4.86,0.55,28.95,0.55,163.76,7.74,9.96,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,10.43,70.25,14.45,6.84,52.98,30.79,0,0,231.19,4.05,0,7,3,2.2,10.31,3.46,30.49,5,26.33,2,3,25.64,1.67,76,26.33,8.36,76,0,0,79.01,24

28,06:45-07:00,6.52,26.5,129.08,40.46,0.89,26.5,4.86,1.16,28.95,1.16,163.76,7.74,9.96,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,10.43,70.25,14.45,6.84,52.98,30.28,0,0,231.19,4.05,0,9,4,2.2,16.14,6.29,32.98,7.99,26,3,5,32.98,3.02,76.33,26,15.12,76.34,0,1,78,24

29,07:00-07:15,6.52,26.93,129.08,40.46,1.47,26.93,4.67,1.91,28.95,1.91,163.76,7.74,9.86,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,10.43,70.25,14.45,6.84,52.98,29.78,0,0,231.19,4.05,0,13,7,2.2,22.98,9.77,33,13,25.67,7,7,33,4.8,76.33,25.67,23.99,76.34,0,6,76.99,23.33

30,07:15-07:30,6.52,26.93,129.08,40.46,2.14,26.93,4.67,2.76,28.95,2.76,163.76,7.74,9.86,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,10.43,70.25,14.45,6.84,52.98,29.27,0,0,192.66,4.05,0,19,9,2.2,30.23,14.18,33,16,25.33,12,9,33,7.22,76.33,25.33,36.07,76.34,0,12,76.01,22.33

31,07:30-07:45,6.52,26.93,129.08,40.46,2.93,26.93,4.95,3.8,28.95,3.8,163.76,4.13,9.86,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,4.31,70.25,14.45,6.84,52.98,29.27,0,0,149.8,3.97,0,25,13,2.2,40.42,20.22,33,22,25,17,12,33,9.99,76.33,25,49.96,76.34,0,18,75,23.33

32,07:45-08:00,6.52,26.93,129.08,40.46,3.76,26.93,4.95,4.86,28.95,4.86,163.76,4.13,9.86,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,4.31,70.25,14.45,6.84,52.98,29.27,0,0,149.8,3.97,0,32,16,2.2,49.06,26.21,33,30,24.17,23,16,33,13.19,75,24.17,65.95,75,0,24,72.49,24.33

