Column1,Block,NR/2025/33178/C,NR/2025/33160/C,NR/2025/33235/C,NR/2025/33207/C,NR/2025/33159/C,GNA/NR/2025/08/01/4125,NR/2025/33184/C,NR/2025/33212/C,GNA/NR/2025/08/01/6187,NR/2025/33202/C,NR/2025/33113/C,NR/2025/33182/C,NR/2025/33154/C,NR/2025/33239/C,NR/2025/33180/C,NR/2025/32598/A/95302,NR/2025/32556/A/95474,NR/2025/32262/A/95054,NR/2025/31041/A/95425,NR/2025/29440/A/94997,NR/2025/31042/A/95426,NR/2025/32559/A/95473,NR/2025/33234/C,NR/2025/32554/A/95429,NR/2025/29992/A/95065,NR/2025/32610/A/95472,NR/2025/32004/A/95477,NR/2025/32397/A/95037,NR/2025/32455/A/95521,NR/2025/31421/A/95517,NR/2025/32702/A/95080,NR/2025/31046/A/95427,NR/2025/32375/A/95514,NR/2025/31047/A/95428,NR/2025/33229/C,NR/2025/32652/A/95157,NR/2025/32534/A/95415,NR/2025/32653/A/95156,NR/2025/32532/A/95413,NR/2025/32534/A/95416,NR/2025/32532/A/95414,NR/2025/32535/A/95418,NR/2025/32857/A/95146,NR/2025/32599/A/95170,NR/2025/33238/C,NR/2025/32535/A/95419,GNARE/NR/2024/12/20/3668,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/08/3642,GNA/NR/2025/08/01/3698,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/6209,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/5784,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/5126,Total
,,APPCPL,PowerPulse,IEXL,NVVNL,PowerPulse,NDMC,APPCPL,NVVNL,NDMC,NVVNL,BYPL,APPCPL,PowerPulse,IEXL,APPCPL,PTC,APPCPL,TPTCL,PowerPulse,ITCLH,PowerPulse,APPCPL,IEXL,PowerPulse,BYPL,APPCPL,APPCPL,IEXL,MANIKARAN,NVVNL,DIAPL,PowerPulse,NVVNL,PowerPulse,MES_Delhi,GMRETL,OIDLWM2_AEROCITY,GMRETL,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,GMRETL,BRPL,IEXL,OIDLWM3_AEROCITY,SECI_Trader,APPCPL,IEXL,NDMC,DELHI,APPCPL,NVVNL,MANIKARAN,BAWANA_GAS,MANIKARAN,PowerPulse,PUNJAB,MANIKARAN,MANIKARAN,
,,MSEB_State,NA,NA,NA,NA,NA,NA,NA,NA,MP_State,KERALA_State,NA,NA,UTTARAKHAND_STATE,NA,GoHP_NJPC_STATE,NA,MSEB_State,NA,ANDHRA_PRADESH_STATE,NA,NA,KARNATAKA_STATE,NA,KERALA_State,NA,MSEB_State,MSEB_State,NA,NA,HIMACHAL_STATE,NA,MP_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOA_State,NA,NA,HIMACHAL_STATE,GOA_State,NA,NA,DELHI_UT,NA,MSEB_State,DELHI_UT,MSEB_State,MP_State,
,,AEML,APL_Raigarh_TPP,JPL,JPNIGRIE_JNSTPP,MAHAN_ENERGEN,SKS_Raigarh,RKM_POWER,Kameng,JIPL,JP_BINA,KSEB,JPL2,APL_Raipur_TPP,SEPLPHASE2,RKM_POWER,GoHP_NJPC,JPL2,TPC_MSEB,MAHAN_ENERGEN,ITCWIND,MAHAN_ENERGEN,RKM_POWER,JSWEL,APL_Raipur_TPP,KSEB,RKM_POWER,AEML,A_A_Energy_MH_Bio,MBMP,JPNIGRIE_JNSTPP,GBHHPL,APL_Raigarh_TPP,JP_BINA,APL_Raigarh_TPP,NTPCREL_PSS2_KPS2_S,JGCPL_BKN2,TESPL_BKN2,JGCPL_BKN2,TESPL_BKN2,TCSPL_BKN2,TCSPL_BKN2,TESPL_BKN2,JGCPL_BKN2,TS1PL_BKN,BlueLeaf_CP_PCHR_HW,TCSPL_BKN2,APSEPL_FTG,GOA_Beneficiary,MCCPL,TRN_ENERGY,CHANJUII,GOA_Beneficiary,JHABUA_IPP,MBMP,BAWANA_GAS,DBPL,Vidarbha_Industry_MH,BAWANA_GAS,AEML,BLAPOWER_MP,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,
,,BYPL,TPDDL,BRPL,TPDDL,TPDDL,NDMC,NDMC,TPDDL,NDMC,TPDDL,BYPL,NDMC,BRPL,BRPL,NDMC,BRPL,NDMC,BYPL,TPDDL,ITCLH,TPDDL,NDMC,BRPL,BRPL,BYPL,NDMC,BYPL,MES_Delhi,BRPL,TPDDL,DIAPL,TPDDL,TPDDL,TPDDL,MES_Delhi,BLKMH,OIDLWM2_AEROCITY,DTCP,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,MAX_HPTL,BRPL,BRPL,OIDLWM3_AEROCITY,TPDDL,BRPL,BRPL,NDMC,TPDDL,BRPL,BRPL,BRPL,HARYANA,BRPL,BRPL,PUNJAB,BRPL,BRPL,
,,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North East-East-North,East-North,West-North,South-West-North,West-North,West-North,North-North,West-North,North-North,West-North,West-North,West-North,South-West-North,West-North,West-North,South-West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,North-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,North-North,West-North,West-North,
1,00:00-00:15,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,53.99,95.98,0.86,0,26.17,0,163.17,44.15,26.17,105.58,8.64,47.99,47.99,12.48,95.98,47.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.21,0,14.54,14.51,19.2,20.4,33.59,30.5,40.79,81.58,30.5,20.71,20.4,1444.47

2,00:15-00:30,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,53.99,95.98,0.86,0,26.17,0,163.17,44.15,26.17,105.58,8.64,47.99,47.99,12.48,95.98,47.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.21,0,14.54,14.51,19.2,20.4,33.59,30.5,40.79,81.58,30.5,20.71,20.4,1444.47

