Column1,Time,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,GNA/NR/2024/09/01/6566,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/3451,NR/01102023/30042040/GNA_LT_36,NR/01082024/30092024/LT_MEJA_DELHI,GNA/NR/2024/09/01/9821,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/4802,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/09/01/7196,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,NR/01102023/05012040/L_NR_2020_02,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/2171,NR/01102023/22052037/LT-59,GNA/NR/2024/09/01/6020,NR/01102023/30042040/GNA_LT_35,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/09/01/7119,NR/01102023/31052040/LT-31,WR/01102023/31032046/L_NR_2020_05,SR/01102023/07102043/L_NR_2018_61,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2020_06
1,00:00-00:15,0,0,0,0,0,0,24.2,30.29,0,48.4,0,0,32.91,10.9,21.78,96.79,262.78,48.4,70.55,26.9071,5.12,26.9071,2.42,0,96.79,0,134.15,87.3,0,100.84,24.79,0,35.5,25.01,37.67,0,0,0,0,0,37.67,11.34,0,11.83,11.84

2,00:15-00:30,0,0,0,0,0,0,24.2,30.29,0,48.4,0,0,32.91,10.9,21.78,96.79,262.78,48.4,70.55,26.9071,5.12,26.9071,2.42,0,96.79,0,134.15,87.3,0,100.84,24.79,0,37,24.61,38,0,0,0,0,0,38,11.34,0,12.33,12.34

3,00:30-00:45,0,0,0,0,0,0,24.2,30.29,0,48.4,0,0,32.91,10.9,21.78,96.79,262.78,48.4,70.55,26.9071,5.12,26.9071,2.42,0,96.79,0,134.15,87.3,0,100.84,24.79,0,37,18,38,0,0,0,0,0,38,11.66,0,12.33,12.34

4,00:45-01:00,0,0,0,0,0,0,24.2,30.29,0,48.4,0,0,32.91,10.9,21.78,96.79,262.78,48.4,70.55,26.9071,5.12,26.9071,2.42,0,96.79,0,134.15,87.3,0,100.84,24.79,0,36.5,17.6,38,0,0,0,0,0,38,12,0,12.17,12.16

5,01:00-01:15,0,0,0,0,0,0,24.2,30.29,0,48.4,0,0,32.91,15.06,21.78,96.79,214.39,48.4,70.55,26.9071,5.12,26.9071,2.42,0,96.79,0,134.15,57.78,0,71.8,24.79,0,36,17,37.33,0,0,0,0,0,37.33,12.34,0,12,12

6,01:15-01:30,0,0,0,0,0,0,24.2,30.29,0,48.4,0,0,32.91,15.06,21.78,96.79,171.94,48.4,70.55,26.9071,5.12,26.9071,2.42,0,96.79,0,134.15,57.78,0,53.23,24.79,0,36,16.8,37,0,0,0,0,0,37,12.34,0,12,12

7,01:30-01:45,0,0,0,0,0,0,24.2,30.29,0,48.4,0,4.38,32.91,15.06,21.78,96.79,171.94,48.4,70.55,26.9071,5.12,26.9071,2.42,0,96.79,0,134.15,57.78,0,53.23,24.79,0,36,16.6,36.33,0,0,0,0,0,36.33,12.34,0,12,12

8,01:45-02:00,0,0,0,0,0,0,24.2,30.29,0,48.4,0,4.38,32.91,15.06,21.78,96.79,171.94,48.4,70.55,26.9071,5.12,26.9071,2.42,0,96.79,0,134.15,57.78,0,53.23,24.79,0,36,16.4,36,0,0,0,0,0,36,12,0,12,12

9,02:00-02:15,0,0,0,0,0,0,24.2,30.29,0,48.4,0,4.38,32.91,15.06,21.78,96.79,171.94,48.4,70.55,26.9071,5.12,26.9071,2.42,0,96.79,0,113.24,57.78,0,53.23,24.79,0,25.5,16,27.33,0,0,0,0,0,27.33,8.34,0,8.5,8.5

10,02:15-02:30,0,0,0,0,0,0,24.2,30.29,0,48.4,0,3.81,32.91,15.06,21.78,96.79,171.94,48.4,70.55,26.9071,5.12,26.9071,2.42,0,96.79,0,92.92,57.78,0,53.23,24.79,0,26.5,15.6,27,0,0,0,0,0,27,8.34,0,8.83,8.84

